,source_text,target_text
0,b'\x00\x00\x00\x00\x00\x19\x01\x03\x16\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x1e\x00\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x19\x01\x03\x16\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x1e\x00\x00\x00\x00\x00\x00\x00\x00'
1,b'\x00\x01\x00\x00\x00\x06\x01\x06\x00\x06\x00\x1e',b'\x00\x00\x00\x00\x00\x19\x01\x03\x16\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x1e\x00\x00\x00\x00\x00\x00\x00\x00'
2,b'\x00\x00\x00\x00\x00\x19\x01\x03\x16\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x1e\x00\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x19\x01\x03\x16\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x1e\x00\x00\x00\x00\x00\x00\x00\x00'
3,b'\x00\x00\x00\x00\x00\x06\x01\x03\x00\x00\x00\x0b',b'\x00\x00\x00\x00\x00\x19\x01\x03\x16\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x1e\x00\x00\x00\x00\x00\x00\x00\x00'
4,b'\x00\x00\x00\x00\x00\x19\x01\x03\x16\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x1e\x00\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x19\x01\x03\x16\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x1e\x00\x00\x00\x00\x00\x00\x00\x00'
5,b'\x00\x00\x00\x00\x00\x06\x01\x03\x00\x00\x00\x0b',b'\x00\x00\x00\x00\x00\x19\x01\x03\x16\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x1e\x00\x00\x00\x00\x00\x00\x00\x00'
6,b'\x00\x01\x00\x00\x00\x06\x01\x06\x00\x06\x00\x1e',b'\x00\x00\x00\x00\x00\x19\x01\x03\x16\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x1e\x00\x00\x00\x00\x00\x00\x00\x00'
7,b'\x00\x00\x00\x00\x00\x06\x01\x03\x00\x00\x00\x0b',b'\x00\x00\x00\x00\x00\x19\x01\x03\x16\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x1e\x00\x00\x00\x00\x00\x00\x00\x00'
8,b'\x00\x00\x00\x00\x00\x19\x01\x03\x16\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x1e\x00\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x19\x01\x03\x16\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x1e\x00\x00\x00\x00\x00\x00\x00\x00'
9,b'\x00\x00\x00\x00\x00\x06\x01\x03\x00\x00\x00\x0b',b'\x00\x00\x00\x00\x00\x19\x01\x03\x16\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x1e\x00\x00\x00\x00\x00\x00\x00\x00'
10,b'\x00\x00\x00\x00\x00\x19\x01\x03\x16\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x1e\x00\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x19\x01\x03\x16\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x1e\x00\x00\x00\x00\x00\x00\x00\x00'
