,source_text,target_text
0,b'\x05\x94\x00\x00\x00\x06\x01\x03\x00\x08\x00\x04',b'\x05\x94\x00\x00\x00\x0b\x01\x03\x08\x00\x00\x00\x00\x00\x00\x00\x00'
1,b'\x05\x94\x00\x00\x00\x0b\x01\x03\x08\x00\x00\x00\x00\x00\x00\x00\x00',b'\x05\x94\x00\x00\x00\x0b\x01\x03\x08\x00\x00\x00\x00\x00\x00\x00\x00'
2,b'\x05\x95\x00\x00\x00\x06\x01\x02\x00\x04\x00\x04',b'\x05\x94\x00\x00\x00\x0b\x01\x03\x08.\xe0.\xe0\x00\x00\x00\x00'
3,b'\x05\x95\x00\x00\x00\x04\x01\x02\x01\x00',b'\x05\x94\x00\x00\x00\x0b\x01\x03\x08\x00\x00\x00\x00\x00\x00\x00\x00'
4,b'\x05\x96\x00\x00\x00\x06\x01\x01\x00\x00\x00\x04',b'\x05\x94\x00\x00\x00\x0b\x01\x03\x08\x00\x00\x00\x00\x00\x00\x00\x00'
5,b'\x05\x95\x00\x00\x00\x04\x01\x02\x01\t',b'\x05\x95\x00\x00\x00\x04\x01\x02\x01\x00'
6,b'\x05\x97\x00\x00\x00\x06\x01\x03\x00\x08\x00\x04',b'\x05\x95\x00\x00\x00\x04\x01\x02\x01\x00'
7,b'\x05\x98\x00\x00\x00\x04\x01\x02\x01\x00',b'\x05\x95\x00\x00\x00\x04\x01\x02\x01\x03'
8,b'\x05\x98\x00\x00\x00\x06\x01\x02\x00\x04\x00\x04',b'\x05\x95\x00\x00\x00\x04\x01\x02\x01\x06'
9,b'\x05\x99\x00\x00\x00\x04\x01\x01\x01\x00',b'\x05\x95\x00\x00\x00\x04\x01\x02\x01\x00'
10,b'\x05\x9a\x00\x00\x00\x06\x01\x03\x00\x08\x00\x04',b'\x05\x94\x00\x00\x00\x0b\x01\x03\x08.\xe0\x00\x00\x00\x00.\xe0'
11,b'\x05\x9a\x00\x00\x00\x0b\x01\x03\x08\x00\x00\x00\x00\x00\x00\x00\x00',b'\x05\x96\x00\x00\x00\x04\x01\x01\x01\x00'
12,b'\x05\x9c\x00\x00\x00\x06\x01\x01\x00\x00\x00\x04',b'\x05\x96\x00\x00\x00\x04\x01\x01\x01\x00'
13,b'\x05\x9b\x00\x00\x00\x04\x01\x02\x01\x00',b'\x05\x96\x00\x00\x00\x04\x01\x01\x01\x03'
14,b'\x05\x9d\x00\x00\x00\x06\x01\x03\x00\x08\x00\x04',b'\x05\x96\x00\x00\x00\x04\x01\x01\x01\x06'
15,b'\x05\x9e\x00\x00\x00\x04\x01\x02\x01\x00',b'\x05\x96\x00\x00\x00\x04\x01\x01\x01\x00'
16,b'\x05\x9e\x00\x00\x00\x06\x01\x02\x00\x04\x00\x04',b'\x05\x95\x00\x00\x00\x04\x01\x02\x01\t'
17,b'\x05\xa0\x00\x00\x00\x0b\x01\x03\x08.\xe0.\xe0\x00\x00\x00\x00',b'\x05\x96\x00\x00\x00\x04\x01\x01\x01\t'
18,b'\x05\xa2\x00\x00\x00\x06\x01\x01\x00\x00\x00\x04',b'\x05\x97\x00\x00\x00\x0b\x01\x03\x08\x00\x00\x00\x00\x00\x00\x00\x00'
19,b'\x05\xa1\x00\x00\x00\x04\x01\x02\x01\x00',b'\x05\x97\x00\x00\x00\x0b\x01\x03\x08.\xe0\x00\x00\x00\x00.\xe0'
20,b'\x05\xa2\x00\x00\x00\x06\x01\x01\x00\x00\x00\x04',b'\x05\x97\x00\x00\x00\x0b\x01\x03\x08\x00\x00\x00\x00\x00\x00\x00\x00'
21,b'\x05\xa3\x00\x00\x00\x0b\x01\x03\x08\x00\x00\x00\x00\x00\x00\x00\x00',b'\x05\x97\x00\x00\x00\x0b\x01\x03\x08\x00\x00\x00\x00\x00\x00\x00\x00'
22,b'\x05\xa5\x00\x00\x00\x06\x01\x01\x00\x00\x00\x04',b'\x05\x98\x00\x00\x00\x04\x01\x02\x01\x00'
23,b'\x05\xa5\x00\x00\x00\x04\x01\x01\x01\x03',b'\x05\x98\x00\x00\x00\x04\x01\x02\x01\t'
24,b'\x05\xa5\x00\x00\x00\x06\x01\x01\x00\x00\x00\x04',b'\x05\x97\x00\x00\x00\x0b\x01\x03\x08.\xe0.\xe0\x00\x00\x00\x00'
25,b'\x05\xa6\x00\x00\x00\x0b\x01\x03\x08.\xe0\x00\x00\x00\x00.\xe0',b'\x05\x98\x00\x00\x00\x04\x01\x02\x01\x00'
26,b'\x05\xa6\x00\x00\x00\x06\x01\x03\x00\x08\x00\x04',b'\x05\x98\x00\x00\x00\x04\x01\x02\x01\x00'
27,b'\x05\xa7\x00\x00\x00\x04\x01\x02\x01\t',b'\x05\x97\x00\x00\x00\x0b\x01\x03\x08\x00\x00\x00\x00\x00\x00\x00\x00'
28,b'\x05\xa7\x00\x00\x00\x06\x01\x02\x00\x04\x00\x04',b'\x05\x99\x00\x00\x00\x04\x01\x01\x01\x00'
