,source_text,target_text
31179,7fa40000001b00100032000a14d86a27faa7c8fbba60aa8c29d34026bc1945752b,7fa40000000600100032000a
32005,83010000001b00100017000a14969b6f08f8b9d11369373ab0f769435c33583e27,83010000000600100017000a
6921,1c5400000009000f000a000902ff01,1c5400000006000f000a0009
15302,3e9d000000150010000700070e6b8e8eeeb9f7067ae183bcadd4df,3e9d00000006001000070007
51587,d318000000060005000bff00,d318000000060005000bff00
57832,ecae00000008000f000300020103,ecae00000006000f00030002
29474,78ac000000060003004f0008,78ac00000013000310c3e558cc9fb282c5a090040ba5b8d925
36379,94e700000006000100300001,94e70000000400010101
15158,3e070000000600030019000a,3e0700000017000314f323705d35992d1d1ce95f5316ad5ad54a603d0f
2954,0c2100000008000f000a0005011f,0c2100000006000f000a0005
24856,65c600000006000100570005,65c6000000040001011f
38228,9c6f0000000600050046ff00,9c6f0000000600050046ff00
27338,6ff40000000600050012ff00,6ff40000000600050012ff00
56406,e6dc0000000600010055000a,e6dc00000005000102ff03
14165,39f50000000600010046000a,39f500000005000102ff03
47806,c38f000000060003005c0007,c38f0000001100030e93b1fff5d02b442ccb6d4421f6a5
51744,d3be000000060005002fff00,d3be000000060005002fff00
37875,9af60000001900100036000912466fbf52b42d783d51b612385300687ea51e,9af600000006001000360009
39511,a1b000000008000f000800020103,a1b000000006000f00080002
13748,383d00000006000100510001,383d0000000400010101
48599,c6ca0000000600050015ff00,c6ca0000000600050015ff00
43128,b07800000006000300500002,b07800000007000304bb98bf47
444,01da000000170010003b00081064cd9ab80e64b417f29ba6ea8fec18ce,01da000000060010003b0008
14286,3a740000000b001000590002043ce142f1,3a7400000006001000590002
17954,4975000000190010003400091254c6c4e0df7479ca545497f772f4e7f69861,497500000006001000340009
56533,e75f00000006000300020006,e75f0000000f00030cdf67a5f62cfdc7b7c8cd6e88
36050,938f000000060005004aff00,938f000000060005004aff00
15200,3e3200000008000f00290007017f,3e3200000006000f00290007
32783,862f00000008000f002b0004010f,862f00000006000f002b0004
8420,226a00000009000f0046000a02ff03,226a00000006000f0046000a
2432,09f5000000060001005b0003,09f50000000400010107
22476,5bf90000000b00100049000204e0806d21,5bf900000006001000490002
22382,5b960000000600050042ff00,5b960000000600050042ff00
57963,ed3a00000008000f001b00020103,ed3a00000006000f001b0002
56171,e5e500000006000300210006,e5e50000000f00030cf704ee57e9d164ab0438d147
14636,3be400000006000300010003,3be40000000900030625304da54c3c
35751,924c0000000600050027ff00,924c0000000600050027ff00
28800,75e6000000060005001dff00,75e6000000060005001dff00
30713,7dc200000008000f000f0006013f,7dc200000006000f000f0006
36178,941500000008000f005500010101,941500000006000f00550001
5732,177c000000130010002e00060c8bf6e0f202f0c3a9259497b4,177c000000060010002e0006
26048,6aad00000009000f0046000902ff01,6aad00000006000f00460009
13933,38fc000000060001001c0008,38fc00000004000101ff
42667,ae9400000006000300060003,ae9400000009000306c8f499cf42ce
46883,bfd000000008000f00060006013f,bfd000000006000f00060006
14104,39b40000000600050030ff00,39b40000000600050030ff00
40102,a41800000006000300160007,a4180000001100030e5e99354e6fae713ba0e772edb7d9
