csv-epoch,step,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-train_loss_epoch,csv-accuracy/exact
0,0,3.2988343238830566,,,,,
0,1,2.585228443145752,,,,,
0,2,2.3328464031219482,,,,,
0,3,2.4728901386260986,,,,,
0,4,2.119208335876465,,,,,
0,5,2.3857951164245605,,,,,
0,6,2.5075557231903076,,,,,
0,7,2.141655445098877,,,,,
0,8,1.9269601106643677,,,,,
0,9,2.2521252632141113,,,,,
0,10,1.8493653535842896,,,,,
0,11,1.790686011314392,,,,,
0,12,2.109485149383545,,,,,
0,13,1.8707987070083618,,,,,
0,14,1.6828519105911255,,,,,
0,15,2.1453745365142822,,,,,
0,16,1.7999106645584106,,,,,
0,17,1.8585515022277832,,,,,
0,18,1.6252813339233398,,,,,
0,19,1.5894280672073364,,,,,
,0,,1.3267427682876587,,,,
,1,,1.1700104475021362,,,,
,2,,1.211089849472046,,,,
,3,,1.296204686164856,,,,
,4,,1.3034008741378784,,,,
,5,,1.2722331285476685,,,,
,6,,1.2774667739868164,,,,
,7,,1.1937144994735718,,,,
,8,,1.2712942361831665,,,,
,9,,1.3341636657714844,,,,
,10,,1.3471533060073853,,,,
,11,,1.1409409046173096,,,,
,12,,1.2989450693130493,,,,
,13,,1.3222475051879883,,,,
,14,,1.3086260557174683,,,,
,15,,1.4037836790084839,,,,
,16,,1.3287228345870972,,,,
,17,,1.2962782382965088,,,,
,18,,1.3577947616577148,,,,
,19,,1.224541425704956,,,,
0,19,,,1.284267783164978,,,
0,19,,,,0.02500000037252903,2.1641783714294434,0.0
1,20,1.6269371509552002,,,,,
1,21,1.5656930208206177,,,,,
1,22,1.7274714708328247,,,,,
1,23,1.370180368423462,,,,,
1,24,1.7269041538238525,,,,,
1,25,1.1303461790084839,,,,,
1,26,1.3429474830627441,,,,,
1,27,1.5229241847991943,,,,,
1,28,1.3578420877456665,,,,,
1,29,1.2889798879623413,,,,,
1,30,1.2406909465789795,,,,,
1,31,1.1415327787399292,,,,,
1,32,1.2750145196914673,,,,,
1,33,1.2746598720550537,,,,,
1,34,0.8407471179962158,,,,,
1,35,0.8986275792121887,,,,,
1,36,0.8744329810142517,,,,,
1,37,1.1462175846099854,,,,,
1,38,1.2445155382156372,,,,,
1,39,0.9931320548057556,,,,,
,20,,0.5618492960929871,,,,
,21,,0.3797478675842285,,,,
,22,,0.4260387420654297,,,,
,23,,0.3675565719604492,,,,
,24,,0.5692995190620422,,,,
,25,,0.3680760860443115,,,,
,26,,0.4534398317337036,,,,
,27,,0.42502620816230774,,,,
,28,,0.5098727941513062,,,,
,29,,0.5729368329048157,,,,
,30,,0.5497868657112122,,,,
,31,,0.47926077246665955,,,,
,32,,0.5622535347938538,,,,
,33,,0.6105141639709473,,,,
,34,,0.6317687034606934,,,,
,35,,0.515372633934021,,,,
,36,,0.4840822219848633,,,,
,37,,0.46195077896118164,,,,
,38,,0.5663385987281799,,,,
,39,,0.4231020510196686,,,,
1,39,,,0.49591368436813354,,,
1,39,,,,0.17499999701976776,1.2290796041488647,0.01875000074505806
2,40,0.901134729385376,,,,,
2,41,0.8045694828033447,,,,,
2,42,0.7981277108192444,,,,,
2,43,0.8214791417121887,,,,,
2,44,1.0191575288772583,,,,,
2,45,0.8583810329437256,,,,,
2,46,0.5493335723876953,,,,,
2,47,0.4865534007549286,,,,,
2,48,0.6487212181091309,,,,,
2,49,0.8463071584701538,,,,,
2,50,0.528313934803009,,,,,
2,51,0.6382161974906921,,,,,
2,52,0.6578356623649597,,,,,
2,53,0.22798210382461548,,,,,
2,54,0.5857686996459961,,,,,
2,55,0.4720349609851837,,,,,
2,56,0.5023717284202576,,,,,
2,57,0.37503528594970703,,,,,
2,58,0.6040056943893433,,,,,
2,59,0.4507770836353302,,,,,
,40,,0.24202021956443787,,,,
,41,,0.10153918713331223,,,,
,42,,0.17940019071102142,,,,
,43,,0.05341767147183418,,,,
,44,,0.18141238391399384,,,,
,45,,0.116787388920784,,,,
,46,,0.18029195070266724,,,,
,47,,0.21360056102275848,,,,
,48,,0.28197863698005676,,,,
,49,,0.2723865509033203,,,,
,50,,0.28387874364852905,,,,
,51,,0.20497791469097137,,,,
,52,,0.2530176639556885,,,,
,53,,0.27894994616508484,,,,
,54,,0.259748250246048,,,,
,55,,0.25417613983154297,,,,
,56,,0.16975584626197815,,,,
,57,,0.1108560785651207,,,,
,58,,0.1872691810131073,,,,
,59,,0.1657760739326477,,,,
2,59,,,0.19956202805042267,,,
2,59,,,,0.706250011920929,0.6267732977867126,0.4625000059604645
3,60,0.31501662731170654,,,,,
3,61,0.6333258748054504,,,,,
3,62,0.3403517007827759,,,,,
3,63,0.5351535081863403,,,,,
3,64,0.22520755231380463,,,,,
3,65,0.41875261068344116,,,,,
3,66,0.3644489347934723,,,,,
3,67,0.1949719488620758,,,,,
3,68,0.37468382716178894,,,,,
3,69,0.3381373882293701,,,,,
3,70,0.18006035685539246,,,,,
3,71,0.35039088129997253,,,,,
3,72,0.18713077902793884,,,,,
3,73,0.24911542236804962,,,,,
3,74,0.31705087423324585,,,,,
3,75,0.2864660918712616,,,,,
3,76,0.3130020499229431,,,,,
3,77,0.22901026904582977,,,,,
3,78,0.31195658445358276,,,,,
3,79,0.2597801089286804,,,,,
,60,,0.18400786817073822,,,,
,61,,0.05112706497311592,,,,
,62,,0.13125206530094147,,,,
,63,,0.017947137355804443,,,,
,64,,0.1199631541967392,,,,
,65,,0.07676377892494202,,,,
,66,,0.08465071767568588,,,,
,67,,0.12150776386260986,,,,
,68,,0.19407503306865692,,,,
,69,,0.19449278712272644,,,,
,70,,0.2288052886724472,,,,
,71,,0.08986752480268478,,,,
,72,,0.17484833300113678,,,,
,73,,0.21906448900699615,,,,
,74,,0.1777772307395935,,,,
,75,,0.21806587278842926,,,,
,76,,0.10311297327280045,,,,
,77,,0.07355960458517075,,,,
,78,,0.12802289426326752,,,,
,79,,0.07262686640024185,,,,
3,79,,,0.13307692110538483,,,
3,79,,,,0.956250011920929,0.3198062777519226,0.550000011920929
4,80,0.17506930232048035,,,,,
4,81,0.10981178283691406,,,,,
4,82,0.2553749978542328,,,,,
4,83,0.21198110282421112,,,,,
4,84,0.327127069234848,,,,,
4,85,0.5694712400436401,,,,,
4,86,0.270827054977417,,,,,
4,87,0.19146445393562317,,,,,
4,88,0.29715877771377563,,,,,
4,89,0.06716298311948776,,,,,
4,90,0.12110038101673126,,,,,
4,91,0.24999333918094635,,,,,
4,92,0.40474215149879456,,,,,
4,93,0.14307411015033722,,,,,
4,94,0.101908378303051,,,,,
4,95,0.10659891366958618,,,,,
4,96,0.43691766262054443,,,,,
4,97,0.0984942615032196,,,,,
4,98,0.3735714256763458,,,,,
4,99,0.07043179869651794,,,,,
,80,,0.16205115616321564,,,,
,81,,0.04203818738460541,,,,
,82,,0.09810647368431091,,,,
,83,,0.0221871268004179,,,,
,84,,0.09358257800340652,,,,
,85,,0.0639944076538086,,,,
,86,,0.07539499551057816,,,,
,87,,0.104454904794693,,,,
,88,,0.14237302541732788,,,,
,89,,0.15779897570610046,,,,
,90,,0.19479838013648987,,,,
,91,,0.06635111570358276,,,,
,92,,0.14464591443538666,,,,
,93,,0.18363147974014282,,,,
,94,,0.14272499084472656,,,,
,95,,0.19098412990570068,,,,
,96,,0.08801785111427307,,,,
,97,,0.057712286710739136,,,,
,98,,0.12119302153587341,,,,
,99,,0.06715574860572815,,,,
4,99,,,0.11095982789993286,,,
4,99,,,,0.96875,0.2176763117313385,0.581250011920929
5,100,0.15540775656700134,,,,,
5,101,0.16694094240665436,,,,,
5,102,0.21283449232578278,,,,,
5,103,0.14712893962860107,,,,,
5,104,0.12842102348804474,,,,,
5,105,0.32551583647727966,,,,,
5,106,0.36091363430023193,,,,,
5,107,0.08832211047410965,,,,,
5,108,0.12979620695114136,,,,,
5,109,0.31869247555732727,,,,,
5,110,0.28827568888664246,,,,,
5,111,0.16893161833286285,,,,,
5,112,0.12822963297367096,,,,,
5,113,0.11250290274620056,,,,,
5,114,0.27657556533813477,,,,,
5,115,0.18670441210269928,,,,,
5,116,0.12170268595218658,,,,,
5,117,0.12583257257938385,,,,,
5,118,0.26381024718284607,,,,,
5,119,0.18422101438045502,,,,,
,100,,0.15320278704166412,,,,
,101,,0.0387006513774395,,,,
,102,,0.07699903845787048,,,,
,103,,0.012484701350331306,,,,
,104,,0.07742711156606674,,,,
,105,,0.050968848168849945,,,,
,106,,0.07044883072376251,,,,
,107,,0.10514014214277267,,,,
,108,,0.13674576580524445,,,,
,109,,0.15610720217227936,,,,
,110,,0.18719008564949036,,,,
,111,,0.05049856752157211,,,,
,112,,0.13917744159698486,,,,
,113,,0.16929835081100464,,,,
,114,,0.13414227962493896,,,,
,115,,0.18906693160533905,,,,
,116,,0.07524176687002182,,,,
,117,,0.04546497389674187,,,,
,118,,0.10493278503417969,,,,
,119,,0.06142064929008484,,,,
5,119,,,0.10173294693231583,,,
5,119,,,,0.96875,0.18886998295783997,0.5874999761581421
6,120,0.08510628342628479,,,,,
6,121,0.2837529480457306,,,,,
6,122,0.2453693300485611,,,,,
6,123,0.27201926708221436,,,,,
6,124,0.4308500587940216,,,,,
6,125,0.08558374643325806,,,,,
6,126,0.09000185132026672,,,,,
6,127,0.3175680339336395,,,,,
6,128,0.1658334583044052,,,,,
6,129,0.07525136321783066,,,,,
6,130,0.128026083111763,,,,,
6,131,0.12924236059188843,,,,,
6,132,0.15264387428760529,,,,,
6,133,0.0784587636590004,,,,,
6,134,0.0938638374209404,,,,,
6,135,0.028994807973504066,,,,,
6,136,0.2589317858219147,,,,,
6,137,0.09883783012628555,,,,,
6,138,0.1761370152235031,,,,,
6,139,0.2745990753173828,,,,,
,120,,0.14226742088794708,,,,
,121,,0.03058399073779583,,,,
,122,,0.07715380191802979,,,,
,123,,0.013953165151178837,,,,
,124,,0.07065033167600632,,,,
,125,,0.04620477557182312,,,,
,126,,0.06677693873643875,,,,
,127,,0.09666194021701813,,,,
,128,,0.13226568698883057,,,,
,129,,0.15546491742134094,,,,
,130,,0.18449945747852325,,,,
,131,,0.0395980067551136,,,,
,132,,0.13335558772087097,,,,
,133,,0.1609155684709549,,,,
,134,,0.12459463626146317,,,,
,135,,0.1465640366077423,,,,
,136,,0.06939689815044403,,,,
,137,,0.04043956845998764,,,,
,138,,0.0690242201089859,,,,
,139,,0.06008443981409073,,,,
6,139,,,0.09302277863025665,,,
6,139,,,,0.9750000238418579,0.15916581451892853,0.606249988079071
7,140,0.20816253125667572,,,,,
7,141,0.1056118831038475,,,,,
7,142,0.23930200934410095,,,,,
7,143,0.14405758678913116,,,,,
7,144,0.17208410799503326,,,,,
7,145,0.17741046845912933,,,,,
7,146,0.0855470821261406,,,,,
7,147,0.19332902133464813,,,,,
7,148,0.06101475656032562,,,,,
7,149,0.18582773208618164,,,,,
7,150,0.07948455959558487,,,,,
7,151,0.04806702584028244,,,,,
7,152,0.14463846385478973,,,,,
7,153,0.14028581976890564,,,,,
7,154,0.16847354173660278,,,,,
7,155,0.15057238936424255,,,,,
7,156,0.10983242094516754,,,,,
7,157,0.04695511236786842,,,,,
7,158,0.31336963176727295,,,,,
7,159,0.21772566437721252,,,,,
,140,,0.13541758060455322,,,,
,141,,0.028871504589915276,,,,
,142,,0.08485915511846542,,,,
,143,,0.01642514206469059,,,,
,144,,0.06166158244013786,,,,
,145,,0.05709037184715271,,,,
,146,,0.062208861112594604,,,,
,147,,0.07988860458135605,,,,
,148,,0.12922218441963196,,,,
,149,,0.14796173572540283,,,,
,150,,0.18323172628879547,,,,
,151,,0.034862782806158066,,,,
,152,,0.12608925998210907,,,,
,153,,0.14570920169353485,,,,
,154,,0.11352583020925522,,,,
,155,,0.13225556910037994,,,,
,156,,0.06547893583774567,,,,
,157,,0.03930152952671051,,,,
,158,,0.06889814883470535,,,,
,159,,0.06758762896060944,,,,
7,159,,,0.08902736008167267,,,
7,159,,,,0.9375,0.14581458270549774,0.643750011920929
8,160,0.23963963985443115,,,,,
8,161,0.27344563603401184,,,,,
8,162,0.07154692709445953,,,,,
8,163,0.24630466103553772,,,,,
8,164,0.02942551113665104,,,,,
8,165,0.05044908821582794,,,,,
8,166,0.2379142791032791,,,,,
8,167,0.07367075234651566,,,,,
8,168,0.26045626401901245,,,,,
8,169,0.11169792711734772,,,,,
8,170,0.06374985724687576,,,,,
8,171,0.029834089800715446,,,,,
8,172,0.12649992108345032,,,,,
8,173,0.2489558905363083,,,,,
8,174,0.0797109380364418,,,,,
8,175,0.14924924075603485,,,,,
8,176,0.27581319212913513,,,,,
8,177,0.07600699365139008,,,,,
8,178,0.036373503506183624,,,,,
8,179,0.31027713418006897,,,,,
,160,,0.12402817606925964,,,,
,161,,0.01622161455452442,,,,
,162,,0.07199027389287949,,,,
,163,,0.015457520261406898,,,,
,164,,0.0486929751932621,,,,
