step,csv-train_loss_step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/validator,csv-accuracy/exact
0,2.668511152267456,0,,,,,
1,2.8549561500549316,0,,,,,
2,2.50476336479187,0,,,,,
0,,,2.2824811935424805,,,,
1,,,2.646040201187134,,,,
2,,,2.2934253215789795,,,,
2,,0,,2.43009352684021,,,
2,,0,,,2.8347837924957275,0.0,0.0
3,2.57424259185791,1,,,,,
4,2.177312135696411,1,,,,,
5,2.3514444828033447,1,,,,,
3,,,2.1689295768737793,,,,
4,,,2.420522928237915,,,,
5,,,2.059112548828125,,,,
5,,1,,2.24760365486145,,,
5,,1,,,2.406756639480591,0.0,0.0
6,2.7040412425994873,2,,,,,
7,2.195298433303833,2,,,,,
8,1.9185281991958618,2,,,,,
6,,,1.8308786153793335,,,,
7,,,2.091381788253784,,,,
8,,,1.7891182899475098,,,,
8,,2,,1.9267276525497437,,,
8,,2,,,2.186802864074707,0.0,0.0
9,2.0626461505889893,3,,,,,
10,1.9523018598556519,3,,,,,
11,2.1226673126220703,3,,,,,
9,,,1.4665457010269165,,,,
10,,,1.6876049041748047,,,,
11,,,1.444844365119934,,,,
11,,3,,1.5506290197372437,,,
11,,3,,,2.0199832916259766,0.0,0.0
12,2.1027066707611084,4,,,,,
13,1.9567073583602905,4,,,,,
14,1.6943646669387817,4,,,,,
12,,,1.360077142715454,,,,
13,,,1.5817468166351318,,,,
14,,,1.408202052116394,,,,
14,,4,,1.4583699703216553,,,
14,,4,,,1.898246169090271,0.125,0.0
15,1.8968875408172607,5,,,,,
16,1.7059992551803589,5,,,,,
17,1.6793376207351685,5,,,,,
15,,,1.2670315504074097,,,,
16,,,1.507217288017273,,,,
17,,,1.3650418519973755,,,,
17,,5,,1.3827078342437744,,,
17,,5,,,1.735836386680603,0.1666666716337204,0.0
18,1.760208249092102,6,,,,,
19,1.7754943370819092,6,,,,,
20,1.347816824913025,6,,,,,
18,,,1.1346122026443481,,,,
19,,,1.3746106624603271,,,,
20,,,1.2644047737121582,,,,
20,,6,,1.2565701007843018,,,
20,,6,,,1.6147403717041016,0.125,0.0
21,1.4113603830337524,7,,,,,
22,1.5781148672103882,7,,,,,
23,1.7890907526016235,7,,,,,
21,,,0.9758530855178833,,,,
22,,,1.205928921699524,,,,
23,,,1.0793309211730957,,,,
23,,7,,1.0885789394378662,,,
23,,7,,,1.4294402599334717,0.0,0.0
24,1.4947365522384644,8,,,,,
25,1.1081416606903076,8,,,,,
26,1.3870600461959839,8,,,,,
24,,,0.8438569903373718,,,,
25,,,1.0281307697296143,,,,
26,,,0.9201231002807617,,,,
26,,8,,0.9328197240829468,,,
26,,8,,,1.3206168413162231,0.0,0.0
27,1.4476314783096313,9,,,,,
28,1.0042471885681152,9,,,,,
29,1.2646085023880005,9,,,,,
27,,,0.7255200147628784,,,,
28,,,0.8860896229743958,,,,
29,,,0.8162089586257935,,,,
29,,9,,0.8078856468200684,,,
29,,9,,,1.2072618007659912,0.0416666679084301,0.0
30,1.1872953176498413,10,,,,,
31,1.0610259771347046,10,,,,,
32,1.5136644840240479,10,,,,,
30,,,0.5645028948783875,,,,
31,,,0.7081966996192932,,,,
