csv-train_loss_step,csv-epoch,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-accuracy/exact,csv-train_loss_epoch
3.8342323303222656,0,0,,,,,
3.34625244140625,0,1,,,,,
3.158902645111084,0,2,,,,,
3.021524429321289,0,3,,,,,
,,0,2.173701286315918,,,,
,0,3,,2.173701286315918,,,
,0,3,,,0.0,0.0,3.3402278423309326
2.7693734169006348,1,4,,,,,
2.693182945251465,1,5,,,,,
2.588196277618408,1,6,,,,,
2.381955623626709,1,7,,,,,
,,1,1.8764251470565796,,,,
,1,7,,1.8764251470565796,,,
,1,7,,,0.0,0.0,2.6081771850585938
2.3217780590057373,2,8,,,,,
2.261855125427246,2,9,,,,,
2.309980630874634,2,10,,,,,
2.022980213165283,2,11,,,,,
,,2,1.6763840913772583,,,,
,2,11,,1.6763840913772583,,,
,2,11,,,0.0,0.0,2.2291486263275146
1.9293110370635986,3,12,,,,,
2.056243658065796,3,13,,,,,
1.831889271736145,3,14,,,,,
1.8156158924102783,3,15,,,,,
,,3,1.4696602821350098,,,,
,3,15,,1.4696602821350098,,,
,3,15,,,0.0,0.0,1.9082648754119873
1.7550997734069824,4,16,,,,,
1.684617042541504,4,17,,,,,
1.763207197189331,4,18,,,,,
1.6830358505249023,4,19,,,,,
,,4,1.268816590309143,,,,
,4,19,,1.268816590309143,,,
,4,19,,,0.0,0.0,1.7214899063110352
1.7186185121536255,5,20,,,,,
1.6365306377410889,5,21,,,,,
1.5189518928527832,5,22,,,,,
1.4786816835403442,5,23,,,,,
,,5,1.1406302452087402,,,,
,5,23,,1.1406302452087402,,,
,5,23,,,0.0,0.0,1.5881956815719604
1.5184117555618286,6,24,,,,,
1.4235167503356934,6,25,,,,,
1.3305425643920898,6,26,,,,,
1.3470221757888794,6,27,,,,,
,,6,1.0424882173538208,,,,
,6,27,,1.0424882173538208,,,
,6,27,,,0.0,0.0,1.4048733711242676
1.3391687870025635,7,28,,,,,
1.3561782836914062,7,29,,,,,
1.3407455682754517,7,30,,,,,
1.335087537765503,7,31,,,,,
,,7,0.967926561832428,,,,
,7,31,,0.967926561832428,,,
,7,31,,,0.0,0.0,1.3427950143814087
1.2747282981872559,8,32,,,,,
1.2949732542037964,8,33,,,,,
1.2693227529525757,8,34,,,,,
1.2454712390899658,8,35,,,,,
,,8,0.9108667969703674,,,,
,8,35,,0.9108667969703674,,,
,8,35,,,0.0,0.0,1.271124005317688
1.2211984395980835,9,36,,,,,
1.295441746711731,9,37,,,,,
1.1735639572143555,9,38,,,,,
1.1642993688583374,9,39,,,,,
,,9,0.8614374995231628,,,,
,9,39,,0.8614374995231628,,,
,9,39,,,0.0,0.0,1.2136259078979492
1.193458914756775,10,40,,,,,
1.1858261823654175,10,41,,,,,
1.200814127922058,10,42,,,,,
1.1301618814468384,10,43,,,,,
,,10,0.8123852014541626,,,,
,10,43,,0.8123852014541626,,,
,10,43,,,0.05000000074505806,0.0,1.177565336227417
1.1897281408309937,11,44,,,,,
1.099445104598999,11,45,,,,,
1.1432479619979858,11,46,,,,,
1.142630934715271,11,47,,,,,
,,11,0.7742303013801575,,,,
,11,47,,0.7742303013801575,,,
,11,47,,,0.05000000074505806,0.0,1.1437630653381348
1.0609256029129028,12,48,,,,,
1.1012002229690552,12,49,,,,,
1.1138232946395874,12,50,,,,,
1.0507943630218506,12,51,,,,,
,,12,0.7470901608467102,,,,
,12,51,,0.7470901608467102,,,
,12,51,,,0.05000000074505806,0.0,1.0816857814788818
1.059081792831421,13,52,,,,,
0.9642640948295593,13,53,,,,,
1.09096097946167,13,54,,,,,
0.9759025573730469,13,55,,,,,
,,13,0.705893874168396,,,,
,13,55,,0.705893874168396,,,
,13,55,,,0.0,0.0,1.0225523710250854
0.998892068862915,14,56,,,,,
0.9445586204528809,14,57,,,,,
0.9812039732933044,14,58,,,,,
1.0010062456130981,14,59,,,,,
,,14,0.6735028624534607,,,,
,14,59,,0.6735028624534607,,,
,14,59,,,0.0,0.0,0.9814152717590332
0.9299870729446411,15,60,,,,,
0.9786438345909119,15,61,,,,,
0.9327694177627563,15,62,,,,,
0.8832055330276489,15,63,,,,,
,,15,0.6152520179748535,,,,
,15,63,,0.6152520179748535,,,
,15,63,,,0.10000000149011612,0.0,0.9311514496803284
0.9105911254882812,16,64,,,,,
0.8441705703735352,16,65,,,,,
0.927497386932373,16,66,,,,,
0.8730149269104004,16,67,,,,,
,,16,0.5633242130279541,,,,
,16,67,,0.5633242130279541,,,
,16,67,,,0.0,0.0,0.8888185024261475
0.8141430020332336,17,68,,,,,
0.8161323070526123,17,69,,,,,
0.8281702399253845,17,70,,,,,
0.8369913697242737,17,71,,,,,
,,17,0.5489449501037598,,,,
,17,71,,0.5489449501037598,,,
,17,71,,,0.0,0.0,0.8238592743873596
0.7781012654304504,18,72,,,,,
0.7947823405265808,18,73,,,,,
0.7932838797569275,18,74,,,,,
0.7978366017341614,18,75,,,,,
,,18,0.48171448707580566,,,,
,18,75,,0.48171448707580566,,,
,18,75,,,0.10000000149011612,0.0,0.79100102186203
0.8149528503417969,19,76,,,,,
0.7769924402236938,19,77,,,,,
0.674750030040741,19,78,,,,,
0.7107802033424377,19,79,,,,,
,,19,0.44292396306991577,,,,
,19,79,,0.44292396306991577,,,
,19,79,,,0.10000000149011612,0.0,0.7443689107894897
0.6863408088684082,20,80,,,,,
0.7702316641807556,20,81,,,,,
0.7062859535217285,20,82,,,,,
0.6680156588554382,20,83,,,,,
,,20,0.4001282751560211,,,,
,20,83,,0.4001282751560211,,,
,20,83,,,0.20000000298023224,0.0,0.7077184915542603
0.6932339668273926,21,84,,,,,
0.6871950626373291,21,85,,,,,
0.6446067690849304,21,86,,,,,
0.6110020875930786,21,87,,,,,
,,21,0.34809109568595886,,,,
,21,87,,0.34809109568595886,,,
,21,87,,,0.25,0.15000000596046448,0.6590094566345215
0.586345374584198,22,88,,,,,
0.6636776924133301,22,89,,,,,
0.5767361521720886,22,90,,,,,
