csv-epoch,step,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/validator,csv-accuracy/exact
0,0,4.240431785583496,,,,,
0,1,3.5783157348632812,,,,,
0,2,3.422030448913574,,,,,
0,3,3.1486566066741943,,,,,
0,4,2.9403271675109863,,,,,
0,5,2.804030418395996,,,,,
0,6,2.6898176670074463,,,,,
0,7,2.5551774501800537,,,,,
0,8,2.474311113357544,,,,,
0,9,2.330747604370117,,,,,
0,10,2.228452205657959,,,,,
0,11,2.159085988998413,,,,,
0,12,2.1196722984313965,,,,,
0,13,2.0217506885528564,,,,,
0,14,2.0553932189941406,,,,,
0,15,1.8967266082763672,,,,,
0,16,1.8194715976715088,,,,,
0,17,1.7486975193023682,,,,,
0,18,1.7384811639785767,,,,,
0,19,1.651281476020813,,,,,
0,20,1.5650228261947632,,,,,
0,21,1.4843952655792236,,,,,
0,22,1.4406009912490845,,,,,
0,23,1.3619632720947266,,,,,
0,24,1.2712202072143555,,,,,
0,25,1.217142105102539,,,,,
0,26,1.2519381046295166,,,,,
0,27,1.1801201105117798,,,,,
0,28,1.1038013696670532,,,,,
0,29,1.0719363689422607,,,,,
0,30,0.9893231987953186,,,,,
0,31,1.0172767639160156,,,,,
0,32,0.967869758605957,,,,,
0,33,0.9283761382102966,,,,,
0,34,0.9304212331771851,,,,,
0,35,0.8436182141304016,,,,,
0,36,0.814308762550354,,,,,
0,37,0.8311063647270203,,,,,
0,38,0.779851496219635,,,,,
0,39,0.7221875190734863,,,,,
,0,,0.40744978189468384,,,,
,1,,0.4170159101486206,,,,
,2,,0.4176815152168274,,,,
,3,,0.4171145260334015,,,,
,4,,0.40246453881263733,,,,
0,39,,,0.4123452603816986,,,
0,39,,,,1.7848834991455078,0.4000000059604645,0.0062500000931322575
1,40,0.7464516162872314,,,,,
1,41,0.6862635016441345,,,,,
1,42,0.69304358959198,,,,,
1,43,0.6291138529777527,,,,,
1,44,0.6137544512748718,,,,,
1,45,0.6221598982810974,,,,,
1,46,0.557838499546051,,,,,
1,47,0.5357773303985596,,,,,
1,48,0.5500199794769287,,,,,
1,49,0.4862177073955536,,,,,
1,50,0.5667169690132141,,,,,
1,51,0.5002054572105408,,,,,
1,52,0.5294414758682251,,,,,
1,53,0.4939773678779602,,,,,
1,54,0.4840902090072632,,,,,
1,55,0.4886460602283478,,,,,
1,56,0.42011940479278564,,,,,
1,57,0.44625434279441833,,,,,
1,58,0.414862722158432,,,,,
1,59,0.4669198989868164,,,,,
1,60,0.39898061752319336,,,,,
1,61,0.4363332986831665,,,,,
1,62,0.37226754426956177,,,,,
1,63,0.3899221420288086,,,,,
1,64,0.3837694823741913,,,,,
1,65,0.3944857716560364,,,,,
1,66,0.3581688404083252,,,,,
