csv-epoch,csv-train_loss_step,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/none,csv-accuracy/micro,csv-train_loss_epoch
0,3.5120391845703125,0,,,,,
0,3.097006320953369,1,,,,,
0,2.831357002258301,2,,,,,
0,2.7288131713867188,3,,,,,
0,2.5244078636169434,4,,,,,
0,2.4811556339263916,5,,,,,
0,2.404792070388794,6,,,,,
,,0,2.345121145248413,,,,
0,,6,,2.345121145248413,,,
0,,6,,,0.0,0.0,2.8272576332092285
1,2.2470881938934326,7,,,,,
1,1.993962287902832,8,,,,,
1,1.935408115386963,9,,,,,
1,1.8712308406829834,10,,,,,
1,1.7026751041412354,11,,,,,
1,1.7928682565689087,12,,,,,
1,1.7123794555664062,13,,,,,
,,1,1.3145267963409424,,,,
1,,13,,1.3145267963409424,,,
1,,13,,,0.0,0.0,1.9076036214828491
2,1.6439729928970337,14,,,,,
2,1.5565452575683594,15,,,,,
2,1.4643349647521973,16,,,,,
2,1.5262489318847656,17,,,,,
2,1.4229599237442017,18,,,,,
2,1.367733120918274,19,,,,,
2,1.3022069931030273,20,,,,,
,,2,1.036975383758545,,,,
2,,20,,1.0369755029678345,,,
2,,20,,,0.0,0.01785714365541935,1.4819843769073486
3,1.2954636812210083,21,,,,,
3,1.260510802268982,22,,,,,
3,1.2310874462127686,23,,,,,
3,1.1759881973266602,24,,,,,
3,1.1726558208465576,25,,,,,
3,1.1523938179016113,26,,,,,
3,1.1021664142608643,27,,,,,
,,3,0.859684944152832,,,,
3,,27,,0.8596850037574768,,,
3,,27,,,0.0,0.0714285746216774,1.2060282230377197
4,1.1426376104354858,28,,,,,
4,1.0798306465148926,29,,,,,
4,1.0320038795471191,30,,,,,
4,1.0553642511367798,31,,,,,
4,1.0276265144348145,32,,,,,
4,0.9870778918266296,33,,,,,
4,1.0032724142074585,34,,,,,
,,4,0.7276386618614197,,,,
4,,34,,0.7276387214660645,,,
4,,34,,,0.01785714365541935,0.0892857164144516,1.0501811504364014
5,1.00380539894104,35,,,,,
5,0.9684038758277893,36,,,,,
5,0.993137538433075,37,,,,,
5,0.9041906595230103,38,,,,,
5,0.9227703809738159,39,,,,,
5,0.9151529669761658,40,,,,,
5,0.8578499555587769,41,,,,,
,,5,0.6620432734489441,,,,
5,,41,,0.6620432734489441,,,
5,,41,,,0.0357142873108387,0.1785714328289032,0.9440593719482422
6,0.8869181871414185,42,,,,,
6,0.8876111507415771,43,,,,,
6,0.8981667757034302,44,,,,,
6,0.807746410369873,45,,,,,
6,0.8324308395385742,46,,,,,
6,0.8171401619911194,47,,,,,
6,0.8142919540405273,48,,,,,
,,6,0.5989569425582886,,,,
6,,48,,0.5989569425582886,,,
6,,48,,,0.0357142873108387,0.1785714477300644,0.8518706560134888
7,0.8204839825630188,49,,,,,
7,0.7739442586898804,50,,,,,
7,0.7961388826370239,51,,,,,
7,0.7401285767555237,52,,,,,
7,0.7396396994590759,53,,,,,
7,0.7457361221313477,54,,,,,
7,0.7160444259643555,55,,,,,
,,7,0.5251926183700562,,,,
7,,55,,0.5251925587654114,,,
7,,55,,,0.0357142873108387,0.1607142984867096,0.7652451992034912
8,0.7552520036697388,56,,,,,
8,0.6879292726516724,57,,,,,
8,0.6609900593757629,58,,,,,
8,0.7031468152999878,59,,,,,
8,0.6865597367286682,60,,,,,
8,0.6238192319869995,61,,,,,
8,0.6431353092193604,62,,,,,
,,8,0.47004246711730957,,,,
8,,62,,0.47004246711730957,,,
8,,62,,,0.0357142873108387,0.196428582072258,0.6829637885093689
9,0.6091639399528503,63,,,,,
9,0.5927805304527283,64,,,,,
9,0.6573962569236755,65,,,,,
9,0.62444007396698,66,,,,,
9,0.5976102948188782,67,,,,,
9,0.5732952356338501,68,,,,,
9,0.5808517932891846,69,,,,,
,,9,0.3623465895652771,,,,
9,,69,,0.3623465895652771,,,
9,,69,,,0.0535714328289032,0.2857142984867096,0.6069403290748596
10,0.5994084477424622,70,,,,,
10,0.5685019493103027,71,,,,,
10,0.5111246705055237,72,,,,,
10,0.5473103523254395,73,,,,,
10,0.5291637778282166,74,,,,,
10,0.5457596778869629,75,,,,,
10,0.5080593824386597,76,,,,,
,,10,0.31223252415657043,,,,
10,,76,,0.3122325539588928,,,
10,,76,,,0.0892857164144516,0.5535714030265808,0.5469689965248108
11,0.5150133371353149,77,,,,,
11,0.5155698657035828,78,,,,,
11,0.48685771226882935,79,,,,,
11,0.454461932182312,80,,,,,
11,0.4790564179420471,81,,,,,
11,0.49989786744117737,82,,,,,
11,0.41506093740463257,83,,,,,
,,11,0.26400092244148254,,,,
11,,83,,0.26400092244148254,,,
11,,83,,,0.125,0.5357142686843872,0.48590579628944397
12,0.4677434265613556,84,,,,,
12,0.47023528814315796,85,,,,,
12,0.4174734652042389,86,,,,,
12,0.40155547857284546,87,,,,,
12,0.38870638608932495,88,,,,,
12,0.3896283209323883,89,,,,,
12,0.40627145767211914,90,,,,,
,,12,0.22199121117591858,,,,
12,,90,,0.22199121117591858,,,
12,,90,,,0.1607142984867096,0.7142857313156128,0.42130428552627563
13,0.39580264687538147,91,,,,,
13,0.3725353479385376,92,,,,,
13,0.3906697928905487,93,,,,,
13,0.4227471947669983,94,,,,,
13,0.36950552463531494,95,,,,,
13,0.3949359655380249,96,,,,,
13,0.3274395167827606,97,,,,,
,,13,0.1898527890443802,,,,
13,,97,,0.1898527890443802,,,
13,,97,,,0.2142857164144516,0.714285671710968,0.38614097237586975
14,0.3560546040534973,98,,,,,
14,0.3586847484111786,99,,,,,
14,0.3738889694213867,100,,,,,
14,0.3550131320953369,101,,,,,
14,0.3144564628601074,102,,,,,
14,0.3472330570220947,103,,,,,
14,0.2898485064506531,104,,,,,
,,14,0.1638346165418625,,,,
14,,104,,0.1638346165418625,,,
14,,104,,,0.25,0.8035714626312256,0.3461931347846985
15,0.2976304292678833,105,,,,,
15,0.3181481659412384,106,,,,,
15,0.3400042653083801,107,,,,,
15,0.2979276478290558,108,,,,,
15,0.2962462306022644,109,,,,,
15,0.30549538135528564,110,,,,,
15,0.3068734407424927,111,,,,,
,,15,0.14109128713607788,,,,
15,,111,,0.14109130203723907,,,
15,,111,,,0.3392857313156128,0.8392857313156128,0.3090597987174988
16,0.30065762996673584,112,,,,,
16,0.2715262472629547,113,,,,,
16,0.2864840030670166,114,,,,,
16,0.2965415120124817,115,,,,,
16,0.24591827392578125,116,,,,,
16,0.25078344345092773,117,,,,,
16,0.2942058742046356,118,,,,,
,,16,0.12035425007343292,,,,
16,,118,,0.12035425007343292,,,
16,,118,,,0.3571428656578064,0.8392857313156128,0.2767714262008667
17,0.2709362208843231,119,,,,,
17,0.26875102519989014,120,,,,,
17,0.3089825212955475,121,,,,,
17,0.25790512561798096,122,,,,,
17,0.22250504791736603,123,,,,,
17,0.23401400446891785,124,,,,,
17,0.21714827418327332,125,,,,,
,,17,0.10787820816040039,,,,
17,,125,,0.10787820816040039,,,
17,,125,,,0.3392857313156128,0.8035714626312256,0.2571796774864197
18,0.24311143159866333,126,,,,,
18,0.20532110333442688,127,,,,,
18,0.23477652668952942,128,,,,,
18,0.21209417283535004,129,,,,,
18,0.21637575328350067,130,,,,,
18,0.24178802967071533,131,,,,,
18,0.19356948137283325,132,,,,,
,,18,0.09882476180791855,,,,
18,,132,,0.09882475435733795,,,
18,,132,,,0.4285714328289032,0.8214285969734192,0.22311566770076752
19,0.22962744534015656,133,,,,,
19,0.20223166048526764,134,,,,,
19,0.20171533524990082,135,,,,,
19,0.18950745463371277,136,,,,,
19,0.2177787572145462,137,,,,,
19,0.23830938339233398,138,,,,,
19,0.24213901162147522,139,,,,,
,,19,0.09358947724103928,,,,
19,,139,,0.09358949214220047,,,
19,,139,,,0.3928571343421936,0.8035714626312256,0.21542146801948547
20,0.25187063217163086,140,,,,,
20,0.19836702942848206,141,,,,,
20,0.1948317438364029,142,,,,,
20,0.16215449571609497,143,,,,,
20,0.16791576147079468,144,,,,,
20,0.1885637789964676,145,,,,,
20,0.17613975703716278,146,,,,,
,,20,0.09529876708984375,,,,
20,,146,,0.09529877454042435,,,
20,,146,,,0.3392857313156128,0.8571429252624512,0.19258049130439758
21,0.17005705833435059,147,,,,,
21,0.2387218326330185,148,,,,,
21,0.18866083025932312,149,,,,,
21,0.21989014744758606,150,,,,,
21,0.17640534043312073,151,,,,,
21,0.16729268431663513,152,,,,,
21,0.18354028463363647,153,,,,,
,,21,0.0958952084183693,,,,
21,,153,,0.0958952084183693,,,
21,,153,,,0.3571428656578064,0.8571429252624512,0.1927381455898285
22,0.20503468811511993,154,,,,,
22,0.16756226122379303,155,,,,,
22,0.14646807312965393,156,,,,,
22,0.21159401535987854,157,,,,,
