step,csv-train_loss_step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/micro,csv-accuracy/none,csv-train_loss_epoch
0,3.800232172012329,0,,,,,
1,3.6103200912475586,0,,,,,
2,3.245187282562256,0,,,,,
0,,,3.0573008060455322,,,,
2,,0,,3.0573008060455322,,,
2,,0,,,0.0,0.0,3.6132583618164062
3,3.1116843223571777,1,,,,,
4,2.9260313510894775,1,,,,,
5,2.7903544902801514,1,,,,,
1,,,2.804323673248291,,,,
5,,1,,2.80432391166687,,,
5,,1,,,0.0,0.0,2.9731571674346924
6,2.7932026386260986,2,,,,,
7,2.5753092765808105,2,,,,,
8,2.6647610664367676,2,,,,,
2,,,1.9539341926574707,,,,
8,,2,,1.9539340734481812,,,
8,,2,,,0.0,0.0,2.6803572177886963
9,2.3505139350891113,3,,,,,
10,2.2436752319335938,3,,,,,
11,2.236173391342163,3,,,,,
3,,,1.593470573425293,,,,
11,,3,,1.593470573425293,,,
11,,3,,,0.0,0.0,2.284910202026367
12,2.009927749633789,4,,,,,
13,1.9761284589767456,4,,,,,
14,1.9158189296722412,4,,,,,
4,,,1.4542725086212158,,,,
14,,4,,1.4542726278305054,,,
14,,4,,,0.0,0.0,1.9775863885879517
15,1.8370418548583984,5,,,,,
16,1.7848161458969116,5,,,,,
17,1.76808500289917,5,,,,,
5,,,1.2698743343353271,,,,
17,,5,,1.2698742151260376,,,
17,,5,,,0.0,0.0,1.8023601770401
18,1.7406548261642456,6,,,,,
19,1.5643718242645264,6,,,,,
20,1.525134801864624,6,,,,,
6,,,1.1633363962173462,,,,
20,,6,,1.1633363962173462,,,
20,,6,,,0.0,0.0,1.6270376443862915
21,1.5239415168762207,7,,,,,
22,1.4689524173736572,7,,,,,
23,1.455214262008667,7,,,,,
7,,,1.0534883737564087,,,,
23,,7,,1.0534883737564087,,,
23,,7,,,0.0,0.0,1.4882004261016846
24,1.4406763315200806,8,,,,,
25,1.3997389078140259,8,,,,,
26,1.3298335075378418,8,,,,,
8,,,0.9709004163742065,,,,
26,,8,,0.9709004759788513,,,
26,,8,,,0.0,0.0,1.4021327495574951
27,1.3136276006698608,9,,,,,
28,1.3105324506759644,9,,,,,
29,1.2477478981018066,9,,,,,
9,,,0.9117939472198486,,,,
29,,9,,0.9117938876152039,,,
29,,9,,,0.0,0.0,1.2992136478424072
30,1.2377960681915283,10,,,,,
31,1.2510733604431152,10,,,,,
32,1.1657731533050537,10,,,,,
10,,,0.8767521977424622,,,,
32,,10,,0.8767521381378174,,,
32,,10,,,0.0,0.0,1.228702425956726
33,1.2214813232421875,11,,,,,
34,1.1746535301208496,11,,,,,
35,1.124016523361206,11,,,,,
11,,,0.8438595533370972,,,,
35,,11,,0.8438594937324524,,,
35,,11,,,0.0,0.0,1.1832573413848877
36,1.145909070968628,12,,,,,
37,1.1082298755645752,12,,,,,
38,1.0057659149169922,12,,,,,
12,,,0.8240015506744385,,,,
38,,12,,0.8240015506744385,,,
38,,12,,,0.0,0.0,1.1028088331222534
39,1.014880657196045,13,,,,,
40,1.0548596382141113,13,,,,,
41,1.0475839376449585,13,,,,,
13,,,0.805673360824585,,,,
41,,13,,0.8056734204292297,,,
41,,13,,,0.0,0.0,1.0374128818511963
42,1.0629920959472656,14,,,,,
43,0.9687631726264954,14,,,,,
44,0.9752902388572693,14,,,,,
14,,,0.7906703948974609,,,,
44,,14,,0.7906703352928162,,,
44,,14,,,0.0,0.0,1.0077601671218872
45,0.982313871383667,15,,,,,
46,0.9860081672668457,15,,,,,
47,0.8304231762886047,15,,,,,
