csv-train_loss_step,step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-accuracy/exact,csv-train_loss_epoch
3.6795148849487305,0,0,,,,,
3.576680898666382,1,0,,,,,
3.0037126541137695,2,0,,,,,
2.8634591102600098,3,0,,,,,
2.7236456871032715,4,0,,,,,
,0,,1.9323784112930298,,,,
,4,0,,1.9323785305023193,,,
,4,0,,,0.0,0.0,3.169402599334717
2.6053690910339355,5,1,,,,,
2.525010108947754,6,1,,,,,
2.2541465759277344,7,1,,,,,
2.286668062210083,8,1,,,,,
2.1016201972961426,9,1,,,,,
,1,,1.6593914031982422,,,,
,9,1,,1.6593914031982422,,,
,9,1,,,0.0,0.0,2.354562759399414
2.1174373626708984,10,2,,,,,
2.03963303565979,11,2,,,,,
2.001113176345825,12,2,,,,,
1.8656800985336304,13,2,,,,,
1.8943055868148804,14,2,,,,,
,2,,1.418468952178955,,,,
,14,2,,1.418468952178955,,,
,14,2,,,0.0,0.0,1.9836337566375732
1.8115508556365967,15,3,,,,,
1.6690152883529663,16,3,,,,,
1.6569229364395142,17,3,,,,,
1.5984290838241577,18,3,,,,,
1.6256009340286255,19,3,,,,,
,3,,1.196181297302246,,,,
,19,3,,1.196181297302246,,,
,19,3,,,0.0,0.0,1.6723037958145142
1.5323516130447388,20,4,,,,,
1.5323271751403809,21,4,,,,,
1.521087646484375,22,4,,,,,
1.3820828199386597,23,4,,,,,
1.4211516380310059,24,4,,,,,
,4,,1.060595154762268,,,,
,24,4,,1.0605952739715576,,,
,24,4,,,0.0,0.0,1.4778001308441162
1.4034862518310547,25,5,,,,,
1.2919025421142578,26,5,,,,,
1.3722528219223022,27,5,,,,,
1.355324387550354,28,5,,,,,
1.2884724140167236,29,5,,,,,
,5,,0.9421511292457581,,,,
,29,5,,0.9421510696411133,,,
,29,5,,,0.0,0.0,1.3422877788543701
1.332779884338379,30,6,,,,,
1.2841529846191406,31,6,,,,,
1.2321423292160034,32,6,,,,,
1.240709900856018,33,6,,,,,
1.225499153137207,34,6,,,,,
,6,,0.8544237613677979,,,,
,34,6,,0.8544237017631531,,,
,34,6,,,0.0,0.0,1.2630568742752075
1.2109285593032837,35,7,,,,,
1.1730421781539917,36,7,,,,,
1.1604121923446655,37,7,,,,,
1.1190272569656372,38,7,,,,,
1.214655876159668,39,7,,,,,
,7,,0.7894269824028015,,,,
,39,7,,0.7894269824028015,,,
,39,7,,,0.05000000074505806,0.0,1.1756131649017334
1.1889511346817017,40,8,,,,,
1.0968742370605469,41,8,,,,,
1.0931849479675293,42,8,,,,,
1.0555412769317627,43,8,,,,,
1.026265263557434,44,8,,,,,
,8,,0.7236442565917969,,,,
,44,8,,0.7236443161964417,,,
,44,8,,,0.02500000037252903,0.0,1.092163324356079
1.0776176452636719,45,9,,,,,
1.0390233993530273,46,9,,,,,
0.9476373791694641,47,9,,,,,
0.9735387563705444,48,9,,,,,
0.9821223616600037,49,9,,,,,
,9,,0.6861831545829773,,,,
,49,9,,0.6861830949783325,,,
,49,9,,,0.02500000037252903,0.0,1.0039879083633423
0.9785028696060181,50,10,,,,,
0.9357314109802246,51,10,,,,,
0.980883777141571,52,10,,,,,
0.9612399935722351,53,10,,,,,
0.8600053787231445,54,10,,,,,
,10,,0.6321620941162109,,,,
,54,10,,0.6321619749069214,,,
,54,10,,,0.0,0.0,0.9432727098464966
0.8965827226638794,55,11,,,,,
0.9410523176193237,56,11,,,,,
0.8566316366195679,57,11,,,,,
0.8467317819595337,58,11,,,,,
0.8567658066749573,59,11,,,,,
,11,,0.554458498954773,,,,
,59,11,,0.5544584393501282,,,
,59,11,,,0.02500000037252903,0.0,0.8795528411865234
0.9118079543113708,60,12,,,,,
0.8147163987159729,61,12,,,,,
0.7992343306541443,62,12,,,,,
