step,csv-epoch,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-accuracy/exact,csv-train_loss_epoch
0,0,3.8807425498962402,,,,,
1,0,3.292583703994751,,,,,
2,0,3.1691794395446777,,,,,
0,,,2.1827809810638428,,,,
2,0,,,2.1827807426452637,,,
2,0,,,,0.0,0.0,3.5031661987304688
3,1,2.886305332183838,,,,,
4,1,2.663693428039551,,,,,
5,1,2.3546650409698486,,,,,
1,,,1.9011651277542114,,,,
5,1,,,1.9011653661727905,,,
5,1,,,,0.0,0.0,2.690932512283325
6,2,2.4688971042633057,,,,,
7,2,2.3859574794769287,,,,,
8,2,2.1001217365264893,,,,,
2,,,1.7475053071975708,,,,
8,2,,,1.7475051879882812,,,
8,2,,,,0.0,0.0,2.361966371536255
9,3,2.2005858421325684,,,,,
10,3,2.1045143604278564,,,,,
11,3,1.9984078407287598,,,,,
3,,,1.6197365522384644,,,,
11,3,,,1.6197365522384644,,,
11,3,,,,0.0,0.0,2.1217217445373535
12,4,1.9846580028533936,,,,,
13,4,2.0101499557495117,,,,,
14,4,1.8522002696990967,,,,,
4,,,1.4802350997924805,,,,
14,4,,,1.4802350997924805,,,
14,4,,,,0.0,0.0,1.9683631658554077
15,5,1.7749603986740112,,,,,
16,5,1.8338913917541504,,,,,
17,5,1.6377155780792236,,,,,
5,,,1.3377999067306519,,,,
17,5,,,1.3377996683120728,,,
17,5,,,,0.0,0.0,1.7710838317871094
18,6,1.7333097457885742,,,,,
19,6,1.5634404420852661,,,,,
20,6,1.5774970054626465,,,,,
6,,,1.2236677408218384,,,,
20,6,,,1.2236677408218384,,,
20,6,,,,0.0,0.0,1.6341993808746338
21,7,1.5418179035186768,,,,,
22,7,1.4893710613250732,,,,,
23,7,1.4491533041000366,,,,,
7,,,1.1386139392852783,,,,
23,7,,,1.1386138200759888,,,
23,7,,,,0.0,0.0,1.5023062229156494
24,8,1.418829321861267,,,,,
25,8,1.4326046705245972,,,,,
26,8,1.3816653490066528,,,,,
8,,,1.067518949508667,,,,
26,8,,,1.0675188302993774,,,
26,8,,,,0.0,0.0,1.416906714439392
27,9,1.4422465562820435,,,,,
28,9,1.3179701566696167,,,,,
29,9,1.3381476402282715,,,,,
9,,,1.0093008279800415,,,,
29,9,,,1.0093008279800415,,,
29,9,,,,0.0,0.0,1.3717161417007446
30,10,1.302404522895813,,,,,
31,10,1.2921892404556274,,,,,
32,10,1.311506748199463,,,,,
10,,,0.9499896168708801,,,,
32,10,,,0.9499897956848145,,,
32,10,,,,0.0,0.0,1.3001388311386108
33,11,1.2842246294021606,,,,,
34,11,1.2633674144744873,,,,,
35,11,1.2074207067489624,,,,,
11,,,0.9002947807312012,,,,
35,11,,,0.900294840335846,,,
35,11,,,,0.0,0.0,1.2605208158493042
36,12,1.146537184715271,,,,,
37,12,1.3387023210525513,,,,,
38,12,1.193206787109375,,,,,
12,,,0.8632649779319763,,,,
38,12,,,0.8632649779319763,,,
38,12,,,,0.0,0.0,1.2327371835708618
39,13,1.1445503234863281,,,,,
40,13,1.2608921527862549,,,,,
41,13,1.1404722929000854,,,,,
13,,,0.829866886138916,,,,
41,13,,,0.8298668265342712,,,
41,13,,,,0.0416666679084301,0.0,1.1902713775634766
42,14,1.1693533658981323,,,,,
43,14,1.1547139883041382,,,,,
44,14,1.1381630897521973,,,,,
14,,,0.7780362963676453,,,,
44,14,,,0.7780362963676453,,,
44,14,,,,0.0,0.0,1.1572597026824951
45,15,1.134233832359314,,,,,
46,15,1.1278505325317383,,,,,
47,15,1.0980933904647827,,,,,
15,,,0.7469938397407532,,,,
47,15,,,0.7469938397407532,,,
47,15,,,,0.0,0.0,1.1244524717330933
48,16,1.0936965942382812,,,,,
49,16,1.0780186653137207,,,,,
50,16,1.0392107963562012,,,,,
16,,,0.710648775100708,,,,
50,16,,,0.7106487154960632,,,
50,16,,,,0.0,0.0,1.0765283107757568
51,17,1.0548582077026367,,,,,
52,17,1.0559601783752441,,,,,
53,17,1.0051337480545044,,,,,
17,,,0.6799681782722473,,,,
53,17,,,0.6799681782722473,,,
53,17,,,,0.0,0.0,1.0453541278839111
54,18,1.0070815086364746,,,,,
55,18,0.9884553551673889,,,,,
56,18,1.0401370525360107,,,,,
18,,,0.6474248766899109,,,,
56,18,,,0.6474249362945557,,,
56,18,,,,0.0,0.0,1.006242036819458
57,19,1.0091584920883179,,,,,
58,19,0.9178926348686218,,,,,
59,19,0.9742279648780823,,,,,
19,,,0.6204686164855957,,,,
59,19,,,0.6204686164855957,,,
59,19,,,,0.0,0.0,0.9656659960746765
60,20,0.8948758840560913,,,,,
61,20,0.9377384185791016,,,,,
62,20,0.9130844473838806,,,,,
20,,,0.5874217748641968,,,,
62,20,,,0.587421715259552,,,
62,20,,,,0.0416666679084301,0.0,0.9156626462936401
63,21,0.90587317943573,,,,,
64,21,0.8633242249488831,,,,,
65,21,0.907206118106842,,,,,
21,,,0.5557188987731934,,,,
65,21,,,0.5557188987731934,,,
65,21,,,,0.0416666679084301,0.0,0.8891202211380005
66,22,0.8885475397109985,,,,,
67,22,0.8399224877357483,,,,,
68,22,0.8891534209251404,,,,,
22,,,0.5267800688743591,,,,
68,22,,,0.5267800688743591,,,
68,22,,,,0.0416666679084301,0.0,0.869218647480011
69,23,0.8267568945884705,,,,,
70,23,0.7967252135276794,,,,,
71,23,0.7676776051521301,,,,,
23,,,0.5020678043365479,,,,
71,23,,,0.5020677447319031,,,
71,23,,,,0.0416666679084301,0.0,0.8029284477233887
72,24,0.7816211581230164,,,,,
73,24,0.7602401971817017,,,,,
74,24,0.7615413665771484,,,,,
24,,,0.45987802743911743,,,,
74,24,,,0.45987799763679504,,,
74,24,,,,0.0,0.0,0.7690528631210327
75,25,0.7115179300308228,,,,,
76,25,0.7473021745681763,,,,,
77,25,0.800143837928772,,,,,
25,,,0.41681239008903503,,,,
77,25,,,0.41681233048439026,,,
77,25,,,,0.0416666679084301,0.0,0.743556797504425
78,26,0.7511077523231506,,,,,
79,26,0.6785719394683838,,,,,
80,26,0.6973588466644287,,,,,
26,,,0.3804275095462799,,,,
80,26,,,0.3804275095462799,,,
80,26,,,,0.0416666679084301,0.0416666679084301,0.7113436460494995
81,27,0.7053667306900024,,,,,
82,27,0.6922012567520142,,,,,
83,27,0.6156558990478516,,,,,
27,,,0.35161060094833374,,,,
