csv-train_loss_step,csv-epoch,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/exact,csv-accuracy/validator,csv-train_loss_epoch
2.6749954223632812,0,0,,,,,
2.368873119354248,0,1,,,,,
2.0668141841888428,0,2,,,,,
,,0,1.4315648078918457,,,,
,0,2,,1.4315646886825562,,,
,0,2,,,0.0,0.0,2.430910110473633
1.955552577972412,1,3,,,,,
1.9002861976623535,1,4,,,,,
1.8403337001800537,1,5,,,,,
,,1,1.2601078748703003,,,,
,1,5,,1.2601078748703003,,,
,1,5,,,0.0,0.0,1.9104022979736328
1.7384777069091797,2,6,,,,,
1.6447817087173462,2,7,,,,,
1.6207026243209839,2,8,,,,,
,,2,1.1379759311676025,,,,
,2,8,,1.137975811958313,,,
,2,8,,,0.0,0.0,1.6774444580078125
1.5817862749099731,3,9,,,,,
1.4973937273025513,3,10,,,,,
1.433910846710205,3,11,,,,,
,,3,1.0649868249893188,,,,
,3,11,,1.0649867057800293,,,
,3,11,,,0.0,0.0,1.5184543132781982
1.4207608699798584,4,12,,,,,
1.3933366537094116,4,13,,,,,
1.3051695823669434,4,14,,,,,
,,4,0.9549100399017334,,,,
,4,14,,0.9549100995063782,,,
,4,14,,,0.0,0.0,1.386672854423523
1.237158179283142,5,15,,,,,
1.267591953277588,5,16,,,,,
1.229525089263916,5,17,,,,,
,,5,0.8167985677719116,,,,
,5,17,,0.8167986273765564,,,
,5,17,,,0.0,0.0,1.2478049993515015
1.1815266609191895,6,18,,,,,
1.1113338470458984,6,19,,,,,
1.0319572687149048,6,20,,,,,
,,6,0.7374091744422913,,,,
,6,20,,0.7374091744422913,,,
,6,20,,,0.0,0.0,1.1235357522964478
1.075888752937317,7,21,,,,,
0.9616583585739136,7,22,,,,,
0.9658077955245972,7,23,,,,,
,,7,0.7083593010902405,,,,
,7,23,,0.7083593010902405,,,
,7,23,,,0.0,0.0,1.0081803798675537
0.9566576480865479,8,24,,,,,
0.8934912085533142,8,25,,,,,
0.8124364614486694,8,26,,,,,
,,8,0.626356840133667,,,,
,8,26,,0.6263567805290222,,,
,8,26,,,0.0,0.0,0.9025468826293945
0.8228870630264282,9,27,,,,,
0.8037436008453369,9,28,,,,,
0.7867418527603149,9,29,,,,,
,,9,0.5917491316795349,,,,
,9,29,,0.5917491316795349,,,
,9,29,,,0.0,0.0,0.8080005645751953
0.7574667930603027,10,30,,,,,
0.7264021039009094,10,31,,,,,
0.7043733596801758,10,32,,,,,
,,10,0.5384405255317688,,,,
,10,32,,0.5384405255317688,,,
,10,32,,,0.0,0.0,0.7344223260879517
0.6906472444534302,11,33,,,,,
0.6617132425308228,11,34,,,,,
0.6709420680999756,11,35,,,,,
,,11,0.4482691287994385,,,,
,11,35,,0.4482691287994385,,,
,11,35,,,0.0,0.0,0.6751326322555542
0.6298837065696716,12,36,,,,,
0.6117660403251648,12,37,,,,,
0.6336654424667358,12,38,,,,,
,,12,0.4011109471321106,,,,
,12,38,,0.4011109173297882,,,
,12,38,,,0.0,0.0,0.6233929395675659
0.578267514705658,13,39,,,,,
0.5607665181159973,13,40,,,,,
0.5565943121910095,13,41,,,,,
,,13,0.3662964403629303,,,,
,13,41,,0.3662964105606079,,,
,13,41,,,0.0,0.0,0.5669324994087219
0.5198992490768433,14,42,,,,,
0.48543626070022583,14,43,,,,,
0.4927104115486145,14,44,,,,,
,,14,0.3181065022945404,,,,
,14,44,,0.3181065022945404,,,
,14,44,,,0.0,0.0,0.5006762742996216
0.4720144271850586,15,45,,,,,
0.48945409059524536,15,46,,,,,
0.41764864325523376,15,47,,,,,
,,15,0.27921539545059204,,,,
,15,47,,0.27921542525291443,,,
,15,47,,,0.0,0.0,0.4681171476840973
0.44105517864227295,16,48,,,,,
0.42840713262557983,16,49,,,,,
0.4244857728481293,16,50,,,,,
,,16,0.23991510272026062,,,,
,16,50,,0.23991508781909943,,,
,16,50,,,0.0,0.0,0.4326820969581604
0.407764196395874,17,51,,,,,
0.3869583010673523,17,52,,,,,
0.39675506949424744,17,53,,,,,
,,17,0.20720435678958893,,,,
,17,53,,0.20720435678958893,,,
,17,53,,,0.0,0.0,0.3972400426864624
0.34065666794776917,18,54,,,,,
0.3748713433742523,18,55,,,,,
0.3547269105911255,18,56,,,,,
,,18,0.1855745017528534,,,,
,18,56,,0.1855745166540146,,,
,18,56,,,0.0,0.0,0.35715657472610474
0.3328092694282532,19,57,,,,,
0.31051790714263916,19,58,,,,,
0.32608672976493835,19,59,,,,,
,,19,0.16060128808021545,,,,
,19,59,,0.16060130298137665,,,
,19,59,,,0.0833333358168602,0.0,0.3225482106208801
0.2835480570793152,20,60,,,,,
0.2948989272117615,20,61,,,,,
0.3100518584251404,20,62,,,,,
,,20,0.1378161758184433,,,,
,20,62,,0.1378161609172821,,,
,20,62,,,0.0416666679084301,0.0,0.2933891713619232
0.2877463102340698,21,63,,,,,
0.243573397397995,21,64,,,,,
0.2672252058982849,21,65,,,,,
,,21,0.12044596672058105,,,,
,21,65,,0.12044596672058105,,,
,21,65,,,0.1666666716337204,0.0,0.26597291231155396
0.22067083418369293,22,66,,,,,
0.2604493796825409,22,67,,,,,
0.25550079345703125,22,68,,,,,
,,22,0.10116640478372574,,,,
,22,68,,0.10116640478372574,,,
,22,68,,,0.2083333432674408,0.0,0.2435482293367386
0.23400956392288208,23,69,,,,,
0.22044210135936737,23,70,,,,,
0.19810740649700165,23,71,,,,,
,,23,0.09399190545082092,,,,
,23,71,,0.09399190545082092,,,
,23,71,,,0.2916666567325592,0.0,0.2214021235704422
0.20344281196594238,24,72,,,,,
0.17316794395446777,24,73,,,,,
0.21892276406288147,24,74,,,,,
,,24,0.07905491441488266,,,,
,24,74,,0.07905491441488266,,,
,24,74,,,0.3749999701976776,0.0,0.19442886114120483
0.1856638640165329,25,75,,,,,
0.1513570100069046,25,76,,,,,
0.25374945998191833,25,77,,,,,
,,25,0.07494105398654938,,,,
,25,77,,0.07494104653596878,,,
,25,77,,,0.3749999701976776,0.0,0.1855582445859909
0.22215895354747772,26,78,,,,,
0.12533627450466156,26,79,,,,,
0.14482900500297546,26,80,,,,,
,,26,0.06715738773345947,,,,
,26,80,,0.06715738773345947,,,
,26,80,,,0.3749999701976776,0.0,0.1679638922214508
0.14762315154075623,27,81,,,,,
0.1445283740758896,27,82,,,,,
0.16618898510932922,27,83,,,,,
,,27,0.06205928325653076,,,,
,27,83,,0.06205928325653076,,,
,27,83,,,0.3749999701976776,0.0,0.15009841322898865
0.15449729561805725,28,84,,,,,
0.1140037477016449,28,85,,,,,
0.1843784749507904,28,86,,,,,
,,28,0.060662154108285904,,,,
,28,86,,0.060662154108285904,,,
,28,86,,,0.4166666567325592,0.0,0.14427611231803894
0.13074085116386414,29,87,,,,,
0.12499161064624786,29,88,,,,,
0.12525682151317596,29,89,,,,,
,,29,0.05588829144835472,,,,
,29,89,,0.05588829517364502,,,
,29,89,,,0.3749999701976776,0.0,0.12734435498714447
0.14107964932918549,30,90,,,,,
0.09480142593383789,30,91,,,,,
0.16207963228225708,30,92,,,,,
,,30,0.05231683328747749,,,,
,30,92,,0.05231683328747749,,,
,30,92,,,0.4583333134651184,0.0,0.1267683506011963
0.13519743084907532,31,93,,,,,
0.09110594540834427,31,94,,,,,
0.13793104887008667,31,95,,,,,
,,31,0.04727599769830704,,,,
,31,95,,0.047276001423597336,,,
,31,95,,,0.5416666269302368,0.0,0.11810755729675293
0.09718865156173706,32,96,,,,,
0.11782233417034149,32,97,,,,,
0.1263899952173233,32,98,,,,,
,,32,0.04435104504227638,,,,
,32,98,,0.04435104504227638,,,
,32,98,,,0.5833333134651184,0.0,0.11128239333629608
0.0999733954668045,33,99,,,,,
0.10746988654136658,33,100,,,,,
0.13386526703834534,33,101,,,,,
,,33,0.04323219880461693,,,,
,33,101,,0.04323220252990723,,,
,33,101,,,0.5833333134651184,0.0,0.10975036770105362
0.10997399687767029,34,102,,,,,
0.10470213741064072,34,103,,,,,
0.09635960310697556,34,104,,,,,
,,34,0.04299759864807129,,,,
,34,104,,0.04299759864807129,,,
,34,104,,,0.5416666865348816,0.0,0.10514237731695175
0.0953102856874466,35,105,,,,,
0.09612254798412323,35,106,,,,,
0.08197582513093948,35,107,,,,,
,,35,0.041022177785634995,,,,
,35,107,,0.041022177785634995,,,
,35,107,,,0.6666666269302368,0.0,0.09296829998493195
0.06935305148363113,36,108,,,,,
0.09087511897087097,36,109,,,,,
0.11172212660312653,36,110,,,,,
,,36,0.03888528421521187,,,,
,36,110,,0.03888528421521187,,,
,36,110,,,0.6666666269302368,0.0,0.08643569052219391
0.08591402322053909,37,111,,,,,
0.09074998646974564,37,112,,,,,
0.05552737042307854,37,113,,,,,
,,37,0.03733837604522705,,,,
,37,113,,0.03733837231993675,,,
,37,113,,,0.7499999403953552,0.0,0.08177108317613602
0.09360452741384506,38,114,,,,,
0.08854810148477554,38,115,,,,,
0.04690120369195938,38,116,,,,,
,,38,0.03398771956562996,,,,
,38,116,,0.03398771956562996,,,
,38,116,,,0.6666666865348816,0.0,0.08224128931760788
0.07078573107719421,39,117,,,,,
0.08851715922355652,39,118,,,,,
0.08537428081035614,39,119,,,,,
,,39,0.03348051384091377,,,,
,39,119,,0.03348051384091377,,,
,39,119,,,0.7499999403953552,0.0,0.080796018242836
0.0898379236459732,40,120,,,,,
0.09311025589704514,40,121,,,,,
