csv-epoch,csv-train_loss_step,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-train_loss_epoch,csv-accuracy/exact
0,2.7563834190368652,0,,,,,
0,2.3739094734191895,1,,,,,
0,2.141415596008301,2,,,,,
0,2.041956663131714,3,,,,,
0,1.928029179573059,4,,,,,
,,0,1.3549590110778809,,,,
0,,4,,1.3549587726593018,,,
0,,4,,,0.0,2.2483386993408203,0.0
1,1.8146554231643677,5,,,,,
1,1.7148690223693848,6,,,,,
1,1.6637208461761475,7,,,,,
1,1.5854653120040894,8,,,,,
1,1.5222597122192383,9,,,,,
,,1,1.174055814743042,,,,
1,,9,,1.1740559339523315,,,
1,,9,,,0.0,1.6601941585540771,0.0
2,1.4549598693847656,10,,,,,
2,1.4771485328674316,11,,,,,
2,1.4112377166748047,12,,,,,
2,1.349422574043274,13,,,,,
2,1.289288878440857,14,,,,,
,,2,1.0039421319961548,,,,
2,,14,,1.0039422512054443,,,
2,,14,,,0.0,1.3964115381240845,0.0
3,1.2426071166992188,15,,,,,
3,1.2441484928131104,16,,,,,
3,1.1715714931488037,17,,,,,
3,1.1181317567825317,18,,,,,
3,1.095036506652832,19,,,,,
,,3,0.7859135866165161,,,,
3,,19,,0.7859135866165161,,,
3,,19,,,0.0,1.1742990016937256,0.0
4,1.047346591949463,20,,,,,
4,1.0107698440551758,21,,,,,
4,0.9662352800369263,22,,,,,
4,0.916264533996582,23,,,,,
4,0.8780883550643921,24,,,,,
,,4,0.6990357637405396,,,,
4,,24,,0.6990358233451843,,,
4,,24,,,0.0,0.9637410044670105,0.0
5,0.8367302417755127,25,,,,,
5,0.8351673483848572,26,,,,,
5,0.7743291854858398,27,,,,,
5,0.7561330795288086,28,,,,,
5,0.7216640710830688,29,,,,,
,,5,0.6122168302536011,,,,
5,,29,,0.6122168302536011,,,
5,,29,,,0.0,0.7848048210144043,0.0
6,0.6698731780052185,30,,,,,
6,0.7071239948272705,31,,,,,
6,0.6399821639060974,32,,,,,
6,0.6421287655830383,33,,,,,
6,0.631902813911438,34,,,,,
,,6,0.5231283903121948,,,,
6,,34,,0.5231283903121948,,,
6,,34,,,0.0,0.6582022309303284,0.0
7,0.5972282290458679,35,,,,,
7,0.569736897945404,36,,,,,
7,0.5654791593551636,37,,,,,
7,0.5295003652572632,38,,,,,
7,0.5212387442588806,39,,,,,
,,7,0.45451316237449646,,,,
7,,39,,0.45451316237449646,,,
7,,39,,,0.0,0.5566366910934448,0.0
8,0.5149000883102417,40,,,,,
8,0.4922052323818207,41,,,,,
8,0.48380082845687866,42,,,,,
8,0.44694891571998596,43,,,,,
8,0.44293591380119324,44,,,,,
,,8,0.34606918692588806,,,,
8,,44,,0.34606921672821045,,,
8,,44,,,0.0,0.4761582016944885,0.0
9,0.4140726923942566,45,,,,,
9,0.4050990343093872,46,,,,,
9,0.4092026352882385,47,,,,,
9,0.4306398332118988,48,,,,,
9,0.3749186098575592,49,,,,,
,,9,0.32792365550994873,,,,
9,,49,,0.32792365550994873,,,
9,,49,,,0.0,0.40678659081459045,0.0
10,0.3826025128364563,50,,,,,
10,0.3282119631767273,51,,,,,
10,0.3579140603542328,52,,,,,
10,0.34341809153556824,53,,,,,
10,0.2893500328063965,54,,,,,
,,10,0.25562503933906555,,,,
10,,54,,0.25562500953674316,,,
10,,54,,,0.0,0.3402993381023407,0.0
11,0.3485311269760132,55,,,,,
11,0.29811811447143555,56,,,,,
11,0.29060816764831543,57,,,,,
11,0.2957139313220978,58,,,,,
11,0.24133558571338654,59,,,,,
,,11,0.20067983865737915,,,,
11,,59,,0.20067985355854034,,,
11,,59,,,0.0,0.29486140608787537,0.0416666679084301
12,0.2761854827404022,60,,,,,
12,0.21434973180294037,61,,,,,
12,0.2368035912513733,62,,,,,
12,0.26028698682785034,63,,,,,
12,0.17949268221855164,64,,,,,
,,12,0.17293789982795715,,,,
12,,64,,0.17293789982795715,,,
12,,64,,,0.0,0.23342370986938477,0.1875000149011612
13,0.19516529142856598,65,,,,,
13,0.17729032039642334,66,,,,,
13,0.17175401747226715,67,,,,,
13,0.24716562032699585,68,,,,,
13,0.18316492438316345,69,,,,,
,,13,0.14617787301540375,,,,
13,,69,,0.14617790281772614,,,
13,,69,,,0.0,0.1949080377817154,0.3958333134651184
14,0.13229946792125702,70,,,,,
14,0.15659144520759583,71,,,,,
14,0.14897421002388,72,,,,,
14,0.20232687890529633,73,,,,,
14,0.2040877342224121,74,,,,,
,,14,0.12994295358657837,,,,
14,,74,,0.12994295358657837,,,
14,,74,,,0.0,0.1688559502363205,0.5
15,0.14153525233268738,75,,,,,
15,0.13789594173431396,76,,,,,
15,0.14484237134456635,77,,,,,
15,0.13615337014198303,78,,,,,
15,0.15319103002548218,79,,,,,
,,15,0.11282564699649811,,,,
15,,79,,0.11282564699649811,,,
15,,79,,,0.0,0.14272359013557434,0.5208333730697632
16,0.09553726017475128,80,,,,,
16,0.1303875744342804,81,,,,,
16,0.14060457050800323,82,,,,,
16,0.11948761343955994,83,,,,,
16,0.13191179931163788,84,,,,,
,,16,0.09990116208791733,,,,
16,,84,,0.09990116208791733,,,
16,,84,,,0.0,0.1235857605934143,0.6041666865348816
17,0.13968835771083832,85,,,,,
17,0.07867254316806793,86,,,,,
