,source_text,target_text
0,000000000019010316000100000000000000000000001f0000000000000000,000000000019010316000100000000000000000000001f0000000000000000
1,00000000000601030000000b,000000000019010316000100000000000000000000001f0000000000000000
2,00000000000601030000000b,000000000019010316000100000000000000000000001f0000000000000000
3,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001f0000000000000000
4,00000000000601030000000b,000000000019010316000100000000000000000000001f0000000000000000
5,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001f0000000000000000
6,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001f0000000000000000
7,00010000000601060006001e,000000000019010316000100000000000000000000001e0000000000000000
8,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
9,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
10,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
11,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
12,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
13,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
14,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
15,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
16,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
17,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
18,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
19,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
20,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
21,00010000000601060006001e,000000000019010316000100000000000000000000001e0000000000000000
22,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
23,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
24,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
25,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
26,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
27,00010000000601060006001e,000000000019010316000100000000000000000000001e0000000000000000
28,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
29,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
30,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
31,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
32,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
33,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
34,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
35,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
36,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
37,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
38,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
39,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
40,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
41,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
42,000000000019010316000100000000000000000000001f0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
43,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
44,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
45,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
46,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
47,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
48,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
49,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
50,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
51,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
52,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
53,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
54,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
55,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
56,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
57,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
58,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
59,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
60,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
61,00010000000601060006001e,000000000019010316000100000000000000000000001e0000000000000000
62,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
63,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
64,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
65,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
66,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
67,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
68,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
69,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
70,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
71,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
72,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
73,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
74,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
75,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
76,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
77,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
78,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
79,000000000019010316000100000000000000000000001e0000000000000000,000000000019010316000100000000000000000000001e0000000000000000
80,00000000000601030000000b,000000000019010316000100000000000000000000001e0000000000000000
