,source_text,target_text
17944,497600000008000f00500005011f,497600000006000f00500005
21627,588d0000000600050060ff00,588d0000000600050060ff00
7039,1cd7000000190010005500091256fb22c21efa5c9ab91c2fba7a43dcc39972,1cd700000006001000550009
3651,0ee900000006000300070007,0ee90000001100030e90cfaceea8e98ca2953d9ff8f227
31099,7f650000000600050056ff00,7f650000000600050056ff00
12885,34c60000000600030039000a,34c6000000170003145833201305d2846b03cb85977f2472456e0c6bb4
14347,3ac90000001900100009000912c174c6859d226fb5a2b26c279a1518794a15,3ac900000006001000090009
4062,10a100000006000100030008,10a100000004000101ff
25568,68ba00000008000f0051000801ff,68ba00000006000f00510008
15561,3fb5000000060005004eff00,3fb5000000060005004eff00
19859,51530000000d0010001f000306c334f377dc13,5153000000060010001f0003
15032,3d9100000008000f002c00030107,3d9100000006000f002c0003
26373,6c0900000008000f00230007017f,6c0900000006000f00230007
15364,3eed000000150010001f00070e3ac95309d06df45435ba7449604b,3eed000000060010001f0007
22766,5d410000000d00100052000306692482abafca,5d4100000006001000520003
24569,64a8000000190010002b0009123cc69642506dbc11737cb0280dc9866ef43c,64a8000000060010002b0009
10737,2bf800000008000f00430007017f,2bf800000006000f00430007
4455,124000000006000300020002,124000000007000304f7e2a4dd
20087,524100000008000f00100004010f,524100000006000f00100004
25436,682f000000150010002900070ecdfac15551c5141aa03332b056b9,682f00000006001000290007
6478,1a820000001900100010000912ac77e7b2b1cdb75ec6b9d761490c677057f6,1a8200000006001000100009
31109,7f7200000006000300210003,7f72000000090003067fee8b0e325c
1793,075d0000000600050001ff00,075d0000000600050001ff00
27638,712f0000000600050026ff00,712f0000000600050026ff00
18368,4b360000000600030030000a,4b3600000017000314b98e55e7db711c731f79e68e9eed32da7cc3b7f5
12232,321c00000008000f004b0005011f,321c00000006000f004b0005
22502,5c240000000600030042000a,5c2400000017000314c600c6a5c973e8aaccd6fec411410592beb17086
6557,1ad70000001700100059000810c9632a1e48e33c4768b10487555585ec,1ad700000006001000590008
2948,0c090000001b0010003a000a1498aaf56ba239a3ae5b729415b26a11d0cf174e15,0c09000000060010003a000a
8884,2458000000060005003cff00,2458000000060005003cff00
21154,56a9000000060005000fff00,56a9000000060005000fff00
21222,56f000000006000100380006,56f0000000040001013f
25194,6733000000060003004d0007,67330000001100030eb770d18976324069e9d832bc6657
29462,78a6000000060001004d0006,78a6000000040001013f
2244,09300000001b00100036000a148d1bf089458ca5ef33bfa354f6a2c22a0d1d3b55,09300000000600100036000a
4284,118c00000008000f002d00010101,118c00000006000f002d0001
23574,6095000000060003003c0004,60950000000b00030894fb4ff6df38935b
772,032d000000190010000a0009124791fc30a25a775e6f0658f48437f48278bb,032d000000060010000a0009
19002,4dc70000000600050052ff00,4dc70000000600050052ff00
25188,672d0000000600050027ff00,672d0000000600050027ff00
20067,522d00000008000f00590004010f,522d00000006000f00590004
5445,164f00000008000f00090006013f,164f00000006000f00090006
22335,5b78000000150010001300070ef6775a79e44479339e4c67e6c66c,5b7800000006001000130007
4157,11080000000d00100051000306d0fded8adf9e,110800000006001000510003
27898,72440000000b0010004c0002040af0e7f9,7244000000060010004c0002
23771,616700000006000100310005,6167000000040001011f
30807,7e3000000008000f003b0005011f,7e3000000006000f003b0005
15011,3d7c00000006000100400008,3d7c00000004000101ff
20778,551600000006000100360007,5516000000040001017f
25594,68d6000000060005003bff00,68d6000000060005003bff00
3082,0c9300000006000300270009,0c9300000015000312ceda16e857ca0dcaf0e8160d88698d500dad
10118,297200000008000f000e0004010f,297200000006000f000e0004
18284,4adf00000006000300570002,4adf000000070003040c29f1a2
16182,423d000000060005003dff00,423d000000060005003dff00
22452,5bf2000000060003002a0006,5bf20000000f00030cfab31342c270b0d9476b0938
7726,1f9c00000008000f001300020103,1f9c00000006000f00130002
9252,25d80000001b00100029000a14d0f640ee5e1438094a83978d8535c5ec23d1e2fa,25d80000000600100029000a
9921,28a100000008000f005000010101,28a100000006000f00500001
3782,0f75000000060001002f0002,0f750000000400010103
12830,348e0000000600050045ff00,348e0000000600050045ff00
7602,1f1e00000008000f000400020103,1f1e00000006000f00040002
26156,6b1d00000008000f00450005011f,6b1d00000006000f00450005
21600,58710000000b0010006000020447805f45,587100000006001000600002
12207,31ff0000000600050020ff00,31ff0000000600050020ff00
27373,701c000000110010002200050a227a58c14916fba21c8a,701c00000006001000220005
23553,607e0000000600010054000a,607e00000005000102ff03
17080,45e800000008000f000800030107,45e800000006000f00080003
28793,75e60000000d00100050000306aea54441de49,75e600000006001000500003
7784,1fdc0000000600050012ff00,1fdc0000000600050012ff00
27482,708d00000008000f00460006013f,708d00000006000f00460006
3526,0e6700000006000300300004,0e670000000b0003085b275adbc4eba720
10047,29270000001b0010001d000a14708019d422c25bc72d2e23559cb92ecaa42aa004,2927000000060010001d000a
30661,7d9800000006000300330007,7d980000001100030ebb645fe19c06c0617ee11e94c017
13342,36ab0000000900100051000102d77d,36ab00000006001000510001
10709,2bdb0000000600050008ff00,2bdb0000000600050008ff00
2107,089f00000008000f00210007017f,089f00000006000f00210007
20275,530800000008000f004800020103,530800000006000f00480002
1318,0568000000060001002a0006,0568000000040001013f
22420,5bd10000000d0010002300030691e420bb7796,5bd100000006001000230003
27383,7027000000060003005a0004,70270000000b000308fed52ddce7d8e555
21870,598e00000006000300080008,598e000000130003109384cf7561a1b4193d5fa072d646e394
9516,26f0000000130010002c00060cd25acdfa3696c11c9b628dca,26f0000000060010002c0006
15686,403900000008000f003a0006013f,403900000006000f003a0006
28238,73a80000000600050013ff00,73a80000000600050013ff00
22687,5cea00000008000f002a0004010f,5cea00000006000f002a0004
11748,301800000009001000510001025c4b,301800000006001000510001
20845,5560000000150010003b00070eb0ca41b7e6478c52fd9d10dcf095,5560000000060010003b0007
6203,19600000000600050015ff00,19600000000600050015ff00
30718,7dd2000000060003001a0001,7dd2000000050003025592
14575,3bb00000000f00100027000408c80b3e69de8e56b2,3bb000000006001000270004
6856,1c1a0000000600050000ff00,1c1a0000000600050000ff00
14447,3b2e00000006000300320002,3b2e000000070003047ad17817
5928,18440000000b0010002b00020431acd7b0,1844000000060010002b0002
27010,6ea30000000600050050ff00,6ea30000000600050050ff00
6656,1b42000000060005002aff00,1b42000000060005002aff00
14709,3c3b00000006000300310009,3c3b0000001500031297f5a8751438a283b9b91aa44dbd8451b4d1
17863,49200000000600050048ff00,49200000000600050048ff00
28343,741200000008000f001d0005011f,741200000006000f001d0005
22118,5a90000000060005004aff00,5a90000000060005004aff00
23974,623a0000000f00100043000408d4bcd404683e059f,623a00000006001000430004
3645,0ee30000000600050005ff00,0ee30000000600050005ff00
2701,0b0b0000000600050061ff00,0b0b0000000600050061ff00
1940,07f3000000060001002c0004,07f3000000040001010f
27651,713e0000000600050026ff00,713e0000000600050026ff00
15352,3ee10000000b0010004600020405ed72b1,3ee100000006001000460002
1668,06db00000006000300460007,06db0000001100030e5541987a6c36a1c150ae0e0fd7e6
14957,3d43000000060003005d0002,3d4300000007000304d18b12cc
15330,3eca0000000600050028ff00,3eca0000000600050028ff00
14525,3b7e00000008000f005400030107,3b7e00000006000f00540003
13253,364c0000000600050042ff00,364c0000000600050042ff00
15955,4151000000150010001700070ea4299957e6ec2545a2a1ee39e985,415100000006001000170007
23840,61b000000008000f004e000801ff,61b000000006000f004e0008
809,03520000000600050038ff00,03520000000600050038ff00
9503,26e300000006000100460003,26e30000000400010107
25584,68cb00000006000300490008,68cb00000013000310ee5fdf3ce706e7bdc423e5a941765a29
26499,6c8a000000170010004f0008109119789073fc5e19d9c3304c67581cd0,6c8a000000060010004f0008
7428,1e6600000006000100410006,1e66000000040001013f
15887,410600000006000100570006,4106000000040001013f
3215,0d1e0000000600050056ff00,0d1e0000000600050056ff00
242,00fd0000000600050061ff00,00fd0000000600050061ff00
23520,605b0000001b00100014000a14ce6f84ae7be77f79db2fbc7cdbc44fae08aa0f7c,605b0000000600100014000a
27198,6f640000001b00100001000a146a459493047ea0c1ab129b1a6878758f7098b62b,6f640000000600100001000a
19925,51980000000600050052ff00,51980000000600050052ff00
11448,2edb00000008000f00190006013f,2edb00000006000f00190006
26255,6b8400000008000f000300030107,6b8400000006000f00030003
5089,14d90000000600050034ff00,14d90000000600050034ff00
394,019c000000110010005d00050a734194e2d5d578099fc5,019c000000060010005d0005
12226,321400000006000300070008,3214000000130003101ef3217ca7fb056c60023c64a1b5d2bc
11328,2e6000000008000f000b0005011f,2e6000000006000f000b0005
29884,7a660000000600050047ff00,7a660000000600050047ff00
25236,676100000006000100500005,6761000000040001011f
16038,41a80000000600050031ff00,41a80000000600050031ff00
4956,145100000006000300440004,14510000000b000308513bd6a6b03c0729
24305,63940000000600050004ff00,63940000000600050004ff00
18877,4d450000000600050055ff00,4d450000000600050055ff00
16562,43ca0000000b0010005c000204ff8264b2,43ca000000060010005c0002
3605,0eb70000000600050031ff00,0eb70000000600050031ff00
17746,48a700000006000300610001,48a700000005000302fe21
22493,5c1b0000001b0010000c000a1433d9c95a268cb2eddbe8d322d7324ff8764add3a,5c1b000000060010000c000a
30457,7cc2000000060001002e0004,7cc2000000040001010f
2110,08a200000006000100160009,08a200000005000102ff01
28716,759600000006000300380003,759600000009000306474d31b36139
11231,2dfd00000008000f00160004010f,2dfd00000006000f00160004
2358,09a9000000060003004e0003,09a90000000900030631f47b15ef28
11651,2fb4000000060005005aff00,2fb4000000060005005aff00
23698,6118000000060003000e0004,61180000000b0003086c43175b82790f24
3669,0efc00000006000300060005,0efc0000000d00030ab95a90cfaceea8e98ca2
28756,75c00000000600050012ff00,75c00000000600050012ff00
17239,469600000006000300090009,469600000015000312ce6e10359c7b66a8122a4dc4770bd32e3ab0
17630,482d0000001700100058000810d6a58f0962711cc35472ac4daf13bc3a,482d00000006001000580008
20206,52c2000000060001003a0003,52c20000000400010107
30981,7ee90000000600050027ff00,7ee90000000600050027ff00
5238,1574000000150010004100070e5706f738997c4b2fcde6878cc099,157400000006001000410007
20368,536d000000060005003eff00,536d000000060005003eff00
10823,2c5300000008000f000e0005011f,2c5300000006000f000e0005
17089,45f3000000150010004200070eaaaf7ab995603388be30cb41ccb4,45f300000006001000420007
13803,38900000000d00100027000306e25eae37f535,389000000006001000270003
28435,7470000000060001004e0002,74700000000400010103
12248,322c0000000f0010001f00040894d18bce0d67fa00,322c000000060010001f0004
25718,6956000000060003002b0009,6956000000150003121533573a9a2c13e7deaa75adffb3403eaac9
17922,496000000017001000010008105205be326bc67c1c9b04c8d4288dedf6,496000000006001000010008
21281,572b0000000600010016000a,572b00000005000102ff03
23321,5f8f00000006000100530006,5f8f000000040001013f
20469,53d60000000600050013ff00,53d60000000600050013ff00
357,017600000008000f00350004010f,017600000006000f00350004
30610,7d5e0000001b00100041000a146a29f30ef4e036d538242db569ee244b7557200e,7d5e0000000600100041000a
18668,4c6c000000060001001c0007,4c6c000000040001017f
12827,348b000000170010000a0008103b295453977e6586a9f516c74f7515f3,348b000000060010000a0008
12468,331100000006000100250007,3311000000040001017f
28946,7686000000060005001bff00,7686000000060005001bff00
26071,6ac80000000f0010002f000408dc73742361d529f2,6ac8000000060010002f0004
27753,71a9000000060005001eff00,71a9000000060005001eff00
14477,3b4d00000006000300210009,3b4d0000001500031212370c5ad72013429a489cdeed51d11d8393
17814,48ec00000006000300470006,48ec0000000f00030c4b5aadcdaa728c9a946bd2ef
27406,704000000008000f004b0005011f,704000000006000f004b0005
11947,30eb00000006000100400008,30eb00000004000101ff
23043,5e6600000008000f003100030107,5e6600000006000f00310003
11067,2d5300000006000100120006,2d53000000040001013f
14192,3a2800000008000f00350007017f,3a2800000006000f00350007
20625,54790000000600050060ff00,54790000000600050060ff00
30779,7e13000000060005003bff00,7e13000000060005003bff00
22753,5d3400000009000f0025000902ff01,5d3400000006000f00250009
14469,3b45000000060001002a0004,3b45000000040001010f
30255,7bf000000006000100300001,7bf00000000400010101
22225,5b040000000600050021ff00,5b040000000600050021ff00
12962,35180000000600050026ff00,35180000000600050026ff00
193,00cb000000060001004f0008,00cb00000004000101ff
15447,3f41000000060003004b0007,3f410000001100030e380747f7d85648674c41ca045842
14533,3b8600000006000100260003,3b860000000400010107
29274,77e200000006000300300004,77e20000000b000308c9bbd90e98f13b10
3075,0c8c000000150010000500070e2a0df4cfcff5551a3e02a38854ff,0c8c00000006001000050007
17930,49680000000600050061ff00,49680000000600050061ff00
13728,384000000006000100210006,3840000000040001013f
24775,657e00000008000f001f0004010f,657e00000006000f001f0004
25192,673100000006000300400008,673100000013000310beedc5cf11e29769e1d9528735c95776
18302,4af20000000600050060ff00,4af20000000600050060ff00
18192,4a800000000600050031ff00,4a800000000600050031ff00
6294,19c20000000600050031ff00,19c20000000600050031ff00
19144,4e62000000090010003b00010249d1,4e62000000060010003b0001
21710,58e4000000060003005a0003,58e40000000900030648a7d85f30b5
13532,37710000001b00100008000a14b1f1688cfa347febf2e62e53f097c9477b633bde,37710000000600100008000a
30052,7b1b00000008000f002e0007017f,7b1b00000006000f002e0007
23212,5f19000000060001003d0003,5f190000000400010107
30410,7c8f0000000d00100057000306966c7236a89a,7c8f00000006001000570003
29142,775300000009000f0041000902ff01,775300000006000f00410009
23369,5fc00000000f001000170004083ab9db423b16252c,5fc000000006001000170004
8107,212f0000000600010036000a,212f00000005000102ff03
9755,27ef00000006000300430007,27ef0000001100030ec0d91a0f8bb7ba01eb5d33eee3e5
24852,65ce00000006000100440007,65ce000000040001017f
25033,668b00000008000f003400010101,668b00000006000f00340001
14754,3c6b00000006000300400004,3c6b0000000b000308b0dd849547ec2944
8101,212900000009001000190001024b8c,212900000006001000190001
16673,44430000000d00100045000306d2b550d793b9,444300000006001000450003
12321,3277000000060003005d0004,32770000000b0003082610fb95e777e301
7769,1fcc00000006000100240003,1fcc0000000400010107
14952,3d3d000000060005001fff00,3d3d000000060005001fff00
29705,79a60000000b0010001d0002048326226b,79a6000000060010001d0002
21486,57ff00000008000f00410006013f,57ff00000006000f00410006
19135,4e5900000006000300540001,4e59000000050003025dd4
916,03c100000006000100040003,03c10000000400010107
7068,1cf4000000060005003dff00,1cf4000000060005003dff00
28156,734f00000006000300060009,734f00000015000312adcc6a408dde78f1f9f2be9dc9d53e2b6bcb
17398,473d000000190010002d000912537f70b274970136c26f3cd8baba909fc4eb,473d000000060010002d0009
23737,614400000006000300590009,6144000000150003120a80cbcbe37cbab37b5735710f70f1bc4fa2
8243,21be000000060003001a0008,21be00000013000310ea8f11c13e62130118b6895d26a40909
28608,75220000000600050035ff00,75220000000600050035ff00
29792,7a0500000006000300440005,7a050000000d00030a974b31cf2945c56f35dc
1895,07c40000000600050061ff00,07c40000000600050061ff00
28989,76b3000000060001001f0009,76b300000005000102ff01
15085,3dc80000000600050038ff00,3dc80000000600050038ff00
24071,629f000000060005005cff00,629f000000060005005cff00
28020,72c100000006000300040006,72c10000000f00030ca44f1feedddc6a408dde78f1
29014,76cd0000000600050030ff00,76cd0000000600050030ff00
3189,0d0300000008000f001c00020103,0d0300000006000f001c0002
20322,533e00000008000f004f000801ff,533e00000006000f004f0008
13158,35e9000000060001002d0005,35e9000000040001011f
24772,657a000000060003000a0003,657a000000090003062aa6b4e2e1eb
9385,266600000008000f00440007017f,266600000006000f00440007
