source_text,target_text
000100000006000300000002:00010000000700030400000000|00020000000b0010000000020400190029:000200000006001000000002|0003000000120092596a188af104d351bf95814f22860bbb:000300000003001201|000400000006000300020002:00040000000700030400000000|000500000006000500000000:000500000006000500000000|000600000006000500010000:000600000003008502|00070000000b0010000200020400020010:,000700000006001000020002
00020000000b0010000000020400190029:000200000006001000000002|0003000000120092596a188af104d351bf95814f22860bbb:000300000003001201|000400000006000300020002:00040000000700030400000000|000500000006000500000000:000500000006000500000000|000600000006000500010000:000600000003008502|00070000000b0010000200020400020010:000700000006001000020002|000800000006000400000004:,00080000000b0004080000000000000000
0003000000120092596a188af104d351bf95814f22860bbb:000300000003001201|000400000006000300020002:00040000000700030400000000|000500000006000500000000:000500000006000500000000|000600000006000500010000:000600000003008502|00070000000b0010000200020400020010:000700000006001000020002|000800000006000400000004:00080000000b0004080000000000000000|000900000006000100000001:,00090000000400010100
000400000006000300020002:00040000000700030400000000|000500000006000500000000:000500000006000500000000|000600000006000500010000:000600000003008502|00070000000b0010000200020400020010:000700000006001000020002|000800000006000400000004:00080000000b0004080000000000000000|000900000006000100000001:00090000000400010100|000a00000006000100030001:,000a00000003008102
000500000006000500000000:000500000006000500000000|000600000006000500010000:000600000003008502|00070000000b0010000200020400020010:000700000006001000020002|000800000006000400000004:00080000000b0004080000000000000000|000900000006000100000001:00090000000400010100|000a00000006000100030001:000a00000003008102|000b00000006000300000002:,000b0000000700030400190029
000600000006000500010000:000600000003008502|00070000000b0010000200020400020010:000700000006001000020002|000800000006000400000004:00080000000b0004080000000000000000|000900000006000100000001:00090000000400010100|000a00000006000100030001:000a00000003008102|000b00000006000300000002:000b0000000700030400190029|000c0000000b001000000002040001000e:,000c00000006001000000002
00070000000b0010000200020400020010:000700000006001000020002|000800000006000400000004:00080000000b0004080000000000000000|000900000006000100000001:00090000000400010100|000a00000006000100030001:000a00000003008102|000b00000006000300000002:000b0000000700030400190029|000c0000000b001000000002040001000e:000c00000006001000000002|000d00000006000100000001:,000d0000000400010100
000800000006000400000004:00080000000b0004080000000000000000|000900000006000100000001:00090000000400010100|000a00000006000100030001:000a00000003008102|000b00000006000300000002:000b0000000700030400190029|000c0000000b001000000002040001000e:000c00000006001000000002|000d00000006000100000001:000d0000000400010100|000e00000006000400000004:,000e0000000b0004080000000000000000
000900000006000100000001:00090000000400010100|000a00000006000100030001:000a00000003008102|000b00000006000300000002:000b0000000700030400190029|000c0000000b001000000002040001000e:000c00000006001000000002|000d00000006000100000001:000d0000000400010100|000e00000006000400000004:000e0000000b0004080000000000000000|000f0000000a00d3e9340255ba07281b:,000f00000003005301
000a00000006000100030001:000a00000003008102|000b00000006000300000002:000b0000000700030400190029|000c0000000b001000000002040001000e:000c00000006001000000002|000d00000006000100000001:000d0000000400010100|000e00000006000400000004:000e0000000b0004080000000000000000|000f0000000a00d3e9340255ba07281b:000f00000003005301|00100000000b0010000200020400280007:,001000000006001000020002
000b00000006000300000002:000b0000000700030400190029|000c0000000b001000000002040001000e:000c00000006001000000002|000d00000006000100000001:000d0000000400010100|000e00000006000400000004:000e0000000b0004080000000000000000|000f0000000a00d3e9340255ba07281b:000f00000003005301|00100000000b0010000200020400280007:001000000006001000020002|001100000006000300020002:,00110000000700030400280007
000c0000000b001000000002040001000e:000c00000006001000000002|000d00000006000100000001:000d0000000400010100|000e00000006000400000004:000e0000000b0004080000000000000000|000f0000000a00d3e9340255ba07281b:000f00000003005301|00100000000b0010000200020400280007:001000000006001000020002|001100000006000300020002:00110000000700030400280007|001200000006000500000000:,001200000006000500000000
000d00000006000100000001:000d0000000400010100|000e00000006000400000004:000e0000000b0004080000000000000000|000f0000000a00d3e9340255ba07281b:000f00000003005301|00100000000b0010000200020400280007:001000000006001000020002|001100000006000300020002:00110000000700030400280007|001200000006000500000000:001200000006000500000000|0013000000060003001a0001:,001300000003008302
000e00000006000400000004:000e0000000b0004080000000000000000|000f0000000a00d3e9340255ba07281b:000f00000003005301|00100000000b0010000200020400280007:001000000006001000020002|001100000006000300020002:00110000000700030400280007|001200000006000500000000:001200000006000500000000|0013000000060003001a0001:001300000003008302|001400000006000500000000:,001400000006000500000000
000f0000000a00d3e9340255ba07281b:000f00000003005301|00100000000b0010000200020400280007:001000000006001000020002|001100000006000300020002:00110000000700030400280007|001200000006000500000000:001200000006000500000000|0013000000060003001a0001:001300000003008302|001400000006000500000000:001400000006000500000000|001500000006000300000002:,0015000000070003040001000e
00100000000b0010000200020400280007:001000000006001000020002|001100000006000300020002:00110000000700030400280007|001200000006000500000000:001200000006000500000000|0013000000060003001a0001:001300000003008302|001400000006000500000000:001400000006000500000000|001500000006000300000002:0015000000070003040001000e|00160000000b00100000000204000e002c:,001600000006001000000002
001100000006000300020002:00110000000700030400280007|001200000006000500000000:001200000006000500000000|0013000000060003001a0001:001300000003008302|001400000006000500000000:001400000006000500000000|001500000006000300000002:0015000000070003040001000e|00160000000b00100000000204000e002c:001600000006001000000002|001700000012006bdc316fea50d5ed6efd17522756abae27:,00170000000300eb01
001200000006000500000000:001200000006000500000000|0013000000060003001a0001:001300000003008302|001400000006000500000000:001400000006000500000000|001500000006000300000002:0015000000070003040001000e|00160000000b00100000000204000e002c:001600000006001000000002|001700000012006bdc316fea50d5ed6efd17522756abae27:00170000000300eb01|001800000006000100000001:,00180000000400010100
0013000000060003001a0001:001300000003008302|001400000006000500000000:001400000006000500000000|001500000006000300000002:0015000000070003040001000e|00160000000b00100000000204000e002c:001600000006001000000002|001700000012006bdc316fea50d5ed6efd17522756abae27:00170000000300eb01|001800000006000100000001:00180000000400010100|001900000006000300020002:,00190000000700030400280007
001400000006000500000000:001400000006000500000000|001500000006000300000002:0015000000070003040001000e|00160000000b00100000000204000e002c:001600000006001000000002|001700000012006bdc316fea50d5ed6efd17522756abae27:00170000000300eb01|001800000006000100000001:00180000000400010100|001900000006000300020002:00190000000700030400280007|001a0000000b00100002000204000e0008:,001a00000006001000020002
001500000006000300000002:0015000000070003040001000e|00160000000b00100000000204000e002c:001600000006001000000002|001700000012006bdc316fea50d5ed6efd17522756abae27:00170000000300eb01|001800000006000100000001:00180000000400010100|001900000006000300020002:00190000000700030400280007|001a0000000b00100002000204000e0008:001a00000006001000020002|001b00000006000400000004:,001b0000000b0004080000000000000000
00160000000b00100000000204000e002c:001600000006001000000002|001700000012006bdc316fea50d5ed6efd17522756abae27:00170000000300eb01|001800000006000100000001:00180000000400010100|001900000006000300020002:00190000000700030400280007|001a0000000b00100002000204000e0008:001a00000006001000020002|001b00000006000400000004:001b0000000b0004080000000000000000|001c0000001a003d5786d350e47f2e4525e6ed68187a27b39745dc7112046cb7:,001c0000000300bd01
001700000012006bdc316fea50d5ed6efd17522756abae27:00170000000300eb01|001800000006000100000001:00180000000400010100|001900000006000300020002:00190000000700030400280007|001a0000000b00100002000204000e0008:001a00000006001000020002|001b00000006000400000004:001b0000000b0004080000000000000000|001c0000001a003d5786d350e47f2e4525e6ed68187a27b39745dc7112046cb7:001c0000000300bd01|001d00000006000300000002:,001d00000007000304000e002c
001800000006000100000001:00180000000400010100|001900000006000300020002:00190000000700030400280007|001a0000000b00100002000204000e0008:001a00000006001000020002|001b00000006000400000004:001b0000000b0004080000000000000000|001c0000001a003d5786d350e47f2e4525e6ed68187a27b39745dc7112046cb7:001c0000000300bd01|001d00000006000300000002:001d00000007000304000e002c|001e00000006000100000001:,001e0000000400010100
001900000006000300020002:00190000000700030400280007|001a0000000b00100002000204000e0008:001a00000006001000020002|001b00000006000400000004:001b0000000b0004080000000000000000|001c0000001a003d5786d350e47f2e4525e6ed68187a27b39745dc7112046cb7:001c0000000300bd01|001d00000006000300000002:001d00000007000304000e002c|001e00000006000100000001:001e0000000400010100|001f0000000b0010000000020400180025:,001f00000006001000000002
001a0000000b00100002000204000e0008:001a00000006001000020002|001b00000006000400000004:001b0000000b0004080000000000000000|001c0000001a003d5786d350e47f2e4525e6ed68187a27b39745dc7112046cb7:001c0000000300bd01|001d00000006000300000002:001d00000007000304000e002c|001e00000006000100000001:001e0000000400010100|001f0000000b0010000000020400180025:001f00000006001000000002|002000000006000400000004:,00200000000b0004080000000000000000
001b00000006000400000004:001b0000000b0004080000000000000000|001c0000001a003d5786d350e47f2e4525e6ed68187a27b39745dc7112046cb7:001c0000000300bd01|001d00000006000300000002:001d00000007000304000e002c|001e00000006000100000001:001e0000000400010100|001f0000000b0010000000020400180025:001f00000006001000000002|002000000006000400000004:00200000000b0004080000000000000000|002100000006000300020002:,002100000007000304000e0008
001c0000001a003d5786d350e47f2e4525e6ed68187a27b39745dc7112046cb7:001c0000000300bd01|001d00000006000300000002:001d00000007000304000e002c|001e00000006000100000001:001e0000000400010100|001f0000000b0010000000020400180025:001f00000006001000000002|002000000006000400000004:00200000000b0004080000000000000000|002100000006000300020002:002100000007000304000e0008|002200000006000500000000:,002200000006000500000000
001d00000006000300000002:001d00000007000304000e002c|001e00000006000100000001:001e0000000400010100|001f0000000b0010000000020400180025:001f00000006001000000002|002000000006000400000004:00200000000b0004080000000000000000|002100000006000300020002:002100000007000304000e0008|002200000006000500000000:002200000006000500000000|00230000000b0010000200020400150026:,002300000006001000020002
