source_text,target_text
000100000006000300030001:0001000000050003020000|0002000000060003002e0001:000200000003008302|000300000006000600000003:000300000006000600000003|000400000006000600020019:000400000006000600020019|000500000006000300000001:0005000000050003020003|000600000006000400000004:00060000000b0004080000000000000000|000700000006000600030030:,000700000006000600030030
0002000000060003002e0001:000200000003008302|000300000006000600000003:000300000006000600000003|000400000006000600020019:000400000006000600020019|000500000006000300000001:0005000000050003020003|000600000006000400000004:00060000000b0004080000000000000000|000700000006000600030030:000700000006000600030030|00080000000600050000ff00:,00080000000600050000ff00
000300000006000600000003:000300000006000600000003|000400000006000600020019:000400000006000600020019|000500000006000300000001:0005000000050003020003|000600000006000400000004:00060000000b0004080000000000000000|000700000006000600030030:000700000006000600030030|00080000000600050000ff00:00080000000600050000ff00|000900000006000100000001:,00090000000400010101
000400000006000600020019:000400000006000600020019|000500000006000300000001:0005000000050003020003|000600000006000400000004:00060000000b0004080000000000000000|000700000006000600030030:000700000006000600030030|00080000000600050000ff00:00080000000600050000ff00|000900000006000100000001:00090000000400010101|000a00000006000600010025:,000a00000006000600010025
000500000006000300000001:0005000000050003020003|000600000006000400000004:00060000000b0004080000000000000000|000700000006000600030030:000700000006000600030030|00080000000600050000ff00:00080000000600050000ff00|000900000006000100000001:00090000000400010101|000a00000006000600010025:000a00000006000600010025|000b00000006000300020001:,000b000000050003020019
000600000006000400000004:00060000000b0004080000000000000000|000700000006000600030030:000700000006000600030030|00080000000600050000ff00:00080000000600050000ff00|000900000006000100000001:00090000000400010101|000a00000006000600010025:000a00000006000600010025|000b00000006000300020001:000b000000050003020019|000c000000120021dbad36c3fcb3ec8b4e4004c9396af415:,000c0000000300a101
000700000006000600030030:000700000006000600030030|00080000000600050000ff00:00080000000600050000ff00|000900000006000100000001:00090000000400010101|000a00000006000600010025:000a00000006000600010025|000b00000006000300020001:000b000000050003020019|000c000000120021dbad36c3fcb3ec8b4e4004c9396af415:000c0000000300a101|000d00000006000300010001:,000d000000050003020025
00080000000600050000ff00:00080000000600050000ff00|000900000006000100000001:00090000000400010101|000a00000006000600010025:000a00000006000600010025|000b00000006000300020001:000b000000050003020019|000c000000120021dbad36c3fcb3ec8b4e4004c9396af415:000c0000000300a101|000d00000006000300010001:000d000000050003020025|000e00000006000600030011:,000e00000006000600030011
000900000006000100000001:00090000000400010101|000a00000006000600010025:000a00000006000600010025|000b00000006000300020001:000b000000050003020019|000c000000120021dbad36c3fcb3ec8b4e4004c9396af415:000c0000000300a101|000d00000006000300010001:000d000000050003020025|000e00000006000600030011:000e00000006000600030011|000f0000001a00c1522959d26e5fa7d41683cad36225fe57a45d0c4d7aa050d0:,000f00000003004101
000a00000006000600010025:000a00000006000600010025|000b00000006000300020001:000b000000050003020019|000c000000120021dbad36c3fcb3ec8b4e4004c9396af415:000c0000000300a101|000d00000006000300010001:000d000000050003020025|000e00000006000600030011:000e00000006000600030011|000f0000001a00c1522959d26e5fa7d41683cad36225fe57a45d0c4d7aa050d0:000f00000003004101|00100000000600050000ff00:,00100000000600050000ff00
