source_text,target_text
000100000006000600000001:000100000006000600000001|000200000006000600010000:000200000006000600010000|000300000006000600020002:000300000006000600020002|000400000006000600030003:000400000006000600030003|000500000006000400000004:,00050000000b0004080000000000003ff0
000200000006000600010000:000200000006000600010000|000300000006000600020002:000300000006000600020002|000400000006000600030003:000400000006000600030003|000500000006000400000004:00050000000b0004080000000000003ff0|000600000006000600000023:,000600000006000600000023
000300000006000600020002:000300000006000600020002|000400000006000600030003:000400000006000600030003|000500000006000400000004:00050000000b0004080000000000003ff0|000600000006000600000023:000600000006000600000023|000700000006000600010017:,000700000006000600010017
000400000006000600030003:000400000006000600030003|000500000006000400000004:00050000000b0004080000000000003ff0|000600000006000600000023:000600000006000600000023|000700000006000600010017:000700000006000600010017|000800000006000600020006:,000800000006000600020006
000500000006000400000004:00050000000b0004080000000000003ff0|000600000006000600000023:000600000006000600000023|000700000006000600010017:000700000006000600010017|000800000006000600020006:000800000006000600020006|000900000006000600030004:,000900000006000600030004
000600000006000600000023:000600000006000600000023|000700000006000600010017:000700000006000600010017|000800000006000600020006:000800000006000600020006|000900000006000600030004:000900000006000600030004|000a00000006000400000004:,000a0000000b0004080000000080004041
000700000006000600010017:000700000006000600010017|000800000006000600020006:000800000006000600020006|000900000006000600030004:000900000006000600030004|000a00000006000400000004:000a0000000b0004080000000080004041|000b00000006000600000006:,000b00000006000600000006
000800000006000600020006:000800000006000600020006|000900000006000600030004:000900000006000600030004|000a00000006000400000004:000a0000000b0004080000000080004041|000b00000006000600000006:000b00000006000600000006|000c0000000600060001000d:,000c0000000600060001000d
000900000006000600030004:000900000006000600030004|000a00000006000400000004:000a0000000b0004080000000080004041|000b00000006000600000006:000b00000006000600000006|000c0000000600060001000d:000c0000000600060001000d|000d0000000600060002000e:,000d0000000600060002000e
000a00000006000400000004:000a0000000b0004080000000080004041|000b00000006000600000006:000b00000006000600000006|000c0000000600060001000d:000c0000000600060001000d|000d0000000600060002000e:000d0000000600060002000e|000e00000006000600030000:,000e00000006000600030000
000b00000006000600000006:000b00000006000600000006|000c0000000600060001000d:000c0000000600060001000d|000d0000000600060002000e:000d0000000600060002000e|000e00000006000600030000:000e00000006000600030000|000f00000006000400000004:,000f0000000b00040870a40a3da3d73fc0
000c0000000600060001000d:000c0000000600060001000d|000d0000000600060002000e:000d0000000600060002000e|000e00000006000600030000:000e00000006000600030000|000f00000006000400000004:000f0000000b00040870a40a3da3d73fc0|001000000006000600000002:,001000000006000600000002
000d0000000600060002000e:000d0000000600060002000e|000e00000006000600030000:000e00000006000600030000|000f00000006000400000004:000f0000000b00040870a40a3da3d73fc0|001000000006000600000002:001000000006000600000002|001100000006000600010001:,001100000006000600010001
000e00000006000600030000:000e00000006000600030000|000f00000006000400000004:000f0000000b00040870a40a3da3d73fc0|001000000006000600000002:001000000006000600000002|001100000006000600010001:001100000006000600010001|001200000006000600020000:,001200000006000600020000
000f00000006000400000004:000f0000000b00040870a40a3da3d73fc0|001000000006000600000002:001000000006000600000002|001100000006000600010001:001100000006000600010001|001200000006000600020000:001200000006000600020000|001300000006000600030000:,001300000006000600030000
001000000006000600000002:001000000006000600000002|001100000006000600010001:001100000006000600010001|001200000006000600020000:001200000006000600020000|001300000006000600030000:001300000006000600030000|001400000006000400000004:,00140000000b000408147b47ae7ae13f84
001100000006000600010001:001100000006000600010001|001200000006000600020000:001200000006000600020000|001300000006000600030000:001300000006000600030000|001400000006000400000004:00140000000b000408147b47ae7ae13f84|00150000000600060000001d:,00150000000600060000001d
001200000006000600020000:001200000006000600020000|001300000006000600030000:001300000006000600030000|001400000006000400000004:00140000000b000408147b47ae7ae13f84|00150000000600060000001d:00150000000600060000001d|001600000006000600010045:,001600000006000600010045
001300000006000600030000:001300000006000600030000|001400000006000400000004:00140000000b000408147b47ae7ae13f84|00150000000600060000001d:00150000000600060000001d|001600000006000600010045:001600000006000600010045|001700000006000600020006:,001700000006000600020006
001400000006000400000004:00140000000b000408147b47ae7ae13f84|00150000000600060000001d:00150000000600060000001d|001600000006000600010045:001600000006000600010045|001700000006000600020006:001700000006000600020006|001800000006000600030011:,001800000006000600030011
00150000000600060000001d:00150000000600060000001d|001600000006000600010045:001600000006000600010045|001700000006000600020006:001700000006000600020006|001800000006000600030011:001800000006000600030011|001900000006000400000004:,00190000000b000408000000000000403d
001600000006000600010045:001600000006000600010045|001700000006000600020006:001700000006000600020006|001800000006000600030011:001800000006000600030011|001900000006000400000004:00190000000b000408000000000000403d|001a00000006000600000004:,001a00000006000600000004
001700000006000600020006:001700000006000600020006|001800000006000600030011:001800000006000600030011|001900000006000400000004:00190000000b000408000000000000403d|001a00000006000600000004:001a00000006000600000004|001b00000006000600010006:,001b00000006000600010006
