source_text,target_text
00010000000b0010000000020482416f9a:000100000006001000000002|00020000000600060002dfb8:00020000000600060002dfb8|000300000006000400000004:,00030000000b000408ca6d9e155787c120
00020000000600060002dfb8:00020000000600060002dfb8|000300000006000400000004:00030000000b000408ca6d9e155787c120|00040000000b0010000000020463e5cb78:,000400000006001000000002
000300000006000400000004:00030000000b000408ca6d9e155787c120|00040000000b0010000000020463e5cb78:000400000006001000000002|0005000000060006000247e4:,0005000000060006000247e4
00040000000b0010000000020463e5cb78:000400000006001000000002|0005000000060006000247e4:0005000000060006000247e4|000600000006000400000004:,00060000000b000408fedb9595cbdec12d
0005000000060006000247e4:0005000000060006000247e4|000600000006000400000004:00060000000b000408fedb9595cbdec12d|00070000000b001000000002047e2da31a:,000700000006001000000002
000600000006000400000004:00060000000b000408fedb9595cbdec12d|00070000000b001000000002047e2da31a:000700000006001000000002|0008000000060006000292ed:,0008000000060006000292ed
00070000000b001000000002047e2da31a:000700000006001000000002|0008000000060006000292ed:0008000000060006000292ed|000900000006000400000004:,00090000000b000408c5eb0e50e266c127
0008000000060006000292ed:0008000000060006000292ed|000900000006000400000004:00090000000b000408c5eb0e50e266c127|000a0000000b001000000002049da56e25:,000a00000006001000000002
000900000006000400000004:00090000000b000408c5eb0e50e266c127|000a0000000b001000000002049da56e25:000a00000006001000000002|000b000000060006000290c3:,000b000000060006000290c3
000a0000000b001000000002049da56e25:000a00000006001000000002|000b000000060006000290c3:000b000000060006000290c3|000c00000006000400000004:,000c0000000b0004084208e0b220e6c120
000b000000060006000290c3:000b000000060006000290c3|000c00000006000400000004:000c0000000b0004084208e0b220e6c120|000d0000000b00100000000204b672e8fa:,000d00000006001000000002
000c00000006000400000004:000c0000000b0004084208e0b220e6c120|000d0000000b00100000000204b672e8fa:000d00000006001000000002|000e00000006000600026a30:,000e00000006000600026a30
000d0000000b00100000000204b672e8fa:000d00000006001000000002|000e00000006000600026a30:000e00000006000600026a30|000f00000006000400000004:,000f0000000b000408e7acd7a40f18c131
000e00000006000600026a30:000e00000006000600026a30|000f00000006000400000004:000f0000000b000408e7acd7a40f18c131|00100000000b00100000000204b3856dec:,001000000006001000000002
000f00000006000400000004:000f0000000b000408e7acd7a40f18c131|00100000000b00100000000204b3856dec:001000000006001000000002|00110000000600060002554c:,00110000000600060002554c
00100000000b00100000000204b3856dec:001000000006001000000002|00110000000600060002554c:00110000000600060002554c|001200000006000400000004:,00120000000b00040857bdccad188dc120
00110000000600060002554c:00110000000600060002554c|001200000006000400000004:00120000000b00040857bdccad188dc120|00130000000b00100000000204a35f2c27:,001300000006001000000002
001200000006000400000004:00120000000b00040857bdccad188dc120|00130000000b00100000000204a35f2c27:001300000006001000000002|00140000000600060002ea13:,00140000000600060002ea13
00130000000b00100000000204a35f2c27:001300000006001000000002|00140000000600060002ea13:00140000000600060002ea13|001500000006000400000004:,00150000000b0004087a6592c2dabbc109
00140000000600060002ea13:00140000000600060002ea13|001500000006000400000004:00150000000b0004087a6592c2dabbc109|00160000000b001000000002049ef00b3a:,001600000006001000000002
001500000006000400000004:00150000000b0004087a6592c2dabbc109|00160000000b001000000002049ef00b3a:001600000006001000000002|0017000000060006000253dc:,0017000000060006000253dc
00160000000b001000000002049ef00b3a:001600000006001000000002|0017000000060006000253dc:0017000000060006000253dc|001800000006000400000004:,00180000000b0004087b5f4966435cc0ea
0017000000060006000253dc:0017000000060006000253dc|001800000006000400000004:00180000000b0004087b5f4966435cc0ea|00190000000b001000000002045bb44ab4:,001900000006001000000002
001800000006000400000004:00180000000b0004087b5f4966435cc0ea|00190000000b001000000002045bb44ab4:001900000006001000000002|001a000000060006000246c3:,001a000000060006000246c3
