source_text,target_text
00010000000b00100000000204000041f0:000100000006001000000002|000200000006000400000004:,00020000000b000408000020005056c113
00030000000b001000000002041e0241f0:000300000006001000000002|000400000006000400000004:,00040000000b000408000020004eeec113
00050000000b001000000002043c0441f0:000500000006001000000002|000600000006000400000004:,00060000000b000408000020004eeec113
00070000000b001000000002045a0641f0:000700000006001000000002|000800000006000400000004:,00080000000b000408000020004eeec113
00090000000b00100000000204780841f0:000900000006001000000002|000a00000006000400000004:,000a0000000b000408000020004eeec113
000b0000000b00100000000204960941f0:000b00000006001000000002|000c00000006000400000004:,000c0000000b000408000020004eeec113
000d0000000b00100000000204b40b41f0:000d00000006001000000002|000e00000006000400000004:,000e0000000b000408000020004eeec113
000f0000000b00100000000204d20d41f0:000f00000006001000000002|001000000006000400000004:,00100000000b000408000020004eeec113
00110000000b00100000000204f00f41f0:001100000006001000000002|001200000006000400000004:,00120000000b000408000020004eeec113
00130000000b001000000002040e1141f1:001300000006001000000002|001400000006000400000004:,00140000000b000408000020004f39c113
00150000000b001000000002042c1341f1:001500000006001000000002|001600000006000400000004:,00160000000b000408000020004f39c113
00170000000b001000000002044a1541f1:001700000006001000000002|001800000006000400000004:,00180000000b000408000020004f39c113
00190000000b00100000000204681741f1:001900000006001000000002|001a00000006000400000004:,001a0000000b000408000020004f39c113
001b0000000b00100000000204861841f1:001b00000006001000000002|001c00000006000400000004:,001c0000000b000408000020004f39c113
001d0000000b00100000000204a41a41f1:001d00000006001000000002|001e00000006000400000004:,001e0000000b000408000020004f39c113
001f0000000b00100000000204c21c41f1:001f00000006001000000002|002000000006000400000004:,00200000000b000408000020004f39c113
00210000000b00100000000204e01e41f1:002100000006001000000002|002200000006000400000004:,00220000000b000408000020004f39c113
00230000000b00100000000204fe2041f1:002300000006001000000002|002400000006000400000004:,00240000000b000408000020004f39c113
00250000000b001000000002041c2241f2:002500000006001000000002|002600000006000400000004:,00260000000b000408000020004f84c113
00270000000b001000000002043a2441f2:002700000006001000000002|002800000006000400000004:,00280000000b000408000020004f84c113
00290000000b00100000000204582641f2:002900000006001000000002|002a00000006000400000004:,002a0000000b000408000020004f84c113
002b0000000b00100000000204762741f2:002b00000006001000000002|002c00000006000400000004:,002c0000000b000408000020004f84c113
002d0000000b00100000000204942941f2:002d00000006001000000002|002e00000006000400000004:,002e0000000b000408000020004f84c113
002f0000000b00100000000204b22b41f2:002f00000006001000000002|003000000006000400000004:,00300000000b000408000020004f84c113
00310000000b00100000000204d02d41f2:003100000006001000000002|003200000006000400000004:,00320000000b000408000020004f84c113
00330000000b00100000000204ee2f41f2:003300000006001000000002|003400000006000400000004:,00340000000b000408000020004f84c113
00350000000b001000000002040c3141f3:003500000006001000000002|003600000006000400000004:,00360000000b000408000020004fcfc113
00370000000b001000000002042a3341f3:003700000006001000000002|003800000006000400000004:,00380000000b000408000020004fcfc113
00390000000b00100000000204483541f3:003900000006001000000002|003a00000006000400000004:,003a0000000b000408000020004fcfc113
