source_text,target_text
000100000006000300000001,0001000000050003020000
000200000009001000000001020000,000200000006001000000001
000300000006000300000001,0003000000050003020000
000400000009001000000001020003,000400000006001000000001
000500000006000300000001,0005000000050003020003
000600000009001000000001020009,000600000006001000000001
000700000006000300000001,0007000000050003020009
000800000006000300010001,0008000000050003020000
000900000009001000010001020000,000900000006001000010001
000a00000006000300010001,000a000000050003020000
000b00000009001000010001020001,000b00000006001000010001
000c00000006000300010001,000c000000050003020001
000d00000009001000010001020009,000d00000006001000010001
000e00000006000300010001,000e000000050003020009
000f00000006000300020001,000f000000050003020000
001000000009001000020001020000,001000000006001000020001
001100000006000300020001,0011000000050003020000
001200000009001000020001020007,001200000006001000020001
001300000006000300020001,0013000000050003020007
001400000009001000020001020009,001400000006001000020001
001500000006000300020001,0015000000050003020009
001600000006000300030001,0016000000050003020000
001700000009001000030001020000,001700000006001000030001
001800000006000300030001,0018000000050003020000
001900000009001000030001020007,001900000006001000030001
001a00000006000300030001,001a000000050003020007
001b00000009001000030001020009,001b00000006001000030001
001c00000006000300030001,001c000000050003020009
001d00000006000300040001,001d000000050003020000
001e00000009001000040001020000,001e00000006001000040001
001f00000006000300040001,001f000000050003020000
002000000009001000040001020005,002000000006001000040001
002100000006000300040001,0021000000050003020005
002200000009001000040001020009,002200000006001000040001
002300000006000300040001,0023000000050003020009
002400000006000300050001,0024000000050003020000
002500000009001000050001020000,002500000006001000050001
002600000006000300050001,0026000000050003020000
002700000009001000050001020005,002700000006001000050001
002800000006000300050001,0028000000050003020005
002900000009001000050001020009,002900000006001000050001
002a00000006000300050001,002a000000050003020009
002b00000006000300060001,002b000000050003020000
002c00000009001000060001020000,002c00000006001000060001
002d00000006000300060001,002d000000050003020000
002e00000009001000060001020004,002e00000006001000060001
002f00000006000300060001,002f000000050003020004
003000000009001000060001020009,003000000006001000060001
003100000006000300060001,0031000000050003020009
003200000006000300070001,0032000000050003020000
003300000009001000070001020000,003300000006001000070001
003400000006000300070001,0034000000050003020000
003500000009001000070001020001,003500000006001000070001
003600000006000300070001,0036000000050003020001
003700000009001000070001020009,003700000006001000070001
003800000006000300070001,0038000000050003020009
003900000006000300080001,0039000000050003020000
003a00000009001000080001020000,003a00000006001000080001
003b00000006000300080001,003b000000050003020000
003c00000009001000080001020002,003c00000006001000080001
003d00000006000300080001,003d000000050003020002
003e00000009001000080001020009,003e00000006001000080001
003f00000006000300080001,003f000000050003020009
004000000006000300090001,0040000000050003020000
004100000009001000090001020000,004100000006001000090001
004200000006000300090001,0042000000050003020000
004300000009001000090001020006,004300000006001000090001
004400000006000300090001,0044000000050003020006
004500000009001000090001020009,004500000006001000090001
004600000006000300090001,0046000000050003020009
0047000000060003000a0001,0047000000050003020000
0048000000090010000a0001020000,0048000000060010000a0001
0049000000060003000a0001,0049000000050003020000
004a000000090010000a0001020002,004a000000060010000a0001
004b000000060003000a0001,004b000000050003020002
004c000000090010000a0001020009,004c000000060010000a0001
