source_text,target_text
000100000006000100000001,00010000000400010100
00020000000600050000ff00,00020000000600050000ff00
000300000006000100000001,00030000000400010101
000400000006000500000000,000400000006000500000000
000500000006000100010001,00050000000400010100
00060000000600050001ff00,00060000000600050001ff00
000700000006000100010001,00070000000400010101
000800000006000500010000,000800000006000500010000
000900000006000100020001,00090000000400010100
000a0000000600050002ff00,000a0000000600050002ff00
000b00000006000100020001,000b0000000400010101
000c00000006000500020000,000c00000006000500020000
000d00000006000100030001,000d0000000400010100
000e0000000600050003ff00,000e0000000600050003ff00
000f00000006000100030001,000f0000000400010101
001000000006000500030000,001000000006000500030000
001100000006000100040001,00110000000400010100
00120000000600050004ff00,00120000000600050004ff00
001300000006000100040001,00130000000400010101
001400000006000500040000,001400000006000500040000
001500000006000100050001,00150000000400010100
00160000000600050005ff00,00160000000600050005ff00
001700000006000100050001,00170000000400010101
001800000006000500050000,001800000006000500050000
001900000006000100060001,00190000000400010100
001a0000000600050006ff00,001a0000000600050006ff00
001b00000006000100060001,001b0000000400010101
001c00000006000500060000,001c00000006000500060000
001d00000006000100070001,001d0000000400010100
001e0000000600050007ff00,001e0000000600050007ff00
001f00000006000100070001,001f0000000400010101
002000000006000500070000,002000000006000500070000
002100000006000100080001,00210000000400010100
00220000000600050008ff00,00220000000600050008ff00
002300000006000100080001,00230000000400010101
002400000006000500080000,002400000006000500080000
002500000006000100090001,00250000000400010100
00260000000600050009ff00,00260000000600050009ff00
002700000006000100090001,00270000000400010101
002800000006000500090000,002800000006000500090000
0029000000060001000a0001,00290000000400010100
002a000000060005000aff00,002a000000060005000aff00
002b000000060001000a0001,002b0000000400010101
002c000000060005000a0000,002c000000060005000a0000
002d000000060001000b0001,002d0000000400010100
002e000000060005000bff00,002e000000060005000bff00
002f000000060001000b0001,002f0000000400010101
0030000000060005000b0000,0030000000060005000b0000
0031000000060001000c0001,00310000000400010100
0032000000060005000cff00,0032000000060005000cff00
0033000000060001000c0001,00330000000400010101
0034000000060005000c0000,0034000000060005000c0000
0035000000060001000d0001,00350000000400010100
0036000000060005000dff00,0036000000060005000dff00
0037000000060001000d0001,00370000000400010101
0038000000060005000d0000,0038000000060005000d0000
0039000000060001000e0001,00390000000400010100
003a000000060005000eff00,003a000000060005000eff00
003b000000060001000e0001,003b0000000400010101
003c000000060005000e0000,003c000000060005000e0000
003d000000060001000f0001,003d0000000400010100
003e000000060005000fff00,003e000000060005000fff00
003f000000060001000f0001,003f0000000400010101
0040000000060005000f0000,0040000000060005000f0000
004100000006000100100001,00410000000400010100
00420000000600050010ff00,00420000000600050010ff00
004300000006000100100001,00430000000400010101
004400000006000500100000,004400000006000500100000
004500000006000100110001,00450000000400010100
00460000000600050011ff00,00460000000600050011ff00
004700000006000100110001,00470000000400010101
004800000006000500110000,004800000006000500110000
004900000006000100120001,00490000000400010100
004a0000000600050012ff00,004a0000000600050012ff00
004b00000006000100120001,004b0000000400010101
004c00000006000500120000,004c00000006000500120000
004d00000006000100130001,004d0000000400010100
004e0000000600050013ff00,004e0000000600050013ff00
004f00000006000100130001,004f0000000400010101
005000000006000500130000,005000000006000500130000
005100000006000100140001,00510000000400010100
00520000000600050014ff00,00520000000600050014ff00
005300000006000100140001,00530000000400010101
005400000006000500140000,005400000006000500140000
005500000006000100150001,00550000000400010100
00560000000600050015ff00,00560000000600050015ff00
005700000006000100150001,00570000000400010101
005800000006000500150000,005800000006000500150000
005900000006000100160001,00590000000400010100
005a0000000600050016ff00,005a0000000600050016ff00
005b00000006000100160001,005b0000000400010101
005c00000006000500160000,005c00000006000500160000
005d00000006000100170001,005d0000000400010100
005e0000000600050017ff00,005e0000000600050017ff00
005f00000006000100170001,005f0000000400010101
006000000006000500170000,006000000006000500170000
006100000006000100180001,00610000000400010100
00620000000600050018ff00,00620000000600050018ff00
006300000006000100180001,00630000000400010101
006400000006000500180000,006400000006000500180000
006500000006000100190001,00650000000400010100
00660000000600050019ff00,00660000000600050019ff00
006700000006000100190001,00670000000400010101
006800000006000500190000,006800000006000500190000
0069000000060001001a0001,00690000000400010100
006a000000060005001aff00,006a000000060005001aff00
006b000000060001001a0001,006b0000000400010101
006c000000060005001a0000,006c000000060005001a0000
006d000000060001001b0001,006d0000000400010100
006e000000060005001bff00,006e000000060005001bff00
006f000000060001001b0001,006f0000000400010101
0070000000060005001b0000,0070000000060005001b0000
0071000000060001001c0001,00710000000400010100
0072000000060005001cff00,0072000000060005001cff00
0073000000060001001c0001,00730000000400010101
0074000000060005001c0000,0074000000060005001c0000
0075000000060001001d0001,00750000000400010100
0076000000060005001dff00,0076000000060005001dff00
0077000000060001001d0001,00770000000400010101
0078000000060005001d0000,0078000000060005001d0000
0079000000060001001e0001,00790000000400010100
007a000000060005001eff00,007a000000060005001eff00
007b000000060001001e0001,007b0000000400010101
007c000000060005001e0000,007c000000060005001e0000
007d000000060001001f0001,007d0000000400010100
007e000000060005001fff00,007e000000060005001fff00
007f000000060001001f0001,007f0000000400010101
0080000000060005001f0000,0080000000060005001f0000
008100000006000100200001,00810000000400010100
00820000000600050020ff00,00820000000600050020ff00
008300000006000100200001,00830000000400010101
008400000006000500200000,008400000006000500200000
008500000006000100210001,00850000000400010100
00860000000600050021ff00,00860000000600050021ff00
008700000006000100210001,00870000000400010101
008800000006000500210000,008800000006000500210000
008900000006000100220001,00890000000400010100
