source_text,target_text
000100000006000300000001:0001000000050003020000|000200000006000600000009:000200000006000600000009|000300000006000300000001:,0003000000050003020009
000200000006000600000009:000200000006000600000009|000300000006000300000001:0003000000050003020009|000400000006000600000007:,000400000006000600000007
000300000006000300000001:0003000000050003020009|000400000006000600000007:000400000006000600000007|000500000006000300000001:,0005000000050003020007
000400000006000600000007:000400000006000600000007|000500000006000300000001:0005000000050003020007|000600000006000600000000:,000600000006000600000000
000500000006000300000001:0005000000050003020007|000600000006000600000000:000600000006000600000000|000700000006000300000001:,0007000000050003020000
000600000006000600000000:000600000006000600000000|000700000006000300000001:0007000000050003020000|000800000006000300010001:,0008000000050003020000
000700000006000300000001:0007000000050003020000|000800000006000300010001:0008000000050003020000|000900000006000600010009:,000900000006000600010009
000800000006000300010001:0008000000050003020000|000900000006000600010009:000900000006000600010009|000a00000006000300010001:,000a000000050003020009
000900000006000600010009:000900000006000600010009|000a00000006000300010001:000a000000050003020009|000b00000006000600010003:,000b00000006000600010003
000a00000006000300010001:000a000000050003020009|000b00000006000600010003:000b00000006000600010003|000c00000006000300010001:,000c000000050003020003
000b00000006000600010003:000b00000006000600010003|000c00000006000300010001:000c000000050003020003|000d00000006000600010000:,000d00000006000600010000
000c00000006000300010001:000c000000050003020003|000d00000006000600010000:000d00000006000600010000|000e00000006000300010001:,000e000000050003020000
000d00000006000600010000:000d00000006000600010000|000e00000006000300010001:000e000000050003020000|000f00000006000300020001:,000f000000050003020000
000e00000006000300010001:000e000000050003020000|000f00000006000300020001:000f000000050003020000|001000000006000600020009:,001000000006000600020009
000f00000006000300020001:000f000000050003020000|001000000006000600020009:001000000006000600020009|001100000006000300020001:,0011000000050003020009
001000000006000600020009:001000000006000600020009|001100000006000300020001:0011000000050003020009|001200000006000600020008:,001200000006000600020008
001100000006000300020001:0011000000050003020009|001200000006000600020008:001200000006000600020008|001300000006000300020001:,0013000000050003020008
001200000006000600020008:001200000006000600020008|001300000006000300020001:0013000000050003020008|001400000006000600020000:,001400000006000600020000
001300000006000300020001:0013000000050003020008|001400000006000600020000:001400000006000600020000|001500000006000300020001:,0015000000050003020000
001400000006000600020000:001400000006000600020000|001500000006000300020001:0015000000050003020000|001600000006000300030001:,0016000000050003020000
001500000006000300020001:0015000000050003020000|001600000006000300030001:0016000000050003020000|001700000006000600030009:,001700000006000600030009
001600000006000300030001:0016000000050003020000|001700000006000600030009:001700000006000600030009|001800000006000300030001:,0018000000050003020009
001700000006000600030009:001700000006000600030009|001800000006000300030001:0018000000050003020009|001900000006000600030005:,001900000006000600030005
001800000006000300030001:0018000000050003020009|001900000006000600030005:001900000006000600030005|001a00000006000300030001:,001a000000050003020005
001900000006000600030005:001900000006000600030005|001a00000006000300030001:001a000000050003020005|001b00000006000600030000:,001b00000006000600030000
001a00000006000300030001:001a000000050003020005|001b00000006000600030000:001b00000006000600030000|001c00000006000300030001:,001c000000050003020000
001b00000006000600030000:001b00000006000600030000|001c00000006000300030001:001c000000050003020000|001d00000006000300040001:,001d000000050003020000
001c00000006000300030001:001c000000050003020000|001d00000006000300040001:001d000000050003020000|001e00000006000600040009:,001e00000006000600040009
001d00000006000300040001:001d000000050003020000|001e00000006000600040009:001e00000006000600040009|001f00000006000300040001:,001f000000050003020009
001e00000006000600040009:001e00000006000600040009|001f00000006000300040001:001f000000050003020009|002000000006000600040003:,002000000006000600040003
001f00000006000300040001:001f000000050003020009|002000000006000600040003:002000000006000600040003|002100000006000300040001:,0021000000050003020003
