source_text,target_text
03b700000006000300050002,03b7000000070003040000fffd
03b80000000d001000050003060000fffdfffd,03b800000006001000050003
03b900000006000300050002,03b9000000070003040000fffd
03ba0000000d001000050003063f4800000000,03ba00000006001000050003
03bb00000006000300050002,03bb000000070003043f480000
03bc0000000d001000050003063f4800003f48,03bc00000006001000050003
03bd00000006000300050002,03bd000000070003043f480000
03be0000000d001000050003063f480000fffd,03be00000006001000050003
03bf00000006000300050002,03bf000000070003043f480000
03c00000000d001000050003063f483f480000,03c000000006001000050003
03c100000006000300050002,03c1000000070003043f483f48
03c20000000d001000050003063f483f483f48,03c200000006001000050003
03c300000006000300050002,03c3000000070003043f483f48
03c40000000d001000050003063f483f48fffd,03c400000006001000050003
03c500000006000300050002,03c5000000070003043f483f48
03c60000000d001000050003063f48fffd0000,03c600000006001000050003
03c700000006000300050002,03c7000000070003043f48fffd
03c80000000d001000050003063f48fffd3f48,03c800000006001000050003
03c900000006000300050002,03c9000000070003043f48fffd
03ca0000000d001000050003063f48fffdfffd,03ca00000006001000050003
03cb00000006000300050002,03cb000000070003043f48fffd
03cc0000000d00100005000306fffd00000000,03cc00000006001000050003
03cd00000006000300050002,03cd00000007000304fffd0000
03ce0000000d00100005000306fffd00003f48,03ce00000006001000050003
03cf00000006000300050002,03cf00000007000304fffd0000
03d00000000d00100005000306fffd0000fffd,03d000000006001000050003
03d100000006000300050002,03d100000007000304fffd0000
03d20000000d00100005000306fffd3f480000,03d200000006001000050003
03d300000006000300050002,03d300000007000304fffd3f48
03d40000000d00100005000306fffd3f483f48,03d400000006001000050003
03d500000006000300050002,03d500000007000304fffd3f48
03d60000000d00100005000306fffd3f48fffd,03d600000006001000050003
03d700000006000300050002,03d700000007000304fffd3f48
03d80000000d00100005000306fffdfffd0000,03d800000006001000050003
03d900000006000300050002,03d900000007000304fffdfffd
03da0000000d00100005000306fffdfffd3f48,03da00000006001000050003
03db00000006000300050002,03db00000007000304fffdfffd
03dc0000000d00100005000306fffdfffdfffd,03dc00000006001000050003
03dd00000006000300050003,03dd00000009000306fffdfffdfffd
03de00000006000300260002,03de0000000700030400000000
03df0000000d00100026000306000000000000,03df00000003009002
03e000000006000300260002,03e00000000700030400000000
03e10000000d00100026000306000000001a13,03e100000003009002
03e200000006000300260002,03e20000000700030400000000
03e30000000d0010002600030600000000fffd,03e300000003009002
03e400000006000300260002,03e40000000700030400000000
03e50000000d0010002600030600001a130000,03e500000003009002
03e600000006000300260002,03e60000000700030400000000
03e70000000d0010002600030600001a131a13,03e700000003009002
03e800000006000300260002,03e80000000700030400000000
03e90000000d0010002600030600001a13fffd,03e900000003009002
03ea00000006000300260002,03ea0000000700030400000000
03eb0000000d001000260003060000fffd0000,03eb00000003009002
03ec00000006000300260002,03ec0000000700030400000000
03ed0000000d001000260003060000fffd1a13,03ed00000003009002
03ee00000006000300260002,03ee0000000700030400000000
03ef0000000d001000260003060000fffdfffd,03ef00000003009002
03f000000006000300260002,03f00000000700030400000000
03f10000000d001000260003061a1300000000,03f100000003009002
03f200000006000300260002,03f20000000700030400000000
