source_text,target_text
006700000006000300170001,0067000000050003020000
00680000000600060017aa4f,00680000000600060017aa4f
006900000006000300170001,006900000005000302aa4f
006a0000000600060017ffff,006a0000000600060017ffff
006b00000006000300170001,006b00000005000302ffff
006c00000006000300280001,006c00000003008302
006d00000006000600280000,006d00000003008602
006e00000006000300280001,006e00000003008302
006f000000060006002885f0,006f00000003008602
007000000006000300280001,007000000003008302
00710000000600060028ffff,007100000003008602
007200000006000300280001,007200000003008302
007300000006000300000001,007300000005000302ffff
00740000000b0010000000020400000000,007400000006001000000002
007500000006000300000001,0075000000050003020000
00760000000b001000000002040000d0ed,007600000006001000000002
007700000006000300000001,0077000000050003020000
00780000000b001000000002040000fffe,007800000006001000000002
007900000006000300000001,0079000000050003020000
007a0000000b00100000000204d0ed0000,007a00000006001000000002
007b00000006000300000001,007b00000005000302d0ed
007c0000000b00100000000204d0edd0ed,007c00000006001000000002
007d00000006000300000001,007d00000005000302d0ed
007e0000000b00100000000204d0edfffe,007e00000006001000000002
007f00000006000300000001,007f00000005000302d0ed
00800000000b00100000000204fffe0000,008000000006001000000002
008100000006000300000001,008100000005000302fffe
00820000000b00100000000204fffed0ed,008200000006001000000002
008300000006000300000001,008300000005000302fffe
00840000000b00100000000204fffefffe,008400000006001000000002
008500000006000300000002,008500000007000304fffefffe
008600000006000300240001,0086000000050003020000
00870000000b0010002400020400000000,008700000006001000240002
008800000006000300240001,0088000000050003020000
00890000000b0010002400020400008d9e,008900000006001000240002
008a00000006000300240001,008a000000050003020000
008b0000000b001000240002040000fffe,008b00000006001000240002
008c00000006000300240001,008c000000050003020000
008d0000000b001000240002048d9e0000,008d00000006001000240002
008e00000006000300240001,008e000000050003028d9e
008f0000000b001000240002048d9e8d9e,008f00000006001000240002
009000000006000300240001,0090000000050003028d9e
00910000000b001000240002048d9efffe,009100000006001000240002
009200000006000300240001,0092000000050003028d9e
00930000000b00100024000204fffe0000,009300000006001000240002
009400000006000300240001,009400000005000302fffe
00950000000b00100024000204fffe8d9e,009500000006001000240002
009600000006000300240001,009600000005000302fffe
00970000000b00100024000204fffefffe,009700000006001000240002
009800000006000300240002,009800000007000304fffefffe
009900000006000300270001,0099000000050003020000
009a0000000b0010002700020400000000,009a00000003009002
009b00000006000300270001,009b000000050003020000
009c0000000b00100027000204000091fd,009c00000003009002
009d00000006000300270001,009d000000050003020000
009e0000000b001000270002040000fffe,009e00000003009002
009f00000006000300270001,009f000000050003020000
00a00000000b0010002700020491fd0000,00a000000003009002
00a100000006000300270001,00a1000000050003020000
00a20000000b0010002700020491fd91fd,00a200000003009002
00a300000006000300270001,00a3000000050003020000
00a40000000b0010002700020491fdfffe,00a400000003009002
00a500000006000300270001,00a5000000050003020000
00a60000000b00100027000204fffe0000,00a600000003009002
00a700000006000300270001,00a7000000050003020000
00a80000000b00100027000204fffe91fd,00a800000003009002
00a900000006000300270001,00a9000000050003020000
00aa0000000b00100027000204fffefffe,00aa00000003009002
00ab00000006000300270002,00ab00000003008302
00ac00000006000300000002,00ac00000007000304fffefffe
00ad0000000d00100000000306000000000000,00ad00000006001000000003
00ae00000006000300000002,00ae0000000700030400000000
00af0000000d00100000000306000000005905,00af00000006001000000003
00b000000006000300000002,00b00000000700030400000000
00b10000000d0010000000030600000000fffd,00b100000006001000000003
00b200000006000300000002,00b20000000700030400000000
00b30000000d00100000000306000059050000,00b300000006001000000003
00b400000006000300000002,00b40000000700030400005905
00b50000000d00100000000306000059055905,00b500000006001000000003
00b600000006000300000002,00b60000000700030400005905
00b70000000d0010000000030600005905fffd,00b700000006001000000003
00b800000006000300000002,00b80000000700030400005905
00b90000000d001000000003060000fffd0000,00b900000006001000000003
00ba00000006000300000002,00ba000000070003040000fffd
00bb0000000d001000000003060000fffd5905,00bb00000006001000000003
00bc00000006000300000002,00bc000000070003040000fffd
00bd0000000d001000000003060000fffdfffd,00bd00000006001000000003
00be00000006000300000002,00be000000070003040000fffd
00bf0000000d00100000000306590500000000,00bf00000006001000000003
00c000000006000300000002,00c00000000700030459050000
00c10000000d00100000000306590500005905,00c100000006001000000003
00c200000006000300000002,00c20000000700030459050000
00c30000000d0010000000030659050000fffd,00c300000006001000000003
00c400000006000300000002,00c40000000700030459050000
00c50000000d00100000000306590559050000,00c500000006001000000003
00c600000006000300000002,00c60000000700030459055905
00c70000000d00100000000306590559055905,00c700000006001000000003
00c800000006000300000002,00c80000000700030459055905
00c90000000d0010000000030659055905fffd,00c900000006001000000003
00ca00000006000300000002,00ca0000000700030459055905
00cb0000000d001000000003065905fffd0000,00cb00000006001000000003
00cc00000006000300000002,00cc000000070003045905fffd
00cd0000000d001000000003065905fffd5905,00cd00000006001000000003
00ce00000006000300000002,00ce000000070003045905fffd
00cf0000000d001000000003065905fffdfffd,00cf00000006001000000003
00d000000006000300000002,00d0000000070003045905fffd
00d10000000d00100000000306fffd00000000,00d100000006001000000003
00d200000006000300000002,00d200000007000304fffd0000
00d30000000d00100000000306fffd00005905,00d300000006001000000003
00d400000006000300000002,00d400000007000304fffd0000
00d50000000d00100000000306fffd0000fffd,00d500000006001000000003
00d600000006000300000002,00d600000007000304fffd0000
00d70000000d00100000000306fffd59050000,00d700000006001000000003
00d800000006000300000002,00d800000007000304fffd5905
00d90000000d00100000000306fffd59055905,00d900000006001000000003
00da00000006000300000002,00da00000007000304fffd5905
00db0000000d00100000000306fffd5905fffd,00db00000006001000000003
00dc00000006000300000002,00dc00000007000304fffd5905
00dd0000000d00100000000306fffdfffd0000,00dd00000006001000000003
00de00000006000300000002,00de00000007000304fffdfffd
00df0000000d00100000000306fffdfffd5905,00df00000006001000000003
00e000000006000300000002,00e000000007000304fffdfffd
00e10000000d00100000000306fffdfffdfffd,00e100000006001000000003
00e200000006000300000003,00e200000009000306fffdfffdfffd
00e300000006000300230002,00e3000000070003040000fffe
00e40000000d00100023000306000000000000,00e400000006001000230003
00e500000006000300230002,00e50000000700030400000000
00e60000000d00100023000306000000002855,00e600000006001000230003
00e700000006000300230002,00e70000000700030400000000
00e80000000d0010002300030600000000fffd,00e800000006001000230003
00e900000006000300230002,00e90000000700030400000000
00ea0000000d00100023000306000028550000,00ea00000006001000230003
00eb00000006000300230002,00eb0000000700030400002855
00ec0000000d00100023000306000028552855,00ec00000006001000230003
