source_text,target_text
000100000006000300250002,00010000000700030400000000
000200000006000300000002,00020000000700030400000000
000300000008000f002600020101,000300000006000f00260002
000400000006000100000002,00040000000400010100
0005000000060001fffd0002,000500000003008102
00060000000d0010fffd0003060000ffff0000,000600000003009002
00070000000d001000280003060000ffff0000,000700000003009002
000800000006000300000001,0008000000050003020000
000900000006000300280001,000900000003008302
000a00000006000153c10001,000a00000003008102
000b00000006000300280002,000b00000003008302
000c00000006000300250002,000c0000000700030400000000
000d00000006000100280002,000d00000003008102
000e0000000b001010b1000204ffffffff,000e00000003009002
000f00000008000f000000030103,000f00000006000f00000003
00100000000d001086f3000306ffff7e3b7e3b,001000000003009002
00110000000d00100028000306ffff0000ffff,001100000003009002
001200000008000f000000030106,001200000006000f00000003
0013000000060001fffe0001,001300000003008102
00140000000b0010fffe000204ffff7a46,001400000003009002
001500000006000300200001,0015000000050003020000
001600000006000100260001,00160000000400010101
001700000006000100000001,00170000000400010100
0018000000060001fffd0002,001800000003008102
001900000006000100280001,001900000003008102
001a00000006000100000002,001a0000000400010102
001b000000060001fffd0002,001b00000003008102
001c0000000d00100020000306000084efffff,001c00000006001000200003
001d00000006000100030002,001d0000000400010100
001e00000006000100280001,001e00000003008102
001f0000000d0010e6d90003060000599d599d,001f00000003009002
00200000000d0010fffd0003060000ffff7e3b,002000000003009002
00210000000d001000000003060000ffffffff,002100000006001000000003
0022000000060001fffd0002,002200000003008102
002300000006000300210002,00230000000700030484efffff
00240000000d00100028000306000008f7ffff,002400000003009002
00250000000d00100001000306ffffffffffff,002500000006001000010003
002600000006000300280002,002600000003008302
0027000000060003e6d90002,002700000003008302
002800000006000100280001,002800000003008102
00290000000d0010fffd0003066086ffff6086,002900000003009002
002a000000060003fffd0002,002a00000003008302
002b000000060005fffeff00,002b00000003008502
002c000000060001e7810001,002c00000003008102
002d0000000b0010000000020411861186,002d00000006001000000002
002e0000000d0010c6ae000306ffffffffffff,002e00000003009002
002f00000006000300000002,002f0000000700030411861186
0030000000060001fffd0002,003000000003008102
0031000000060005fffdff00,003100000003008502
003200000008000f002600020100,003200000006000f00260002
003300000006000300000001,0033000000050003021186
00340000000b00100028000204ffffffff,003400000003009002
00350000000b00100020000204ffff0000,003500000006001000200002
00360000000d00100000000306ffffffffffff,003600000006001000000003
003700000006000300210002,0037000000070003040000ffff
0038000000060001d30d0001,003800000003008102
003900000006000300250002,00390000000700030400000000
003a00000006000100280001,003a00000003008102
003b00000008000f000000030104,003b00000006000f00000003
003c0000000d0010000d000306ffffffff6fa1,003c000000060010000d0003
003d0000000b001000260002040000ffff,003d00000006001000260002
003e0000000d0010fffd0003067e3b7e3b7e3b,003e00000003009002
003f00000008000f002600020102,003f00000006000f00260002
00400000000b0010002800020400000000,004000000003009002
004100000006000155f00002,004100000003008102
0042000000060005fffeff00,004200000003008502
00430000000b0010fffe000204ff17ffff,004300000003009002
0044000000060003fffd0002,004400000003008302
0045000000060003fffe0001,004500000003008302
