source_text,target_text
01870000000b001000270002040000fffe,018700000003009002
0188000000060005928eff00,018800000003008502
018900000006000300270001,0189000000050003020000
018a0000000600010bc60002,018a00000003008102
018b0000000600050022ff00,018b0000000600050022ff00
018c0000000d0010002600030636670000fffd,018c00000003009002
018d0000000b00100027000204fffefffe,018d00000003009002
018e0000000b00100021000204fffe0000,018e00000006001000210002
018f0000000b0010002900020400000000,018f00000003009002
019000000008000f002600030105,019000000003008f02
01910000000d001000000003060000fffdfffd,019100000006001000000003
01920000000d0010000b000306fffd00001b16,0192000000060010000b0003
01930000000600054cffff00,019300000003008502
019400000006000118140002,019400000003008102
01950000000d00100000000306000000008783,019500000006001000000003
01960000000b0010002100020487060000,019600000006001000210002
01970000000d0010fffd0003060000fffd7319,019700000003009002
019800000006000300260002,01980000000700030400000000
01990000000d00100006000306fffd0000a33c,019900000006001000060003
019a00000006000300270001,019a000000050003020000
019b00000006000100000001,019b0000000400010100
019c0000000b0010000f0002040000fffe,019c000000060010000f0002
019d00000006000300290002,019d00000003008302
019e00000008000f002600030101,019e00000003008f02
019f00000006000300260002,019f0000000700030400000000
01a00000000d00100000000306fffd56b156b1,01a000000006001000000003
01a100000006000300000002,01a100000007000304fffd56b1
01a200000008000f001300030105,01a200000006000f00130003
01a30000000d00100000000306fffd0000ffd8,01a300000006001000000003
01a400000006000300270001,01a4000000050003020000
01a50000000b00100029000204fffe0000,01a500000003009002
01a60000000d00100029000306fffd00000000,01a600000003009002
01a7000000060003001d0002,01a70000000700030400000000
01a80000000b0010fffe000204fffefeff,01a800000003009002
01a900000008000f000000030106,01a900000006000f00000003
01aa000000060005b33e0000,01aa00000003008502
01ab0000000d00100000000306fffdfffd0000,01ab00000006001000000003
01ac0000000d00100026000306987298729872,01ac00000003009002
01ad00000006000100240001,01ad0000000400010100
01ae0000000d0010002900030638edfffd0000,01ae00000003009002
01af000000060003000a0003,01af000000090003060000fffd0000
01b000000006000300000002,01b000000007000304fffdfffd
01b10000000d00100026000306064b064b064b,01b100000003009002
01b200000006000132f60002,01b200000003008102
01b30000000d001000290003060000fffdfffd,01b300000003009002
01b40000000b00100029000204fffe95e0,01b400000003009002
01b50000000d0010e39000030638ed00000000,01b500000003009002
01b6000000060003ef210002,01b600000003008302
01b70000000d00100006000306a33cfffd0000,01b700000006001000060003
01b800000006000300000002,01b800000007000304fffdfffd
01b900000006000103ed0002,01b900000003008102
