source_text,target_text
00010000000b001000000002043bcdc11f:000100000006001000000002|000200000006000400000002:,00020000000700040483e53b50
00030000000b00100000000204db8cc11e:000300000006001000000002|000400000006000400000002:,0004000000070004047e563b51
00050000000b0010000000020423a3c11b:000500000006001000000002|000600000006000400000002:,0006000000070004048c9a3b5b
00070000000b0010000000020431f9c119:000700000006001000000002|000800000006000400000002:,000800000007000404189a3b61
00090000000b00100000000204f27cc117:000900000006001000000002|000a00000006000400000002:,000a00000007000404c4a73b64
000b0000000b001000000002047fccc117:000b00000006001000000002|000c00000006000400000002:,000c000000070004041bb33b66
000d0000000b001000000002040f91c117:000d00000006001000000002|000e00000006000400000002:,000e000000070004046e513b67
000f0000000b00100000000204f06fc115:000f00000006001000000002|001000000006000400000002:,001000000007000404ddfe3b6a
00110000000b001000000002042eb2c115:001100000006001000000002|001200000006000400000002:,0012000000070004043a9e3b6d
00130000000b001000000002048bacc114:001300000006001000000002|001400000006000400000002:,0014000000070004043e723b6f
00150000000b00100000000204f0d8c111:001500000006001000000002|001600000006000400000002:,001600000007000404c20c3b77
00170000000b00100000000204d567c111:001700000006001000000002|001800000006000400000002:,0018000000070004041e383b78
00190000000b001000000002042474c111:001900000006001000000002|001a00000006000400000002:,001a00000007000404755c3b7a
001b0000000b0010000000020461e5c110:001b00000006001000000002|001c00000006000400000002:,001c0000000700040411ec3b7d
001d0000000b001000000002044e3cc110:001d00000006001000000002|001e00000006000400000002:,001e00000007000404560f3b7d
001f0000000b001000000002044d6ac10f:001f00000006001000000002|002000000006000400000002:,0020000000070004046d073b80
00210000000b001000000002044c30c10f:002100000006001000000002|002200000006000400000002:,0022000000070004046f323b80
00230000000b0010000000020428f6c10f:002300000006001000000002|002400000006000400000002:,002400000007000404ada73b80
00250000000b00100000000204a8c1c10e:002500000006001000000002|002600000006000400000002:,00260000000700040492773b81
00270000000b00100000000204a6b5c10e:002700000006001000000002|002800000006000400000002:,00280000000700040496243b81
00290000000b001000000002049581c10d:002900000006001000000002|002a00000006000400000002:,002a0000000700040485cd3b83
002b0000000b001000000002044674c10d:002b00000006001000000002|002c00000006000400000002:,002c0000000700040417483b84
002d0000000b001000000002043d71c10d:002d00000006001000000002|002e00000006000400000002:,002e0000000700040427ee3b84
002f0000000b00100000000204e910c10c:002f00000006001000000002|003000000006000400000002:,003000000007000404c45e3b84
00310000000b00100000000204d35bc10c:003100000006001000000002|003200000006000400000002:,003200000007000404ecca3b84
00330000000b00100000000204e354c10b:003300000006001000000002|003400000006000400000002:,003400000007000404b0913b86
00350000000b00100000000204d639c10a:003500000006001000000002|003600000006000400000002:,003600000007000404b5cf3b88
00370000000b00100000000204b8bbc10a:003700000006001000000002|003800000006000400000002:,003800000007000404ef323b88
00390000000b00100000000204ff2ec109:003900000006001000000002|003a00000006000400000002:,003a000000070004045b833b8a
003b0000000b00100000000204de01c109:003b00000006001000000002|003c00000006000400000002:,003c000000070004049d3f3b8a
003d0000000b0010000000020481d8c109:003d00000006001000000002|003e00000006000400000002:,003e0000000700040454cf3b8b
003f0000000b00100000000204f141c108:003f00000006001000000002|004000000006000400000002:,00400000000700040477ab3b8c
00410000000b00100000000204645ac108:004100000006001000000002|004200000006000400000002:,00420000000700040496883b8d
00430000000b001000000002047ae1c107:004300000006001000000002|004400000006000400000002:,004400000007000404796f3b8f
00450000000b0010000000020402dec107:004500000006001000000002|004600000006000400000002:,00460000000700040475693b90
00470000000b00100000000204e282c106:004700000006001000000002|004800000006000400000002:,004800000007000404b9cb3b90
00490000000b001000000002047f63c106:004900000006001000000002|004a00000006000400000002:,004a000000070004048c6f3b91
004b0000000b00100000000204566dc106:004b00000006001000000002|004c00000006000400000002:,004c00000007000404e4013b91
004d0000000b0010000000020418fcc104:004d00000006001000000002|004e00000006000400000002:,004e00000007000404cee93b96
004f0000000b001000000002049ba6c103:004f00000006001000000002|005000000006000400000002:,005000000007000404ea7f3b97
00510000000b001000000002047ceec103:005100000006001000000002|005200000006000400000002:,00520000000700040430793b98
00530000000b00100000000204a512c102:005300000006001000000002|005400000006000400000002:,005400000007000404218e3b9a
00550000000b00100000000204a234c101:005500000006001000000002|005600000006000400000002:,00560000000700040482423b9c
00570000000b00100000000204d42cc100:005700000006001000000002|005800000006000400000002:,00580000000700040470ca3b9e
00590000000b00100000000204b852c100:005900000006001000000002|005a00000006000400000002:,005a00000007000404b4573b9e
005b0000000b00100000000204f7cfc0ff:005b00000006001000000002|005c00000006000400000002:,005c0000000700040481c23ba0
005d0000000b001000000002043958c0fe:005d00000006001000000002|005e00000006000400000002:,005e00000007000404aea03ba2
005f0000000b001000000002042c3dc0fe:005f00000006001000000002|006000000006000400000002:,006000000007000404bf253ba2
00610000000b00100000000204d5d0c0fc:006100000006001000000002|006200000006000400000002:,006200000007000404722b3ba4
00630000000b00100000000204a7f0c0fa:006300000006001000000002|006400000006000400000002:,00640000000700040445903ba7
00650000000b001000000002044120c0f9:006500000006001000000002|006600000006000400000002:,00660000000700040420ad3ba9
00670000000b00100000000204aa65c0f8:006700000006001000000002|006800000006000400000002:,006800000007000404ea9c3ba9
00690000000b00100000000204a8c1c0f8:006900000006001000000002|006a00000006000400000002:,006a00000007000404ecd13ba9
006b0000000b00100000000204432dc0f8:006b00000006001000000002|006c00000006000400000002:,006c0000000700040475b43baa
