source_text,target_text
00010000000b001000000002040000c120:000100000006001000000002|000200000006000400000002:,0002000000070004048aca3b4e
00030000000b00100000000204afb8c11f:000300000006001000000002|000400000006000400000002:,000400000007000404589a3b4f
00050000000b001000000002045fd9c11f:000500000006001000000002|000600000006000400000002:,000600000007000404268d3b50
00070000000b001000000002040f91c11f:000700000006001000000002|000800000006000400000002:,000800000007000404f6c53b50
00090000000b00100000000204bfb1c11e:000900000006001000000002|000a00000006000400000002:,000a00000007000404c7243b51
000b0000000b001000000002046f69c11e:000b00000006001000000002|000c00000006000400000002:,000c0000000700040499cc3b52
000d0000000b001000000002041f8ac11e:000d00000006001000000002|000e00000006000400000002:,000e000000070004046c9b3b53
000f0000000b00100000000204cf42c11d:000f00000006001000000002|001000000006000400000002:,00100000000700040441be3b54
00110000000b001000000002047f63c11d:001100000006001000000002|001200000006000400000002:,00120000000700040417083b55
00130000000b001000000002042f1bc11d:001300000006001000000002|001400000006000400000002:,001400000007000404eeaf3b55
00150000000b00100000000204df3bc11c:001500000006001000000002|001600000006000400000002:,001600000007000404c6843b56
00170000000b001000000002048ef3c11c:001700000006001000000002|001800000006000400000002:,001800000007000404a0ba3b57
00190000000b001000000002043f14c11c:001900000006001000000002|001a00000006000400000002:,001a000000070004047b1b3b58
001b0000000b00100000000204eeccc11b:001b00000006001000000002|001c00000006000400000002:,001c0000000700040457ea3b59
001d0000000b001000000002049eedc11b:001d00000006001000000002|001e00000006000400000002:,001e0000000700040434e73b5a
001f0000000b001000000002044ea5c11b:001f00000006001000000002|002000000006000400000002:,00200000000700040414593b5b
00210000000b00100000000204fec5c11a:002100000006001000000002|002200000006000400000002:,002200000007000404f3ff3b5b
00230000000b00100000000204ae7dc11a:002300000006001000000002|002400000006000400000002:,002400000007000404d61f3b5c
00250000000b001000000002045e9ec11a:002500000006001000000002|002600000006000400000002:,002600000007000404b8723b5d
00270000000b001000000002040e56c11a:002700000006001000000002|002800000006000400000002:,0028000000070004049d4b3b5e
00290000000b00100000000204be77c119:002900000006001000000002|002a00000006000400000002:,002a0000000700040482593b5f
002b0000000b001000000002046e2fc119:002b00000006001000000002|002c00000006000400000002:,002c0000000700040469f83b60
002d0000000b001000000002041e4fc119:002d00000006001000000002|002e00000006000400000002:,002e0000000700040451cf3b61
002f0000000b00100000000204ce07c118:002f00000006001000000002|003000000006000400000002:,0030000000070004043c3d3b62
00310000000b001000000002047e28c118:003100000006001000000002|003200000006000400000002:,00320000000700040426e43b63
00330000000b001000000002042de0c118:003300000006001000000002|003400000006000400000002:,003400000007000404142e3b64
00350000000b00100000000204de01c117:003500000006001000000002|003600000006000400000002:,00360000000700040401b23b65
00370000000b001000000002048db9c117:003700000006001000000002|003800000006000400000002:,003800000007000404f1e43b65
00390000000b001000000002043dd9c117:003900000006001000000002|003a00000006000400000002:,003a00000007000404e2543b66
003b0000000b00100000000204ed91c116:003b00000006001000000002|003c00000006000400000002:,003c00000007000404d5793b67
003d0000000b001000000002049db2c116:003d00000006001000000002|003e00000006000400000002:,003e00000007000404c8dd3b68
003f0000000b001000000002044d6ac116:003f00000006001000000002|004000000006000400000002:,004000000007000404bf023b69
00410000000b00100000000204fd8bc115:004100000006001000000002|004200000006000400000002:,004200000007000404b5683b6a
00430000000b00100000000204ad43c115:004300000006001000000002|004400000006000400000002:,004400000007000404ae993b6b
00450000000b001000000002045d64c115:004500000006001000000002|004600000006000400000002:,004600000007000404a80f3b6c
00470000000b001000000002040d1bc115:004700000006001000000002|004800000006000400000002:,004800000007000404a45e3b6d
00490000000b00100000000204bd3cc114:004900000006001000000002|004a00000006000400000002:,004a00000007000404a0ee3b6e
004b0000000b001000000002046cf4c114:004b00000006001000000002|004c00000006000400000002:,004c00000007000404a0613b6f
004d0000000b001000000002041d15c114:004d00000006001000000002|004e00000006000400000002:,004e00000007000404a01b3b70
004f0000000b00100000000204cccdc113:004f00000006001000000002|005000000006000400000002:,005000000007000404a2c13b71
00510000000b001000000002047ceec113:005100000006001000000002|005200000006000400000002:,005200000007000404a5b23b72
00530000000b001000000002042ca5c113:005300000006001000000002|005400000006000400000002:,005400000007000404ab9d3b73
00550000000b00100000000204dcc6c112:005500000006001000000002|005600000006000400000002:,005600000007000404b1d43b74
00570000000b001000000002048c7ec112:005700000006001000000002|005800000006000400000002:,005800000007000404bb0b3b75
00590000000b001000000002043c9fc112:005900000006001000000002|005a00000006000400000002:,005a00000007000404c4943b76
005b0000000b00100000000204ec57c111:005b00000006001000000002|005c00000006000400000002:,005c00000007000404d12b3b77
005d0000000b001000000002049c78c111:005d00000006001000000002|005e00000006000400000002:,005e00000007000404de133b78
005f0000000b001000000002044c30c111:005f00000006001000000002|006000000006000400000002:,006000000007000404ee163b79
00610000000b00100000000204fc50c110:006100000006001000000002|006200000006000400000002:,006200000007000404fe733b7a
00630000000b00100000000204ac08c110:006300000006001000000002|006400000006000400000002:,00640000000700040411f13b7c
00650000000b001000000002045c29c110:006500000006001000000002|006600000006000400000002:,00660000000700040425c83b7d
00670000000b001000000002040be1c110:006700000006001000000002|006800000006000400000002:,0068000000070004043cd33b7e
00690000000b00100000000204bc02c10f:006900000006001000000002|006a00000006000400000002:,006a0000000700040454373b7f
006b0000000b001000000002046bbac10f:006b00000006001000000002|006c00000006000400000002:,006c00000007000404376e3b80
006d0000000b001000000002041bdac10f:006d00000006001000000002|006e00000006000400000002:,006e00000007000404c4f13b80
006f0000000b00100000000204cb92c10e:006f00000006001000000002|007000000006000400000002:,00700000000700040454183b81
00710000000b001000000002047bb3c10e:007100000006001000000002|007200000006000400000002:,007200000007000404e3713b81
00730000000b001000000002042b6bc10e:007300000006001000000002|007400000006000400000002:,00740000000700040474763b82
00750000000b00100000000204db8cc10d:007500000006001000000002|007600000006000400000002:,00760000000700040405ad3b83
00770000000b001000000002048b44c10d:007700000006001000000002|007800000006000400000002:,00780000000700040498973b83
