source_text,target_text
00010000000f00100000000408f800fffff803ffff:000100000006001000000004|000200000006000400000004:,00020000000b00040800000000ff00ffff
00030000000f00100000000408f801fffff804ffff:000300000006001000000004|000400000006000400000004:,00040000000b00040800002000ff00ffff
00050000000f00100000000408f802fffff805ffff:000500000006001000000004|000600000006000400000004:,00060000000b00040800004000ff00ffff
00070000000f00100000000408f803fffff806ffff:000700000006001000000004|000800000006000400000004:,00080000000b00040800006000ff00ffff
00090000000f00100000000408f804fffff807ffff:000900000006001000000004|000a00000006000400000004:,000a0000000b00040800008000ff00ffff
000b0000000f00100000000408f805fffff808ffff:000b00000006001000000004|000c00000006000400000004:,000c0000000b0004080000a000ff00ffff
000d0000000f00100000000408f806fffff809ffff:000d00000006001000000004|000e00000006000400000004:,000e0000000b0004080000c000ff00ffff
000f0000000f00100000000408f807fffff80affff:000f00000006001000000004|001000000006000400000004:,00100000000b0004080000e000ff00ffff
00110000000f00100000000408f808fffff80bffff:001100000006001000000004|001200000006000400000004:,00120000000b00040800000000ff01ffff
00130000000f00100000000408f809fffff80cffff:001300000006001000000004|001400000006000400000004:,00140000000b00040800002000ff01ffff
00150000000f00100000000408f80afffff80dffff:001500000006001000000004|001600000006000400000004:,00160000000b00040800004000ff01ffff
00170000000f00100000000408f80bfffff80effff:001700000006001000000004|001800000006000400000004:,00180000000b00040800006000ff01ffff
00190000000f00100000000408f80cfffff80fffff:001900000006001000000004|001a00000006000400000004:,001a0000000b00040800008000ff01ffff
001b0000000f00100000000408f80dfffff810ffff:001b00000006001000000004|001c00000006000400000004:,001c0000000b0004080000a000ff01ffff
001d0000000f00100000000408f80efffff811ffff:001d00000006001000000004|001e00000006000400000004:,001e0000000b0004080000c000ff01ffff
001f0000000f00100000000408f80ffffff812ffff:001f00000006001000000004|002000000006000400000004:,00200000000b0004080000e000ff01ffff
00210000000f00100000000408f810fffff813ffff:002100000006001000000004|002200000006000400000004:,00220000000b00040800000000ff02ffff
00230000000f00100000000408f811fffff814ffff:002300000006001000000004|002400000006000400000004:,00240000000b00040800002000ff02ffff
00250000000f00100000000408f812fffff815ffff:002500000006001000000004|002600000006000400000004:,00260000000b00040800004000ff02ffff
00270000000f00100000000408f813fffff816ffff:002700000006001000000004|002800000006000400000004:,00280000000b00040800006000ff02ffff
00290000000f00100000000408f814fffff817ffff:002900000006001000000004|002a00000006000400000004:,002a0000000b00040800008000ff02ffff
002b0000000f00100000000408f815fffff818ffff:002b00000006001000000004|002c00000006000400000004:,002c0000000b0004080000a000ff02ffff
002d0000000f00100000000408f816fffff819ffff:002d00000006001000000004|002e00000006000400000004:,002e0000000b0004080000c000ff02ffff
