source_text,target_text
00010000000b001000000002046309cebc:000100000006001000000002|00020000000b0010000200020447ce5e8e:000200000006001000020002|000300000006000400000004:,00030000000b0004084a24837b9c2f4055
00020000000b0010000200020447ce5e8e:000200000006001000020002|000300000006000400000004:00030000000b0004084a24837b9c2f4055|00040000000b001000000002046b3a66ad:,000400000006001000000002
000300000006000400000004:00030000000b0004084a24837b9c2f4055|00040000000b001000000002046b3a66ad:000400000006001000000002|00050000000b0010000200020425e110a5:,000500000006001000020002
00040000000b001000000002046b3a66ad:000400000006001000000002|00050000000b0010000200020425e110a5:000500000006001000020002|000600000006000400000004:,00060000000b000408205cf1418463406b
00050000000b0010000200020425e110a5:000500000006001000020002|000600000006000400000004:00060000000b000408205cf1418463406b|00070000000b00100000000204dbf4392f:,000700000006001000000002
000600000006000400000004:00060000000b000408205cf1418463406b|00070000000b00100000000204dbf4392f:000700000006001000000002|00080000000b00100002000204951d1bcf:,000800000006001000020002
00070000000b00100000000204dbf4392f:000700000006001000000002|00080000000b00100002000204951d1bcf:000800000006001000020002|000900000006000400000004:,00090000000b0004081688ced91bf7406c
00080000000b00100002000204951d1bcf:000800000006001000020002|000900000006000400000004:00090000000b0004081688ced91bf7406c|000a0000000b0010000000020468a2dae6:,000a00000006001000000002
000900000006000400000004:00090000000b0004081688ced91bf7406c|000a0000000b0010000000020468a2dae6:000a00000006001000000002|000b0000000b001000020002048d49815d:,000b00000006001000020002
000a0000000b0010000000020468a2dae6:000a00000006001000000002|000b0000000b001000020002048d49815d:000b00000006001000020002|000c00000006000400000004:,000c0000000b000408c2f9aa64c2604085
000b0000000b001000020002048d49815d:000b00000006001000020002|000c00000006000400000004:000c0000000b000408c2f9aa64c2604085|000d0000000b001000000002042e34e3f4:,000d00000006001000000002
000c00000006000400000004:000c0000000b000408c2f9aa64c2604085|000d0000000b001000000002042e34e3f4:000d00000006001000000002|000e0000000b0010000200020480c9b58e:,000e00000006001000020002
000d0000000b001000000002042e34e3f4:000d00000006001000000002|000e0000000b0010000200020480c9b58e:000e00000006001000020002|000f00000006000400000004:,000f0000000b0004088b44e76c33fb4081
000e0000000b0010000200020480c9b58e:000e00000006001000020002|000f00000006000400000004:000f0000000b0004088b44e76c33fb4081|00100000000b00100000000204ea63bf09:,001000000006001000000002
000f00000006000400000004:000f0000000b0004088b44e76c33fb4081|00100000000b00100000000204ea63bf09:001000000006001000000002|00110000000b001000020002047bba5de6:,001100000006001000020002
00100000000b00100000000204ea63bf09:001000000006001000000002|00110000000b001000020002047bba5de6:001100000006001000020002|001200000006000400000004:,00120000000b0004087f633dd9f4794075
00110000000b001000020002047bba5de6:001100000006001000020002|001200000006000400000004:00120000000b0004087f633dd9f4794075|00130000000b0010000000020499239001:,001300000006001000000002
001200000006000400000004:00120000000b0004087f633dd9f4794075|00130000000b0010000000020499239001:001300000006001000000002|00140000000b001000020002041e343bdf:,001400000006001000020002
00130000000b0010000000020499239001:001300000006001000000002|00140000000b001000020002041e343bdf:001400000006001000020002|001500000006000400000004:,00150000000b0004089f56adab63d84078
00140000000b001000020002041e343bdf:001400000006001000020002|001500000006000400000004:00150000000b0004089f56adab63d84078|00160000000b001000000002049f301f6c:,001600000006001000000002
001500000006000400000004:00150000000b0004089f56adab63d84078|00160000000b001000000002049f301f6c:001600000006001000000002|00170000000b00100002000204f45b3c4e:,001700000006001000020002
00160000000b001000000002049f301f6c:001600000006001000000002|00170000000b00100002000204f45b3c4e:001700000006001000020002|001800000006000400000004:,00180000000b000408f0074816f2504080
00170000000b00100002000204f45b3c4e:001700000006001000020002|001800000006000400000004:00180000000b000408f0074816f2504080|00190000000b001000000002048cdfd5e1:,001900000006001000000002
001800000006000400000004:00180000000b000408f0074816f2504080|00190000000b001000000002048cdfd5e1:001900000006001000000002|001a0000000b0010000200020487a2d3fb:,001a00000006001000020002
00190000000b001000000002048cdfd5e1:001900000006001000000002|001a0000000b0010000200020487a2d3fb:001a00000006001000020002|001b00000006000400000004:,001b0000000b000408ce70d288a0de4030
