source_text,target_text
00010000000b00100000000204fe5dc03f:000100000006001000000002|000200000006000400000002:,000200000007000404110b4121
00030000000b00100000000204fb16c03f:000300000006001000000002|000400000006000400000002:,00040000000700040408d74121
00050000000b00100000000204f141c03f:000500000006001000000002|000600000006000400000002:,000600000007000404f03b4120
00070000000b00100000000204ef9ec03f:000700000006001000000002|000800000006000400000002:,000800000007000404ec224120
00090000000b00100000000204ef9ec03f:000900000006001000000002|000a00000006000400000002:,000a00000007000404ec224120
000b0000000b00100000000204ec57c03f:000b00000006001000000002|000c00000006000400000002:,000c00000007000404e3ef4120
000d0000000b00100000000204eab3c03f:000d00000006001000000002|000e00000006000400000002:,000e00000007000404dfd54120
000f0000000b00100000000204c505c03f:000f00000006001000000002|001000000006000400000002:,00100000000700040481b24120
00110000000b00100000000204b4a2c03f:001100000006001000000002|001200000006000400000002:,00120000000700040458d34120
00130000000b0010000000020481d8c03f:001300000006001000000002|001400000006000400000002:,001400000007000404da69411f
00150000000b0010000000020474bcc03f:001500000006001000000002|001600000006000400000002:,001600000007000404b9d8411f
00170000000b001000000002042b02c03f:001700000006001000000002|001800000006000400000002:,001800000007000404032e411f
00190000000b001000000002042474c03f:001900000006001000000002|001a00000006000400000002:,001a00000007000404f2fb411e
001b0000000b00100000000204212dc03f:001b00000006001000000002|001c00000006000400000002:,001c00000007000404eae2411e
001d0000000b00100000000204212dc03f:001d00000006001000000002|001e00000006000400000002:,001e00000007000404eae2411e
001f0000000b001000000002041de7c03f:001f00000006001000000002|002000000006000400000002:,002000000007000404e2cc411e
00210000000b001000000002041759c03f:002100000006001000000002|002200000006000400000002:,002200000007000404d29d411e
00230000000b001000000002041412c03f:002300000006001000000002|002400000006000400000002:,002400000007000404ca85411e
00250000000b001000000002040553c03f:002500000006001000000002|002600000006000400000002:,002600000007000404a622411e
00270000000b00100000000204f9dbc03e:002700000006001000000002|002800000006000400000002:,00280000000700040489dc411e
00290000000b00100000000204f694c03e:002900000006001000000002|002a00000006000400000002:,002a0000000700040481c9411e
002b0000000b00100000000204f34dc03e:002b00000006001000000002|002c00000006000400000002:,002c0000000700040479b5411e
002d0000000b00100000000204eb1cc03e:002d00000006001000000002|002e00000006000400000002:,002e000000070004046589411e
002f0000000b00100000000204cd9fc03e:002f00000006001000000002|003000000006000400000002:,0030000000070004041cfe411e
00310000000b00100000000204acdac03e:003100000006001000000002|003200000006000400000002:,003200000007000404cc88411d
00330000000b001000000002049931c03e:003300000006001000000002|003400000006000400000002:,0034000000070004049c56411d
00350000000b001000000002048db9c03e:003500000006001000000002|003600000006000400000002:,003600000007000404803f411d
00370000000b001000000002048241c03e:003700000006001000000002|003800000006000400000002:,003800000007000404642e411d
00390000000b00100000000204809dc03e:003900000006001000000002|003a00000006000400000002:,003a00000007000404602b411d
003b0000000b001000000002047d56c03e:003b00000006001000000002|003c00000006000400000002:,003c000000070004045826411d
003d0000000b0010000000020476c9c03e:003d00000006001000000002|003e00000006000400000002:,003e000000070004044822411d
003f0000000b0010000000020464c3c03e:003f00000006001000000002|004000000006000400000002:,0040000000070004041c18411d
00410000000b001000000002045fd9c03e:004100000006001000000002|004200000006000400000002:,0042000000070004041018411d
00430000000b001000000002044c30c03e:004300000006001000000002|004400000006000400000002:,004400000007000404e020411c
00450000000b0010000000020440b8c03e:004500000006001000000002|004600000006000400000002:,004600000007000404c42b411c
00470000000b0010000000020431f9c03e:004700000006001000000002|004800000006000400000002:,004800000007000404a041411c
00490000000b001000000002041965c03e:004900000006001000000002|004a00000006000400000002:,004a000000070004046478411c
004b0000000b00100000000204147bc03e:004b00000006001000000002|004c00000006000400000002:,004c000000070004045886411c
004d0000000b001000000002040903c03e:004d00000006001000000002|004e00000006000400000002:,004e000000070004043ca9411c
004f0000000b00100000000204ff2ec03d:004f00000006001000000002|005000000006000400000002:,00500000000700040424cb411c
00510000000b00100000000204f55ac03d:005100000006001000000002|005200000006000400000002:,0052000000070004040cf3411c
00530000000b00100000000204f06fc03d:005300000006001000000002|005400000006000400000002:,0054000000070004040105411c
00550000000b00100000000204e69bc03d:005500000006001000000002|005600000006000400000002:,005600000007000404e932411b
00570000000b00100000000204cc64c03d:005700000006001000000002|005800000006000400000002:,005800000007000404a9b9411b
00590000000b00100000000204b717c03d:005900000006001000000002|005a00000006000400000002:,005a000000070004047639411b
005b0000000b00100000000204a858c03d:005b00000006001000000002|005c00000006000400000002:,005c00000007000404529d411b
005d0000000b00100000000204a36ec03d:005d00000006001000000002|005e00000006000400000002:,005e0000000700040446c0411b
