source_text,target_text
00010000001700100000000810ffcfffffffd2ffffffcdffffffd0ffff:000100000006001000000008|000200000006000400000004:,00020000000b00040800000000fffaffff
00030000001700100000000810ffcfffffffd2ffffffcdffffffdeffff:000300000006001000000008|000400000006000400000004:,00040000000b0004080000c000fffbffff
00050000001700100000000810ffcfffffffd2ffffffcdffffffecffff:000500000006001000000008|000600000006000400000004:,00060000000b00040800008000fffdffff
00070000001700100000000810ffcfffffffd2ffffffcdfffffffaffff:000700000006001000000008|000800000006000400000004:,00080000000b00040800004000ffffffff
00090000001700100000000810ffcfffffffd2ffffffcdffff00080000:000900000006001000000008|000a00000006000400000004:,000a0000000b000408000000009a0040b0
000b0000001700100000000810ffcfffffffd2ffffffcdffff00160000:000b00000006001000000008|000c00000006000400000004:,000c0000000b000408000000009a0040b0
000d0000001700100000000810ffcfffffffd2ffffffcdffff00240000:000d00000006001000000008|000e00000006000400000004:,000e0000000b000408000000009a0040b0
000f0000001700100000000810ffcfffffffd2ffffffcdffff00320000:000f00000006001000000008|001000000006000400000004:,00100000000b000408000000009a0040b0
00110000001700100000000810ffcfffffffd2ffffffdbffffffd0ffff:001100000006001000000008|001200000006000400000004:,00120000000b00040800000000fffaffff
00130000001700100000000810ffcfffffffd2ffffffdbffffffdeffff:001300000006001000000008|001400000006000400000004:,00140000000b0004080000c000fffbffff
00150000001700100000000810ffcfffffffd2ffffffdbffffffecffff:001500000006001000000008|001600000006000400000004:,00160000000b00040800008000fffdffff
00170000001700100000000810ffcfffffffd2ffffffdbfffffffaffff:001700000006001000000008|001800000006000400000004:,00180000000b00040800004000ffffffff
00190000001700100000000810ffcfffffffd2ffffffdbffff00080000:001900000006001000000008|001a00000006000400000004:,001a0000000b000408000000009a0040b0
001b0000001700100000000810ffcfffffffd2ffffffdbffff00160000:001b00000006001000000008|001c00000006000400000004:,001c0000000b000408000000009a0040b0
001d0000001700100000000810ffcfffffffd2ffffffdbffff00240000:001d00000006001000000008|001e00000006000400000004:,001e0000000b000408000000009a0040b0
001f0000001700100000000810ffcfffffffd2ffffffdbffff00320000:001f00000006001000000008|002000000006000400000004:,00200000000b000408000000009a0040b0
00210000001700100000000810ffcfffffffd2ffffffe9ffffffd0ffff:002100000006001000000008|002200000006000400000004:,00220000000b00040800000000fffaffff
00230000001700100000000810ffcfffffffd2ffffffe9ffffffdeffff:002300000006001000000008|002400000006000400000004:,00240000000b0004080000c000fffbffff
00250000001700100000000810ffcfffffffd2ffffffe9ffffffecffff:002500000006001000000008|002600000006000400000004:,00260000000b00040800008000fffdffff
00270000001700100000000810ffcfffffffd2ffffffe9fffffffaffff:002700000006001000000008|002800000006000400000004:,00280000000b00040800004000ffffffff
00290000001700100000000810ffcfffffffd2ffffffe9ffff00080000:002900000006001000000008|002a00000006000400000004:,002a0000000b000408000000009a0040b0
002b0000001700100000000810ffcfffffffd2ffffffe9ffff00160000:002b00000006001000000008|002c00000006000400000004:,002c0000000b000408000000009a0040b0
002d0000001700100000000810ffcfffffffd2ffffffe9ffff00240000:002d00000006001000000008|002e00000006000400000004:,002e0000000b000408000000009a0040b0
002f0000001700100000000810ffcfffffffd2ffffffe9ffff00320000:002f00000006001000000008|003000000006000400000004:,00300000000b000408000000009a0040b0
00310000001700100000000810ffcfffffffd2fffffff7ffffffd0ffff:003100000006001000000008|003200000006000400000004:,00320000000b00040800000000fffaffff
00330000001700100000000810ffcfffffffd2fffffff7ffffffdeffff:003300000006001000000008|003400000006000400000004:,00340000000b0004080000c000fffbffff
00350000001700100000000810ffcfffffffd2fffffff7ffffffecffff:003500000006001000000008|003600000006000400000004:,00360000000b00040800008000fffdffff
00370000001700100000000810ffcfffffffd2fffffff7fffffffaffff:003700000006001000000008|003800000006000400000004:,00380000000b00040800004000ffffffff
00390000001700100000000810ffcfffffffd2fffffff7ffff00080000:003900000006001000000008|003a00000006000400000004:,003a0000000b000408000000009a0040b0
003b0000001700100000000810ffcfffffffd2fffffff7ffff00160000:003b00000006001000000008|003c00000006000400000004:,003c0000000b000408000000009a0040b0
003d0000001700100000000810ffcfffffffd2fffffff7ffff00240000:003d00000006001000000008|003e00000006000400000004:,003e0000000b000408000000009a0040b0
003f0000001700100000000810ffcfffffffd2fffffff7ffff00320000:003f00000006001000000008|004000000006000400000004:,00400000000b000408000000009a0040b0
00410000001700100000000810ffcfffffffd2ffff00050000ffd0ffff:004100000006001000000008|004200000006000400000004:,00420000000b00040800000000fffaffff
00430000001700100000000810ffcfffffffd2ffff00050000ffdeffff:004300000006001000000008|004400000006000400000004:,00440000000b0004080000c000fffbffff
00450000001700100000000810ffcfffffffd2ffff00050000ffecffff:004500000006001000000008|004600000006000400000004:,00460000000b00040800008000fffdffff
00470000001700100000000810ffcfffffffd2ffff00050000fffaffff:004700000006001000000008|004800000006000400000004:,00480000000b00040800004000ffffffff
00490000001700100000000810ffcfffffffd2ffff0005000000080000:004900000006001000000008|004a00000006000400000004:,004a0000000b000408000000009a0040b0
004b0000001700100000000810ffcfffffffd2ffff0005000000160000:004b00000006001000000008|004c00000006000400000004:,004c0000000b000408000000009a0040b0
004d0000001700100000000810ffcfffffffd2ffff0005000000240000:004d00000006001000000008|004e00000006000400000004:,004e0000000b000408000000009a0040b0
004f0000001700100000000810ffcfffffffd2ffff0005000000320000:004f00000006001000000008|005000000006000400000004:,00500000000b000408000000009a0040b0
00510000001700100000000810ffcfffffffd2ffff00130000ffd0ffff:005100000006001000000008|005200000006000400000004:,00520000000b00040800000000fffaffff
00530000001700100000000810ffcfffffffd2ffff00130000ffdeffff:005300000006001000000008|005400000006000400000004:,00540000000b0004080000c000fffbffff
00550000001700100000000810ffcfffffffd2ffff00130000ffecffff:005500000006001000000008|005600000006000400000004:,00560000000b00040800008000fffdffff
00570000001700100000000810ffcfffffffd2ffff00130000fffaffff:005700000006001000000008|005800000006000400000004:,00580000000b00040800004000ffffffff
00590000001700100000000810ffcfffffffd2ffff0013000000080000:005900000006001000000008|005a00000006000400000004:,005a0000000b000408000000009a0040b0
005b0000001700100000000810ffcfffffffd2ffff0013000000160000:005b00000006001000000008|005c00000006000400000004:,005c0000000b000408000000009a0040b0
005d0000001700100000000810ffcfffffffd2ffff0013000000240000:005d00000006001000000008|005e00000006000400000004:,005e0000000b000408000000009a0040b0
005f0000001700100000000810ffcfffffffd2ffff0013000000320000:005f00000006001000000008|006000000006000400000004:,00600000000b000408000000009a0040b0
00610000001700100000000810ffcfffffffd2ffff00210000ffd0ffff:006100000006001000000008|006200000006000400000004:,00620000000b00040800000000fffaffff
00630000001700100000000810ffcfffffffd2ffff00210000ffdeffff:006300000006001000000008|006400000006000400000004:,00640000000b0004080000c000fffbffff
00650000001700100000000810ffcfffffffd2ffff00210000ffecffff:006500000006001000000008|006600000006000400000004:,00660000000b00040800008000fffdffff
00670000001700100000000810ffcfffffffd2ffff00210000fffaffff:006700000006001000000008|006800000006000400000004:,00680000000b00040800004000ffffffff
00690000001700100000000810ffcfffffffd2ffff0021000000080000:006900000006001000000008|006a00000006000400000004:,006a0000000b000408000000009a0040b0
006b0000001700100000000810ffcfffffffd2ffff0021000000160000:006b00000006001000000008|006c00000006000400000004:,006c0000000b000408000000009a0040b0
006d0000001700100000000810ffcfffffffd2ffff0021000000240000:006d00000006001000000008|006e00000006000400000004:,006e0000000b000408000000009a0040b0
006f0000001700100000000810ffcfffffffd2ffff0021000000320000:006f00000006001000000008|007000000006000400000004:,00700000000b000408000000009a0040b0
00710000001700100000000810ffcfffffffd2ffff002f0000ffd0ffff:007100000006001000000008|007200000006000400000004:,00720000000b00040800000000fffaffff
