source_text,target_text
000100000006000600009bb0:000100000006000600009bb0|00020000000600060001d7f9:00020000000600060001d7f9|0003000000060006000251ff:0003000000060006000251ff|00040000000600060003a75c:00040000000600060003a75c|000500000006000400000004:,00050000000b000408000000004d3ec140
00020000000600060001d7f9:00020000000600060001d7f9|0003000000060006000251ff:0003000000060006000251ff|00040000000600060003a75c:00040000000600060003a75c|000500000006000400000004:00050000000b000408000000004d3ec140|00060000000600060000c153:,00060000000600060000c153
0003000000060006000251ff:0003000000060006000251ff|00040000000600060003a75c:00040000000600060003a75c|000500000006000400000004:00050000000b000408000000004d3ec140|00060000000600060000c153:00060000000600060000c153|000700000006000600018f7e:,000700000006000600018f7e
00040000000600060003a75c:00040000000600060003a75c|000500000006000400000004:00050000000b000408000000004d3ec140|00060000000600060000c153:00060000000600060000c153|000700000006000600018f7e:000700000006000600018f7e|0008000000060006000239fd:,0008000000060006000239fd
000500000006000400000004:00050000000b000408000000004d3ec140|00060000000600060000c153:00060000000600060000c153|000700000006000600018f7e:000700000006000600018f7e|0008000000060006000239fd:0008000000060006000239fd|000900000006000600035c10:,000900000006000600035c10
00060000000600060000c153:00060000000600060000c153|000700000006000600018f7e:000700000006000600018f7e|0008000000060006000239fd:0008000000060006000239fd|000900000006000600035c10:000900000006000600035c10|000a00000006000400000004:,000a0000000b00040800000000e5a4c131
000700000006000600018f7e:000700000006000600018f7e|0008000000060006000239fd:0008000000060006000239fd|000900000006000600035c10:000900000006000600035c10|000a00000006000400000004:000a0000000b00040800000000e5a4c131|000b0000000600060000c2b6:,000b0000000600060000c2b6
0008000000060006000239fd:0008000000060006000239fd|000900000006000600035c10:000900000006000600035c10|000a00000006000400000004:000a0000000b00040800000000e5a4c131|000b0000000600060000c2b6:000b0000000600060000c2b6|000c0000000600060001ec34:,000c0000000600060001ec34
000900000006000600035c10:000900000006000600035c10|000a00000006000400000004:000a0000000b00040800000000e5a4c131|000b0000000600060000c2b6:000b0000000600060000c2b6|000c0000000600060001ec34:000c0000000600060001ec34|000d00000006000600021274:,000d00000006000600021274
000a00000006000400000004:000a0000000b00040800000000e5a4c131|000b0000000600060000c2b6:000b0000000600060000c2b6|000c0000000600060001ec34:000c0000000600060001ec34|000d00000006000600021274:000d00000006000600021274|000e00000006000600033cef:,000e00000006000600033cef
000b0000000600060000c2b6:000b0000000600060000c2b6|000c0000000600060001ec34:000c0000000600060001ec34|000d00000006000600021274:000d00000006000600021274|000e00000006000600033cef:000e00000006000600033cef|000f00000006000400000004:,000f0000000b00040800000000a264c127
