source_text,target_text
0001000000060001fffe0001,000100000003008102
000200000006000100280001,000200000003008102
000300000006000300000001,0003000000050003020000
000400000006000100280001,000400000003008102
000500000006000500270000,000500000006000500270000
0006000000060003fffe0001,000600000003008302
000700000006000100270001,00070000000400010100
000800000006000600003583,000800000006000600003583
000900000006000100170001,00090000000400010100
000a000000060005fffeff00,000a00000003008502
000b000000060001fffe0001,000b00000003008102
000c000000060006252b8730,000c00000003008602
000d000000060003000d0001,000d000000050003020000
000e0000000600057baa0000,000e00000003008502
000f00000006000500000000,000f00000006000500000000
00100000000600050022ff00,00100000000600050022ff00
001100000006000500280000,001100000003008502
001200000006000600284e62,001200000003008602
0013000000060005633fff00,001300000003008502
001400000006000500000000,001400000006000500000000
00150000000600050028ff00,001500000003008502
001600000006000300280001,001600000003008302
00170000000600050028ff00,001700000003008502
001800000006000100270001,00180000000400010100
001900000006000500270000,001900000006000500270000
001a0000000600060028bc4f,001a00000003008602
001b0000000600060000272d,001b0000000600060000272d
001c0000000600050000ff00,001c0000000600050000ff00
001d00000006000100000001,001d0000000400010101
001e00000006000123290001,001e00000003008102
001f00000006000300270001,001f000000050003020000
0020000000060005fffeff00,002000000003008502
002100000006000308c70001,002100000003008302
0022000000060005fffe0000,002200000003008502
002300000006000100000001,00230000000400010101
002400000006000300000001,002400000005000302272d
002500000006000608c77c68,002500000003008602
002600000006000100000001,00260000000400010101
002700000006000500280000,002700000003008502
0028000000060003000b0001,0028000000050003020000
002900000006000100170001,00290000000400010100
002a00000006000100040001,002a0000000400010100
002b00000006000100280001,002b00000003008102
002c0000000600065eb4c3e3,002c00000003008602
002d000000060006fffe0f85,002d00000003008602
002e00000006000506a80000,002e00000003008502
002f00000006000300200001,002f000000050003020000
003000000006000500270000,003000000006000500270000
00310000000600050027ff00,00310000000600050027ff00
0032000000060005001eff00,0032000000060005001eff00
003300000006000500040000,003300000006000500040000
00340000000600060028a520,003400000003008602
0035000000060006a32c3b0f,003500000003008602
003600000006000300270001,0036000000050003020000
003700000006000100270001,00370000000400010101
003800000006000100000001,00380000000400010101
0039000000060001001d0001,00390000000400010100
003a00000006000100110001,003a0000000400010100
003b00000006000100200001,003b0000000400010100
003c00000006000506a0ff00,003c00000003008502
003d0000000600050027ff00,003d0000000600050027ff00
003e00000006000100280001,003e00000003008102
003f00000006000100270001,003f0000000400010101
0040000000060005fffeff00,004000000003008502
004100000006000500270000,004100000006000500270000
0042000000060006fffe28a0,004200000003008602
004300000006000300000001,004300000005000302272d
004400000006000300270001,0044000000050003020000
004500000006000100270001,00450000000400010100
00460000000600050019ff00,00460000000600050019ff00
004700000006000100240001,00470000000400010100
0048000000060003fffe0001,004800000003008302
004900000006000670f8a955,004900000003008602
004a00000006000541700000,004a00000003008502
004b00000006000300030001,004b000000050003020000
004c0000000600050012ff00,004c0000000600050012ff00
004d000000060005000bff00,004d000000060005000bff00
004e00000006000100270001,004e0000000400010100
004f000000060006000002b8,004f000000060006000002b8
005000000006000100000001,00500000000400010101
005100000006000300000001,00510000000500030202b8
005200000006000500270000,005200000006000500270000
00530000000600052329ff00,005300000003008502
0054000000060005fffe0000,005400000003008502
00550000000600055ee8ff00,005500000003008502
0056000000060001666c0001,005600000003008102
005700000006000300270001,0057000000050003020000
005800000006000548ffff00,005800000003008502
0059000000060006000b4819,0059000000060006000b4819
005a0000000600060013ce21,005a0000000600060013ce21
005b00000006000300280001,005b00000003008302
005c00000006000100010001,005c0000000400010100
005d00000006000500160000,005d00000006000500160000
005e000000060006211f1347,005e00000003008602
005f00000006000100270001,005f0000000400010100
00600000000600050000ff00,00600000000600050000ff00
00610000000600050028ff00,006100000003008502
006200000006000100000001,00620000000400010101
00630000000600059e53ff00,006300000003008502
006400000006000300280001,006400000003008302
006500000006000600008b9a,006500000006000600008b9a
006600000006000500170000,006600000006000500170000
006700000006000300280001,006700000003008302
006800000006000300000001,0068000000050003028b9a
00690000000600060000e0d2,00690000000600060000e0d2
006a00000006000300240001,006a000000050003020000
006b000000060001fffe0001,006b00000003008102
006c000000060006002720f5,006c000000060006002720f5
006d00000006000500120000,006d00000006000500120000
006e000000060005633f0000,006e00000003008502
006f000000060005fffe0000,006f00000003008502
0070000000060006fffe756d,007000000003008602
00710000000600050000ff00,00710000000600050000ff00
00720000000600060027d7a5,00720000000600060027d7a5
007300000006000100270001,00730000000400010100
007400000006000100270001,00740000000400010100
007500000006000100270001,00750000000400010100
007600000006000100000001,00760000000400010101
007700000006000600275e0d,007700000006000600275e0d
00780000000600053428ff00,007800000003008502
007900000006000300000001,007900000005000302e0d2
007a0000000600050011ff00,007a0000000600050011ff00
007b00000006000100270001,007b0000000400010100
007c00000006000500000000,007c00000006000500000000
007d000000060003fffe0001,007d00000003008302
007e000000060006fffea39d,007e00000003008602
007f00000006000500210000,007f00000006000500210000
008000000006000500000000,008000000006000500000000
00810000000600050028ff00,008100000003008502
00820000000600050004ff00,00820000000600050004ff00
008300000006000100270001,00830000000400010100
0084000000060001fffe0001,008400000003008102
008500000006000600000940,008500000006000600000940
00860000000600015ee80001,008600000003008102
008700000006000100090001,00870000000400010100
00880000000600050028ff00,008800000003008502
008900000006000100090001,00890000000400010100
008a000000060005666c0000,008a00000003008502
008b000000060005fffeff00,008b00000003008502
008c000000060006002742ed,008c000000060006002742ed
008d000000060003fffe0001,008d00000003008302
008e00000006000600002202,008e00000006000600002202
008f00000006000500000000,008f00000006000500000000
009000000006000500280000,009000000003008502
009100000006000500270000,009100000006000500270000
0092000000060005fffeff00,009200000003008502
00930000000600050020ff00,00930000000600050020ff00
009400000006000500270000,009400000006000500270000
0095000000060001fffe0001,009500000003008102
009600000006000312010001,009600000003008302
