source_text,target_text
00010000000b0010fffc000204ffff0000,000100000003009002
00020000000600050028ff00,000200000003008502
000300000005002b0e0100,000300000021002b0e018300000300045741474f01073735302d383831020830332e30312e3032
00040000000600050028ff00,000400000003008502
0005000000060003fffc0002,000500000003008302
000600000006000300260001,0006000000050003020000
00070000000b00107fe0000204bf3dbf3d,000700000003009002
000800000005002b0e0103,000800000008002b0e0183000000
0009000000060005fffcff00,000900000003008502
000a000000060005fffdff00,000a00000003008502
000b00000006000100000002,000b0000000400010100
000c00000005002b0e0103,000c00000008002b0e0183000000
000d0000000b00100028000204bf3d0000,000d00000003009002
000e0000000b0010001a000204ffffd5c1,000e000000060010001a0002
000f00000006000300190002,000f000000070003040000ffff
001000000006000300250002,00100000000700030400000000
001100000005002b0e0101,00110000001b002b0e018300000201073735302d383831020830332e30312e3032
001200000006000127820002,001200000003008102
001300000005002b0e0100,001300000021002b0e018300000300045741474f01073735302d383831020830332e30312e3032
001400000006000346ec0002,001400000003008302
0015000000060005fffdff00,001500000003008502
00160000000b00100000000204d41fffff,001600000006001000000002
001700000006000100140001,00170000000400010100
00180000000b00100028000204ffff0000,001800000003009002
001900000005002b0e0102,001900000012002b0e0183000001020830332e30312e3032
001a00000006000300260001,001a000000050003020000
001b00000005002b0e0103,001b00000008002b0e0183000000
001c00000006000100280002,001c00000003008102
001d0000000b00108f470002048d1dffff,001d00000003009002
001e00000008000f000000020100,001e00000006000f00000002
001f0000000600017a860001,001f00000003008102
00200000000b00108f470002040000ffff,002000000003009002
0021000000060003fffd0001,002100000003008302
002200000005002b0e0102,002200000012002b0e0183000001020830332e30312e3032
002300000005002b0e0102,002300000012002b0e0183000001020830332e30312e3032
002400000005002b0e0100,002400000021002b0e018300000300045741474f01073735302d383831020830332e30312e3032
002500000005002b0e0103,002500000008002b0e0183000000
0026000000060001fffd0001,002600000003008102
002700000006000500e8ff00,002700000003008502
00280000000b0010fffc0002040000c8a5,002800000003009002
0029000000060005bdcdff00,002900000003008502
002a00000006000100280002,002a00000003008102
002b0000000600050028ff00,002b00000003008502
002c00000006000100280002,002c00000003008102
002d000000060005fffdff00,002d00000003008502
002e00000006000300000002,002e00000007000304d41fffff
002f0000000b00100000000204ffffd41f,002f00000006001000000002
00300000000900100028000102265c,003000000003009002
003100000006000300250002,00310000000700030400000000
003200000006000346ec0002,003200000003008302
003300000005002b0e0100,003300000021002b0e018300000300045741474f01073735302d383831020830332e30312e3032
003400000005002b0e0102,003400000012002b0e0183000001020830332e30312e3032
003500000006000300280001,003500000003008302
003600000005002b0e0101,00360000001b002b0e018300000201073735302d383831020830332e30312e3032
0037000000060005fffcff00,003700000003008502
