source_text,target_text
0015000000110010005b00050ac32c76b5c256e6475186,0015000000060010005b0005
001e000000060003005d0001,001e00000005000302c256
001f000000060003005b0007,001f0000001100030ec32c76b5c256e64751864654e4f5
0026000000060003005c0001,00260000000500030276b5
0027000000150010002500070e2c73db6b9330dc506f68ba48135a,002700000006001000250007
0042000000060003005d0004,00420000000b000308c256e64751864654
0067000000060003005a0003,0067000000090003065d0ac32c76b5
0073000000060003005a0002,0073000000070003045d0ac32c
0075000000110010005c00050a46858323c5ba0c246e1c,0075000000060010005c0005
007900000006000300610002,007900000007000304e4f5705d
0094000000060003005d0002,0094000000070003048323c5ba
00a000000006000300600002,00a0000000070003046e1ce4f5
00b1000000060003005f0001,00b1000000050003020c24
0101000000060003005a0003,0101000000090003065d0ac32c4685
0112000000170010005a0008104b81756bfe1b1e82d4c0bb3b7d302bcd,0112000000060010005a0008
011b000000150010005c00070ef3250a2e1f93f16550ec2fd8c562,011b000000060010005c0007
011e000000060003005a0006,011e0000000f00030c4b81756bf3250a2e1f93f165
0149000000060003005a0007,01490000001100030e4b81756bf3250a2e1f93f16550ec
014a0000000900100062000102099b,014a00000006001000620001
01510000000f0010005d00040871a5e9caebe52abe,0151000000060010005d0004
01700000000f0010005d000408e495a63dd2b22aab,0170000000060010005d0004
01730000000d0011007800030648d6e5bfe1d5,01730000001300111050796d6f646275732d504d2d312e35ff
017f0000000600140074000a,017f00000003001400
019f0000000d0010005d000306039b5699199c,019f000000060010005d0003
01a4000000090010005d000102da9c,01a4000000060010005d0001
01aa000000060003005b0008,01aa00000013000310756bf325da9c5699199c2aab2fd8099b
01c2000000060003005e0003,01c2000000090003065699199c2aab
01e2000000060003005f0003,01e200000009000306199c2aab2fd8
01e60000000f0010005f000408534c74ed3014ab0d,01e6000000060010005f0004
01e9000000060003005a0005,01e90000000d00030a4b81756bf325da9c5699
01ec00000006000c00720006,01ec00000009000c06000000000000
01ed000000060003005e0003,01ed000000090003065699534c74ed
01f0000000170010005a0008104ae8a44ce631058d66c9335bbf325a05,01f0000000060010005a0008
01f2000000060003005a0005,01f20000000d00030a4ae8a44ce631058d66c9
01fb000000060003005d0006,01fb0000000f00030c058d66c9335bbf325a05ab0d
01fd000000060003005f0004,01fd0000000b000308335bbf325a05ab0d
0224000000060003005d0002,022400000007000304058d66c9
022a000000060003005e0001,022a0000000500030266c9
0244000000060003005d0002,024400000007000304058d66c9
0261000000060003005c0007,02610000001100030ee631058d66c9335bbf325a05ab0d
026d000000150010005c00070e36da7e77f783e73a4ba2c1d9e85d,026d000000060010005c0007
0281000000060003005d0004,02810000000b0003087e77f783e73a4ba2
029a000000060003005b0005,029a0000000d00030aa44c36da7e77f783e73a
029f0000000600150074000a,029f00000003001500
02a100000019000c006c0008102c5686f7199796b3ad180010b9f2c49cb7b9,02a100000009000c06000000000000
02a3000000190011006c0008102c5686f7199796b3ad180010b9f2c49cb7b9,02a30000001300111050796d6f646275732d504d2d312e35ff
02b0000000060003005d0002,02b0000000070003047e77f783
02c80000000f0010005b000408f73b3048fca0f3b8,02c8000000060010005b0004
