source_text,target_text
00010000000b00100000000204000040e0:000100000006001000000002|000200000006000400000002:,000200000007000404967d4b18
000200000006000400000002:000200000007000404967d4b18|00030000000b0010000000020400004120:,000300000006001000000002
00030000000b0010000000020400004120:000300000006001000000002|000400000006000400000002:,00040000000700040403055015
000400000006000400000002:00040000000700040403055015|00050000000b0010000000020400004120:,000500000006001000000002
00050000000b0010000000020400004120:000500000006001000000002|000600000006000400000002:,00060000000700040403055015
000600000006000400000002:00060000000700040403055015|00070000000b0010000000020400004080:,000700000006001000000002
00070000000b0010000000020400004080:000700000006001000000002|000800000006000400000002:,0008000000070004044001461c
000800000006000400000002:0008000000070004044001461c|00090000000b00100000000204000040a0:,000900000006001000000002
00090000000b00100000000204000040a0:000900000006001000000002|000a00000006000400000002:,000a00000007000404500847c3
000a00000006000400000002:000a00000007000404500847c3|000b0000000b0010000000020400004000:,000b00000006001000000002
000b0000000b0010000000020400004000:000b00000006001000000002|000c00000006000400000002:,000c00000007000404000142c8
000c00000006000400000002:000c00000007000404000142c8|000d0000000b0010000000020400004080:,000d00000006001000000002
000d0000000b0010000000020400004080:000d00000006001000000002|000e00000006000400000002:,000e000000070004044001461c
000e00000006000400000002:000e000000070004044001461c|000f0000000b0010000000020400004000:,000f00000006001000000002
000f0000000b0010000000020400004000:000f00000006001000000002|001000000006000400000002:,001000000007000404000142c8
001000000006000400000002:001000000007000404000142c8|00110000000b0010000000020400004080:,001100000006001000000002
00110000000b0010000000020400004080:001100000006001000000002|001200000006000400000002:,0012000000070004044001461c
001200000006000400000002:0012000000070004044001461c|00130000000b00100000000204000040a0:,001300000006001000000002
00130000000b00100000000204000040a0:001300000006001000000002|001400000006000400000002:,001400000007000404500847c3
001400000006000400000002:001400000007000404500847c3|00150000000b00100000000204000040c0:,001500000006001000000002
00150000000b00100000000204000040c0:001500000006001000000002|001600000006000400000002:,00160000000700040424034974
001600000006000400000002:00160000000700040424034974|00170000000b00100000000204000040c0:,001700000006001000000002
00170000000b00100000000204000040c0:001700000006001000000002|001800000006000400000002:,00180000000700040424034974
001800000006000400000002:00180000000700040424034974|00190000000b0010000000020400004040:,001900000006001000000002
00190000000b0010000000020400004040:001900000006001000000002|001a00000006000400000002:,001a000000070004040002447a
001a00000006000400000002:001a000000070004040002447a|001b0000000b0010000000020400004110:,001b00000006001000000002
001b0000000b0010000000020400004110:001b00000006001000000002|001c00000006000400000002:,001c000000070004046b344e6e
001c00000006000400000002:001c000000070004046b344e6e|001d0000000b00100000000204000040c0:,001d00000006001000000002
001d0000000b00100000000204000040c0:001d00000006001000000002|001e00000006000400000002:,001e0000000700040424034974
001e00000006000400000002:001e0000000700040424034974|001f0000000b0010000000020400004110:,001f00000006001000000002
001f0000000b0010000000020400004110:001f00000006001000000002|002000000006000400000002:,0020000000070004046b344e6e
002000000006000400000002:0020000000070004046b344e6e|00210000000b0010000000020400004100:,002100000006001000000002
00210000000b0010000000020400004100:002100000006001000000002|002200000006000400000002:,002200000007000404bc234cbe
002200000006000400000002:002200000007000404bc234cbe|00230000000b00100000000204000040c0:,002300000006001000000002
00230000000b00100000000204000040c0:002300000006001000000002|002400000006000400000002:,00240000000700040424034974
002400000006000400000002:00240000000700040424034974|00250000000b00100000000204000040a0:,002500000006001000000002
00250000000b00100000000204000040a0:002500000006001000000002|002600000006000400000002:,002600000007000404500847c3
002600000006000400000002:002600000007000404500847c3|00270000000b0010000000020400000000:,002700000006001000000002
00270000000b0010000000020400000000:002700000006001000000002|002800000006000400000002:,00280000000700040400003f80
002800000006000400000002:00280000000700040400003f80|00290000000b0010000000020400004040:,002900000006001000000002
00290000000b0010000000020400004040:002900000006001000000002|002a00000006000400000002:,002a000000070004040002447a
002a00000006000400000002:002a000000070004040002447a|002b0000000b0010000000020400004080:,002b00000006001000000002
002b0000000b0010000000020400004080:002b00000006001000000002|002c00000006000400000002:,002c000000070004044001461c
002c00000006000400000002:002c000000070004044001461c|002d0000000b00100000000204000040c0:,002d00000006001000000002
002d0000000b00100000000204000040c0:002d00000006001000000002|002e00000006000400000002:,002e0000000700040424034974
002e00000006000400000002:002e0000000700040424034974|002f0000000b0010000000020400004100:,002f00000006001000000002
002f0000000b0010000000020400004100:002f00000006001000000002|003000000006000400000002:,003000000007000404bc234cbe
003000000006000400000002:003000000007000404bc234cbe|00310000000b0010000000020400004040:,003100000006001000000002
00310000000b0010000000020400004040:003100000006001000000002|003200000006000400000002:,0032000000070004040002447a
003200000006000400000002:0032000000070004040002447a|00330000000b0010000000020400004120:,003300000006001000000002
00330000000b0010000000020400004120:003300000006001000000002|003400000006000400000002:,00340000000700040403055015
003400000006000400000002:00340000000700040403055015|00350000000b0010000000020400004000:,003500000006001000000002
00350000000b0010000000020400004000:003500000006001000000002|003600000006000400000002:,003600000007000404000142c8
003600000006000400000002:003600000007000404000142c8|00370000000b0010000000020400003f80:,003700000006001000000002
00370000000b0010000000020400003f80:003700000006001000000002|003800000006000400000002:,00380000000700040400004120
003800000006000400000002:00380000000700040400004120|00390000000b0010000000020400004040:,003900000006001000000002
00390000000b0010000000020400004040:003900000006001000000002|003a00000006000400000002:,003a000000070004040002447a
003a00000006000400000002:003a000000070004040002447a|003b0000000b0010000000020400004120:,003b00000006001000000002
003b0000000b0010000000020400004120:003b00000006001000000002|003c00000006000400000002:,003c0000000700040403055015
003c00000006000400000002:003c0000000700040403055015|003d0000000b0010000000020400004080:,003d00000006001000000002
003d0000000b0010000000020400004080:003d00000006001000000002|003e00000006000400000002:,003e000000070004044001461c
003e00000006000400000002:003e000000070004044001461c|003f0000000b00100000000204000040a0:,003f00000006001000000002
003f0000000b00100000000204000040a0:003f00000006001000000002|004000000006000400000002:,004000000007000404500847c3
004000000006000400000002:004000000007000404500847c3|00410000000b00100000000204000040c0:,004100000006001000000002
00410000000b00100000000204000040c0:004100000006001000000002|004200000006000400000002:,00420000000700040424034974
004200000006000400000002:00420000000700040424034974|00430000000b0010000000020400004000:,004300000006001000000002
00430000000b0010000000020400004000:004300000006001000000002|004400000006000400000002:,004400000007000404000142c8
004400000006000400000002:004400000007000404000142c8|00450000000b0010000000020400003f80:,004500000006001000000002
00450000000b0010000000020400003f80:004500000006001000000002|004600000006000400000002:,00460000000700040400004120
004600000006000400000002:00460000000700040400004120|00470000000b0010000000020400004100:,004700000006001000000002
00470000000b0010000000020400004100:004700000006001000000002|004800000006000400000002:,004800000007000404bc234cbe
004800000006000400000002:004800000007000404bc234cbe|00490000000b0010000000020400004080:,004900000006001000000002
00490000000b0010000000020400004080:004900000006001000000002|004a00000006000400000002:,004a000000070004044001461c
004a00000006000400000002:004a000000070004044001461c|004b0000000b0010000000020400004100:,004b00000006001000000002
004b0000000b0010000000020400004100:004b00000006001000000002|004c00000006000400000002:,004c00000007000404bc234cbe
004c00000006000400000002:004c00000007000404bc234cbe|004d0000000b0010000000020400004040:,004d00000006001000000002
004d0000000b0010000000020400004040:004d00000006001000000002|004e00000006000400000002:,004e000000070004040002447a
004e00000006000400000002:004e000000070004040002447a|004f0000000b0010000000020400004080:,004f00000006001000000002
004f0000000b0010000000020400004080:004f00000006001000000002|005000000006000400000002:,0050000000070004044001461c
005000000006000400000002:0050000000070004044001461c|00510000000b0010000000020400004120:,005100000006001000000002
00510000000b0010000000020400004120:005100000006001000000002|005200000006000400000002:,00520000000700040403055015
005200000006000400000002:00520000000700040403055015|00530000000b0010000000020400004110:,005300000006001000000002
00530000000b0010000000020400004110:005300000006001000000002|005400000006000400000002:,0054000000070004046b344e6e
005400000006000400000002:0054000000070004046b344e6e|00550000000b0010000000020400004040:,005500000006001000000002
00550000000b0010000000020400004040:005500000006001000000002|005600000006000400000002:,0056000000070004040002447a
005600000006000400000002:0056000000070004040002447a|00570000000b0010000000020400003f80:,005700000006001000000002
00570000000b0010000000020400003f80:005700000006001000000002|005800000006000400000002:,00580000000700040400004120
005800000006000400000002:00580000000700040400004120|00590000000b0010000000020400004080:,005900000006001000000002
00590000000b0010000000020400004080:005900000006001000000002|005a00000006000400000002:,005a000000070004044001461c
005a00000006000400000002:005a000000070004044001461c|005b0000000b0010000000020400004080:,005b00000006001000000002
005b0000000b0010000000020400004080:005b00000006001000000002|005c00000006000400000002:,005c000000070004044001461c
005c00000006000400000002:005c000000070004044001461c|005d0000000b0010000000020400004000:,005d00000006001000000002
005d0000000b0010000000020400004000:005d00000006001000000002|005e00000006000400000002:,005e00000007000404000142c8
005e00000006000400000002:005e00000007000404000142c8|005f0000000b0010000000020400004080:,005f00000006001000000002
005f0000000b0010000000020400004080:005f00000006001000000002|006000000006000400000002:,0060000000070004044001461c
006000000006000400000002:0060000000070004044001461c|00610000000b0010000000020400004080:,006100000006001000000002
00610000000b0010000000020400004080:006100000006001000000002|006200000006000400000002:,0062000000070004044001461c
006200000006000400000002:0062000000070004044001461c|00630000000b0010000000020400004110:,006300000006001000000002
00630000000b0010000000020400004110:006300000006001000000002|006400000006000400000002:,0064000000070004046b344e6e
006400000006000400000002:0064000000070004046b344e6e|00650000000b0010000000020400004110:,006500000006001000000002
00650000000b0010000000020400004110:006500000006001000000002|006600000006000400000002:,0066000000070004046b344e6e
006600000006000400000002:0066000000070004046b344e6e|00670000000b0010000000020400004100:,006700000006001000000002
00670000000b0010000000020400004100:006700000006001000000002|006800000006000400000002:,006800000007000404bc234cbe
006800000006000400000002:006800000007000404bc234cbe|00690000000b00100000000204000040e0:,006900000006001000000002
00690000000b00100000000204000040e0:006900000006001000000002|006a00000006000400000002:,006a00000007000404967d4b18
006a00000006000400000002:006a00000007000404967d4b18|006b0000000b00100000000204000040c0:,006b00000006001000000002
006b0000000b00100000000204000040c0:006b00000006001000000002|006c00000006000400000002:,006c0000000700040424034974
006c00000006000400000002:006c0000000700040424034974|006d0000000b0010000000020400004000:,006d00000006001000000002
006d0000000b0010000000020400004000:006d00000006001000000002|006e00000006000400000002:,006e00000007000404000142c8
006e00000006000400000002:006e00000007000404000142c8|006f0000000b0010000000020400004120:,006f00000006001000000002
006f0000000b0010000000020400004120:006f00000006001000000002|007000000006000400000002:,00700000000700040403055015
007000000006000400000002:00700000000700040403055015|00710000000b00100000000204000040a0:,007100000006001000000002
00710000000b00100000000204000040a0:007100000006001000000002|007200000006000400000002:,007200000007000404500847c3
007200000006000400000002:007200000007000404500847c3|00730000000b0010000000020400004110:,007300000006001000000002
00730000000b0010000000020400004110:007300000006001000000002|007400000006000400000002:,0074000000070004046b344e6e
007400000006000400000002:0074000000070004046b344e6e|00750000000b0010000000020400004120:,007500000006001000000002
00750000000b0010000000020400004120:007500000006001000000002|007600000006000400000002:,00760000000700040403055015
007600000006000400000002:00760000000700040403055015|00770000000b0010000000020400004040:,007700000006001000000002
00770000000b0010000000020400004040:007700000006001000000002|007800000006000400000002:,0078000000070004040002447a
007800000006000400000002:0078000000070004040002447a|00790000000b00100000000204000040e0:,007900000006001000000002
