source_text,target_text
868abfb3,1cd13d22
f3dcc06d,b8573948
a34cc011,b92c3bad
fc8bbfc8,62ad3cdc
1985bf98,c14d3d84
a7dec08e,1b293812
2ba8bed7,8af13ec2
52b3bfbf,1d273d03
8c2d3fac,494741b2
2c91c03d,195f3a91
248abf08,796e3e96
e0e1bf9c,a3a23d73
e83f405e,05c6453e
79eabf2b,03763e5b
cbf43f29,5f864093
d3754025,fc2e43c2
91823ebc,71964015
e31e405b,7538452a
f16ebfe4,483c3c85
3036bf6b,f59b3df6
3cec4016,9228435e
74a9bd44,3ba63f65
5021c009,632f3bea
11a73fb8,587341db
880f4078,ddb745ee
321a401b,04054385
01db4024,a27d43b6
f0523f92,f2464160
871b4034,75174425
8050c05c,08e939bc
778fbfa4,8cd13d54
3377c04a,9d203a35
d6a1bf78,6d253dda
28cd4023,25ca43b1
4e843f24,45cd408c
90a4401c,bb95438b
4d423f3d,a27640af
932ac057,7f8639e0
f259bf94,80a33d8c
2d01bffa,efea3c35
b8fa4084,7b94465b
0e33c035,51ff3ac2
2080bfc5,3af63cec
21103f91,bddb4159
3bd3c01b,02ab3b76
05b9c04f,b1183a18
afdf406c,fc4b459b
6124c002,65c73c16
8d81bf00,1b0b3ea1
7198c084,52813898
dfc34056,53b9450e
9ce93f85,ffc44130
85c4c01c,dd0c3b6a
0e3c4002,5a1d42d7
bb7d3dd7,22a53fa3
68f7c021,fded3b44
975a407f,f8024619
9c30c03a,1eeb3a9f
157abfba,126d3d10
7765c07d,badd38e5
97504002,8a7942db
1d2d4021,945d43a4
6dd8c05d,dc8239b5
11a8c08a,3ce1384b
0ffe4076,900f45da
641ac098,08be3791
78a0bfc8,70183cde
85fa4096,85844745
8e8cbfd3,38fc3cb6
8e3ac079,38173904
92e4c092,6c8d37dc
7da23fa0,8619418f
a96fc000,fc183c1f
a0303f2a,79e64094
b2d4bff0,c17f3c57
a3923ff6,010142a9
ec8bc052,b1c33a04
2696bcd4,2e463f71
abe6c07e,fb7e38db
3070bfc9,95513cdb
b101c001,2abf3c1a
a1e4c092,7f2337db
c656c094,239737bc
f5464080,66ee4627
c8484063,741a4562
91a6beef,536d3eae
63f5406f,eb7c45ab
eaf9c03e,46943a88
b6ebc091,7b9f37ea
eeb33edb,14ff402c
7a314069,f94d458a
63ca3eff,d4c64049
0ee63f77,a2b74113
57983f8d,66f7414b
2f78bfd1,2a0b3cbe
0e80bf52,cc5d3e1a
e8afc089,978a384d
be50bf9c,3b523d74
1dc6bfaa,02d63d40
b983c08b,695f3834
c1a94060,186d454b
772e4033,40ed441f
64d13fee,b51b4291
a5ffc047,15243a47
3362403a,ebac444a
436d3fbf,a6ed41f9
c4b74089,c7cb469d
86263f5b,7f4a40e6
fe28407a,7ddd4602
b7db408c,16d846c3
f8c73e49,948d3fc9
1cfb4011,18394339
05283f75,f4344110
2cb4c08e,40ab3817
702fbf90,5f563d98
702a3fc5,7da4420b
23e53e80,c36a3fe3
1eca3ebb,793e4014
07b1bff4,34923c4b
2c61408b,90aa46ae
e6b34099,de03477b
7280c084,48943898
6f64c002,18c43c16
60543cf7,37803f89
c49bc017,56fb3b8b
eed7c08d,e7d83819
a565bfae,fc443d30
4849c044,b67f3a60
38163f10,2c25406a
5665c004,2ad43c0c
a3104089,4b8c469c
6a663da0,4c6b3f99
c5273e97,4ceb3ffd
06d5bf82,77c63dc5
d215c04b,55653a2b
71edbf54,82233e17
995bbe91,01313f05
3f2d3ff5,d2f442a4
a3e2c062,c5543996
658abf20,f6c33e71
7a89c093,878837ce
b3d9c04c,fb933a25
d106bfa6,c1023d4b
c5b2c092,4c7537d9
9dc03da7,8b6b3f9a
01764039,61964442
604cc04d,02233a22
053bbf8a,04f53dab
37ab3eb0,5e81400d
303cbed2,f3683ec6
9d5c3f03,12ec4051
d6a4c05f,c2ce39a6
bd3cc046,b3e13a4d
c0b2c08e,17083811
e095bec6,55423ed1
f1a73ff0,8c1e4298
99d7c091,683c37ec
eaaa4088,66904694
b15cc078,63383908
b2dbbf82,18643dc3
3b9f4004,e65842e8
99b5c012,cf6b3ba7
43b7bd9c,c0bb3f56
e728c037,660d3aaf
0862bf33,9f593e4c
2e67bfc4,488e3cf0
f226c058,b16a39d5
9781c016,5cd83b91
547e4074,5b1e45cd
964fbf5b,14e03e0e
363bc074,3f3b3920
b350402e,29dc4406
0587bfd7,36393cab
bb7c3f25,153d408e
702c3f51,81f440d2
ede43e3d,31e63fc4
df19bfb2,07ff3d24
aed3c092,b33b37da
a319bfe2,ed643c8a
da663ee2,85aa4031
85e83fb3,1f4841ca
ed64c01d,49c23b5f
61d63e39,32f93fc2
36df3fe5,0e924277
ca19c055,645e39ef
c7eac05c,26f439ba
3a104003,9ec742e0
1df4c044,0dbe3a62
a8294010,14a54336
7abcbe20,73c03f32
e3efc05e,8c1239ac
bcc1403b,746a4456
396b3f9a,39314180
0996c07e,0edd38e1
448f3ef4,fbf7403f
7190c084,52d73898
e8b0c07c,624438ea
e17bc05d,ee0839b2
48b1c08a,1e423848
20964000,eb0342c8
1dd0be9d,94ea3efc
6344bff5,4d6e3c46
80cbbeaa,d3003eed
bef5400a,32f74313
f3babf19,33b53e80
52bf404e,458b44d1
4d7d3f85,03974130
3ad8402d,7fd243fe
e366c01e,b33f3b57
9d2f4054,364a4503
2fc93f4b,ff6440c6
7ac0beee,2e9d3eaf
3380c096,c95a37a9
3454c081,4e4038c0
41e94094,ce2b4727
ea5cbfc1,47903cfa
cd27bd4d,08273f64
31514043,3715448c
02b84082,929e4634
d2723f7d,e56d411c
86e5bffc,67163c2e
2015bf15,e3ec3e85
ec9f401b,8c734388
56c3c07c,3d8b38ef
c5ec3a94,55c13f80
e71d3eb0,ce38400d
adf63fd8,2ec74245
ab8f402b,9c8043f0
c5e9c07f,6f2638d3
831fbeb8,4d923edf
9f9fc053,657f3a01
a3a8c092,633937db
7402c05c,5c3c39bc
82cfc027,2b383b1e
c0543f6f,3ea3410a
d8f73fc2,23a84205
0de13e34,e2ea3fbf
e2bfc049,af8c3a37
08c5c060,971339a5
2352404c,72dd44c1
87f8bfb9,83013d11
1d84c03e,44973a8c
26aac023,08003b39
d0b8c06d,b6c33949
8d41c02f,df313aec
3d91bfda,94563ca1
d9e1bf28,3f113e60
12844012,97dd433f
82a8c005,60253c06
4ee9bf61,f4893e06
448ec082,23d938b2
560d407f,8fef4618
54f53f41,1e2e40b6
8c35c03d,29703a8f
bfa3408f,9fad46f2
ec22bfef,ca173c5a
c627400f,63594330
5c7c4030,6cae440e
ed47c08e,4885380f
d4fb3e77,7a2f3fdf
e379c06a,1cd13960
8539406f,b9b745ac
3cb74040,2474447c
321dc078,d933390a
0897c00c,885b3bd4
76aa3eb7,0d494012
026c4012,290f433f
74ea3fc7,a6254210
2bc0bfab,671d3d3c
27934034,40364423
2737bfb4,4ae03d20
5a7a3e8e,cc223ff2
e1713f24,ffa7408c
6353c05c,cd6d39bc
8f0f4043,131d448e
fedbbf6e,a54e3dee
3757bfc3,7dcb3cf4
dd894080,49eb4626
b5a43f82,fde94127
606fc00e,59b03bc3
38c53fa7,ff8541a1
20374040,226d447b
39e0c043,6abf3a69
5722bffe,ce233c28
ece5bf84,6f553dbb
060bbfd8,27413ca8
fcdb4066,2260457e
d8f04073,d22045c9
ce343fcc,4233421f
91154075,b2f745d6
15e84096,6589473f
b3b1be87,0ef23f0b
f2adbf86,bce23db4
76803faa,b96041ab
2528c058,f05939db
e959c08c,a4cd3825
8bf8bfd5,d0a53caf
15eebf0d,ee503e8f
cd58400c,805c431e
337e3f95,4a45416a
66eabdfe,51713f40
1220bfe0,7dc23c91
6af6c031,7dc13add
c81cbff3,1d843c4c
42a6406b,2e604594
5950404c,ec1144c2
af9e4080,28094624
aff2c045,a3053a55
cb013f1e,7c5e4085
b452c017,a8b83b8b
8d15c06c,19a83953
75373fcc,440c421e
261bc037,38f83ab4
789bbf99,851f3d81
297a3e7c,a9f03fe1
95c24084,521d4659
d68ec05d,346a39b3
b007c08f,a6993807
414b3fb1,0aad41c2
fc724090,9c254704
0f76404c,e8d744c0
a2d33e16,9a913fb3
5687c001,23ce3c1c
b070bf9d,1c8b3d70
02323ff0,00844296
e53a4056,6fb9450e
d8a34025,208943c3
b7fac045,65533a55
29b63de6,cdbf3fa5
8648c07f,555c38d5
c3813ff0,0db24298
56b73e82,06c73fe6
86f6c04e,6fb13a1b
aba0bfed,d5ae3c63
f033c024,82073b2d
7ca0c04a,c1883a33
75a4c00a,ea6c3be0
8dc54067,ae764581
b78b4068,39454587
a8aec086,e1073881
7f5fbe70,10f03f15
9586401d,f3734390
353ac015,c88d3b98
23b4c08b,2ba6383c
e5a74084,4193465e
49e34045,32914497
9ed6bdc6,c4083f4c
d318bf48,337d3e28
12cfc05a,328c39cd
927cc018,5dab3b87
11bebee1,127c3eba
105e4091,5aca4705
17094000,a60542c8
76063e7d,52ee3fe2
66203fe0,8e7a4262
95c1bec2,69c43ed5
bad14048,1fe344ab
16a7bdca,f80a3f4b
b855c002,90de3c14
eca5c009,49bc3be5
39d4c08c,0549382e
2f26c006,283e3c03
6fbdbfb4,7a4b3d1f
dc9b3d24,6e0a3f8c
83af3e06,35a13fad
e79fc00c,f9683bcd
74ad3fd6,7351423d
9a46bf64,03d53e03
4ae04099,12ed4771
c879c024,7ab83b2e
b3524018,30864373
3ecd408c,901d46bc
8d463f82,841a4127
a5dec07f,637338d4
4e06bfcc,9d753ccf
b7393fd3,56b64234
4c6b404d,b26844c9
825f3f5f,e8c840ee
95664062,e5074558
a97a4054,705f4503
49a2c094,d9b937c2
b0c73f3c,abf040ae
3679c087,9be43879
b129404b,5ead44be
15fd4018,df0d436d
3aae4053,ab8f44f9
4d56401c,6ad0438a
6533c00b,782a3bd9
e183c069,62ea3968
2c344091,66f04706
583fc026,f25f3b24
0982bf9e,9d043d6e
7830bfcf,202f3cc4
6829407e,8bc44613
7f33bfc2,acef3cf7
a9d13dc9,933f3fa0
94044026,557343c8
ddec3fa5,18f6419e
a1554054,49e24503
fdb04000,426042cf
a3d04033,41724420
3d063f3c,f67340ad
031dbfa9,dcee3d43
884f3f8c,76034148
61964081,93ad462c
261cbfe6,6c1b3c82
ec2f404f,aaaf44dd
06ebbf95,4cb13d8c
be61408e,b2f346e1
50de4000,493542ca
be6abfc7,5e193ce1
90c2bfb4,1bad3d1f
608b4069,7948458a
0dcbc01d,6a903b66
03863fbc,79fa41eb
8fe2c04d,edb33a20
680fbeb7,6a8b3ee0
fa8f4063,0f3a4564
b4333f8d,baea414c
9722c024,b1863b2f
0d50c02f,2b623af1
4d36407b,f30d4603
c5074091,4d1a470c
898d407b,12b84605
e50d3f81,8c264125
822f4065,f69f4570
b78bc01c,39e73b69
85eac085,f089388c
f43bc01b,b77a3b6f
37e2404f,1ed644d8
4f60c022,b7153b3e
32673ff6,aa5142a7
3963407d,6640460d
6781c082,660a38b0
d5474053,277444ff
da43bfee,0a6c3c5f
f922c08b,36cf3831
7dc84045,4de54498
5eb2c022,4e153b3e
4ff5403e,45a5446b
564bbfd8,35303ca7
a678be77,b0143f12
6b0c406a,c232458f
d1f54082,6743463f
b734403d,46674466
21bc3d3a,1e7a3f8e
e03a4070,5b8845b5
12223fc6,1663420d
c224c004,0f923c0a
5a36c097,49f1379c
99cebfe7,1eaf3c7e
eae8401f,a55a439d
c9744099,ce214779
b227beb7,1fd03ee0
5888c069,e742396c
afda4050,d8d344e3
b2b5bec8,a03b3ecf
8e73c06b,caa6395a
3a83bfc8,692f3cdf
46904000,fe4542c9
e56d4012,5b754345
f57d4071,905845bc
5cb64051,732f44e9
31e5bee6,d5053eb5
19693f3b,307e40ac
dad8bf9f,efec3d66
451ebf0b,4cfe3e92
73bac007,9e193bfa
b07cc089,dd8b3850
90e1408b,910646b3
a158bf33,86943e4b
4b6f4084,d3e84654
e6c83f68,fc064101
3681bfd1,11fa3cbe
22823fbe,a27c41f4
40f94051,8aa544e8
dee73f3b,636d40ad
9d62bf56,94893e14
1b6ec018,a65c3b89
55984061,5cab454f
f50abfcc,31553ccd
b860bf0d,1c9e3e8f
33613ff0,85764296
755dbf50,0a223e1d
77264009,924f430c
b6bf3eb3,9c11400f
0baec05c,247639bf
5aedbf42,47683e32
f35ebfa4,b57c3d52
10824058,8e1c4514
3633bf53,32ca3e19
2b91406b,b3894593
bfc3c059,9b3a39cf
933bc095,9c2437b1
e2abbf41,08a73e33
3d5fc096,50f037a9
f3213f83,c826412b
f8833fca,168b421a
da9ebf53,50e23e18
e2a0be25,4bcc3f30
75cfc031,27613add
9a4ac000,53593c20
cc5fc00e,68c93bc0
64d34041,6da44483
e2374023,d30843b5
0a92c092,08aa37e5
6bcebf8f,2f9d3d9b
ec69c091,fbd237e6
e7e23ff2,06f0429e
babfc081,2cf238b9
b11cbf85,de4a3db8
ca6ebfb1,405b3d27
d3be4059,47f1451e
9a89c004,d4d83c0a
7329bfaa,dcca3d3e
0704c053,339b3a04
5715408d,04cf46cc
53e33ec5,72bb401b
fe8dbf48,f1cb3e27
f993c086,eb1d387d
f0a0c017,7afc3b8a
f4a23f10,ba98406b
71213f8d,c47b414b
236a4085,25ed4662
1b12406d,5a7a459e
9f394076,01bd45df
bf32c03f,456d3a84
c8734087,c6924688
a7edc058,ef0639d7
43cb4065,dc0e456e
d959c097,cd643796
439c4030,ed72440d
30c8c04d,18033a23
1661c087,deee387b
36f03f82,80b84126
1255bf0d,f2f93e8f
f2acc028,33113b16
d7f1405c,6ccd4530
499c3fa5,755a419c
709d4034,ef694424
6a683eaa,ba6f4009
7cac3f5b,6ba540e6
3d533f90,48ec4156
63ef4014,41c94350
