source_text,target_text
000100000006000300190001:000100000003008302|000200000006000400000002:00020000000700040400003f80|000300000006000600000014:000300000006000600000014|000400000006000300000001:0004000000050003020014|00050000001a00ee975f7e59e78fef617d4e90b903aaf67aaa9ae926b8b4537e:,000500000003006e01
000200000006000400000002:00020000000700040400003f80|000300000006000600000014:000300000006000600000014|000400000006000300000001:0004000000050003020014|00050000001a00ee975f7e59e78fef617d4e90b903aaf67aaa9ae926b8b4537e:000500000003006e01|000600000006000300000001:,0006000000050003020014
000300000006000600000014:000300000006000600000014|000400000006000300000001:0004000000050003020014|00050000001a00ee975f7e59e78fef617d4e90b903aaf67aaa9ae926b8b4537e:000500000003006e01|000600000006000300000001:0006000000050003020014|000700000012009156c9dc48d5324c52064d203dbb1eb350:,000700000003001101
000400000006000300000001:0004000000050003020014|00050000001a00ee975f7e59e78fef617d4e90b903aaf67aaa9ae926b8b4537e:000500000003006e01|000600000006000300000001:0006000000050003020014|000700000012009156c9dc48d5324c52064d203dbb1eb350:000700000003001101|000800000006000400000002:,000800000007000404790960ad
00050000001a00ee975f7e59e78fef617d4e90b903aaf67aaa9ae926b8b4537e:000500000003006e01|000600000006000300000001:0006000000050003020014|000700000012009156c9dc48d5324c52064d203dbb1eb350:000700000003001101|000800000006000400000002:000800000007000404790960ad|000900000006000600000028:,000900000006000600000028
000600000006000300000001:0006000000050003020014|000700000012009156c9dc48d5324c52064d203dbb1eb350:000700000003001101|000800000006000400000002:000800000007000404790960ad|000900000006000600000028:000900000006000600000028|000a000000060005000eff00:,000a00000003008502
000700000012009156c9dc48d5324c52064d203dbb1eb350:000700000003001101|000800000006000400000002:000800000007000404790960ad|000900000006000600000028:000900000006000600000028|000a000000060005000eff00:000a00000003008502|000b0000000f0010000d0004080001000100050007:,000b00000003009002
000800000006000400000002:000800000007000404790960ad|000900000006000600000028:000900000006000600000028|000a000000060005000eff00:000a00000003008502|000b0000000f0010000d0004080001000100050007:000b00000003009002|000c00000006000400000002:,000c0000000700040400007f80
000900000006000600000028:000900000006000600000028|000a000000060005000eff00:000a00000003008502|000b0000000f0010000d0004080001000100050007:000b00000003009002|000c00000006000400000002:000c0000000700040400007f80|000d000000120085e1ec5525db5d92d5a7dcd5e3bd0b23d8:,000d00000003000501
000a000000060005000eff00:000a00000003008502|000b0000000f0010000d0004080001000100050007:000b00000003009002|000c00000006000400000002:000c0000000700040400007f80|000d000000120085e1ec5525db5d92d5a7dcd5e3bd0b23d8:000d00000003000501|000e00000006000300000001:,000e000000050003020028
000b0000000f0010000d0004080001000100050007:000b00000003009002|000c00000006000400000002:000c0000000700040400007f80|000d000000120085e1ec5525db5d92d5a7dcd5e3bd0b23d8:000d00000003000501|000e00000006000300000001:000e000000050003020028|000f00000006000600000006:,000f00000006000600000006
000c00000006000400000002:000c0000000700040400007f80|000d000000120085e1ec5525db5d92d5a7dcd5e3bd0b23d8:000d00000003000501|000e00000006000300000001:000e000000050003020028|000f00000006000600000006:000f00000006000600000006|001000000006000300000001:,0010000000050003020006
000d000000120085e1ec5525db5d92d5a7dcd5e3bd0b23d8:000d00000003000501|000e00000006000300000001:000e000000050003020028|000f00000006000600000006:000f00000006000600000006|001000000006000300000001:0010000000050003020006|001100000006000600000030:,001100000006000600000030
000e00000006000300000001:000e000000050003020028|000f00000006000600000006:000f00000006000600000006|001000000006000300000001:0010000000050003020006|001100000006000600000030:001100000006000600000030|001200000006000400000002:,00120000000700040400007f80
000f00000006000600000006:000f00000006000600000006|001000000006000300000001:0010000000050003020006|001100000006000600000030:001100000006000600000030|001200000006000400000002:00120000000700040400007f80|00130000001a00a40721580084a34d5ac4c4924877568825e0e4734b13875f93:,001300000003002401
001000000006000300000001:0010000000050003020006|001100000006000600000030:001100000006000600000030|001200000006000400000002:00120000000700040400007f80|00130000001a00a40721580084a34d5ac4c4924877568825e0e4734b13875f93:001300000003002401|001400000006000500060000:,001400000003008502
001100000006000600000030:001100000006000600000030|001200000006000400000002:00120000000700040400007f80|00130000001a00a40721580084a34d5ac4c4924877568825e0e4734b13875f93:001300000003002401|001400000006000500060000:001400000003008502|001500000006000600000024:,001500000006000600000024
001200000006000400000002:00120000000700040400007f80|00130000001a00a40721580084a34d5ac4c4924877568825e0e4734b13875f93:001300000003002401|001400000006000500060000:001400000003008502|001500000006000600000024:001500000006000600000024|001600000006000300000001:,0016000000050003020024
00130000001a00a40721580084a34d5ac4c4924877568825e0e4734b13875f93:001300000003002401|001400000006000500060000:001400000003008502|001500000006000600000024:001500000006000600000024|001600000006000300000001:0016000000050003020024|001700000012007f16971376d6d1f1a1503045fb1ff284cc:,00170000000300ff01
001400000006000500060000:001400000003008502|001500000006000600000024:001500000006000600000024|001600000006000300000001:0016000000050003020024|001700000012007f16971376d6d1f1a1503045fb1ff284cc:00170000000300ff01|001800000006000400000002:,00180000000700040497f57b40
001500000006000600000024:001500000006000600000024|001600000006000300000001:0016000000050003020024|001700000012007f16971376d6d1f1a1503045fb1ff284cc:00170000000300ff01|001800000006000400000002:00180000000700040497f57b40|001900000006000500310000:,001900000003008502
001600000006000300000001:0016000000050003020024|001700000012007f16971376d6d1f1a1503045fb1ff284cc:00170000000300ff01|001800000006000400000002:00180000000700040497f57b40|001900000006000500310000:001900000003008502|001a0000001200e02ec401c853c7b38342f9f10ec1dfb24c:,001a00000003006001
001700000012007f16971376d6d1f1a1503045fb1ff284cc:00170000000300ff01|001800000006000400000002:00180000000700040497f57b40|001900000006000500310000:001900000003008502|001a0000001200e02ec401c853c7b38342f9f10ec1dfb24c:001a00000003006001|001b00000006000600000015:,001b00000006000600000015
001800000006000400000002:00180000000700040497f57b40|001900000006000500310000:001900000003008502|001a0000001200e02ec401c853c7b38342f9f10ec1dfb24c:001a00000003006001|001b00000006000600000015:001b00000006000600000015|001c00000006000400000002:,001c00000007000404d71c6258
001900000006000500310000:001900000003008502|001a0000001200e02ec401c853c7b38342f9f10ec1dfb24c:001a00000003006001|001b00000006000600000015:001b00000006000600000015|001c00000006000400000002:001c00000007000404d71c6258|001d00000006000300000001:,001d000000050003020015
001a0000001200e02ec401c853c7b38342f9f10ec1dfb24c:001a00000003006001|001b00000006000600000015:001b00000006000600000015|001c00000006000400000002:001c00000007000404d71c6258|001d00000006000300000001:001d000000050003020015|001e00000006000500240000:,001e00000003008502
001b00000006000600000015:001b00000006000600000015|001c00000006000400000002:001c00000007000404d71c6258|001d00000006000300000001:001d000000050003020015|001e00000006000500240000:001e00000003008502|001f0000000a0040a99a67a07e170396:,001f0000000300c001
001c00000006000400000002:001c00000007000404d71c6258|001d00000006000300000001:001d000000050003020015|001e00000006000500240000:001e00000003008502|001f0000000a0040a99a67a07e170396:001f0000000300c001|00200000000600060000001f:,00200000000600060000001f
001d00000006000300000001:001d000000050003020015|001e00000006000500240000:001e00000003008502|001f0000000a0040a99a67a07e170396:001f0000000300c001|00200000000600060000001f:00200000000600060000001f|0021000000060004002d0001:,002100000003008402
001e00000006000500240000:001e00000003008502|001f0000000a0040a99a67a07e170396:001f0000000300c001|00200000000600060000001f:00200000000600060000001f|0021000000060004002d0001:002100000003008402|002200000006000300000001:,002200000005000302001f
001f0000000a0040a99a67a07e170396:001f0000000300c001|00200000000600060000001f:00200000000600060000001f|0021000000060004002d0001:002100000003008402|002200000006000300000001:002200000005000302001f|002300000006000400000002:,0023000000070004046fc472fc
00200000000600060000001f:00200000000600060000001f|0021000000060004002d0001:002100000003008402|002200000006000300000001:002200000005000302001f|002300000006000400000002:0023000000070004046fc472fc|002400000006000300000001:,002400000005000302001f
0021000000060004002d0001:002100000003008402|002200000006000300000001:002200000005000302001f|002300000006000400000002:0023000000070004046fc472fc|002400000006000300000001:002400000005000302001f|0025000000120032659651772b3f093c0cef9c16517955ae:,00250000000300b201
002200000006000300000001:002200000005000302001f|002300000006000400000002:0023000000070004046fc472fc|002400000006000300000001:002400000005000302001f|0025000000120032659651772b3f093c0cef9c16517955ae:00250000000300b201|002600000006000600000015:,002600000006000600000015
002300000006000400000002:0023000000070004046fc472fc|002400000006000300000001:002400000005000302001f|0025000000120032659651772b3f093c0cef9c16517955ae:00250000000300b201|002600000006000600000015:002600000006000600000015|002700000006000400000002:,002700000007000404d71c6258
002400000006000300000001:002400000005000302001f|0025000000120032659651772b3f093c0cef9c16517955ae:00250000000300b201|002600000006000600000015:002600000006000600000015|002700000006000400000002:002700000007000404d71c6258|0028000000060004001f0001:,002800000003008402
0025000000120032659651772b3f093c0cef9c16517955ae:00250000000300b201|002600000006000600000015:002600000006000600000015|002700000006000400000002:002700000007000404d71c6258|0028000000060004001f0001:002800000003008402|002900000006000300000001:,0029000000050003020015
002600000006000600000015:002600000006000600000015|002700000006000400000002:002700000007000404d71c6258|0028000000060004001f0001:002800000003008402|002900000006000300000001:0029000000050003020015|002a0000000f001000100004080009000600040002:,002a00000003009002
002700000006000400000002:002700000007000404d71c6258|0028000000060004001f0001:002800000003008402|002900000006000300000001:0029000000050003020015|002a0000000f001000100004080009000600040002:002a00000003009002|002b00000006000400000002:,002b00000007000404d71c6258
0028000000060004001f0001:002800000003008402|002900000006000300000001:0029000000050003020015|002a0000000f001000100004080009000600040002:002a00000003009002|002b00000006000400000002:002b00000007000404d71c6258|002c0000000600060000001f:,002c0000000600060000001f
