source_text,target_text
00030000000b001000000002049ce0c031:000300000006001000000002|000400000006000400000002:,000400000007000404f1653adb
00070000000b00100000000204624ec02c:000700000006001000000002|000800000006000400000002:,000800000007000404bbba3b04
000b0000000b001000000002042b6bc01e:000b00000006001000000002|000c00000006000400000002:,000c0000000700040459a53b5d
000f0000000b001000000002045bc0c018:000f00000006001000000002|001000000006000400000002:,00100000000700040469433b88
00130000000b00100000000204b021c016:001300000006001000000002|001400000006000400000002:,001400000007000404dc473b90
00170000000b001000000002048e8ac00c:001700000006001000000002|001800000006000400000002:,00180000000700040491b23bd0
001b0000000b00100000000204a8c1c000:001b00000006001000000002|001c00000006000400000002:,001c0000000700040400003c20
001f0000000b001000000002049f56bffb:001f00000006001000000002|002000000006000400000002:,00200000000700040443823c31
00230000000b00100000000204645abff3:002300000006001000000002|002400000006000400000002:,0024000000070004048d1a3c4d
00270000000b001000000002042ca5bfeb:002700000006001000000002|002800000006000400000002:,0028000000070004044c3d3c6e
002b0000000b001000000002045532bfe8:002b00000006001000000002|002c00000006000400000002:,002c00000007000404cbab3c7a
002f0000000b001000000002040419bfce:002f00000006001000000002|003000000006000400000002:,00300000000700040452463cc9
00330000000b00100000000204ef35bfc8:003300000006001000000002|003400000006000400000002:,00340000000700040497913cdc
00370000000b00100000000204fd8bbfc5:003700000006001000000002|003800000006000400000002:,00380000000700040496e43ce8
003b0000000b00100000000204a234bfb4:003b00000006001000000002|003c00000006000400000002:,003c00000007000404e9c53d1e
003f0000000b001000000002047660bfaf:003f00000006001000000002|004000000006000400000002:,00400000000700040467c83d2e
00430000000b001000000002046873bfa9:004300000006001000000002|004400000006000400000002:,00440000000700040479273d42
00470000000b001000000002045d64bf94:004700000006001000000002|004800000006000400000002:,004800000007000404fb1c3d8d
004b0000000b001000000002047803bf93:004b00000006001000000002|004c00000006000400000002:,004c0000000700040449b63d90
004f0000000b00100000000204bee0bf8e:004f00000006001000000002|005000000006000400000002:,00500000000700040415513d9d
00530000000b00100000000204d3c3bf8b:005300000006001000000002|005400000006000400000002:,0054000000070004048ce13da5
00570000000b001000000002045e9ebf89:005700000006001000000002|005800000006000400000002:,005800000007000404088c3dad
005b0000000b001000000002047f63bf81:005b00000006001000000002|005c00000006000400000002:,005c000000070004045b343dc7
005f0000000b0010000000020473ebbf75:005f00000006001000000002|006000000006000400000002:,0060000000070004042e193de1
00630000000b0010000000020427bbbf6f:006300000006001000000002|006400000006000400000002:,0064000000070004044da33dee
00670000000b001000000002042546bf65:006700000006001000000002|006800000006000400000002:,006800000007000404606e3e02
006b0000000b00100000000204aa65bf50:006b00000006001000000002|006c00000006000400000002:,006c00000007000404bf4c3e1c
006f0000000b00100000000204a4a9bf4e:006f00000006001000000002|007000000006000400000002:,0070000000070004049fe83e1f
00730000000b00100000000204dcc6bf45:007300000006001000000002|007400000006000400000002:,007400000007000404be293e2c
00770000000b0010000000020483e4bf3e:007700000006001000000002|007800000006000400000002:,0078000000070004048b443e38
007b0000000b001000000002049168bf3d:007b00000006001000000002|007c00000006000400000002:,007c000000070004041f7b3e3a
007f0000000b00100000000204c361bf33:007f00000006001000000002|008000000006000400000002:,00800000000700040448503e4b
