source_text,target_text
00070000000b00100000000204b7e9c03f:000700000006001000000002|000800000006000400000002:,000800000007000404681c3a84
000f0000000b00100000000204573fc03f:000f00000006001000000002|001000000006000400000002:,00100000000700040437bc3a86
00170000000b00100000000204f838c03e:001700000006001000000002|001800000006000400000002:,00180000000700040405ad3a88
001f0000000b00100000000204978dc03e:001f00000006001000000002|002000000006000400000002:,002000000007000404e1fe3a89
00270000000b001000000002043886c03e:002700000006001000000002|002800000006000400000002:,002800000007000404bc8d3a8b
002f0000000b00100000000204d7dcc03d:002f00000006001000000002|003000000006000400000002:,003000000007000404a5d83a8d
00370000000b001000000002047732c03d:003700000006001000000002|003800000006000400000002:,00380000000700040495d33a8f
003f0000000b00100000000204182bc03d:003f00000006001000000002|004000000006000400000002:,00400000000700040484023a91
00470000000b00100000000204b780c03c:004700000006001000000002|004800000006000400000002:,004800000007000404818d3a93
004f0000000b001000000002045879c03c:004f00000006001000000002|005000000006000400000002:,0050000000070004047d403a95
00570000000b00100000000204f7cfc03b:005700000006001000000002|005800000006000400000002:,00580000000700040488b03a97
005f0000000b001000000002049724c03b:005f00000006001000000002|006000000006000400000002:,0060000000070004049b4e3a99
00670000000b00100000000204381dc03b:006700000006001000000002|006800000006000400000002:,006800000007000404abfb3a9b
006f0000000b00100000000204d773c03a:006f00000006001000000002|007000000006000400000002:,007000000007000404cd123a9d
00770000000b00100000000204786cc03a:007700000006001000000002|007800000006000400000002:,007800000007000404ec333a9f
007f0000000b0010000000020417c2c03a:007f00000006001000000002|008000000006000400000002:,0080000000070004041c273aa2
00870000000b00100000000204b717c039:008700000006001000000002|008800000006000400000002:,00880000000700040453d33aa4
008f0000000b001000000002045810c039:008f00000006001000000002|009000000006000400000002:,00900000000700040489663aa6
00970000000b00100000000204f766c038:009700000006001000000002|009800000006000400000002:,009800000007000404d0873aa8
009f0000000b0010000000020496bcc038:009f00000006001000000002|00a000000006000400000002:,00a0000000070004041fa23aab
00a70000000b0010000000020437b5c038:00a700000006001000000002|00a800000006000400000002:,00a8000000070004046c993aad
00af0000000b00100000000204d70ac037:00af00000006001000000002|00b000000006000400000002:,00b000000007000404cbde3aaf
00b70000000b001000000002047803c037:00b700000006001000000002|00b800000006000400000002:,00b80000000700040428f03ab2
00bf0000000b001000000002041759c037:00bf00000006001000000002|00c000000006000400000002:,00c00000000700040498c43ab4
00c70000000b00100000000204b6aec036:00c700000006001000000002|00c800000006000400000002:,00c80000000700040411273ab7
00cf0000000b0010000000020457a8c036:00cf00000006001000000002|00d000000006000400000002:,00d00000000700040487333ab9
00d70000000b00100000000204f6fdc035:00d700000006001000000002|00d800000006000400000002:,00d80000000700040410da3abc
00df0000000b0010000000020497f6c035:00df00000006001000000002|00e000000006000400000002:,00e00000000700040498273abe
00e70000000b00100000000204374cc035:00e700000006001000000002|00e800000006000400000002:,00e80000000700040433853ac1
00ef0000000b00100000000204d6a1c034:00ef00000006001000000002|00f000000006000400000002:,00f000000007000404d80b3ac3
00f70000000b00100000000204779ac034:00f700000006001000000002|00f800000006000400000002:,00f8000000070004047a163ac6
00ff0000000b0010000000020416f0c034:00ff00000006001000000002|010000000006000400000002:,010000000007000404310f3ac9
01070000000b00100000000204b7e9c033:010700000006001000000002|010800000006000400000002:,010800000007000404e5823acb
010f0000000b00100000000204573fc033:010f00000006001000000002|011000000006000400000002:,011000000007000404af753ace
01170000000b00100000000204f694c032:011700000006001000000002|011800000006000400000002:,01180000000700040483313ad1
011f0000000b00100000000204978dc032:011f00000006001000000002|012000000006000400000002:,012000000007000404544f3ad4
01270000000b0010000000020436e3c032:012700000006001000000002|012800000006000400000002:,0128000000070004043bc93ad7
012f0000000b00100000000204d7dcc031:012f00000006001000000002|013000000006000400000002:,01300000000700040420903ada
01370000000b001000000002047732c031:013700000006001000000002|013800000006000400000002:,0138000000070004041c573add
013f0000000b001000000002041687c031:013f00000006001000000002|014000000006000400000002:,01400000000700040422973ae0
01470000000b00100000000204b780c030:014700000006001000000002|014800000006000400000002:,01480000000700040426093ae3
014f0000000b0010000000020456d6c030:014f00000006001000000002|015000000006000400000002:,01500000000700040441663ae6
01570000000b00100000000204f7cfc02f:015700000006001000000002|015800000006000400000002:,01580000000700040459e23ae9
015f0000000b001000000002049724c02f:015f00000006001000000002|016000000006000400000002:,0160000000070004048afe3aec
01670000000b00100000000204367ac02f:016700000006001000000002|016800000006000400000002:,016800000007000404c7403aef
016f0000000b00100000000204d773c02e:016f00000006001000000002|017000000006000400000002:,01700000000700040400823af3
01770000000b0010000000020476c9c02e:017700000006001000000002|017800000006000400000002:,01780000000700040453623af6
017f0000000b00100000000204161ec02e:017f00000006001000000002|018000000006000400000002:,018000000007000404b1ed3af9
01870000000b00100000000204b717c02d:018700000006001000000002|018800000006000400000002:,0188000000070004040d593afd
018f0000000b00100000000204566dc02d:018f00000006001000000002|019000000006000400000002:,01900000000700040441b53b00
01970000000b00100000000204f766c02c:019700000006001000000002|019800000006000400000002:,019800000007000404fb223b01
019f0000000b0010000000020496bcc02c:019f00000006001000000002|01a000000006000400000002:,01a000000007000404c2443b03
01a70000000b001000000002043611c02c:01a700000006001000000002|01a800000006000400000002:,01a8000000070004048fa33b05
01af0000000b00100000000204d70ac02b:01af00000006001000000002|01b000000006000400000002:,01b0000000070004045b563b07
01b70000000b001000000002047660c02b:01b700000006001000000002|01b800000006000400000002:,01b800000007000404354a3b09
01bf0000000b001000000002041759c02b:01bf00000006001000000002|01c000000006000400000002:,01c0000000070004040d873b0b
01c70000000b00100000000204b6aec02a:01c700000006001000000002|01c800000006000400000002:,01c800000007000404f4713b0c
01cf0000000b001000000002045604c02a:01cf00000006001000000002|01d000000006000400000002:,01d000000007000404e1ff3b0e
01d70000000b00100000000204f6fdc029:01d700000006001000000002|01d800000006000400000002:,01d800000007000404cdc33b10
01df0000000b001000000002049653c029:01df00000006001000000002|01e000000006000400000002:,01e000000007000404c8cb3b12
01e70000000b00100000000204374cc029:01e700000006001000000002|01e800000006000400000002:,01e800000007000404c2023b14
01ef0000000b00100000000204d6a1c028:01ef00000006001000000002|01f000000006000400000002:,01f000000007000404cae83b16
01f70000000b0010000000020475f7c028:01f700000006001000000002|01f800000006000400000002:,01f800000007000404dae83b18
01ff0000000b0010000000020416f0c028:01ff00000006001000000002|020000000006000400000002:,020000000007000404e8ff3b1a
02070000000b00100000000204b646c027:020700000006001000000002|020800000006000400000002:,020800000007000404076b3b1d
020f0000000b00100000000204573fc027:020f00000006001000000002|021000000006000400000002:,02100000000700040423e43b1f
02170000000b00100000000204f694c026:021700000006001000000002|021800000006000400000002:,02180000000700040451243b21
021f0000000b0010000000020495eac026:021f00000006001000000002|022000000006000400000002:,02200000000700040485ff3b23
02270000000b0010000000020436e3c026:022700000006001000000002|022800000006000400000002:,022800000007000404b8ce3b25
022f0000000b00100000000204d639c025:022f00000006001000000002|023000000006000400000002:,023000000007000404fd153b27
02370000000b00100000000204758ec025:023700000006001000000002|023800000006000400000002:,02380000000700040449513b2a
023f0000000b001000000002041687c025:023f00000006001000000002|024000000006000400000002:,02400000000700040493663b2c
02470000000b00100000000204b5ddc024:024700000006001000000002|024800000006000400000002:,024800000007000404efad3b2e
024f0000000b0010000000020456d6c024:024f00000006001000000002|025000000006000400000002:,02500000000700040449c93b31
02570000000b00100000000204f62bc023:025700000006001000000002|025800000006000400000002:,025800000007000404b6953b33
025f0000000b001000000002049581c023:025f00000006001000000002|026000000006000400000002:,0260000000070004042bda3b36
02670000000b00100000000204367ac023:026700000006001000000002|026800000006000400000002:,0268000000070004049ed73b38
026f0000000b00100000000204d5d0c022:026f00000006001000000002|027000000006000400000002:,027000000007000404254b3b3b
02770000000b0010000000020476c9c022:027700000006001000000002|027800000006000400000002:,027800000007000404a96d3b3d
027f0000000b00100000000204161ec022:027f00000006001000000002|028000000006000400000002:,028000000007000404418d3b40
02870000000b00100000000204b574c021:028700000006001000000002|028800000006000400000002:,028800000007000404e2bd3b42
028f0000000b00100000000204566dc021:028f00000006001000000002|029000000006000400000002:,029000000007000404817d3b45
02970000000b00100000000204f5c3c020:029700000006001000000002|029800000006000400000002:,029800000007000404350e3b48
029f0000000b0010000000020496bcc020:029f00000006001000000002|02a000000006000400000002:,02a000000007000404e61f3b4a
02a70000000b001000000002043611c020:02a700000006001000000002|02a800000006000400000002:,02a800000007000404ac993b4d
02af0000000b00100000000204d567c01f:02af00000006001000000002|02b000000006000400000002:,02b0000000070004047cc53b50
02b70000000b001000000002047660c01f:02b700000006001000000002|02b800000006000400000002:,02b8000000070004044a5c3b53
02bf0000000b0010000000020415b5c01f:02bf00000006001000000002|02c000000006000400000002:,02c0000000070004042e393b56
02c70000000b00100000000204b6aec01e:02c700000006001000000002|02c800000006000400000002:,02c8000000070004040f613b59
02cf0000000b001000000002045604c01e:02cf00000006001000000002|02d000000006000400000002:,02d000000007000404076b3b5c
02d70000000b00100000000204f55ac01d:02d700000006001000000002|02d800000006000400000002:,02d80000000700040409da3b5f
02df0000000b001000000002049653c01d:02df00000006001000000002|02e000000006000400000002:,02e00000000700040409863b62
02e70000000b0010000000020435a8c01d:02e700000006001000000002|02e800000006000400000002:,02e80000000700040421063b65
02ef0000000b00100000000204d4fec01c:02ef00000006001000000002|02f000000006000400000002:,02f00000000700040443523b68
02f70000000b0010000000020475f7c01c:02f700000006001000000002|02f800000006000400000002:,02f80000000700040462b63b6b
02ff0000000b00100000000204154dc01c:02ff00000006001000000002|030000000006000400000002:,0300000000070004049aeb3b6e
03070000000b00100000000204b646c01b:030700000006001000000002|030800000006000400000002:,030800000007000404d0233b71
030f0000000b00100000000204559bc01b:030f00000006001000000002|031000000006000400000002:,0310000000070004041ee13b75
03170000000b00100000000204f4f1c01a:031700000006001000000002|031800000006000400000002:,031800000007000404792c3b78
031f0000000b0010000000020495eac01a:031f00000006001000000002|032000000006000400000002:,032000000007000404d0633b7b
03270000000b00100000000204353fc01a:032700000006001000000002|032800000006000400000002:,03280000000700040442263b7f
032f0000000b00100000000204d639c019:032f00000006001000000002|033000000006000400000002:,03300000000700040458543b81
03370000000b00100000000204758ec019:033700000006001000000002|033800000006000400000002:,0338000000070004041d3f3b83
033f0000000b0010000000020414e4c019:033f00000006001000000002|034000000006000400000002:,034000000007000404e8583b84
