source_text,target_text
0.0004,1.0009
0.0017,1.004
0.0073,1.017
0.0181,1.0425
0.0504,1.123
0.0564,1.1387
0.0662,1.1646
0.0681,1.1697
0.0684,1.1706
0.0732,1.1837
0.081,1.2049
0.0821,1.2082
0.1504,1.4139
0.1781,1.507
0.179,1.51
0.1996,1.5835
0.2137,1.6358
0.2221,1.6677
0.253,1.7906
0.2542,1.7954
0.2556,1.8014
0.2564,1.8045
0.2581,1.8116
0.2729,1.8745
0.2752,1.8844
0.2754,1.8855
0.2756,1.8863
0.2959,1.9764
0.3169,2.0743
0.3214,2.096
0.3274,2.1253
0.3298,2.1368
0.3342,2.1589
0.3428,2.202
0.3436,2.2059
0.3457,2.2167
0.3525,2.2519
0.3529,2.2537
0.3736,2.3639
0.374,2.366
0.4114,2.5788
0.42,2.6305
0.4211,2.6372
0.4245,2.6576
0.4364,2.7314
0.4497,2.8162
0.4586,2.8749
0.4699,2.9508
0.4706,2.9554
0.482,3.034
0.4899,3.0896
0.4935,3.1156
0.5114,3.2467
0.5307,3.3943
0.5375,3.4478
0.5397,3.465
0.5407,3.4728
0.5417,3.4813
0.5471,3.5246
0.5492,3.5414
0.5509,3.5557
0.5555,3.593
0.5599,3.6296
0.5679,3.6972
0.5704,3.719
0.571,3.7238
0.5748,3.757
0.5989,3.9709
0.6049,4.0264
0.6118,4.0908
0.62,4.1686
0.6402,4.3674
0.6438,4.4039
0.6447,4.4127
0.6455,4.4213
0.646,4.4256
0.6518,4.4858
0.6544,4.5125
0.6616,4.5873
0.6643,4.6166
0.6648,4.6215
0.6695,4.6724
0.6706,4.6839
0.6708,4.6856
0.6731,4.7103
0.6876,4.871
0.6941,4.9448
0.695,4.9544
0.7059,5.081
0.7088,5.115
0.7193,5.2394
0.7277,5.3419
0.7288,5.3552
0.7288,5.3559
0.7369,5.4564
0.7375,5.4633
0.7535,5.6684
0.7574,5.7205
0.7617,5.7768
0.7631,5.7954
0.7732,5.9324
0.7782,6.0006
0.785,6.096
0.7887,6.147
0.79,6.1661
0.7982,6.2833
0.8075,6.4189
0.8083,6.4314
0.81,6.4562
0.8125,6.4943
0.816,6.5469
0.8202,6.6106
0.8245,6.6757
0.839,6.9032
0.8414,6.9414
0.8441,6.9834
0.8505,7.0882
0.8592,7.2311
0.8608,7.2577
0.8613,7.2664
0.8618,7.2745
0.8649,7.3274
0.8662,7.3477
0.8697,7.4077
0.8724,7.4542
0.8761,7.5175
0.8834,7.6449
0.8868,7.7058
0.8872,7.712
0.8878,7.723
0.8889,7.7433
0.8891,7.7461
0.8925,7.8072
0.8991,7.9261
0.8993,7.93
0.901,7.9612
0.9016,7.9722
0.9063,8.0587
0.9192,8.3028
0.9316,8.5429
0.9317,8.5439
