source_text,target_text
0.0,1.0
0.002,1.0045
0.0039,1.009
0.0059,1.0136
0.0078,1.0182
0.0098,1.0228
0.0117,1.0274
0.0137,1.032
0.0156,1.0367
0.0176,1.0413
0.0196,1.046
0.0215,1.0508
0.0235,1.0555
0.0254,1.0603
0.0274,1.0651
0.0293,1.0699
0.0313,1.0747
0.0332,1.0795
0.0352,1.0844
0.0371,1.0893
0.0391,1.0942
0.0411,1.0991
0.043,1.1041
0.045,1.1091
0.0469,1.1141
0.0489,1.1191
0.0508,1.1242
0.0528,1.1292
0.0547,1.1343
0.0567,1.1395
0.0587,1.1446
0.0606,1.1498
0.0626,1.1549
0.0645,1.1602
0.0665,1.1654
0.0684,1.1706
0.0704,1.1759
0.0723,1.1812
0.0743,1.1866
0.0762,1.1919
0.0782,1.1973
0.0802,1.2027
0.0821,1.2081
0.0841,1.2136
0.086,1.219
0.088,1.2246
0.0899,1.2301
0.0919,1.2356
0.0938,1.2412
0.0958,1.2468
0.0978,1.2524
0.0997,1.2581
0.1017,1.2638
0.1036,1.2695
0.1056,1.2752
0.1075,1.2809
0.1095,1.2867
0.1114,1.2925
0.1134,1.2984
0.1153,1.3042
0.1173,1.3101
0.1193,1.316
0.1212,1.3219
0.1232,1.3279
0.1251,1.3339
0.1271,1.3399
0.129,1.346
0.131,1.352
0.1329,1.3581
0.1349,1.3643
0.1369,1.3704
0.1388,1.3766
0.1408,1.3828
0.1427,1.389
0.1447,1.3953
0.1466,1.4016
0.1486,1.4079
0.1505,1.4143
0.1525,1.4207
0.1544,1.4271
0.1564,1.4335
0.1584,1.44
0.1603,1.4465
0.1623,1.453
0.1642,1.4596
0.1662,1.4661
0.1681,1.4728
0.1701,1.4794
0.172,1.4861
0.174,1.4928
0.176,1.4995
0.1779,1.5063
0.1799,1.5131
0.1818,1.5199
0.1838,1.5268
0.1857,1.5337
0.1877,1.5406
0.1896,1.5475
0.1916,1.5545
0.1935,1.5615
0.1955,1.5686
0.1975,1.5756
0.1994,1.5828
0.2014,1.5899
0.2033,1.5971
0.2053,1.6043
0.2072,1.6115
0.2092,1.6188
0.2111,1.6261
0.2131,1.6334
0.2151,1.6408
0.217,1.6482
0.219,1.6556
0.2209,1.6631
0.2229,1.6706
0.2248,1.6781
0.2268,1.6857
0.2287,1.6933
0.2307,1.701
0.2326,1.7086
0.2346,1.7163
0.2366,1.7241
0.2385,1.7319
0.2405,1.7397
0.2424,1.7475
0.2444,1.7554
0.2463,1.7633
0.2483,1.7713
0.2502,1.7793
0.2522,1.7873
0.2542,1.7954
0.2561,1.8035
0.2581,1.8116
0.26,1.8198
0.262,1.828
0.2639,1.8362
0.2659,1.8445
0.2678,1.8528
0.2698,1.8612
0.2717,1.8696
0.2737,1.878
0.2757,1.8865
0.2776,1.895
0.2796,1.9036
0.2815,1.9122
0.2835,1.9208
0.2854,1.9295
0.2874,1.9382
0.2893,1.9469
0.2913,1.9557
0.2933,1.9645
0.2952,1.9734
0.2972,1.9823
0.2991,1.9912
0.3011,2.0002
0.303,2.0092
0.305,2.0183
0.3069,2.0274
0.3089,2.0366
0.3109,2.0457
0.3128,2.055
0.3148,2.0642
0.3167,2.0736
0.3187,2.0829
0.3206,2.0923
0.3226,2.1017
0.3245,2.1112
0.3265,2.1208
0.3284,2.1303
0.3304,2.1399
0.3324,2.1496
0.3343,2.1593
0.3363,2.169
0.3382,2.1788
0.3402,2.1886
0.3421,2.1985
0.3441,2.2084
0.346,2.2184
0.348,2.2284
0.35,2.2385
0.3519,2.2486
0.3539,2.2587
0.3558,2.2689
0.3578,2.2791
0.3597,2.2894
0.3617,2.2998
0.3636,2.3101
0.3656,2.3206
0.3675,2.331
0.3695,2.3415
0.3715,2.3521
0.3734,2.3627
0.3754,2.3734
0.3773,2.3841
0.3793,2.3948
0.3812,2.4056
