source_text,target_text
00010000000b0010000000020421694746:000100000006001000000002|000200000006000400000002:,00020000000700040400003ed2
000200000006000400000002:00020000000700040400003ed2|00030000000b001000000002048a6246be:,000300000006001000000002
00030000000b001000000002048a6246be:000300000006001000000002|000400000006000400000002:,00040000000700040400003e44
000400000006000400000002:00040000000700040400003e44|00050000000b00100000000204b28d46bf:,000500000006001000000002
00050000000b00100000000204b28d46bf:000500000006001000000002|000600000006000400000002:,00060000000700040400003e8d
000600000006000400000002:00060000000700040400003e8d|00070000000b00100000000204113d4695:,000700000006001000000002
00070000000b00100000000204113d4695:000700000006001000000002|000800000006000400000002:,00080000000700040480003f1e
000800000006000400000002:00080000000700040480003f1e|00090000000b00100000000204a56f4708:,000900000006001000000002
00090000000b00100000000204a56f4708:000900000006001000000002|000a00000006000400000002:,000a0000000700040400003ede
000a00000006000400000002:000a0000000700040400003ede|000b0000000b001000000002047cdf459e:,000b00000006001000000002
000b0000000b001000000002047cdf459e:000b00000006001000000002|000c00000006000400000002:,000c00000007000404e0003f1b
000c00000006000400000002:000c00000007000404e0003f1b|000d0000000b001000000002040843472e:,000d00000006001000000002
000d0000000b001000000002040843472e:000d00000006001000000002|000e00000006000400000002:,000e0000000700040400003e86
000e00000006000400000002:000e0000000700040400003e86|000f0000000b00100000000204521f4712:,000f00000006001000000002
000f0000000b00100000000204521f4712:000f00000006001000000002|001000000006000400000002:,00100000000700040400003df8
001000000006000400000002:00100000000700040400003df8|00110000000b001000000002046d6c461b:,001100000006001000000002
00110000000b001000000002046d6c461b:001100000006001000000002|001200000006000400000002:,00120000000700040400003eb6
001200000006000400000002:00120000000700040400003eb6|00130000000b001000000002040356467f:,001300000006001000000002
00130000000b001000000002040356467f:001300000006001000000002|001400000006000400000002:,00140000000700040480003f55
001400000006000400000002:00140000000700040480003f55|00150000000b00100000000204c5294655:,001500000006001000000002
00150000000b00100000000204c5294655:001500000006001000000002|001600000006000400000002:,00160000000700040480003e94
001600000006000400000002:00160000000700040480003e94|00170000000b00100000000204c95e4737:,001700000006001000000002
00170000000b00100000000204c95e4737:001700000006001000000002|001800000006000400000002:,00180000000700040400003ebc
001800000006000400000002:00180000000700040400003ebc|00190000000b00100000000204873d4619:,001900000006001000000002
00190000000b00100000000204873d4619:001900000006001000000002|001a00000006000400000002:,001a0000000700040440003f4f
001a00000006000400000002:001a0000000700040440003f4f|001b0000000b00100000000204e65f46ae:,001b00000006001000000002
