source_text,target_text
000100000006000300000002:00010000000700030400000000|0002000000120060fb04766787633d160ea120cf79c41943:00020000000300e001|000300000006000400000002:00030000000700040400000000|00040000000b0010000000020498e14124:000400000006001000000002|00050000000b00100020000204113d41fb:000500000003009002|00060000000600050017ff00:000600000003008502|00070000000a007c2467e0413e70377b:00070000000300fc01|000800000006000400000002:0008000000070004041c203e93|00090000000b00100000000204cf2241f5:,000900000006001000000002
0002000000120060fb04766787633d160ea120cf79c41943:00020000000300e001|000300000006000400000002:00030000000700040400000000|00040000000b0010000000020498e14124:000400000006001000000002|00050000000b00100020000204113d41fb:000500000003009002|00060000000600050017ff00:000600000003008502|00070000000a007c2467e0413e70377b:00070000000300fc01|000800000006000400000002:0008000000070004041c203e93|00090000000b00100000000204cf2241f5:000900000006001000000002|000a00000006000300000002:,000a00000007000304cf2241f5
000300000006000400000002:00030000000700040400000000|00040000000b0010000000020498e14124:000400000006001000000002|00050000000b00100020000204113d41fb:000500000003009002|00060000000600050017ff00:000600000003008502|00070000000a007c2467e0413e70377b:00070000000300fc01|000800000006000400000002:0008000000070004041c203e93|00090000000b00100000000204cf2241f5:000900000006001000000002|000a00000006000300000002:000a00000007000304cf2241f5|000b0000000b00100000000204cdaf412a:,000b00000006001000000002
00040000000b0010000000020498e14124:000400000006001000000002|00050000000b00100020000204113d41fb:000500000003009002|00060000000600050017ff00:000600000003008502|00070000000a007c2467e0413e70377b:00070000000300fc01|000800000006000400000002:0008000000070004041c203e93|00090000000b00100000000204cf2241f5:000900000006001000000002|000a00000006000300000002:000a00000007000304cf2241f5|000b0000000b00100000000204cdaf412a:000b00000006001000000002|000c00000006000400000002:,000c00000007000404daf03f2c
00050000000b00100020000204113d41fb:000500000003009002|00060000000600050017ff00:000600000003008502|00070000000a007c2467e0413e70377b:00070000000300fc01|000800000006000400000002:0008000000070004041c203e93|00090000000b00100000000204cf2241f5:000900000006001000000002|000a00000006000300000002:000a00000007000304cf2241f5|000b0000000b00100000000204cdaf412a:000b00000006001000000002|000c00000006000400000002:000c00000007000404daf03f2c|000d0000001a00c869022126b8e811dc0a19ffdd2105f827499eaeb2c29ad57d:,000d00000003004801
00060000000600050017ff00:000600000003008502|00070000000a007c2467e0413e70377b:00070000000300fc01|000800000006000400000002:0008000000070004041c203e93|00090000000b00100000000204cf2241f5:000900000006001000000002|000a00000006000300000002:000a00000007000304cf2241f5|000b0000000b00100000000204cdaf412a:000b00000006001000000002|000c00000006000400000002:000c00000007000404daf03f2c|000d0000001a00c869022126b8e811dc0a19ffdd2105f827499eaeb2c29ad57d:000d00000003004801|000e00000006000300000002:,000e00000007000304cdaf412a
00070000000a007c2467e0413e70377b:00070000000300fc01|000800000006000400000002:0008000000070004041c203e93|00090000000b00100000000204cf2241f5:000900000006001000000002|000a00000006000300000002:000a00000007000304cf2241f5|000b0000000b00100000000204cdaf412a:000b00000006001000000002|000c00000006000400000002:000c00000007000404daf03f2c|000d0000001a00c869022126b8e811dc0a19ffdd2105f827499eaeb2c29ad57d:000d00000003004801|000e00000006000300000002:000e00000007000304cdaf412a|000f0000000600050004ff00:,000f00000003008502
000800000006000400000002:0008000000070004041c203e93|00090000000b00100000000204cf2241f5:000900000006001000000002|000a00000006000300000002:000a00000007000304cf2241f5|000b0000000b00100000000204cdaf412a:000b00000006001000000002|000c00000006000400000002:000c00000007000404daf03f2c|000d0000001a00c869022126b8e811dc0a19ffdd2105f827499eaeb2c29ad57d:000d00000003004801|000e00000006000300000002:000e00000007000304cdaf412a|000f0000000600050004ff00:000f00000003008502|001000000006000300000002:,001000000007000304cdaf412a
00090000000b00100000000204cf2241f5:000900000006001000000002|000a00000006000300000002:000a00000007000304cf2241f5|000b0000000b00100000000204cdaf412a:000b00000006001000000002|000c00000006000400000002:000c00000007000404daf03f2c|000d0000001a00c869022126b8e811dc0a19ffdd2105f827499eaeb2c29ad57d:000d00000003004801|000e00000006000300000002:000e00000007000304cdaf412a|000f0000000600050004ff00:000f00000003008502|001000000006000300000002:001000000007000304cdaf412a|00110000001a009163962fc2c3149d4965878c4fab1eb79796d7a99b69a22efa:,001100000003001101
000a00000006000300000002:000a00000007000304cf2241f5|000b0000000b00100000000204cdaf412a:000b00000006001000000002|000c00000006000400000002:000c00000007000404daf03f2c|000d0000001a00c869022126b8e811dc0a19ffdd2105f827499eaeb2c29ad57d:000d00000003004801|000e00000006000300000002:000e00000007000304cdaf412a|000f0000000600050004ff00:000f00000003008502|001000000006000300000002:001000000007000304cdaf412a|00110000001a009163962fc2c3149d4965878c4fab1eb79796d7a99b69a22efa:001100000003001101|001200000006000400230001:,001200000003008402
000b0000000b00100000000204cdaf412a:000b00000006001000000002|000c00000006000400000002:000c00000007000404daf03f2c|000d0000001a00c869022126b8e811dc0a19ffdd2105f827499eaeb2c29ad57d:000d00000003004801|000e00000006000300000002:000e00000007000304cdaf412a|000f0000000600050004ff00:000f00000003008502|001000000006000300000002:001000000007000304cdaf412a|00110000001a009163962fc2c3149d4965878c4fab1eb79796d7a99b69a22efa:001100000003001101|001200000006000400230001:001200000003008402|00130000000b00100000000204312b420b:,001300000006001000000002
000c00000006000400000002:000c00000007000404daf03f2c|000d0000001a00c869022126b8e811dc0a19ffdd2105f827499eaeb2c29ad57d:000d00000003004801|000e00000006000300000002:000e00000007000304cdaf412a|000f0000000600050004ff00:000f00000003008502|001000000006000300000002:001000000007000304cdaf412a|00110000001a009163962fc2c3149d4965878c4fab1eb79796d7a99b69a22efa:001100000003001101|001200000006000400230001:001200000003008402|00130000000b00100000000204312b420b:001300000006001000000002|001400000006000400000002:,0014000000070004044ac03f4c
000d0000001a00c869022126b8e811dc0a19ffdd2105f827499eaeb2c29ad57d:000d00000003004801|000e00000006000300000002:000e00000007000304cdaf412a|000f0000000600050004ff00:000f00000003008502|001000000006000300000002:001000000007000304cdaf412a|00110000001a009163962fc2c3149d4965878c4fab1eb79796d7a99b69a22efa:001100000003001101|001200000006000400230001:001200000003008402|00130000000b00100000000204312b420b:001300000006001000000002|001400000006000400000002:0014000000070004044ac03f4c|001500000006000400000002:,0015000000070004044ac03f4c
000e00000006000300000002:000e00000007000304cdaf412a|000f0000000600050004ff00:000f00000003008502|001000000006000300000002:001000000007000304cdaf412a|00110000001a009163962fc2c3149d4965878c4fab1eb79796d7a99b69a22efa:001100000003001101|001200000006000400230001:001200000003008402|00130000000b00100000000204312b420b:001300000006001000000002|001400000006000400000002:0014000000070004044ac03f4c|001500000006000400000002:0015000000070004044ac03f4c|00160000000b0010000000020465d34178:,001600000006001000000002
000f0000000600050004ff00:000f00000003008502|001000000006000300000002:001000000007000304cdaf412a|00110000001a009163962fc2c3149d4965878c4fab1eb79796d7a99b69a22efa:001100000003001101|001200000006000400230001:001200000003008402|00130000000b00100000000204312b420b:001300000006001000000002|001400000006000400000002:0014000000070004044ac03f4c|001500000006000400000002:0015000000070004044ac03f4c|00160000000b0010000000020465d34178:001600000006001000000002|001700000006000300000002:,00170000000700030465d34178
001000000006000300000002:001000000007000304cdaf412a|00110000001a009163962fc2c3149d4965878c4fab1eb79796d7a99b69a22efa:001100000003001101|001200000006000400230001:001200000003008402|00130000000b00100000000204312b420b:001300000006001000000002|001400000006000400000002:0014000000070004044ac03f4c|001500000006000400000002:0015000000070004044ac03f4c|00160000000b0010000000020465d34178:001600000006001000000002|001700000006000300000002:00170000000700030465d34178|00180000000b00100028000204c9334242:,001800000003009002
00110000001a009163962fc2c3149d4965878c4fab1eb79796d7a99b69a22efa:001100000003001101|001200000006000400230001:001200000003008402|00130000000b00100000000204312b420b:001300000006001000000002|001400000006000400000002:0014000000070004044ac03f4c|001500000006000400000002:0015000000070004044ac03f4c|00160000000b0010000000020465d34178:001600000006001000000002|001700000006000300000002:00170000000700030465d34178|00180000000b00100028000204c9334242:001800000003009002|00190000001200e1d26f57497278655e360e3106ba806fae:,001900000003006101
001200000006000400230001:001200000003008402|00130000000b00100000000204312b420b:001300000006001000000002|001400000006000400000002:0014000000070004044ac03f4c|001500000006000400000002:0015000000070004044ac03f4c|00160000000b0010000000020465d34178:001600000006001000000002|001700000006000300000002:00170000000700030465d34178|00180000000b00100028000204c9334242:001800000003009002|00190000001200e1d26f57497278655e360e3106ba806fae:001900000003006101|001a00000006000400000002:,001a000000070004045d303f06
