source_text,target_text
0001000000060006000b0000:000100000003008602|0002000000060006002b0007:000200000003008602|00030000000600050000ff00:000300000003008502|00040000000a008f39f6fb940f48297d:000400000003008f01|000500000006000200000001:000500000003008202|000600000006000300000001:0006000000050003020000|000700000006000300000001:,0007000000050003020000
0002000000060006002b0007:000200000003008602|00030000000600050000ff00:000300000003008502|00040000000a008f39f6fb940f48297d:000400000003008f01|000500000006000200000001:000500000003008202|000600000006000300000001:0006000000050003020000|000700000006000300000001:0007000000050003020000|00080000000600050000ff00:,000800000003008502
00030000000600050000ff00:000300000003008502|00040000000a008f39f6fb940f48297d:000400000003008f01|000500000006000200000001:000500000003008202|000600000006000300000001:0006000000050003020000|000700000006000300000001:0007000000050003020000|00080000000600050000ff00:000800000003008502|00090000001200df3c212cd7c6c3a4e08493ba1dd532d993:,00090000000300df01
00040000000a008f39f6fb940f48297d:000400000003008f01|000500000006000200000001:000500000003008202|000600000006000300000001:0006000000050003020000|000700000006000300000001:0007000000050003020000|00080000000600050000ff00:000800000003008502|00090000001200df3c212cd7c6c3a4e08493ba1dd532d993:00090000000300df01|000a00000006000300260001:,000a00000003008302
000500000006000200000001:000500000003008202|000600000006000300000001:0006000000050003020000|000700000006000300000001:0007000000050003020000|00080000000600050000ff00:000800000003008502|00090000001200df3c212cd7c6c3a4e08493ba1dd532d993:00090000000300df01|000a00000006000300260001:000a00000003008302|000b000000060006000f0000:,000b00000003008602
000600000006000300000001:0006000000050003020000|000700000006000300000001:0007000000050003020000|00080000000600050000ff00:000800000003008502|00090000001200df3c212cd7c6c3a4e08493ba1dd532d993:00090000000300df01|000a00000006000300260001:000a00000003008302|000b000000060006000f0000:000b00000003008602|000c00000006000200000001:,000c00000003008202
000700000006000300000001:0007000000050003020000|00080000000600050000ff00:000800000003008502|00090000001200df3c212cd7c6c3a4e08493ba1dd532d993:00090000000300df01|000a00000006000300260001:000a00000003008302|000b000000060006000f0000:000b00000003008602|000c00000006000200000001:000c00000003008202|000d00000006000300000001:,000d000000050003020000
00080000000600050000ff00:000800000003008502|00090000001200df3c212cd7c6c3a4e08493ba1dd532d993:00090000000300df01|000a00000006000300260001:000a00000003008302|000b000000060006000f0000:000b00000003008602|000c00000006000200000001:000c00000003008202|000d00000006000300000001:000d000000050003020000|000e0000000600050000ff00:,000e00000003008502
00090000001200df3c212cd7c6c3a4e08493ba1dd532d993:00090000000300df01|000a00000006000300260001:000a00000003008302|000b000000060006000f0000:000b00000003008602|000c00000006000200000001:000c00000003008202|000d00000006000300000001:000d000000050003020000|000e0000000600050000ff00:000e00000003008502|000f000000060006002d0000:,000f00000003008602
000a00000006000300260001:000a00000003008302|000b000000060006000f0000:000b00000003008602|000c00000006000200000001:000c00000003008202|000d00000006000300000001:000d000000050003020000|000e0000000600050000ff00:000e00000003008502|000f000000060006002d0000:000f00000003008602|001000000006000200000001:,001000000003008202
000b000000060006000f0000:000b00000003008602|000c00000006000200000001:000c00000003008202|000d00000006000300000001:000d000000050003020000|000e0000000600050000ff00:000e00000003008502|000f000000060006002d0000:000f00000003008602|001000000006000200000001:001000000003008202|00110000001a004629442ec0f4fcff4bd40ebf04c329c89d3359de91bd76f6e4:,00110000000300c601
000c00000006000200000001:000c00000003008202|000d00000006000300000001:000d000000050003020000|000e0000000600050000ff00:000e00000003008502|000f000000060006002d0000:000f00000003008602|001000000006000200000001:001000000003008202|00110000001a004629442ec0f4fcff4bd40ebf04c329c89d3359de91bd76f6e4:00110000000300c601|001200000006000300200001:,001200000003008302
000d00000006000300000001:000d000000050003020000|000e0000000600050000ff00:000e00000003008502|000f000000060006002d0000:000f00000003008602|001000000006000200000001:001000000003008202|00110000001a004629442ec0f4fcff4bd40ebf04c329c89d3359de91bd76f6e4:00110000000300c601|001200000006000300200001:001200000003008302|001300000006000500000000:,001300000003008502
000e0000000600050000ff00:000e00000003008502|000f000000060006002d0000:000f00000003008602|001000000006000200000001:001000000003008202|00110000001a004629442ec0f4fcff4bd40ebf04c329c89d3359de91bd76f6e4:00110000000300c601|001200000006000300200001:001200000003008302|001300000006000500000000:001300000003008502|001400000006000600110000:,001400000003008602
000f000000060006002d0000:000f00000003008602|001000000006000200000001:001000000003008202|00110000001a004629442ec0f4fcff4bd40ebf04c329c89d3359de91bd76f6e4:00110000000300c601|001200000006000300200001:001200000003008302|001300000006000500000000:001300000003008502|001400000006000600110000:001400000003008602|001500000006000300000001:,0015000000050003020000
001000000006000200000001:001000000003008202|00110000001a004629442ec0f4fcff4bd40ebf04c329c89d3359de91bd76f6e4:00110000000300c601|001200000006000300200001:001200000003008302|001300000006000500000000:001300000003008502|001400000006000600110000:001400000003008602|001500000006000300000001:0015000000050003020000|001600000006000600250005:,001600000003008602
00110000001a004629442ec0f4fcff4bd40ebf04c329c89d3359de91bd76f6e4:00110000000300c601|001200000006000300200001:001200000003008302|001300000006000500000000:001300000003008502|001400000006000600110000:001400000003008602|001500000006000300000001:0015000000050003020000|001600000006000600250005:001600000003008602|00170000001200d916e44b97d815ce4a7be9835e6e555167:,00170000000300d901
001200000006000300200001:001200000003008302|001300000006000500000000:001300000003008502|001400000006000600110000:001400000003008602|001500000006000300000001:0015000000050003020000|001600000006000600250005:001600000003008602|00170000001200d916e44b97d815ce4a7be9835e6e555167:00170000000300d901|001800000006000200000001:,001800000003008202
001300000006000500000000:001300000003008502|001400000006000600110000:001400000003008602|001500000006000300000001:0015000000050003020000|001600000006000600250005:001600000003008602|00170000001200d916e44b97d815ce4a7be9835e6e555167:00170000000300d901|001800000006000200000001:001800000003008202|001900000006000200000001:,001900000003008202
001400000006000600110000:001400000003008602|001500000006000300000001:0015000000050003020000|001600000006000600250005:001600000003008602|00170000001200d916e44b97d815ce4a7be9835e6e555167:00170000000300d901|001800000006000200000001:001800000003008202|001900000006000200000001:001900000003008202|001a0000000a009f11f3271248e4ca71:,001a00000003009f01
001500000006000300000001:0015000000050003020000|001600000006000600250005:001600000003008602|00170000001200d916e44b97d815ce4a7be9835e6e555167:00170000000300d901|001800000006000200000001:001800000003008202|001900000006000200000001:001900000003008202|001a0000000a009f11f3271248e4ca71:001a00000003009f01|001b000000060003000d0001:,001b00000003008302
001600000006000600250005:001600000003008602|00170000001200d916e44b97d815ce4a7be9835e6e555167:00170000000300d901|001800000006000200000001:001800000003008202|001900000006000200000001:001900000003008202|001a0000000a009f11f3271248e4ca71:001a00000003009f01|001b000000060003000d0001:001b00000003008302|001c000000060006000b0000:,001c00000003008602
00170000001200d916e44b97d815ce4a7be9835e6e555167:00170000000300d901|001800000006000200000001:001800000003008202|001900000006000200000001:001900000003008202|001a0000000a009f11f3271248e4ca71:001a00000003009f01|001b000000060003000d0001:001b00000003008302|001c000000060006000b0000:001c00000003008602|001d00000006000500000000:,001d00000003008502
001800000006000200000001:001800000003008202|001900000006000200000001:001900000003008202|001a0000000a009f11f3271248e4ca71:001a00000003009f01|001b000000060003000d0001:001b00000003008302|001c000000060006000b0000:001c00000003008602|001d00000006000500000000:001d00000003008502|001e00000006000300000001:,001e000000050003020000
001900000006000200000001:001900000003008202|001a0000000a009f11f3271248e4ca71:001a00000003009f01|001b000000060003000d0001:001b00000003008302|001c000000060006000b0000:001c00000003008602|001d00000006000500000000:001d00000003008502|001e00000006000300000001:001e000000050003020000|001f00000006000200000001:,001f00000003008202
001a0000000a009f11f3271248e4ca71:001a00000003009f01|001b000000060003000d0001:001b00000003008302|001c000000060006000b0000:001c00000003008602|001d00000006000500000000:001d00000003008502|001e00000006000300000001:001e000000050003020000|001f00000006000200000001:001f00000003008202|002000000006000600100000:,002000000003008602
001b000000060003000d0001:001b00000003008302|001c000000060006000b0000:001c00000003008602|001d00000006000500000000:001d00000003008502|001e00000006000300000001:001e000000050003020000|001f00000006000200000001:001f00000003008202|002000000006000600100000:002000000003008602|002100000006000500000000:,002100000003008502
