source_text,target_text
000100000006000400020001:0001000000050004020003|000200000006000400010001:,0002000000050004020000
000200000006000400010001:0002000000050004020000|000300000006000300110001:,000300000003008302
000300000006000300110001:000300000003008302|000400000006000400030001:,0004000000050004020000
000400000006000400030001:0004000000050004020000|000500000006000200000001:,000500000003008202
000500000006000200000001:000500000003008202|00060000000a00e0f1edfe85763c58df:,00060000000300e001
00060000000a00e0f1edfe85763c58df:00060000000300e001|000700000006000300010001:,0007000000050003020000
000700000006000300010001:0007000000050003020000|00080000000600050000ff00:,000800000003008502
00080000000600050000ff00:000800000003008502|000900000006000400000001:,0009000000050004020002
000900000006000400000001:0009000000050004020002|000a00000006000300000001:,000a000000050003020000
000a00000006000300000001:000a000000050003020000|000b00000006000400000001:,000b000000050004020002
000b00000006000400000001:000b000000050004020002|000c00000006000400010001:,000c000000050004020000
000c00000006000400010001:000c000000050004020000|000d00000006000400020001:,000d000000050004020003
000d00000006000400020001:000d000000050004020003|000e00000006000300000001:,000e000000050003020000
000e00000006000300000001:000e000000050003020000|000f000000090010001a000102004d:,000f00000003009002
000f000000090010001a000102004d:000f00000003009002|001000000006000300010001:,0010000000050003020000
001000000006000300010001:0010000000050003020000|00110000000600050000ff00:,001100000003008502
00110000000600050000ff00:001100000003008502|001200000006000400030001:,0012000000050004020000
001200000006000400030001:0012000000050004020000|001300000006000200000001:,001300000003008202
001300000006000200000001:001300000003008202|00140000001a00f142f2e68d8fa35a98f6e0f8b5072239c557f8260cce78e694:,00140000000300f101
00140000001a00f142f2e68d8fa35a98f6e0f8b5072239c557f8260cce78e694:00140000000300f101|001500000006000500000000:,001500000003008502
001500000006000500000000:001500000003008502|001600000006000400030001:,0016000000050004020000
001600000006000400030001:0016000000050004020000|001700000006000200000001:,001700000003008202
001700000006000200000001:001700000003008202|001800000006000400010001:,0018000000050004020000
001800000006000400010001:0018000000050004020000|00190000000600050031ff00:,001900000003008502
00190000000600050031ff00:001900000003008502|001a0000000a00664dda09b5798272f4:,001a0000000300e601
001a0000000a00664dda09b5798272f4:001a0000000300e601|001b00000006000400000001:,001b000000050004020002
001b00000006000400000001:001b000000050004020002|001c00000006000300000001:,001c000000050003020000
001c00000006000300000001:001c000000050003020000|001d00000006000300010001:,001d000000050003020000
001d00000006000300010001:001d000000050003020000|001e00000006000400020001:,001e000000050004020003
001e00000006000400020001:001e000000050004020003|001f00000006000200120001:,001f00000003008202
001f00000006000200120001:001f00000003008202|002000000006000200000001:,002000000003008202
002000000006000200000001:002000000003008202|002100000006000300000001:,0021000000050003020000
002100000006000300000001:0021000000050003020000|002200000006000300010001:,0022000000050003020000
002200000006000300010001:0022000000050003020000|002300000006000400020001:,0023000000050004020003
002300000006000400020001:0023000000050004020003|002400000006000400000001:,0024000000050004020002
002400000006000400000001:0024000000050004020002|002500000006000400030001:,0025000000050004020000
002500000006000400030001:0025000000050004020000|002600000006000500000000:,002600000003008502
002600000006000500000000:002600000003008502|0027000000120051ede04178d85e9ca593201c3fd1623a99:,00270000000300d101
0027000000120051ede04178d85e9ca593201c3fd1623a99:00270000000300d101|002800000006000400010001:,0028000000050004020000
002800000006000400010001:0028000000050004020000|002900000006000400010001:,0029000000050004020000
002900000006000400010001:0029000000050004020000|002a0000000a0024670ccccfeb231415:,002a0000000300a401
002a0000000a0024670ccccfeb231415:002a0000000300a401|002b00000006000400030001:,002b000000050004020000
002b00000006000400030001:002b000000050004020000|002c00000006000400000001:,002c000000050004020002
002c00000006000400000001:002c000000050004020002|002d00000006000300000001:,002d000000050003020000
002d00000006000300000001:002d000000050003020000|002e00000006000400220001:,002e00000003008402
002e00000006000400220001:002e00000003008402|002f00000006000400020001:,002f000000050004020003
002f00000006000400020001:002f000000050004020003|003000000006000300010001:,0030000000050003020000
003000000006000300010001:0030000000050003020000|003100000006000200000001:,003100000003008202
003100000006000200000001:003100000003008202|003200000006000500000000:,003200000003008502
003200000006000500000000:003200000003008502|00330000001a0061e63dd5bb21b8f19cec9142be6f9f9647769ae26a6afe5040:,00330000000300e101
00330000001a0061e63dd5bb21b8f19cec9142be6f9f9647769ae26a6afe5040:00330000000300e101|003400000006000400010001:,0034000000050004020000
003400000006000400010001:0034000000050004020000|003500000006000300000001:,0035000000050003020000
003500000006000300000001:0035000000050003020000|00360000000600050000ff00:,003600000003008502
00360000000600050000ff00:003600000003008502|003700000006000400030001:,0037000000050004020000
003700000006000400030001:0037000000050004020000|003800000006000400100001:,003800000003008402
003800000006000400100001:003800000003008402|003900000006000400000001:,0039000000050004020002
003900000006000400000001:0039000000050004020002|003a00000006000200000001:,003a00000003008202
003a00000006000200000001:003a00000003008202|003b00000006000400020001:,003b000000050004020003
003b00000006000400020001:003b000000050004020003|003c00000006000300010001:,003c000000050003020000
003c00000006000300010001:003c000000050003020000|003d00000006000300010001:,003d000000050003020000
003d00000006000300010001:003d000000050003020000|003e00000006000200000001:,003e00000003008202
003e00000006000200000001:003e00000003008202|003f0000000600050000ff00:,003f00000003008502
003f0000000600050000ff00:003f00000003008502|004000000006000400020001:,0040000000050004020003
