source_text,target_text
000100000006000400030001:0001000000050004020019|000200000006000300000001:0002000000050003020000|000300000006000400020001:0003000000050004020001|000400000006000500000000:000400000003008502|000500000006000200000001:,000500000003008202
000200000006000300000001:0002000000050003020000|000300000006000400020001:0003000000050004020001|000400000006000500000000:000400000003008502|000500000006000200000001:000500000003008202|000600000012009024c087e18e58606c06ac4cb6cd2d972a:,000600000003009001
000300000006000400020001:0003000000050004020001|000400000006000500000000:000400000003008502|000500000006000200000001:000500000003008202|000600000012009024c087e18e58606c06ac4cb6cd2d972a:000600000003009001|000700000006000400000001:,0007000000050004020003
000400000006000500000000:000400000003008502|000500000006000200000001:000500000003008202|000600000012009024c087e18e58606c06ac4cb6cd2d972a:000600000003009001|000700000006000400000001:0007000000050004020003|000800000006000400010001:,0008000000050004020000
000500000006000200000001:000500000003008202|000600000012009024c087e18e58606c06ac4cb6cd2d972a:000600000003009001|000700000006000400000001:0007000000050004020003|000800000006000400010001:0008000000050004020000|000900000006000400230001:,000900000003008402
000600000012009024c087e18e58606c06ac4cb6cd2d972a:000600000003009001|000700000006000400000001:0007000000050004020003|000800000006000400010001:0008000000050004020000|000900000006000400230001:000900000003008402|000a00000006000300010001:,000a000000050003020000
000700000006000400000001:0007000000050004020003|000800000006000400010001:0008000000050004020000|000900000006000400230001:000900000003008402|000a00000006000300010001:000a000000050003020000|000b00000006000400010001:,000b000000050004020000
000800000006000400010001:0008000000050004020000|000900000006000400230001:000900000003008402|000a00000006000300010001:000a000000050003020000|000b00000006000400010001:000b000000050004020000|000c00000006000400030001:,000c000000050004020032
000900000006000400230001:000900000003008402|000a00000006000300010001:000a000000050003020000|000b00000006000400010001:000b000000050004020000|000c00000006000400030001:000c000000050004020032|000d00000006000300180001:,000d00000003008302
000a00000006000300010001:000a000000050003020000|000b00000006000400010001:000b000000050004020000|000c00000006000400030001:000c000000050004020032|000d00000006000300180001:000d00000003008302|000e00000006000400000001:,000e000000050004020003
000b00000006000400010001:000b000000050004020000|000c00000006000400030001:000c000000050004020032|000d00000006000300180001:000d00000003008302|000e00000006000400000001:000e000000050004020003|000f00000012009b7090d8279dc61acbfaba16883f218df5:,000f00000003009b01
000c00000006000400030001:000c000000050004020032|000d00000006000300180001:000d00000003008302|000e00000006000400000001:000e000000050004020003|000f00000012009b7090d8279dc61acbfaba16883f218df5:000f00000003009b01|001000000006000200000001:,001000000003008202
000d00000006000300180001:000d00000003008302|000e00000006000400000001:000e000000050004020003|000f00000012009b7090d8279dc61acbfaba16883f218df5:000f00000003009b01|001000000006000200000001:001000000003008202|00110000000600050000ff00:,001100000003008502
000e00000006000400000001:000e000000050004020003|000f00000012009b7090d8279dc61acbfaba16883f218df5:000f00000003009b01|001000000006000200000001:001000000003008202|00110000000600050000ff00:001100000003008502|001200000006000300010001:,0012000000050003020000
000f00000012009b7090d8279dc61acbfaba16883f218df5:000f00000003009b01|001000000006000200000001:001000000003008202|00110000000600050000ff00:001100000003008502|001200000006000300010001:0012000000050003020000|001300000006000400020001:,0013000000050004020001
001000000006000200000001:001000000003008202|00110000000600050000ff00:001100000003008502|001200000006000300010001:0012000000050003020000|001300000006000400020001:0013000000050004020001|001400000006000300000001:,0014000000050003020000
00110000000600050000ff00:001100000003008502|001200000006000300010001:0012000000050003020000|001300000006000400020001:0013000000050004020001|001400000006000300000001:0014000000050003020000|001500000006000400010001:,0015000000050004020053
001200000006000300010001:0012000000050003020000|001300000006000400020001:0013000000050004020001|001400000006000300000001:0014000000050003020000|001500000006000400010001:0015000000050004020053|001600000006000400030001:,0016000000050004020024
001300000006000400020001:0013000000050004020001|001400000006000300000001:0014000000050003020000|001500000006000400010001:0015000000050004020053|001600000006000400030001:0016000000050004020024|001700000006000400000001:,0017000000050004020003
001400000006000300000001:0014000000050003020000|001500000006000400010001:0015000000050004020053|001600000006000400030001:0016000000050004020024|001700000006000400000001:0017000000050004020003|001800000006000300000001:,0018000000050003020000
001500000006000400010001:0015000000050004020053|001600000006000400030001:0016000000050004020024|001700000006000400000001:0017000000050004020003|001800000006000300000001:0018000000050003020000|001900000006000300070001:,001900000003008302
001600000006000400030001:0016000000050004020024|001700000006000400000001:0017000000050004020003|001800000006000300000001:0018000000050003020000|001900000006000300070001:001900000003008302|001a00000006000200000001:,001a00000003008202
001700000006000400000001:0017000000050004020003|001800000006000300000001:0018000000050003020000|001900000006000300070001:001900000003008302|001a00000006000200000001:001a00000003008202|001b0000001a0076ff64c62e9c818b6a42f9a26442f86f4669bb600ec2e5a3dc:,001b0000000300f601
