source_text,target_text
00010000000b00100000000204cc004677:000100000006001000000002|000200000006000400000002:,000200000007000404c2914195
000200000006000400000002:000200000007000404c2914195|00030000000b00100000000204c20046bb:,000300000006001000000002
00030000000b00100000000204c20046bb:000300000006001000000002|000400000006000400000002:,00040000000700040466694196
000400000006000400000002:00040000000700040466694196|00050000000b001000000002046e004753:,000500000006001000000002
00050000000b001000000002046e004753:000500000006001000000002|000600000006000400000002:,0006000000070004040a414197
000600000006000400000002:0006000000070004040a414197|00070000000b00100000000204d20046f9:,000700000006001000000002
00070000000b00100000000204d20046f9:000700000006001000000002|000800000006000400000002:,000800000007000404ae194197
000800000006000400000002:000800000007000404ae194197|00090000000b00100000000204de004725:,000900000006001000000002
00090000000b00100000000204de004725:000900000006001000000002|000a00000006000400000002:,000a0000000700040451f14198
000a00000006000400000002:000a0000000700040451f14198|000b0000000b00100000000204120046cd:,000b00000006001000000002
000b0000000b00100000000204120046cd:000b00000006001000000002|000c00000006000400000002:,000c00000007000404f5c94198
000c00000006000400000002:000c00000007000404f5c94198|000d0000000b00100000000204c200472a:,000d00000006001000000002
000d0000000b00100000000204c200472a:000d00000006001000000002|000e00000006000400000002:,000e0000000700040499a14199
000e00000006000400000002:000e0000000700040499a14199|000f0000000b00100000000204c500472c:,000f00000006001000000002
000f0000000b00100000000204c500472c:000f00000006001000000002|001000000006000400000002:,0010000000070004043d79419a
001000000006000400000002:0010000000070004043d79419a|00110000000b001000000002040300473b:,001100000006001000000002
00110000000b001000000002040300473b:001100000006001000000002|001200000006000400000002:,001200000007000404e151419a
001200000006000400000002:001200000007000404e151419a|00130000000b0010000000020432004736:,001300000006001000000002
00130000000b0010000000020432004736:001300000006001000000002|001400000006000400000002:,0014000000070004048529419b
001400000006000400000002:0014000000070004048529419b|00150000000b00100000000204280045df:,001500000006001000000002
00150000000b00100000000204280045df:001500000006001000000002|001600000006000400000002:,0016000000070004042901419c
001600000006000400000002:0016000000070004042901419c|00170000000b00100000000204180046b7:,001700000006001000000002
00170000000b00100000000204180046b7:001700000006001000000002|001800000006000400000002:,001800000007000404ccd9419c
001800000006000400000002:001800000007000404ccd9419c|00190000000b001000000002041e00476e:,001900000006001000000002
00190000000b001000000002041e00476e:001900000006001000000002|001a00000006000400000002:,001a0000000700040470b1419d
001a00000006000400000002:001a0000000700040470b1419d|001b0000000b0010000000020498004635:,001b00000006001000000002
001b0000000b0010000000020498004635:001b00000006001000000002|001c00000006000400000002:,001c000000070004041489419e
001c00000006000400000002:001c000000070004041489419e|001d0000000b001000000002040c004757:,001d00000006001000000002
001d0000000b001000000002040c004757:001d00000006001000000002|001e00000006000400000002:,001e00000007000404b861419e
001e00000006000400000002:001e00000007000404b861419e|001f0000000b00100000000204900046aa:,001f00000006001000000002
001f0000000b00100000000204900046aa:001f00000006001000000002|002000000006000400000002:,0020000000070004045c39419f
002000000006000400000002:0020000000070004045c39419f|00210000000b001000000002045c004723:,002100000006001000000002
00210000000b001000000002045c004723:002100000006001000000002|002200000006000400000002:,002200000007000404001141a0
002200000006000400000002:002200000007000404001141a0|00230000000b0010000000020404004733:,002300000006001000000002
00230000000b0010000000020404004733:002300000006001000000002|002400000006000400000002:,002400000007000404a3e941a0
002400000006000400000002:002400000007000404a3e941a0|00250000000b00100000000204ce00473a:,002500000006001000000002
00250000000b00100000000204ce00473a:002500000006001000000002|002600000006000400000002:,00260000000700040447c141a1
002600000006000400000002:00260000000700040447c141a1|00270000000b0010000000020404004723:,002700000006001000000002
00270000000b0010000000020404004723:002700000006001000000002|002800000006000400000002:,002800000007000404eb9941a1
002800000006000400000002:002800000007000404eb9941a1|00290000000b001000000002047a004761:,002900000006001000000002
00290000000b001000000002047a004761:002900000006001000000002|002a00000006000400000002:,002a000000070004048f7141a2
002a00000006000400000002:002a000000070004048f7141a2|002b0000000b00100000000204da004748:,002b00000006001000000002
002b0000000b00100000000204da004748:002b00000006001000000002|002c00000006000400000002:,002c00000007000404334941a3
002c00000006000400000002:002c00000007000404334941a3|002d0000000b00100000000204f80046e3:,002d00000006001000000002
002d0000000b00100000000204f80046e3:002d00000006001000000002|002e00000006000400000002:,002e00000007000404d72141a3
002e00000006000400000002:002e00000007000404d72141a3|002f0000000b00100000000204640046e5:,002f00000006001000000002
002f0000000b00100000000204640046e5:002f00000006001000000002|003000000006000400000002:,0030000000070004047af941a4
003000000006000400000002:0030000000070004047af941a4|00310000000b00100000000204cc004751:,003100000006001000000002
00310000000b00100000000204cc004751:003100000006001000000002|003200000006000400000002:,0032000000070004041ed141a5
003200000006000400000002:0032000000070004041ed141a5|00330000000b00100000000204b60046d8:,003300000006001000000002
00330000000b00100000000204b60046d8:003300000006001000000002|003400000006000400000002:,003400000007000404c2a941a5
003400000006000400000002:003400000007000404c2a941a5|00350000000b0010000000020433004764:,003500000006001000000002
00350000000b0010000000020433004764:003500000006001000000002|003600000006000400000002:,003600000007000404668141a6
003600000006000400000002:003600000007000404668141a6|00370000000b0010000000020410004529:,003700000006001000000002
00370000000b0010000000020410004529:003700000006001000000002|003800000006000400000002:,0038000000070004040a5941a7
003800000006000400000002:0038000000070004040a5941a7|00390000000b001000000002049d00470a:,003900000006001000000002
00390000000b001000000002049d00470a:003900000006001000000002|003a00000006000400000002:,003a00000007000404ae3141a7
003a00000006000400000002:003a00000007000404ae3141a7|003b0000000b0010000000020457004737:,003b00000006001000000002
003b0000000b0010000000020457004737:003b00000006001000000002|003c00000006000400000002:,003c00000007000404520941a8
003c00000006000400000002:003c00000007000404520941a8|003d0000000b001000000002047f004770:,003d00000006001000000002
003d0000000b001000000002047f004770:003d00000006001000000002|003e00000006000400000002:,003e00000007000404f5e141a8
003e00000006000400000002:003e00000007000404f5e141a8|003f0000000b00100000000204ba004755:,003f00000006001000000002
003f0000000b00100000000204ba004755:003f00000006001000000002|004000000006000400000002:,00400000000700040499b941a9
