source_text,target_text
00010000000b00100000000204d5004729:000100000006001000000002|000200000006000400000002:0002000000070004047af841a4|000300000006000300000002:000300000007000304d5004729|00040000000b001000000002048b004761:000400000006001000000002|000500000006000400000002:,00050000000700040470bc41a5
000200000006000400000002:0002000000070004047af841a4|000300000006000300000002:000300000007000304d5004729|00040000000b001000000002048b004761:000400000006001000000002|000500000006000400000002:00050000000700040470bc41a5|000600000006000300000002:,0006000000070003048b004761
000300000006000300000002:000300000007000304d5004729|00040000000b001000000002048b004761:000400000006001000000002|000500000006000400000002:00050000000700040470bc41a5|000600000006000300000002:0006000000070003048b004761|000700000006000300000002:,0007000000070003048b004761
00040000000b001000000002048b004761:000400000006001000000002|000500000006000400000002:00050000000700040470bc41a5|000600000006000300000002:0006000000070003048b004761|000700000006000300000002:0007000000070003048b004761|00080000000b0010000000020463004771:,000800000006001000000002
000500000006000400000002:00050000000700040470bc41a5|000600000006000300000002:0006000000070003048b004761|000700000006000300000002:0007000000070003048b004761|00080000000b0010000000020463004771:000800000006001000000002|000900000006000400000002:,000900000007000404bc8441a6
000600000006000300000002:0006000000070003048b004761|000700000006000300000002:0007000000070003048b004761|00080000000b0010000000020463004771:000800000006001000000002|000900000006000400000002:000900000007000404bc8441a6|000a00000006000300000002:,000a0000000700030463004771
000700000006000300000002:0007000000070003048b004761|00080000000b0010000000020463004771:000800000006001000000002|000900000006000400000002:000900000007000404bc8441a6|000a00000006000300000002:000a0000000700030463004771|000b00000006000400000002:,000b00000007000404605c41a7
00080000000b0010000000020463004771:000800000006001000000002|000900000006000400000002:000900000007000404bc8441a6|000a00000006000300000002:000a0000000700030463004771|000b00000006000400000002:000b00000007000404605c41a7|000c0000000b00100000000204da004776:,000c00000006001000000002
000900000006000400000002:000900000007000404bc8441a6|000a00000006000300000002:000a0000000700030463004771|000b00000006000400000002:000b00000007000404605c41a7|000c0000000b00100000000204da004776:000c00000006001000000002|000d0000000b0010000000020462004741:,000d00000006001000000002
000a00000006000300000002:000a0000000700030463004771|000b00000006000400000002:000b00000007000404605c41a7|000c0000000b00100000000204da004776:000c00000006001000000002|000d0000000b0010000000020462004741:000d00000006001000000002|000e00000006000300000002:,000e0000000700030462004741
