source_text,target_text
000100000006000300000002:00010000000700030400000000|000200000006000400000002:00020000000700040400000000|00030000000b001000000002040000422c:000300000006001000000002|00040000001200d16ba3cd0e24ba18890c7b9e26a5c2a999:000400000003005101|00050000000b0010001400020400004224:000500000003009002|00060000000b0010000000020400004224:000600000006001000000002|000700000006000400000002:000700000007000404e1484251|000800000006000200120001:000800000003008202|000900000006000300000002:,00090000000700030400004224
000200000006000400000002:00020000000700040400000000|00030000000b001000000002040000422c:000300000006001000000002|00040000001200d16ba3cd0e24ba18890c7b9e26a5c2a999:000400000003005101|00050000000b0010001400020400004224:000500000003009002|00060000000b0010000000020400004224:000600000006001000000002|000700000006000400000002:000700000007000404e1484251|000800000006000200120001:000800000003008202|000900000006000300000002:00090000000700030400004224|000a00000012006591d56527c9666ecc3954bfbd605a0c4d:,000a0000000300e501
00030000000b001000000002040000422c:000300000006001000000002|00040000001200d16ba3cd0e24ba18890c7b9e26a5c2a999:000400000003005101|00050000000b0010001400020400004224:000500000003009002|00060000000b0010000000020400004224:000600000006001000000002|000700000006000400000002:000700000007000404e1484251|000800000006000200120001:000800000003008202|000900000006000300000002:00090000000700030400004224|000a00000012006591d56527c9666ecc3954bfbd605a0c4d:000a0000000300e501|000b00000006000400000002:,000b000000070004043d704279
00040000001200d16ba3cd0e24ba18890c7b9e26a5c2a999:000400000003005101|00050000000b0010001400020400004224:000500000003009002|00060000000b0010000000020400004224:000600000006001000000002|000700000006000400000002:000700000007000404e1484251|000800000006000200120001:000800000003008202|000900000006000300000002:00090000000700030400004224|000a00000012006591d56527c9666ecc3954bfbd605a0c4d:000a0000000300e501|000b00000006000400000002:000b000000070004043d704279|000c000000120047bd5e2e9d27ea89553476d7783c648629:,000c0000000300c701
00050000000b0010001400020400004224:000500000003009002|00060000000b0010000000020400004224:000600000006001000000002|000700000006000400000002:000700000007000404e1484251|000800000006000200120001:000800000003008202|000900000006000300000002:00090000000700030400004224|000a00000012006591d56527c9666ecc3954bfbd605a0c4d:000a0000000300e501|000b00000006000400000002:000b000000070004043d704279|000c000000120047bd5e2e9d27ea89553476d7783c648629:000c0000000300c701|000d0000000b0010000000020400004180:,000d00000006001000000002
00060000000b0010000000020400004224:000600000006001000000002|000700000006000400000002:000700000007000404e1484251|000800000006000200120001:000800000003008202|000900000006000300000002:00090000000700030400004224|000a00000012006591d56527c9666ecc3954bfbd605a0c4d:000a0000000300e501|000b00000006000400000002:000b000000070004043d704279|000c000000120047bd5e2e9d27ea89553476d7783c648629:000c0000000300c701|000d0000000b0010000000020400004180:000d00000006001000000002|000e0000000600050004ff00:,000e00000003008502
000700000006000400000002:000700000007000404e1484251|000800000006000200120001:000800000003008202|000900000006000300000002:00090000000700030400004224|000a00000012006591d56527c9666ecc3954bfbd605a0c4d:000a0000000300e501|000b00000006000400000002:000b000000070004043d704279|000c000000120047bd5e2e9d27ea89553476d7783c648629:000c0000000300c701|000d0000000b0010000000020400004180:000d00000006001000000002|000e0000000600050004ff00:000e00000003008502|000f00000006000300000002:,000f0000000700030400004180
000800000006000200120001:000800000003008202|000900000006000300000002:00090000000700030400004224|000a00000012006591d56527c9666ecc3954bfbd605a0c4d:000a0000000300e501|000b00000006000400000002:000b000000070004043d704279|000c000000120047bd5e2e9d27ea89553476d7783c648629:000c0000000300c701|000d0000000b0010000000020400004180:000d00000006001000000002|000e0000000600050004ff00:000e00000003008502|000f00000006000300000002:000f0000000700030400004180|00100000000b0010000000020400004238:,001000000006001000000002
000900000006000300000002:00090000000700030400004224|000a00000012006591d56527c9666ecc3954bfbd605a0c4d:000a0000000300e501|000b00000006000400000002:000b000000070004043d704279|000c000000120047bd5e2e9d27ea89553476d7783c648629:000c0000000300c701|000d0000000b0010000000020400004180:000d00000006001000000002|000e0000000600050004ff00:000e00000003008502|000f00000006000300000002:000f0000000700030400004180|00100000000b0010000000020400004238:001000000006001000000002|00110000001a00937bbefca1966ca76e52e8e35a9972ddf9de443592772f932e:,001100000003001301
000a00000012006591d56527c9666ecc3954bfbd605a0c4d:000a0000000300e501|000b00000006000400000002:000b000000070004043d704279|000c000000120047bd5e2e9d27ea89553476d7783c648629:000c0000000300c701|000d0000000b0010000000020400004180:000d00000006001000000002|000e0000000600050004ff00:000e00000003008502|000f00000006000300000002:000f0000000700030400004180|00100000000b0010000000020400004238:001000000006001000000002|00110000001a00937bbefca1966ca76e52e8e35a9972ddf9de443592772f932e:001100000003001301|001200000006000400000002:,001200000007000404d70942a3
000b00000006000400000002:000b000000070004043d704279|000c000000120047bd5e2e9d27ea89553476d7783c648629:000c0000000300c701|000d0000000b0010000000020400004180:000d00000006001000000002|000e0000000600050004ff00:000e00000003008502|000f00000006000300000002:000f0000000700030400004180|00100000000b0010000000020400004238:001000000006001000000002|00110000001a00937bbefca1966ca76e52e8e35a9972ddf9de443592772f932e:001100000003001301|001200000006000400000002:001200000007000404d70942a3|00130000000b0010000800020400004240:,001300000003009002
000c000000120047bd5e2e9d27ea89553476d7783c648629:000c0000000300c701|000d0000000b0010000000020400004180:000d00000006001000000002|000e0000000600050004ff00:000e00000003008502|000f00000006000300000002:000f0000000700030400004180|00100000000b0010000000020400004238:001000000006001000000002|00110000001a00937bbefca1966ca76e52e8e35a9972ddf9de443592772f932e:001100000003001301|001200000006000400000002:001200000007000404d70942a3|00130000000b0010000800020400004240:001300000003009002|001400000006000300000002:,00140000000700030400004238
000d0000000b0010000000020400004180:000d00000006001000000002|000e0000000600050004ff00:000e00000003008502|000f00000006000300000002:000f0000000700030400004180|00100000000b0010000000020400004238:001000000006001000000002|00110000001a00937bbefca1966ca76e52e8e35a9972ddf9de443592772f932e:001100000003001301|001200000006000400000002:001200000007000404d70942a3|00130000000b0010000800020400004240:001300000003009002|001400000006000300000002:00140000000700030400004238|00150000000a006468b2f096e8d6f8a6:,00150000000300e401
000e0000000600050004ff00:000e00000003008502|000f00000006000300000002:000f0000000700030400004180|00100000000b0010000000020400004238:001000000006001000000002|00110000001a00937bbefca1966ca76e52e8e35a9972ddf9de443592772f932e:001100000003001301|001200000006000400000002:001200000007000404d70942a3|00130000000b0010000800020400004240:001300000003009002|001400000006000300000002:00140000000700030400004238|00150000000a006468b2f096e8d6f8a6:00150000000300e401|001600000008000f00270004010b:,001600000003008f02
000f00000006000300000002:000f0000000700030400004180|00100000000b0010000000020400004238:001000000006001000000002|00110000001a00937bbefca1966ca76e52e8e35a9972ddf9de443592772f932e:001100000003001301|001200000006000400000002:001200000007000404d70942a3|00130000000b0010000800020400004240:001300000003009002|001400000006000300000002:00140000000700030400004238|00150000000a006468b2f096e8d6f8a6:00150000000300e401|001600000008000f00270004010b:001600000003008f02|001700000006000300000002:,00170000000700030400004238
00100000000b0010000000020400004238:001000000006001000000002|00110000001a00937bbefca1966ca76e52e8e35a9972ddf9de443592772f932e:001100000003001301|001200000006000400000002:001200000007000404d70942a3|00130000000b0010000800020400004240:001300000003009002|001400000006000300000002:00140000000700030400004238|00150000000a006468b2f096e8d6f8a6:00150000000300e401|001600000008000f00270004010b:001600000003008f02|001700000006000300000002:00170000000700030400004238|00180000000b0010000000020400004234:,001800000006001000000002
00110000001a00937bbefca1966ca76e52e8e35a9972ddf9de443592772f932e:001100000003001301|001200000006000400000002:001200000007000404d70942a3|00130000000b0010000800020400004240:001300000003009002|001400000006000300000002:00140000000700030400004238|00150000000a006468b2f096e8d6f8a6:00150000000300e401|001600000008000f00270004010b:001600000003008f02|001700000006000300000002:00170000000700030400004238|00180000000b0010000000020400004234:001800000006001000000002|001900000006000400000002:,001900000007000404570642c8
