source_text,target_text
000100000006000300000002:00010000000700030400000000|00020000000b0010000000020400004204:,000200000006001000000002
00020000000b0010000000020400004204:000200000006001000000002|000300000006000400000002:,0003000000070004040a6541af
000300000006000400000002:0003000000070004040a6541af|0004000000060002002f0001:,000400000003008202
0004000000060002002f0001:000400000003008202|00050000000a00eb4e5e298d60f7c22d:,000500000003006b01
00050000000a00eb4e5e298d60f7c22d:000500000003006b01|000600000006000300000002:,00060000000700030400004204
000600000006000300000002:00060000000700030400004204|000700000006000200210001:,000700000003008202
000700000006000200210001:000700000003008202|00080000000b0010000000020400004208:,000800000006001000000002
00080000000b0010000000020400004208:000800000006001000000002|000900000006000400000002:,0009000000070004041ee941b5
000900000006000400000002:0009000000070004041ee941b5|000a0000001200dcd0e7ef1c085da869a70572d4d6e95bc7:,000a00000003005c01
000a0000001200dcd0e7ef1c085da869a70572d4d6e95bc7:000a00000003005c01|000b0000000b00100000000204000041d0:,000b00000006001000000002
000b0000000b00100000000204000041d0:000b00000006001000000002|000c000000060001002d0001:,000c00000003008102
000c000000060001002d0001:000c00000003008102|000d00000006000300000002:,000d00000007000304000041d0
000d00000006000300000002:000d00000007000304000041d0|000e0000000a004676c248990514dfc6:,000e0000000300c601
000e0000000a004676c248990514dfc6:000e0000000300c601|000f00000006000400000002:,000f00000007000404336d41bb
000f00000006000400000002:000f00000007000404336d41bb|00100000000b00100000000204000041e8:,001000000006001000000002
00100000000b00100000000204000041e8:001000000006001000000002|001100000006000400000002:,0011000000070004041ef541bd
001100000006000400000002:0011000000070004041ef541bd|00120000001a0075792895893bd4934f75cf1a0e3c754bc960aea85e54666300:,00120000000300f501
00120000001a0075792895893bd4934f75cf1a0e3c754bc960aea85e54666300:00120000000300f501|00130000000b0010003100020400004198:,001300000003009002
00130000000b0010003100020400004198:001300000003009002|001400000006000300000002:,001400000007000304000041e8
001400000006000300000002:001400000007000304000041e8|00150000000b0010000000020400004238:,001500000006001000000002
00150000000b0010000000020400004238:001500000006001000000002|0016000000060002000f0001:,001600000003008202
0016000000060002000f0001:001600000003008202|001700000012002d3933301a0f5843bcb4b3da2aa6f484cc:,00170000000300ad01
001700000012002d3933301a0f5843bcb4b3da2aa6f484cc:00170000000300ad01|001800000006000400000002:,001800000007000404d75141c3
001800000006000400000002:001800000007000404d75141c3|001900000006000300000002:,00190000000700030400004238
001900000006000300000002:00190000000700030400004238|001a000000060002002f0001:,001a00000003008202
001a000000060002002f0001:001a00000003008202|001b0000000b0010000000020400004140:,001b00000006001000000002
001b0000000b0010000000020400004140:001b00000006001000000002|001c0000001a00f53928a596f9c227c67796f5e0cc02de6c23e3352f6e864c7f:,001c00000003007501
001c0000001a00f53928a596f9c227c67796f5e0cc02de6c23e3352f6e864c7f:001c00000003007501|001d00000006000400000002:,001d00000007000404f61141c8
001d00000006000400000002:001d00000007000404f61141c8|001e00000006000300000002:,001e0000000700030400004140
001e00000006000300000002:001e0000000700030400004140|001f0000001a00f0522fd20015add641b76d662a5a311591a85e398a6edd8d19:,001f00000003007001
001f0000001a00f0522fd20015add641b76d662a5a311591a85e398a6edd8d19:001f00000003007001|002000000006000400000002:,002000000007000404294941cc
002000000006000400000002:002000000007000404294941cc|00210000000b00100000000204000041a8:,002100000006001000000002
00210000000b00100000000204000041a8:002100000006001000000002|0022000000060006001f0009:,002200000003008602
0022000000060006001f0009:002200000003008602|002300000006000300000002:,002300000007000304000041a8
002300000006000300000002:002300000007000304000041a8|0024000000120072984346cec36fc179ffae8aac96540e85:,00240000000300f201
0024000000120072984346cec36fc179ffae8aac96540e85:00240000000300f201|002500000006000400000002:,002500000007000404ebe141d1
