source_text,target_text
000100000006000500030000:000100000003008502|00020000001a00bb135c5afafdde0eae36659fa53226a793b666857426244c49:00020000000300bb01|00030000000600050000ff00:,000300000003008502
00020000001a00bb135c5afafdde0eae36659fa53226a793b666857426244c49:00020000000300bb01|00030000000600050000ff00:000300000003008502|000400000006000600000037:,000400000006000600000037
00030000000600050000ff00:000300000003008502|000400000006000600000037:000400000006000600000037|000500000006000200000001:,00050000000400020100
000400000006000600000037:000400000006000600000037|000500000006000200000001:00050000000400020100|000600000006000300000001:,0006000000050003020037
000500000006000200000001:00050000000400020100|000600000006000300000001:0006000000050003020037|000700000006000200010001:,00070000000400020100
000600000006000300000001:0006000000050003020037|000700000006000200010001:00070000000400020100|000800000006000500290000:,000800000003008502
000700000006000200010001:00070000000400020100|000800000006000500290000:000800000003008502|000900000006000300000001:,0009000000050003020037
000800000006000500290000:000800000003008502|000900000006000300000001:0009000000050003020037|000a0000000600060000005c:,000a0000000600060000005c
000900000006000300000001:0009000000050003020037|000a0000000600060000005c:000a0000000600060000005c|000b0000001200bbf1e18db4ccadca717f9808ef157836c1:,000b0000000300bb01
000a0000000600060000005c:000a0000000600060000005c|000b0000001200bbf1e18db4ccadca717f9808ef157836c1:000b0000000300bb01|000c00000006000200000001:,000c0000000400020101
000b0000001200bbf1e18db4ccadca717f9808ef157836c1:000b0000000300bb01|000c00000006000200000001:000c0000000400020101|000d00000006000200010001:,000d0000000400020100
000c00000006000200000001:000c0000000400020101|000d00000006000200010001:000d0000000400020100|000e0000000600050000ff00:,000e00000003008502
000d00000006000200010001:000d0000000400020100|000e0000000600050000ff00:000e00000003008502|000f0000001a00cf96d85e0e366830a47fac205e81a9deda40a10f2c7a6c99e5:,000f0000000300cf01
000e0000000600050000ff00:000e00000003008502|000f0000001a00cf96d85e0e366830a47fac205e81a9deda40a10f2c7a6c99e5:000f0000000300cf01|001000000006000500000000:,001000000003008502
000f0000001a00cf96d85e0e366830a47fac205e81a9deda40a10f2c7a6c99e5:000f0000000300cf01|001000000006000500000000:001000000003008502|001100000006000600000001:,001100000006000600000001
001000000006000500000000:001000000003008502|001100000006000600000001:001100000006000600000001|0012000000060005001eff00:,001200000003008502
001100000006000600000001:001100000006000600000001|0012000000060005001eff00:001200000003008502|001300000006000300000001:,0013000000050003020001
0012000000060005001eff00:001200000003008502|001300000006000300000001:0013000000050003020001|001400000006000200010001:,00140000000400020101
001300000006000300000001:0013000000050003020001|001400000006000200010001:00140000000400020101|001500000006000200000001:,00150000000400020100
001400000006000200010001:00140000000400020101|001500000006000200000001:00150000000400020100|00160000000a005a08016f220fd3f8c7:,00160000000300da01
001500000006000200000001:00150000000400020100|00160000000a005a08016f220fd3f8c7:00160000000300da01|001700000006000200010001:,00170000000400020101
00160000000a005a08016f220fd3f8c7:00160000000300da01|001700000006000200010001:00170000000400020101|001800000006000600000029:,001800000006000600000029
001700000006000200010001:00170000000400020101|001800000006000600000029:001800000006000600000029|001900000006000300000001:,0019000000050003020029
001800000006000600000029:001800000006000600000029|001900000006000300000001:0019000000050003020029|001a00000006000300150001:,001a00000003008302
001900000006000300000001:0019000000050003020029|001a00000006000300150001:001a00000003008302|001b00000006000500000000:,001b00000003008502
001a00000006000300150001:001a00000003008302|001b00000006000500000000:001b00000003008502|001c00000006000200000001:,001c0000000400020100
001b00000006000500000000:001b00000003008502|001c00000006000200000001:001c0000000400020100|001d00000006000500000000:,001d00000003008502
001c00000006000200000001:001c0000000400020100|001d00000006000500000000:001d00000003008502|001e00000006000300000001:,001e000000050003020029
001d00000006000500000000:001d00000003008502|001e00000006000300000001:001e000000050003020029|001f0000000600060000005a:,001f0000000600060000005a
001e00000006000300000001:001e000000050003020029|001f0000000600060000005a:001f0000000600060000005a|002000000006000200010001:,00200000000400020100
