source_text,target_text
00010000000a00b88bf9eb5af6582311:00010000000300b801|000200000006000400000001:0002000000050004020000|000300000006000400010001:0003000000050004020000|00040000000600050000ff00:000400000003008502|000500000006000600010009:,000500000006000600010009
000200000006000400000001:0002000000050004020000|000300000006000400010001:0003000000050004020000|00040000000600050000ff00:000400000003008502|000500000006000600010009:000500000006000600010009|000600000006000200200001:,000600000003008202
000300000006000400010001:0003000000050004020000|00040000000600050000ff00:000400000003008502|000500000006000600010009:000500000006000600010009|000600000006000200200001:000600000003008202|000700000006000300000001:,0007000000050003020000
00040000000600050000ff00:000400000003008502|000500000006000600010009:000500000006000600010009|000600000006000200200001:000600000003008202|000700000006000300000001:0007000000050003020000|000800000006000600000045:,000800000006000600000045
000500000006000600010009:000500000006000600010009|000600000006000200200001:000600000003008202|000700000006000300000001:0007000000050003020000|000800000006000600000045:000800000006000600000045|000900000006000200000001:,00090000000400020101
000600000006000200200001:000600000003008202|000700000006000300000001:0007000000050003020000|000800000006000600000045:000800000006000600000045|000900000006000200000001:00090000000400020101|000a00000006000300010001:,000a000000050003020033
000700000006000300000001:0007000000050003020000|000800000006000600000045:000800000006000600000045|000900000006000200000001:00090000000400020101|000a00000006000300010001:000a000000050003020033|000b00000006000200000001:,000b0000000400020101
000800000006000600000045:000800000006000600000045|000900000006000200000001:00090000000400020101|000a00000006000300010001:000a000000050003020033|000b00000006000200000001:000b0000000400020101|000c00000006000500140000:,000c00000003008502
000900000006000200000001:00090000000400020101|000a00000006000300010001:000a000000050003020033|000b00000006000200000001:000b0000000400020101|000c00000006000500140000:000c00000003008502|000d00000006000300010001:,000d000000050003020033
000a00000006000300010001:000a000000050003020033|000b00000006000200000001:000b0000000400020101|000c00000006000500140000:000c00000003008502|000d00000006000300010001:000d000000050003020033|000e00000006000400010001:,000e000000050004020064
000b00000006000200000001:000b0000000400020101|000c00000006000500140000:000c00000003008502|000d00000006000300010001:000d000000050003020033|000e00000006000400010001:000e000000050004020064|000f0000000600050000ff00:,000f00000003008502
000c00000006000500140000:000c00000003008502|000d00000006000300010001:000d000000050003020033|000e00000006000400010001:000e000000050004020064|000f0000000600050000ff00:000f00000003008502|00100000001200c051f2baba356a5522ce3c51e07bd4b418:,00100000000300c001
000d00000006000300010001:000d000000050003020033|000e00000006000400010001:000e000000050004020064|000f0000000600050000ff00:000f00000003008502|00100000001200c051f2baba356a5522ce3c51e07bd4b418:00100000000300c001|001100000006000400000001:,0011000000050004020000
000e00000006000400010001:000e000000050004020064|000f0000000600050000ff00:000f00000003008502|00100000001200c051f2baba356a5522ce3c51e07bd4b418:00100000000300c001|001100000006000400000001:0011000000050004020000|00120000000600060000000b:,00120000000600060000000b
000f0000000600050000ff00:000f00000003008502|00100000001200c051f2baba356a5522ce3c51e07bd4b418:00100000000300c001|001100000006000400000001:0011000000050004020000|00120000000600060000000b:00120000000600060000000b|001300000006000600010032:,001300000006000600010032
00100000001200c051f2baba356a5522ce3c51e07bd4b418:00100000000300c001|001100000006000400000001:0011000000050004020000|00120000000600060000000b:00120000000600060000000b|001300000006000600010032:001300000006000600010032|001400000006000300000001:,001400000005000302000b
001100000006000400000001:0011000000050004020000|00120000000600060000000b:00120000000600060000000b|001300000006000600010032:001300000006000600010032|001400000006000300000001:001400000005000302000b|001500000006000200000001:,00150000000400020101
00120000000600060000000b:00120000000600060000000b|001300000006000600010032:001300000006000600010032|001400000006000300000001:001400000005000302000b|001500000006000200000001:00150000000400020101|001600000006000600000028:,001600000006000600000028
001300000006000600010032:001300000006000600010032|001400000006000300000001:001400000005000302000b|001500000006000200000001:00150000000400020101|001600000006000600000028:001600000006000600000028|001700000006000200030001:,001700000003008202
001400000006000300000001:001400000005000302000b|001500000006000200000001:00150000000400020101|001600000006000600000028:001600000006000600000028|001700000006000200030001:001700000003008202|00180000000600050000ff00:,001800000003008502
001500000006000200000001:00150000000400020101|001600000006000600000028:001600000006000600000028|001700000006000200030001:001700000003008202|00180000000600050000ff00:001800000003008502|001900000006000600010048:,001900000006000600010048
001600000006000600000028:001600000006000600000028|001700000006000200030001:001700000003008202|00180000000600050000ff00:001800000003008502|001900000006000600010048:001900000006000600010048|001a00000006000300000001:,001a00000005000302002e
001700000006000200030001:001700000003008202|00180000000600050000ff00:001800000003008502|001900000006000600010048:001900000006000600010048|001a00000006000300000001:001a00000005000302002e|001b00000006000400010001:,001b000000050004020034
00180000000600050000ff00:001800000003008502|001900000006000600010048:001900000006000600010048|001a00000006000300000001:001a00000005000302002e|001b00000006000400010001:001b000000050004020034|001c00000006000300010001:,001c00000005000302004e
001900000006000600010048:001900000006000600010048|001a00000006000300000001:001a00000005000302002e|001b00000006000400010001:001b000000050004020034|001c00000006000300010001:001c00000005000302004e|001d0000000a00c762cfaac70b3ea1cc:,001d0000000300c701
