source_text,target_text
00010000000600050000ff00,000100000003008502
000200000006000600000004,000200000006000600000004
00030000000a000923746269f2c947b9,000300000003008901
00040000001a0009697d56181155e1eeb673af2ebaaae2559e6ec0b9a7dd922f,000400000003008901
000500000006000300310001,000500000003008302
00060000001a0009a66136642b8857ad2af1a38e19ad39db8d75e9e8ed4aec00,000600000003008901
000700000006000200000001,00070000000400020100
000800000006000300020001,000800000003008302
000900000006000300000001,0009000000050003020004
000a000000060006002f0001,000a00000003008602
000b00000006000600000016,000b00000006000600000016
000c00000006000200010001,000c00000003008202
000d00000006000200000001,000d0000000400020100
000e00000006000300000001,000e000000050003020016
000f0000001a000ae4d1cda21592603e9b1baa66e008e5d10359e242fa4d917b,000f00000003008a01
00100000000a000a66ee50e769309c38,001000000003008a01
001100000006000300310001,001100000003008302
00120000000600050000ff00,001200000003008502
001300000006000300120001,001300000003008302
001400000012000a6f894dffe9ad30acf035359fa08bde27,001400000003008a01
00150000001a000d4f9ccd1bcc9ca0c5d6b38304b0d7fb38f25caaaf96b21000,001500000003008d01
001600000006000200110001,001600000003008202
001700000006000500000000,001700000003008502
001800000012000d6f3fa39449c75db886162a112b712a44,001800000003008d01
001900000006000600000018,001900000006000600000018
001a0000001a000dc40cc9d6d8b242128da18ee5d30a541996e83d3136ff2dc2,001a00000003008d01
001b00000006000600020003,001b00000003008602
001c00000006000300000001,001c000000050003020018
001d00000006000200000001,001d0000000400020100
001e00000006000200310001,001e00000003008202
001f0000001a000e5cce554b46ece3b296d1eaa5baa9fe26182ff75349e61ddd,001f00000003008e01
002000000006000600000016,002000000006000600000016
00210000000600050031ff00,002100000003008502
00220000000a000e5305f8cb7f435fd9,002200000003008e01
0023000000060003000a0001,002300000003008302
00240000000600050000ff00,002400000003008502
002500000006000200000001,00250000000400020100
00260000000a000e1599dc3ec45a1473,002600000003008e01
002700000006000500000000,002700000003008502
002800000006000300000001,0028000000050003020016
002900000006000200010001,002900000003008202
002a0000000a00125194435346db354b,002a00000003009201
002b00000006000300000001,002b000000050003020016
002c0000001a0012a01c2d13d76295d62a6ba4aa0495d7578b9f7df2bcbb0612,002c00000003009201
