source_text,target_text
0001000000060005002f0000:000100000003008502|000200000006000500000000:000200000003008502|00030000001a007d46db646362b422cc824d9e7b364f99bc872280393ecf708c:00030000000300fd01|00040000000600060000000b:00040000000600060000000b|000500000006000200000001:00050000000400020100|000600000006000300000001:000600000005000302000b|000700000006000300000001:000700000005000302000b|00080000000600060028000d,000800000003008602
000200000006000500000000:000200000003008502|00030000001a007d46db646362b422cc824d9e7b364f99bc872280393ecf708c:00030000000300fd01|00040000000600060000000b:00040000000600060000000b|000500000006000200000001:00050000000400020100|000600000006000300000001:000600000005000302000b|000700000006000300000001:000700000005000302000b|00080000000600060028000d:000800000003008602|000900000006000200000001,00090000000400020100
00030000001a007d46db646362b422cc824d9e7b364f99bc872280393ecf708c:00030000000300fd01|00040000000600060000000b:00040000000600060000000b|000500000006000200000001:00050000000400020100|000600000006000300000001:000600000005000302000b|000700000006000300000001:000700000005000302000b|00080000000600060028000d:000800000003008602|000900000006000200000001:00090000000400020100|000a0000000a004b20d282593e1a616f,000a0000000300cb01
00040000000600060000000b:00040000000600060000000b|000500000006000200000001:00050000000400020100|000600000006000300000001:000600000005000302000b|000700000006000300000001:000700000005000302000b|00080000000600060028000d:000800000003008602|000900000006000200000001:00090000000400020100|000a0000000a004b20d282593e1a616f:000a0000000300cb01|000b00000006000600000030,000b00000006000600000030
000500000006000200000001:00050000000400020100|000600000006000300000001:000600000005000302000b|000700000006000300000001:000700000005000302000b|00080000000600060028000d:000800000003008602|000900000006000200000001:00090000000400020100|000a0000000a004b20d282593e1a616f:000a0000000300cb01|000b00000006000600000030:000b00000006000600000030|000c0000000600050000ff00,000c00000003008502
000600000006000300000001:000600000005000302000b|000700000006000300000001:000700000005000302000b|00080000000600060028000d:000800000003008602|000900000006000200000001:00090000000400020100|000a0000000a004b20d282593e1a616f:000a0000000300cb01|000b00000006000600000030:000b00000006000600000030|000c0000000600050000ff00:000c00000003008502|000d0000000a00f9c514daf1f48c46a0,000d0000000300f901
000700000006000300000001:000700000005000302000b|00080000000600060028000d:000800000003008602|000900000006000200000001:00090000000400020100|000a0000000a004b20d282593e1a616f:000a0000000300cb01|000b00000006000600000030:000b00000006000600000030|000c0000000600050000ff00:000c00000003008502|000d0000000a00f9c514daf1f48c46a0:000d0000000300f901|000e00000006000500000000,000e00000003008502
00080000000600060028000d:000800000003008602|000900000006000200000001:00090000000400020100|000a0000000a004b20d282593e1a616f:000a0000000300cb01|000b00000006000600000030:000b00000006000600000030|000c0000000600050000ff00:000c00000003008502|000d0000000a00f9c514daf1f48c46a0:000d0000000300f901|000e00000006000500000000:000e00000003008502|000f0000000600060000001d,000f0000000600060000001d
000900000006000200000001:00090000000400020100|000a0000000a004b20d282593e1a616f:000a0000000300cb01|000b00000006000600000030:000b00000006000600000030|000c0000000600050000ff00:000c00000003008502|000d0000000a00f9c514daf1f48c46a0:000d0000000300f901|000e00000006000500000000:000e00000003008502|000f0000000600060000001d:000f0000000600060000001d|001000000006000200000001,00100000000400020101
000a0000000a004b20d282593e1a616f:000a0000000300cb01|000b00000006000600000030:000b00000006000600000030|000c0000000600050000ff00:000c00000003008502|000d0000000a00f9c514daf1f48c46a0:000d0000000300f901|000e00000006000500000000:000e00000003008502|000f0000000600060000001d:000f0000000600060000001d|001000000006000200000001:00100000000400020101|001100000006000300090001,001100000003008302
000b00000006000600000030:000b00000006000600000030|000c0000000600050000ff00:000c00000003008502|000d0000000a00f9c514daf1f48c46a0:000d0000000300f901|000e00000006000500000000:000e00000003008502|000f0000000600060000001d:000f0000000600060000001d|001000000006000200000001:00100000000400020101|001100000006000300090001:001100000003008302|001200000006000300000001,001200000005000302001d
000c0000000600050000ff00:000c00000003008502|000d0000000a00f9c514daf1f48c46a0:000d0000000300f901|000e00000006000500000000:000e00000003008502|000f0000000600060000001d:000f0000000600060000001d|001000000006000200000001:00100000000400020101|001100000006000300090001:001100000003008302|001200000006000300000001:001200000005000302001d|001300000006000200000001,00130000000400020101
