source_text,target_text
000100000006000200000001,00010000000400020100
00020000000a00e2a38f4c77b03b0c9d,00020000000300e201
000300000006000300000001,0003000000050003020000
0004000000060003000c0001,000400000003008302
000500000006000500000000,000500000003008502
00060000000600060000002b,00060000000600060000002b
000700000006000500000000,000700000003008502
0008000000060002002d0001,000800000003008202
000900000006000200000001,00090000000400020101
000a00000022009677d77b7e520a6effaebcd9e7878055c41e7d1431ee14fb66d110e867a7db4e25,000a00000003009601
000b0000000600060000001b,000b0000000600060000001b
000c00000006000300000001,000c00000005000302001b
000d0000001a0075a15bf1ffa29cb10a560a8effe07c769ead40cf1cc2679420,000d0000000300f501
000e00000006000200000001,000e0000000400020101
000f00000006000300000001,000f00000005000302001b
00100000000600060000002c,00100000000600060000002c
00110000000600050000ff00,001100000003008502
001200000006000200320001,001200000003008202
001300000006000600000005,001300000006000600000005
00140000001a0045c4b5e99571d820c379bb730e42c2a37690b5f3be14175a79,00140000000300c501
001500000006000300000001,0015000000050003020005
00160000000600060007001d,001600000003008602
001700000006000200000001,00170000000400020100
001800000006000500000000,001800000003008502
001900000006000300210001,001900000003008302
001a0000000600060000000c,001a0000000600060000000c
001b0000001a00846fb8ef9a5c9e916d026794ce14f83c373679eae4c3e86e10,001b00000003008401
001c00000006000500000000,001c00000003008502
001d00000006000300000001,001d00000005000302000c
001e00000006000200000001,001e0000000400020100
001f00000006000200130001,001f00000003008202
00200000000600060000002a,00200000000600060000002a
002100000006000200000001,00210000000400020101
00220000000600050000ff00,002200000003008502
002300000006000300000001,002300000005000302002a
00240000001200771c6f84bc01e74ba83d07f8ab5b05e253,00240000000300f701
002500000006000600000027,002500000006000600000027
00260000002200d7564c25478d51b4208107d85adaf7decf2c4e0f571b1123d74100e200e7875cd9,00260000000300d701
002700000006000200280001,002700000003008202
00280000000600050000ff00,002800000003008502
002900000006000300000001,0029000000050003020027
002a00000006000200000001,002a0000000400020101
002b000000060003001c0001,002b00000003008302
002c00000006000600000022,002c00000006000600000022
002d0000002200f75d8924cdd354ad3e8c522e7e6bad3a4626a5eb9d14a61f76b0669e666c146835,002d0000000300f701
002e00000006000200000001,002e0000000400020101
002f00000006000300000001,002f000000050003020022
003000000006000500000000,003000000003008502
003100000006000500000000,003100000003008502
00320000002200a088facb74708cf50fad48d316bc4273f6de9a7c7f9b0694c3c41b781d3e84b9f8,00320000000300a001
0033000000060003000b0001,003300000003008302
003400000006000300000001,0034000000050003020022
00350000000600060000000b,00350000000600060000000b
003600000006000200000001,00360000000400020100
003700000006000500000000,003700000003008502
00380000001a001fe1460846e33bc09797d7d2efd51d02dfeddbccc3716a8039,003800000003009f01
003900000006000300000001,003900000005000302000b
003a00000006000200000001,003a0000000400020100
003b00000006000600000004,003b00000006000600000004
003c00000006000600080005,003c00000003008602
003d000000060002001c0001,003d00000003008202
003e0000000600050000ff00,003e00000003008502
003f00000006000300000001,003f000000050003020004
00400000000600060000002e,00400000000600060000002e
00410000000a00e5e99f0614c8fcd198,00410000000300e501
004200000006000200000001,00420000000400020101
004300000006000300000001,004300000005000302002e
00440000000a00b94cbf5aae28ef86d6,00440000000300b901
004500000006000600000025,004500000006000600000025
00460000000600050000ff00,004600000003008502
0047000000060005001aff00,004700000003008502
004800000006000200000001,00480000000400020101
004900000006000300000001,0049000000050003020025
004a0000000600060028001f,004a00000003008602
004b0000001a0050b9b10760e03a4b9a0ea72ed35d9880cbba881f886e91c11c,004b0000000300d001
004c00000006000200000001,004c0000000400020101
004d00000006000600000021,004d00000006000600000021
004e0000000600050000ff00,004e00000003008502
004f00000006000500000000,004f00000003008502
005000000006000200000001,00500000000400020101
005100000006000300000001,0051000000050003020021
005200000006000600000016,005200000006000600000016
0053000000060003000f0001,005300000003008302
00540000002200f9335b44ce43a1487a6484db0899630cc1b3fa150e4dde85ec60739f6d8e167a57,00540000000300f901
0055000000060002002a0001,005500000003008202
005600000006000300000001,0056000000050003020016
005700000006000600000008,005700000006000600000008
005800000006000200000001,00580000000400020100
00590000001a004e76082c998f372ff247cee97c6895ca369ea7fde006597a76,00590000000300ce01
005a0000000600050000ff00,005a00000003008502
005b00000006000200000001,005b0000000400020100
005c0000002200aaed7cb582d07c57ed8f9faededfe295ac80bf9d4dc4a5b67ba12e5fa4e35479e5,005c0000000300aa01
005d00000006000500000000,005d00000003008502
005e00000006000600000012,005e00000006000600000012
005f00000006000300000001,005f000000050003020012
006000000006000200030001,006000000003008202
00610000000600050000ff00,006100000003008502
0062000000060006002d002f,006200000003008602
00630000001a00ba988d862bef97ef350ea7147a4e5c03ff89b9ea764d74cc74,00630000000300ba01
006400000006000300000001,0064000000050003020012
00650000000600060000001c,00650000000600060000001c
006600000006000200000001,00660000000400020101
006700000006000200000001,00670000000400020101
0068000000060006000f0009,006800000003008602
00690000001200acf9b93c3d99a462c0d9dcad1e4af33514,00690000000300ac01
006a00000006000600000008,006a00000006000600000008
006b00000006000500000000,006b00000003008502
006c00000006000300000001,006c000000050003020008
006d00000006000200150001,006d00000003008202
006e00000006000200000001,006e0000000400020100
006f00000006000300000001,006f000000050003020008
007000000006000600000000,007000000006000600000000
007100000006000500000000,007100000003008502
00720000001a00c36ad586975cfddab4f8ce3c1e6fa3e693fefe01eb4f0d583f,00720000000300c301
007300000006000600000015,007300000006000600000015
007400000006000300000001,0074000000050003020015
007500000006000500000000,007500000003008502
0076000000220050ec1779b462bc1455e93e275a6e51f6ac6386315faff186c5864575a6b8ba4a45,00760000000300d001
007700000006000200290001,007700000003008202
007800000006000200000001,00780000000400020100
00790000000a009e3d684d173f586c5f,007900000003009e01
007a00000006000200000001,007a0000000400020100
007b00000006000300000001,007b000000050003020015
007c00000006000500000000,007c00000003008502
007d00000006000200190001,007d00000003008202
007e00000006000600000002,007e00000006000600000002
007f00000006000300000001,007f000000050003020002
008000000006000600000020,008000000006000600000020
008100000006000500000000,008100000003008502
008200000006000200000001,00820000000400020101
008300000012001e62f611ea5902c07dba3515523707d61f,008300000003009e01
008400000006000300110001,008400000003008302
008500000006000300000001,0085000000050003020020
00860000001200e78e106d3ba143862625baddaa122a0508,00860000000300e701
008700000006000200000001,00870000000400020101
00880000000600050000ff00,008800000003008502
0089000000060005000c0000,008900000003008502
008a0000000600060000000f,008a0000000600060000000f
008b00000006000300000001,008b00000005000302000f
008c0000000a0086ef4fddbb0a10b852,008c00000003008601
008d00000006000600000014,008d00000006000600000014
008e000000060002002e0001,008e00000003008202
008f00000006000200000001,008f0000000400020100
00900000000600050000ff00,009000000003008502
009100000006000600000030,009100000006000600000030
009200000006000200000001,00920000000400020101
00930000001a00f8a3ef5bd0521f7a4724ac1902f3bd2d641b984d0f10aae639,00930000000300f801
009400000006000300000001,0094000000050003020030
00950000000600050000ff00,009500000003008502
0096000000060002002b0001,009600000003008202
009700000006000300000001,0097000000050003020030
0098000000220098d746ec1e9fa0dc7f97080f431a5ff5ffbc79c53ba1450bdee069e56abc32c7fa,009800000003009801
009900000006000600000030,009900000006000600000030
009a0000000600050000ff00,009a00000003008502
009b00000006000200000001,009b0000000400020101
009c0000000600060006002c,009c00000003008602
009d00000006000600000023,009d00000006000600000023
009e00000006000200000001,009e0000000400020101
009f00000006000200270001,009f00000003008202
00a000000006000300000001,00a0000000050003020023
00a10000001a00d7cd7b9f995fa66d16d8517bc248eef59cbf055c854b08dd40,00a10000000300d701
00a20000000600050000ff00,00a200000003008502
00a30000000a00cbb4da92da46e03ed1,00a30000000300cb01
00a400000006000200000001,00a40000000400020101
00a50000000600050000ff00,00a500000003008502
00a600000006000600000021,00a600000006000600000021
00a700000006000200050001,00a700000003008202
00a800000006000300000001,00a8000000050003020021
00a900000006000300000001,00a9000000050003020021
00aa00000006000200000001,00aa0000000400020101
00ab00000006000600130003,00ab00000003008602
00ac0000002200e3de7b993773c7d867861c2ee8f061f58104e7bb1fa9b3b3b3dec8021af2d418ce,00ac0000000300e301
00ad0000000600050000ff00,00ad00000003008502
00ae00000006000600000023,00ae00000006000600000023
00af00000006000300000001,00af000000050003020023
00b0000000060003001e0001,00b000000003008302
00b10000001200beff6821f85455fd5a0ba5050fc9e2f53f,00b10000000300be01
00b200000006000500000000,00b200000003008502
00b300000006000600000000,00b300000006000600000000
00b400000006000200000001,00b40000000400020100
00b500000006000300000001,00b5000000050003020000
00b600000006000500000000,00b600000003008502
00b70000000a0050f32245f911a28cb2,00b70000000300d001
00b80000000600060000001c,00b80000000600060000001c
00b900000006000200000001,00b90000000400020101
00ba0000000600050000ff00,00ba00000003008502
00bb00000006000300000001,00bb00000005000302001c
00bc0000000600060000000b,00bc0000000600060000000b
00bd0000001a004a6b05ad1c13344c1d64212aa938a277a23af3563288368292,00bd0000000300ca01
00be00000006000500000000,00be00000003008502
00bf00000006000200000001,00bf0000000400020100
00c0000000060003002e0001,00c000000003008302
00c10000000600050000ff00,00c100000003008502
00c200000006000300000001,00c200000005000302000b
00c30000000600060000000b,00c30000000600060000000b
00c40000002200d66388bedf1671bb7dc9126c401acee1d812dcefe53938fe5027b06e44870e78cd,00c40000000300d601
00c500000006000200000001,00c50000000400020100
00c6000000060005002cff00,00c600000003008502
00c70000000600060000001f,00c70000000600060000001f
00c800000006000300000001,00c800000005000302001f
00c900000006000200260001,00c900000003008202
00ca00000006000500000000,00ca00000003008502
00cb00000006000200000001,00cb0000000400020101
00cc0000000a00f356048d3a9c344391,00cc0000000300f301
00cd000000060003000e0001,00cd00000003008302
00ce00000006000300000001,00ce00000005000302001f
00cf0000000600060000000b,00cf0000000600060000000b
00d0000000220032a7c206b0e738689e45e1685da0ad4dfe5482968b6f042d531babdd68928d37c4,00d00000000300b201
00d100000006000200000001,00d10000000400020100
00d20000000600050000ff00,00d200000003008502
00d3000000060002002e0001,00d300000003008202
00d400000006000600000021,00d400000006000600000021
00d500000022007a7a79fac74ac6d744248db517c6016ef160f766f6ac5247ee94c13707f7c2f7ed,00d50000000300fa01
00d600000006000200000001,00d60000000400020101
00d700000006000300000001,00d7000000050003020021
