source_text,target_text
000100000006000300260001,0001000000050003020000
00020000000b0010fffc0002040000ffff,000200000003009002
00030000000b0010fffc0002040000ffff,000300000003009002
00040000000b00103e7b0002040000ffff,000400000003009002
00050000000b00100025000204115cffff,000500000006001000250002
0006000000060001ecdb0001,000600000003008102
000700000006000100080002,00070000000400010100
0008000000060001bc3a0002,000800000003008102
000900000006000300250002,000900000007000304115cffff
000a0000000b00100028000204ffffffff,000a00000003009002
000b00000006000510bfff00,000b00000003008502
000c00000006000300260001,000c00000005000302ffff
000d0000000600062106cf28,000d00000003008602
000e000000060005fffcff00,000e00000003008502
000f00000006000300210001,000f000000050003020000
001000000006000300160001,0010000000050003020000
00110000000b0010f449000204000042e2,001100000003009002
00120000000900100014000102ffff,001200000006001000140001
00130000000b0010fffc0002047522ffff,001300000003009002
00140000000600050028ff00,001400000003008502
00150000000b00100005000204bf70bf70,001500000006001000050002
00160000000b0010fffc000204ffff0000,001600000003009002
001700000006000100000001,00170000000400010100
001800000006000300230001,0018000000050003020000
00190000000b0010001f000204ffff0000,0019000000060010001f0002
001a0000000600050027ff00,001a0000000600050027ff00
001b0000000b0010fffc000204ffff0000,001b00000003009002
001c0000000600051160ff00,001c00000003008502
001d00000006000324810002,001d00000003008302
001e0000000600051290ff00,001e00000003008502
001f00000006000100280002,001f00000003008102
002000000006000300280001,002000000003008302
002100000006000100050002,00210000000400010100
002200000008000f000000020101,002200000006000f00000002
002300000009001000130001020000,002300000006001000130001
00240000000b0010de230002040000e8e1,002400000003009002
00250000000b0010000000020400000000,002500000006001000000002
002600000006000100280001,002600000003008102
002700000006000100280001,002700000003008102
0028000000060003fffc0002,002800000003008302
0029000000060005fffcff00,002900000003008502
002a000000060001fffd0001,002a00000003008102
002b00000006000300000002,002b0000000700030400000000
002c00000009001000280001020000,002c00000003009002
002d000000060005c9350000,002d00000003008502
002e00000009001000260001020000,002e00000006001000260001
002f0000000b0010c58d0002042d3a0000,002f00000003009002
003000000006000100250002,00300000000400010100
0031000000060005fffdff00,003100000003008502
003200000006000100000001,00320000000400010101
003300000006000300000001,0033000000050003020000
00340000000b00100028000204ffff2e6e,003400000003009002
003500000006000300260001,0035000000050003020000
00360000000600050028ff00,003600000003008502
00370000000b0010fffc00020400000000,003700000003009002
00380000000b001065f5000204a55b0000,003800000003009002
0039000000060003fffd0001,003900000003008302
003a00000008000f000200020102,003a00000006000f00020002
003b00000006000100000002,003b0000000400010101
003c000000060003fffc0002,003c00000003008302
003d0000000600050028ff00,003d00000003008502
