source_text,target_text
000100000006000300000004,00010000000b0003080000000000000000
000200000006000300000003,000200000009000306000000000000
000300000006000100000002,00030000000400010100
0004000000110010000000050ad1fd0000d1fdfffbfffb,000400000006001000000005
00050000000f001000000004080000fec9fffcfec9,000500000006001000000004
000600000008000f00000005010b,000600000006000f00000005
0007000000110010000000050a5840fffb584058400000,000700000006001000000005
000800000006000100000003,00080000000400010103
000900000008000f000000050111,000900000006000f00000005
000a000000110010000000050adc240000fffbfffbdc24,000a00000006001000000005
000b00000006000100000004,000b0000000400010101
000c00000006000500000000,000c00000006000500000000
000d0000000f0010000000040847d7000000000000,000d00000006001000000004
000e00000008000f00000005011d,000e00000006000f00000005
000f00000006000300000004,000f0000000b00030847d7000000000000
0010000000110010000000050afffb0000d1fdfffb0000,001000000006001000000005
001100000008000f000000040107,001100000006000f00000004
00120000000f00100000000408484d484d484d484d,001200000006001000000004
00130000000f001000000004080000000047d70000,001300000006001000000004
0014000000110010000000050a0000dc2400000000dc24,001400000006001000000005
001500000006000300000004,00150000000b0003080000dc2400000000
001600000006000100000002,00160000000400010103
0017000000110010000000050a0000d1fdd1fdd1fdd1fd,001700000006001000000005
001800000006000300000004,00180000000b0003080000d1fdd1fdd1fd
0019000000110010000000050a0000d1fdfffb0000d1fd,001900000006001000000005
001a000000110010000000050a5840fffbfffbfffb0000,001a00000006001000000005
001b00000006000300000003,001b000000090003065840fffbfffb
001c0000000f001000000004080000484dfffcfffc,001c00000006001000000004
001d00000006000300000004,001d0000000b0003080000484dfffcfffc
001e00000006000300000004,001e0000000b0003080000484dfffcfffc
001f00000008000f000000030105,001f00000006000f00000003
0020000000110010000000050a0000000000000000fffb,002000000006001000000005
002100000006000100000004,00210000000400010105
00220000000d00100000000306fffdfffd96c2,002200000006001000000003
002300000006000300000004,00230000000b000308fffdfffd96c20000
002400000006000300000004,00240000000b000308fffdfffd96c20000
00250000000f0010000000040847d747d747d7fffc,002500000006001000000004
002600000006000300000004,00260000000b00030847d747d747d7fffc
002700000006000300000004,00270000000b00030847d747d747d7fffc
002800000006000300000004,00280000000b00030847d747d747d7fffc
0029000000110010000000050a0000fffb0000fffbdc24,002900000006001000000005
002a00000006000300000002,002a000000070003040000fffb
002b00000006000300000004,002b0000000b0003080000fffb0000fffb
002c00000006000300000001,002c000000050003020000
002d000000110010000000050ad1fd00000000d1fdfffb,002d00000006001000000005
002e000000110010000000050afffb0000dc24fffbdc24,002e00000006001000000005
002f00000006000300000003,002f00000009000306fffb0000dc24
0030000000110010000000050afffbd1fdd1fdd1fdfffb,003000000006001000000005
0031000000110010000000050a0000d1fd0000d1fdfffb,003100000006001000000005
0032000000110010000000050a0000dc24dc24dc24dc24,003200000006001000000005
003300000006000300000001,0033000000050003020000
003400000006000300000004,00340000000b0003080000dc24dc24dc24
003500000006000300000003,0035000000090003060000dc24dc24
0036000000110010000000050afffb0000fffbfffb5840,003600000006001000000005
003700000006000300000004,00370000000b000308fffb0000fffbfffb
0038000000110010000000050ad1fd0000fffb0000d1fd,003800000006001000000005
0039000000110010000000050afffb0000000000005840,003900000006001000000005
003a0000000f00100000000408fffc000047d747d7,003a00000006001000000004
003b000000110010000000050a0000fffbfffb0000fffb,003b00000006001000000005
003c000000110010000000050afffb00000000fffbd1fd,003c00000006001000000005
003d0000000f00100000000408484d484dfffc0000,003d00000006001000000004
003e00000006000300000004,003e0000000b000308484d484dfffc0000
003f00000006000100000004,003f0000000400010105
0040000000110010000000050afffbfffb5840fffb5840,004000000006001000000005
0041000000110010000000050a58405840584000000000,004100000006001000000005
004200000006000100000003,00420000000400010105
00430000000b00100000000204a9eefffe,004300000006001000000002
004400000006000300000004,00440000000b000308a9eefffe58400000
004500000006000100000004,00450000000400010105
004600000006000300000004,00460000000b000308a9eefffe58400000
00470000000f00100000000408fffcfec90000fec9,004700000006001000000004
004800000006000300000004,00480000000b000308fffcfec90000fec9
004900000006000300000004,00490000000b000308fffcfec90000fec9
004a0000000f00100000000408fffcfffc47d747d7,004a00000006001000000004
004b000000110010000000050a0000dc24dc24fffbdc24,004b00000006001000000005
004c000000110010000000050a0000d1fd0000fffbd1fd,004c00000006001000000005
004d000000110010000000050a0000fffbd1fdfffbfffb,004d00000006001000000005
004e00000008000f000000050109,004e00000006000f00000005
004f0000000f00100000000408fec90000fffc0000,004f00000006001000000004
0050000000110010000000050adc2400000000dc240000,005000000006001000000005
005100000006000300000004,00510000000b000308dc2400000000dc24
005200000006000300000003,005200000009000306dc2400000000
005300000006000300000004,00530000000b000308dc2400000000dc24
005400000006000300000003,005400000009000306dc2400000000
005500000006000300000004,00550000000b000308dc2400000000dc24
0056000000110010000000050ad1fd0000d1fdd1fd0000,005600000006001000000005
0057000000110010000000050adc24dc24fffbfffbdc24,005700000006001000000005
00580000000f00100000000408fffcfec9fec9fffc,005800000006001000000004
005900000006000300000004,00590000000b000308fffcfec9fec9fffc
005a00000006000300000004,005a0000000b000308fffcfec9fec9fffc
005b00000006000300000004,005b0000000b000308fffcfec9fec9fffc
005c00000006000300000004,005c0000000b000308fffcfec9fec9fffc
005d00000006000300000004,005d0000000b000308fffcfec9fec9fffc
005e00000006000300000004,005e0000000b000308fffcfec9fec9fffc
005f00000006000300000004,005f0000000b000308fffcfec9fec9fffc
006000000006000300000003,006000000009000306fffcfec9fec9
006100000008000f000000050108,006100000006000f00000005
006200000008000f00000005010a,006200000006000f00000005
0063000000110010000000050ad1fdd1fdfffb0000d1fd,006300000006001000000005
0064000000110010000000050adc24dc24dc24dc240000,006400000006001000000005
00650000000f001000000004080000fffc00000000,006500000006001000000004
006600000006000300000004,00660000000b0003080000fffc00000000
00670000000f00100000000408fffc47d747d70000,006700000006001000000004
006800000006000100000001,00680000000400010100
006900000006000300000004,00690000000b000308fffc47d747d70000
006a000000110010000000050a58405840fffbfffbfffb,006a00000006001000000005
006b000000110010000000050adc24fffbdc2400000000,006b00000006001000000005
006c0000000f00100000000408fffcfffcfffcfec9,006c00000006001000000004
006d00000006000300000004,006d0000000b000308fffcfffcfffcfec9
006e0000000f00100000000408fffc47d747d7fffc,006e00000006001000000004
006f000000110010000000050ad1fdd1fdd1fd0000d1fd,006f00000006001000000005
007000000006000300000003,007000000009000306d1fdd1fdd1fd
0071000000110010000000050adc24dc24fffb0000fffb,007100000006001000000005
007200000006000300000004,00720000000b000308dc24dc24fffb0000
0073000000110010000000050ad1fdfffbd1fdfffb0000,007300000006001000000005
007400000006000300000004,00740000000b000308d1fdfffbd1fdfffb
0075000000110010000000050a58405840584000005840,007500000006001000000005
007600000006000300000004,00760000000b0003085840584058400000
007700000008000f00000005010f,007700000006000f00000005
00780000000f0010000000040847d7fffc47d7fffc,007800000006001000000004
0079000000110010000000050a0000fffbfffbdc24fffb,007900000006001000000005
007a000000110010000000050ad1fdfffbfffbfffbd1fd,007a00000006001000000005
007b00000006000300000004,007b0000000b000308d1fdfffbfffbfffb
007c00000006000300000004,007c0000000b000308d1fdfffbfffbfffb
007d00000006000300000003,007d00000009000306d1fdfffbfffb
007e000000110010000000050a0000dc24fffbdc24dc24,007e00000006001000000005
007f000000110010000000050afffb0000dc24dc24fffb,007f00000006001000000005
008000000006000300000004,00800000000b000308fffb0000dc24dc24
008100000006000300000004,00810000000b000308fffb0000dc24dc24
008200000006000100000004,0082000000040001010f
00830000000f00100000000408000047d7fffc0000,008300000006001000000004
0084000000110010000000050a0000fffbdc24dc24dc24,008400000006001000000005
00850000000f00100000000408fec9fffcfec90000,008500000006001000000004
0086000000110010000000050adc24fffb0000fffbfffb,008600000006001000000005
0087000000110010000000050afffb0000d1fd0000d1fd,008700000006001000000005
008800000008000f000000050102,008800000006000f00000005
008900000006000300000004,00890000000b000308fffb0000d1fd0000
008a00000006000300000004,008a0000000b000308fffb0000d1fd0000
008b0000000d00100000000306c62dfffdfffd,008b00000006001000000003
008c00000006000300000004,008c0000000b000308c62dfffdfffd0000
008d000000110010000000050adc240000fffbfffbfffb,008d00000006001000000005
008e000000110010000000050afffb0000d1fdfffbd1fd,008e00000006001000000005
008f0000000f0010000000040800000000000047d7,008f00000006001000000004
0090000000110010000000050afffbfffb0000fffb0000,009000000006001000000005
0091000000110010000000050afffb0000000058400000,009100000006001000000005
0092000000110010000000050a000000000000fffb0000,009200000006001000000005
009300000006000300000004,00930000000b000308000000000000fffb
0094000000110010000000050a0000dc24fffbfffb0000,009400000006001000000005
009500000006000300000004,00950000000b0003080000dc24fffbfffb
0096000000110010000000050ad1fdfffb000000000000,009600000006001000000005
009700000006000300000004,00970000000b000308d1fdfffb00000000
009800000006000100000001,00980000000400010100
00990000000d00100000000306e87f00000000,009900000006001000000003
009a000000110010000000050afffbfffb000058400000,009a00000006001000000005
009b00000006000300000004,009b0000000b000308fffbfffb00005840
009c0000000d0010000000030696c296c2fffd,009c00000006001000000003
009d00000006000300000004,009d0000000b00030896c296c2fffd5840
009e00000006000300000004,009e0000000b00030896c296c2fffd5840
009f0000000f0010000000040847d7000047d7fffc,009f00000006001000000004
00a000000006000300000004,00a00000000b00030847d7000047d7fffc
00a100000006000300000004,00a10000000b00030847d7000047d7fffc
00a2000000110010000000050afffb58400000fffbfffb,00a200000006001000000005
00a300000006000300000004,00a30000000b000308fffb58400000fffb
00a400000006000300000004,00a40000000b000308fffb58400000fffb
00a500000006000300000004,00a50000000b000308fffb58400000fffb
00a600000008000f000000050103,00a600000006000f00000005
00a700000006000100000003,00a70000000400010103
