source_text,target_text
000100000006000132e70002,00010000000400010100
00020000000b0010019d00020400000000,0002000000060010019d0002
0003000000060003fa4c0002,00030000000700030400000000
00040000000600012be80002,00040000000400010100
00050000000d001039c1000306fffd0000fffd,000500000006001039c10003
000600000006000365460002,00060000000700030400000000
000700000006000339c10002,000700000007000304fffd0000
000800000006000365460002,00080000000700030400000000
0009000000060003a1180001,0009000000050003020000
000a0000000d0010ba87000306fffdbaca0000,000a000000060010ba870003
000b0000000d0010ba87000306fffdbacabaca,000b000000060010ba870003
000c0000000b00106a41000204fffefffe,000c0000000600106a410002
000d0000000d0010a1a600030600000000fffd,000d000000060010a1a60003
000e0000000600013fb80002,000e0000000400010100
000f0000000d00105ecd000306254ffffdfffd,000f0000000600105ecd0003
00100000000600012be80002,00100000000400010100
00110000000b00105694000204fffebb1f,001100000006001056940002
001200000008000f3fb800030107,001200000006000f3fb80003
001300000006000132e70002,00130000000400010100
001400000008000f3fb800030103,001400000006000f3fb80003
0015000000060001e6c60002,00150000000400010100
00160000000d0010fa4c00030600000000fffd,0016000000060010fa4c0003
0017000000060003ac990001,0017000000050003020000
001800000006000393560002,00180000000700030400000000
00190000000b0010e57f000204beb0fffe,0019000000060010e57f0002
001a000000060003a1a60002,001a0000000700030400000000
001b000000060001c67f0001,001b0000000400010100
001c00000008000ff6d900030105,001c00000006000ff6d90003
001d000000060001de760001,001d0000000400010100
001e00000008000f32e700030105,001e00000006000f32e70003
001f00000006000187170001,001f0000000400010100
00200000000b0010d8930002040000fffe,0020000000060010d8930002
002100000006000339c10002,002100000007000304fffd0000
002200000006000167b00002,00220000000400010100
002300000008000f414d00020103,002300000006000f414d0002
002400000006000341800002,00240000000700030400000000
00250000000b0010b479000204fffe09f2,0025000000060010b4790002
0026000000060001215d0002,00260000000400010100
002700000006000379590002,00270000000700030400000000
00280000000d0010ca14000306fffd07bf0000,0028000000060010ca140003
00290000000d0010c1f40003060000db4f0000,0029000000060010c1f40003
002a000000060001044e0001,002a0000000400010100
002b00000006000379590002,002b0000000700030400000000
002c00000006000365460002,002c0000000700030400000000
002d000000060003361f0001,002d000000050003020000
002e0000000d0010f238000306fffd00000000,002e000000060010f2380003
002f000000060001e6c60002,002f0000000400010100
00300000000d0010976c000306000000000000,0030000000060010976c0003
0031000000060003e2860002,00310000000700030400000000
003200000006000166df0001,00320000000400010100
0033000000060003019d0001,0033000000050003020000
00340000000d001093560003065d7e5d7e0000,003400000006001093560003
00350000000600031af10002,00350000000700030400000000
00360000000b0010f62b000204fffefffe,0036000000060010f62b0002
0037000000060001157a0001,00370000000400010100
0038000000060003fa4c0002,00380000000700030400000000
003900000006000359d20002,00390000000700030400000000
003a00000008000fe6c600030105,003a00000006000fe6c60003
003b0000000600018c070001,003b0000000400010100
003c000000060003dc880002,003c0000000700030400000000
003d0000000d0010976c000306fffd21782178,003d000000060010976c0003
003e00000008000f52ec00030105,003e00000006000f52ec0003
003f0000000600037cbc0001,003f000000050003020000
004000000006000164bc0001,00400000000400010100
0041000000060003c1f40002,0041000000070003040000db4f
0042000000060003b5fa0001,0042000000050003020000
00430000000d00100bbc000306fffd5ada5ada,00430000000600100bbc0003
0044000000060003ca140002,004400000007000304fffd07bf
004500000006000164bc0001,00450000000400010100
00460000000d00104180000306fffdfffd0000,004600000006001041800003
004700000008000f1dab00030107,004700000006000f1dab0003
00480000000600039b130001,0048000000050003020000
00490000000d0010a1a600030600000000e735,0049000000060010a1a60003
004a0000000b0010361f0002040000cf0b,004a000000060010361f0002
004b00000008000f457e00030102,004b00000006000f457e0003
004c00000008000fa33200030105,004c00000006000fa3320003
004d0000000d0010ca14000306fffdfffdfffd,004d000000060010ca140003
004e0000000d001065460003060000f856fffd,004e00000006001065460003
004f0000000d0010f23800030600003b400000,004f000000060010f2380003
00500000000d0010e286000306b6bdb6bd0000,0050000000060010e2860003
005100000006000365460002,0051000000070003040000f856
00520000000600034f850001,0052000000050003020000
0053000000060003ba870002,005300000007000304fffdbaca
005400000006000341800002,005400000007000304fffdfffd
00550000000d0010ff06000306fffd0000a481,005500000003009002
0056000000060003976c0002,005600000007000304fffd2178
0057000000060003b2980001,0057000000050003020000
00580000000600030bbc0002,005800000007000304fffd5ada
0059000000060001457e0002,00590000000400010102
005a00000006000359d20002,005a0000000700030400000000
005b000000060003ba870002,005b00000007000304fffdbaca
005c000000060003ff060002,005c00000003008302
005d00000008000f32e700030103,005d00000006000f32e70003
005e0000000600015b010001,005e0000000400010100
005f000000060003ac990001,005f000000050003020000
00600000000d0010c1f4000306fffd0000db4f,0060000000060010c1f40003
0061000000060003ca140002,006100000007000304fffdfffd
00620000000b0010b298000204fffe7409,0062000000060010b2980002
0063000000060003976c0002,006300000007000304fffd2178
00640000000600039b4c0002,00640000000700030400000000
006500000006000391b90001,0065000000050003020000
00660000000d0010ba87000306baca0000fffd,0066000000060010ba870003
0067000000060005e898ff00,0067000000060005e898ff00
00680000000d001039c1000306fffda656fffd,006800000006001039c10003
006900000006000107900001,00690000000400010100
006a0000000d0010dc88000306fffdd149d149,006a000000060010dc880003
006b00000008000f871700020103,006b00000006000f87170002
006c00000006000152ec0002,006c0000000400010101
006d0000000d0010a1a6000306e735fffde735,006d000000060010a1a60003
006e000000060005c57cff00,006e000000060005c57cff00
006f0000000d0010ba87000306bacabaca0000,006f000000060010ba870003
00700000000b00106a4100020400000000,00700000000600106a410002
007100000006000167b00002,00710000000400010100
0072000000060001c4aa0002,00720000000400010100
007300000006000547e9ff00,007300000006000547e9ff00
007400000008000f068c00030104,007400000006000f068c0003
00750000000600039b4c0002,00750000000700030400000000
00760000000600033bd70001,0076000000050003020000
007700000008000f94ec00030106,007700000006000f94ec0003
00780000000d0010ff06000306fffdfffdfffd,007800000003009002
0079000000060003e2860002,007900000007000304b6bdb6bd
007a000000060003976c0002,007a00000007000304fffd2178
007b00000008000ff6d900030103,007b00000006000ff6d90003
007c000000060003e2860002,007c00000007000304b6bdb6bd
007d0000000d00104180000306359dfffdfffd,007d00000006001041800003
007e000000060001414d0001,007e0000000400010101
007f0000000600036a410001,007f000000050003020000
0080000000060003a1a60002,008000000007000304e735fffd
00810000000d00107959000306fffd6c0bfffd,008100000006001079590003
008200000008000f079000020100,008200000006000f07900002
00830000000d00101af100030600000000fffd,00830000000600101af10003
00840000000600031af10002,00840000000700030400000000
00850000000d00100bbc000306000000005ada,00850000000600100bbc0003
00860000000d001039c1000306a6560000fffd,008600000006001039c10003
008700000006000341800002,008700000007000304359dfffd
00880000000d001059d2000306fffdfffd0000,008800000006001059d20003
0089000000060003976c0002,008900000007000304fffd2178
008a00000006000187170001,008a0000000400010101
008b00000006000359d20002,008b00000007000304fffdfffd
008c000000060003976c0002,008c00000007000304fffd2178
008d000000060003b2980001,008d00000005000302fffe
008e0000000d00104ce0000306fffd2552fffd,008e0000000600104ce00003
008f0000000d0010ff060003060000a481a481,008f00000003009002
00900000000b0010f62b00020400000000,0090000000060010f62b0002
00910000000b0010ed710002040000fffe,0091000000060010ed710002
00920000000b0010fb000002048a8c8a8c,0092000000060010fb000002
00930000000d00100bbc000306fffd5ada0000,00930000000600100bbc0003
00940000000d001059d20003065b4ffffd0000,009400000006001059d20003
00950000000d0010f23800030600003b40fffd,0095000000060010f2380003
00960000000d00105ecd000306fffdfffd0000,00960000000600105ecd0003
00970000000600035ecd0002,009700000007000304fffdfffd
00980000000d0010dc88000306fffd0000d149,0098000000060010dc880003
00990000000600030bbc0002,009900000007000304fffd5ada
009a0000000d00105ecd0003060000254f0000,009a0000000600105ecd0003
009b000000060003ba870002,009b00000007000304bacabaca
009c00000008000f32e700030104,009c00000006000f32e70003
009d0000000d00109b4c000306fffd61946194,009d0000000600109b4c0003
009e000000060003fa4c0002,009e0000000700030400000000
009f0000000d0010ca14000306fffd07bf07bf,009f000000060010ca140003
00a0000000060003976c0002,00a000000007000304fffd2178
00a10000000d00104180000306fffd359d0000,00a100000006001041800003
00a2000000060003ff060002,00a200000003008302
00a30000000d0010f238000306fffdfffdfffd,00a3000000060010f2380003
00a400000006000115490001,00a40000000400010100
00a5000000060003dc880002,00a500000007000304fffd0000
00a6000000060003ff060002,00a600000003008302
00a700000006000332ca0001,00a7000000050003020000
00a80000000d00101af1000306fffdfffd0000,00a80000000600101af10003
00a9000000060003a6af0001,00a9000000050003020000
00aa0000000600011dab0002,00aa0000000400010103
00ab000000060003a1a60002,00ab00000007000304e735fffd
00ac00000008000f2be800030105,00ac00000006000f2be80003
00ad0000000d00101af1000306fffd0000fffd,00ad0000000600101af10003
00ae0000000d00109b4c0003066194fffd0000,00ae0000000600109b4c0003
00af0000000600034f850001,00af000000050003020000
00b00000000b0010ed71000204fffe5417,00b0000000060010ed710002
00b100000006000379590002,00b100000007000304fffd6c0b
00b2000000060001f6d90002,00b20000000400010103
00b30000000d00105ecd0003060000254ffffd,00b30000000600105ecd0003
00b40000000d00107959000306fffdfffd0000,00b400000006001079590003
00b50000000d0010dc880003060000fffdd149,00b5000000060010dc880003
00b60000000d0010e286000306000000000000,00b6000000060010e2860003
00b700000006000365460002,00b7000000070003040000f856
00b800000006000368b40001,00b8000000050003020000
00b90000000d001079590003066c0b0000fffd,00b900000006001079590003
00ba00000008000f26cf00020102,00ba00000006000f26cf0002
00bb00000008000f52ec00030107,00bb00000006000f52ec0003
00bc00000006000365460002,00bc000000070003040000f856
00bd000000060003e57f0001,00bd00000005000302beb0
00be00000006000339c10002,00be00000007000304a6560000
00bf000000060001e6c60002,00bf0000000400010101
00c0000000060003976c0002,00c000000007000304fffd2178
00c100000008000fe6c600030102,00c100000006000fe6c60003
00c200000008000f1d4c00020102,00c200000006000f1d4c0002
00c30000000d0010f2380003063b403b40fffd,00c3000000060010f2380003
00c4000000060003dc880002,00c4000000070003040000fffd
00c50000000b00106a41000204fffe9bc2,00c50000000600106a410002
00c60000000d00109b4c0003060000fffd6194,00c60000000600109b4c0003
00c70000000d00104180000306359dfffd0000,00c700000006001041800003
00c800000006000393560002,00c8000000070003045d7e5d7e
00c90000000b00103bd70002040000fffe,00c90000000600103bd70002
00ca000000060003ff060002,00ca00000003008302
00cb000000060003ff060002,00cb00000003008302
00cc0000000600030bbc0002,00cc00000007000304fffd5ada
00cd000000060003d8930001,00cd000000050003020000
00ce000000060003e2860002,00ce0000000700030400000000
00cf000000060001068c0002,00cf0000000400010100
00d00000000d00106546000306f85600000000,00d000000006001065460003
00d10000000600033bd70001,00d1000000050003020000
00d2000000060003f62b0001,00d2000000050003020000
00d3000000060003f62b0001,00d3000000050003020000
00d40000000600031af10002,00d400000007000304fffd0000
00d5000000060003b2980001,00d500000005000302fffe
00d60000000d001059d2000306fffd00000000,00d600000006001059d20003
00d7000000060003ca140002,00d700000007000304fffd07bf
00d8000000060003f62b0001,00d8000000050003020000
00d900000008000f1d4c00020103,00d900000006000f1d4c0002
00da0000000b0010a6af00020400000000,00da000000060010a6af0002
00db00000008000f3fb800030106,00db00000006000f3fb80003
00dc0000000d0010f2380003063b403b400000,00dc000000060010f2380003
00dd000000060003976c0002,00dd00000007000304fffd2178
00de0000000b0010019d000204ddbf0000,00de000000060010019d0002
00df0000000600013fb80002,00df0000000400010102
00e0000000060005d89dff00,00e0000000060005d89dff00
00e1000000060003c1f40002,00e100000007000304fffd0000
00e200000006000134670002,00e20000000400010100
00e3000000060003e2860002,00e30000000700030400000000
00e4000000060003b4790001,00e400000005000302fffe
00e5000000060003361f0001,00e5000000050003020000
00e600000008000fc4aa00030100,00e600000006000fc4aa0003
00e70000000600030bbc0002,00e700000007000304fffd5ada
00e800000008000f67b000030101,00e800000006000f67b00003
00e900000008000f700000030100,00e900000006000f70000003
00ea000000060001840a0002,00ea0000000400010100
00eb000000060003c1f40002,00eb00000007000304fffd0000
00ec0000000b0010ed7100020454170000,00ec000000060010ed710002
00ed0000000600039b4c0002,00ed000000070003040000fffd
00ee0000000d0010ff060003060000a4810000,00ee00000003009002
00ef0000000d00100bbc0003065ada00000000,00ef0000000600100bbc0003
00f00000000d0010fa4c000306fffdfffd0000,00f0000000060010fa4c0003
00f10000000600031af10002,00f100000007000304fffd0000
00f200000006000332ca0001,00f2000000050003020000
00f3000000060006e375e78b,00f3000000060006e375e78b
00f400000008000f840a00030106,00f400000006000f840a0003
00f500000006000332ca0001,00f5000000050003020000
00f60000000600036a410001,00f600000005000302fffe
00f70000000600012be80002,00f70000000400010101
00f80000000600013abb0002,00f80000000400010100
00f90000000600039b4c0002,00f9000000070003040000fffd
00fa00000008000f346700030101,00fa00000006000f34670003
00fb000000060003e2860002,00fb0000000700030400000000
00fc000000060001de760001,00fc0000000400010100
00fd00000006000199590001,00fd0000000400010100
00fe0000000d001039c1000306fffd0000a656,00fe00000006001039c10003
00ff000000060003dc880002,00ff000000070003040000fffd
01000000000d0010ff06000306fffdfffda481,010000000003009002
01010000000b00103bd7000204fffefffe,01010000000600103bd70002
0102000000060003e57f0001,010200000005000302beb0
0103000000060001ae580002,01030000000400010100
0104000000060003ba870002,010400000007000304bacabaca
010500000008000ff6d900030101,010500000006000ff6d90003
010600000006000132e70002,01060000000400010100
0107000000060003c1f40002,010700000007000304fffd0000
0108000000060001c3fb0002,01080000000400010100
01090000000d00106546000306fffdfffdf856,010900000006001065460003
010a0000000600034ce00002,010a00000007000304fffd2552
010b0000000600069b136916,010b0000000600069b136916
010c00000006000124360001,010c0000000400010100
010d000000060003e2860002,010d0000000700030400000000
010e000000060001840a0002,010e0000000400010102
010f0000000d0010c1f40003060000fffdfffd,010f000000060010c1f40003
01100000000d0010ca14000306000000000000,0110000000060010ca140003
011100000008000fa33200030106,011100000006000fa3320003
01120000000d00106546000306f856fffdfffd,011200000006001065460003
0113000000060003fa4c0002,011300000007000304fffdfffd
0114000000060003fb000001,0114000000050003028a8c
011500000008000fb0b800020103,011500000006000fb0b80002
