source_text,target_text
000100000006000300000002,00010000000700030400000000
00020000001a00ab601909a4515f32d4e877b8aa04c2792d5064e8372668ea53,000200000003002b01
00030000000b0010000000020400170000,000300000006001000000002
000400000008000f002200040106,000400000003008f02
000500000006000200000001,00050000000400020100
00060000001200ac0e52f7c3148e731d9bcdc9fce65346ea,000600000003002c01
00070000000b0010000000020400240000,000700000006001000000002
000800000006000200000001,00080000000400020100
000900000006000300000002,00090000000700030400240000
000a00000006000100270001,000a00000003008102
000b00000006000200000001,000b0000000400020100
000c000000060002002e0001,000c00000003008202
000d0000000b0010000000020400120000,000d00000006001000000002
000e0000000a00a8b82ba01abffa14b7,000e00000003002801
000f00000006000300000002,000f0000000700030400120000
001000000006000200000001,00100000000400020100
00110000000b0010000000020400210000,001100000006001000000002
00120000001a003b1629e1c69a527a38bf39bb19be323de98b1cea42f24d60d3,00120000000300bb01
001300000006000400200001,001300000003008402
001400000006000300000002,00140000000700030400210000
00150000000b00100000000204ffdaffff,001500000006001000000002
001600000008000f00200004010a,001600000003008f02
00170000001a0030d186d9d9d0c4f9a5acf8f3a8e39521cd37470b556372bb4f,00170000000300b001
001800000006000300000002,001800000007000304ffdaffff
001900000006000200000001,00190000000400020100
001a00000006000200000001,001a0000000400020100
001b00000012007ab87faf0261a84f02470d2b8534f4f962,001b0000000300fa01
001c00000006000100260001,001c00000003008102
001d00000006000300000002,001d00000007000304ffdaffff
001e0000000b00100000000204ffd5ffff,001e00000006001000000002
001f00000006000300000002,001f00000007000304ffd5ffff
002000000006000200000001,00200000000400020100
00210000000b00100000000204ffedffff,002100000006001000000002
00220000001200b7a93c381f94ef74054e8ef57e7270bce7,002200000003003701
00230000000b0010000200020400160000,002300000003009002
00240000000b0010000900020400160000,002400000003009002
00250000000b0010000000020400170000,002500000006001000000002
002600000006000200000001,00260000000400020100
00270000001200c62bfd727a88cf43300dcea24c98890f0c,002700000003004601
002800000006000300000002,00280000000700030400170000
00290000001200f4fe714a560a18e1e4ea7e4aa030956f54,002900000003007401
002a00000006000300000002,002a0000000700030400170000
002b000000060004001f0001,002b00000003008402
002c00000006000200000001,002c0000000400020100
002d0000000b00100000000204ffe6ffff,002d00000006001000000002
002e00000006000200000001,002e0000000400020100
002f00000008000f00190004010c,002f00000003008f02
00300000000b00100000000204000d0000,003000000006001000000002
00310000000a000e6c8fbf4dcc08a8ba,003100000003008e01
003200000006000300000002,003200000007000304000d0000
003300000006000200000001,00330000000400020100
003400000006000300000002,003400000007000304000d0000
00350000001a00547424dc4d9cd86b9680f12a46ab19b44775c92280bfa3c4f5,00350000000300d401
0036000000060002001f0001,003600000003008202
00370000000b00100000000204ffd5ffff,003700000006001000000002
003800000006000200000001,00380000000400020100
003900000006000300000002,003900000007000304ffd5ffff
003a00000006000400070001,003a00000003008402
003b0000000a00ec0b98cd626988ca63,003b00000003006c01
003c0000000b00100000000204ffecffff,003c00000006001000000002
003d00000006000200000001,003d0000000400020100
003e0000000b0010000000020400020000,003e00000006001000000002
003f000000120021638bd255ff78b19fa63c2e6658669df7,003f0000000300a101
004000000006000200180001,004000000003008202
004100000006000300000002,00410000000700030400020000
00420000000b00100000000204000f0000,004200000006001000000002
004300000006000200000001,00430000000400020100
004400000006000300210001,004400000003008302
00450000001200e82dd402547814af7c014c94e454e76302,004500000003006801
004600000006000300000002,004600000007000304000f0000
00470000000b0010000000020400100000,004700000006001000000002
00480000000600050003ff00,004800000003008502
004900000006000300000002,00490000000700030400100000
004a00000006000200000001,004a0000000400020100
004b0000001a00974fe1f74e57841e497425d808731906f7869db6f3110e37e1,004b00000003001701
004c00000006000200000001,004c0000000400020100
004d00000006000300000002,004d0000000700030400100000
004e0000000b00100003000204fff4ffff,004e00000003009002
004f0000001a00ba3e08a31b7ae8a1739d587b681c60d94dd3a428283b4baa35,004f00000003003a01
00500000000b0010000000020400290000,005000000006001000000002
00510000000b0010000000020400030000,005100000006001000000002
005200000006000200000001,00520000000400020100
0053000000120012a13c76948b94623602e88dbb7334447b,005300000003009201
005400000006000300080001,005400000003008302
005500000006000300000002,00550000000700030400030000
005600000006000200000001,00560000000400020100
00570000000a00bf2b5fcd5a016cf6d7,005700000003003f01
005800000006000300000002,00580000000700030400030000
00590000000b00100000000204fffdffff,005900000006001000000002
005a00000006000200020001,005a00000003008202
005b0000000a00ac043cb0a2ecbff068,005b00000003002c01
005c000000060001000d0001,005c00000003008102
005d00000006000200000001,005d0000000400020100
005e0000000b0010000000020400080000,005e00000006001000000002
005f00000006000300000002,005f0000000700030400080000
00600000000b0010000000020400200000,006000000006001000000002
006100000006000200000001,00610000000400020100
00620000000a007f83499d631254d7d5,00620000000300ff01
00630000000b0010001f000204ffd4ffff,006300000003009002
006400000006000300000002,00640000000700030400200000
00650000001200ae78fcc3e017a2952ea182490acd6a6586,006500000003002e01
0066000000060001001a0001,006600000003008102
00670000000b0010000000020400020000,006700000006001000000002
006800000006000200000001,00680000000400020100
006900000006000300000002,00690000000700030400020000
006a00000006000200000001,006a0000000400020100
006b00000006000400030001,006b00000003008402
006c00000006000300000002,006c0000000700030400020000
006d0000000a004bca1469c56b591600,006d0000000300cb01
006e0000000b00100000000204ffedffff,006e00000006001000000002
006f00000006000300000002,006f00000007000304ffedffff
00700000000b00100000000204001a0000,007000000006001000000002
007100000006000200000001,00710000000400020100
007200000006000300030001,007200000003008302
00730000001200a0df5d44693532064ccc0a43a7d57d325b,007300000003002001
007400000006000200000001,00740000000400020100
007500000006000300000002,007500000007000304001a0000
00760000000a00ed5888a6e121755ec0,007600000003006d01
00770000000b0010000000020400100000,007700000006001000000002
0078000000060005001bff00,007800000003008502
007900000006000300000002,00790000000700030400100000
007a000000060006001c0011,007a00000003008602
007b00000006000200000001,007b0000000400020100
007c0000000a0035a680e8c9f4307f69,007c0000000300b501
007d0000000b00100000000204ffd0ffff,007d00000006001000000002
007e00000006000300000002,007e00000007000304ffd0ffff
007f0000000a009802e0670ac329c22c,007f00000003001801
0080000000060002001b0001,008000000003008202
00810000000b0010000000020400240000,008100000006001000000002
008200000006000200000001,00820000000400020100
00830000000b00100000000204ffd6ffff,008300000006001000000002
008400000006000200000001,00840000000400020100
008500000006000300000002,008500000007000304ffd6ffff
008600000008000f002f00040104,008600000003008f02
00870000001200d775633bc34dfe1fbeb76ed760f72405cd,008700000003005701
00880000000a00e3dfcac119b2b9dfe1,008800000003006301
008900000006000300000002,008900000007000304ffd6ffff
008a0000000b00100000000204ffe3ffff,008a00000006001000000002
008b00000006000200000001,008b0000000400020100
008c00000006000400090001,008c00000003008402
008d0000000a000973759ea7ea8b9de0,008d00000003008901
008e00000006000200200001,008e00000003008202
008f00000006000200000001,008f0000000400020100
00900000000b0010000000020400090000,009000000006001000000002
009100000006000300000002,00910000000700030400090000
009200000006000200000001,00920000000400020100
00930000000b00100015000204fff4ffff,009300000003009002
009400000006000300000002,00940000000700030400090000
00950000001200c1ca7c0ccbc158b72c406c2c67917b0378,009500000003004101
00960000000b0010000000020400280000,009600000006001000000002
00970000000a00649a88763aa5963ae6,00970000000300e401
009800000006000300000002,00980000000700030400280000
00990000000b00100000000204fffdffff,009900000006001000000002
009a00000006000200000001,009a0000000400020100
009b000000060002002a0001,009b00000003008202
009c00000006000200000001,009c0000000400020100
009d0000000b0010000000020400220000,009d00000006001000000002
009e0000000b00100005000204ffedffff,009e00000003009002
009f00000006000300000002,009f0000000700030400220000
00a00000001a0027418f3c4821fdb65b0ea482868fbfc743034c1bc95959a548,00a00000000300a701
00a100000006000200000001,00a10000000400020100
00a200000006000300000002,00a20000000700030400220000
00a300000006000200310001,00a300000003008202
00a40000000b0010000000020400000000,00a400000006001000000002
00a500000012005d50a77c39f546f9a00e31e401a960142e,00a50000000300dd01
00a60000001a00219c760f1d5b2c62aa2a5d955100ccdb8a111b6f78a1c7eed3,00a60000000300a101
00a700000006000200000001,00a70000000400020100
00a800000006000500090000,00a800000003008502
00a90000000b00100000000204ffe6ffff,00a900000006001000000002
00aa00000006000300000002,00aa00000007000304ffe6ffff
00ab0000000b0010001a000204ffd6ffff,00ab00000003009002
00ac0000000b00100000000204000b0000,00ac00000006001000000002
00ad00000006000200000001,00ad0000000400020100
00ae00000006000300000002,00ae00000007000304000b0000
00af0000001a005cd64134ea7799646346dc33aab15184cd6750d9e45c03caf4,00af0000000300dc01
00b00000000b00100000000204ffdbffff,00b000000006001000000002
