source_text,target_text
000100000006000200000001:00010000000400020100|00020000000600060004000b:000200000003008602|00030000000a00cfc1f0f5d590d2e688:000300000003004f01|00040000000b00100000000204ffe1ffff:000400000006001000000002|000500000006000300000002:000500000007000304ffe1ffff|00060000001200a311056cb4b394141a579ccdc231a45090:000600000003002301|000700000006000300000002:000700000007000304ffe1ffff|00080000000b00100000000204ffe3ffff:000800000006001000000002|000900000006000200000001:,00090000000400020100
00020000000600060004000b:000200000003008602|00030000000a00cfc1f0f5d590d2e688:000300000003004f01|00040000000b00100000000204ffe1ffff:000400000006001000000002|000500000006000300000002:000500000007000304ffe1ffff|00060000001200a311056cb4b394141a579ccdc231a45090:000600000003002301|000700000006000300000002:000700000007000304ffe1ffff|00080000000b00100000000204ffe3ffff:000800000006001000000002|000900000006000200000001:00090000000400020100|000a00000006000400200001:,000a00000003008402
00030000000a00cfc1f0f5d590d2e688:000300000003004f01|00040000000b00100000000204ffe1ffff:000400000006001000000002|000500000006000300000002:000500000007000304ffe1ffff|00060000001200a311056cb4b394141a579ccdc231a45090:000600000003002301|000700000006000300000002:000700000007000304ffe1ffff|00080000000b00100000000204ffe3ffff:000800000006001000000002|000900000006000200000001:00090000000400020100|000a00000006000400200001:000a00000003008402|000b000000060003001f0001:,000b00000003008302
00040000000b00100000000204ffe1ffff:000400000006001000000002|000500000006000300000002:000500000007000304ffe1ffff|00060000001200a311056cb4b394141a579ccdc231a45090:000600000003002301|000700000006000300000002:000700000007000304ffe1ffff|00080000000b00100000000204ffe3ffff:000800000006001000000002|000900000006000200000001:00090000000400020100|000a00000006000400200001:000a00000003008402|000b000000060003001f0001:000b00000003008302|000c0000000b00100000000204002b0000:,000c00000006001000000002
000500000006000300000002:000500000007000304ffe1ffff|00060000001200a311056cb4b394141a579ccdc231a45090:000600000003002301|000700000006000300000002:000700000007000304ffe1ffff|00080000000b00100000000204ffe3ffff:000800000006001000000002|000900000006000200000001:00090000000400020100|000a00000006000400200001:000a00000003008402|000b000000060003001f0001:000b00000003008302|000c0000000b00100000000204002b0000:000c00000006001000000002|000d00000012006d9373da29c4c5e09432088cb0872b3ada:,000d0000000300ed01
00060000001200a311056cb4b394141a579ccdc231a45090:000600000003002301|000700000006000300000002:000700000007000304ffe1ffff|00080000000b00100000000204ffe3ffff:000800000006001000000002|000900000006000200000001:00090000000400020100|000a00000006000400200001:000a00000003008402|000b000000060003001f0001:000b00000003008302|000c0000000b00100000000204002b0000:000c00000006001000000002|000d00000012006d9373da29c4c5e09432088cb0872b3ada:000d0000000300ed01|000e00000006000300000002:,000e00000007000304002b0000
000700000006000300000002:000700000007000304ffe1ffff|00080000000b00100000000204ffe3ffff:000800000006001000000002|000900000006000200000001:00090000000400020100|000a00000006000400200001:000a00000003008402|000b000000060003001f0001:000b00000003008302|000c0000000b00100000000204002b0000:000c00000006001000000002|000d00000012006d9373da29c4c5e09432088cb0872b3ada:000d0000000300ed01|000e00000006000300000002:000e00000007000304002b0000|000f00000006000200000001:,000f0000000400020100
00080000000b00100000000204ffe3ffff:000800000006001000000002|000900000006000200000001:00090000000400020100|000a00000006000400200001:000a00000003008402|000b000000060003001f0001:000b00000003008302|000c0000000b00100000000204002b0000:000c00000006001000000002|000d00000012006d9373da29c4c5e09432088cb0872b3ada:000d0000000300ed01|000e00000006000300000002:000e00000007000304002b0000|000f00000006000200000001:000f0000000400020100|001000000006000300000002:,001000000007000304002b0000
000900000006000200000001:00090000000400020100|000a00000006000400200001:000a00000003008402|000b000000060003001f0001:000b00000003008302|000c0000000b00100000000204002b0000:000c00000006001000000002|000d00000012006d9373da29c4c5e09432088cb0872b3ada:000d0000000300ed01|000e00000006000300000002:000e00000007000304002b0000|000f00000006000200000001:000f0000000400020100|001000000006000300000002:001000000007000304002b0000|001100000006000200000001:,00110000000400020100
000a00000006000400200001:000a00000003008402|000b000000060003001f0001:000b00000003008302|000c0000000b00100000000204002b0000:000c00000006001000000002|000d00000012006d9373da29c4c5e09432088cb0872b3ada:000d0000000300ed01|000e00000006000300000002:000e00000007000304002b0000|000f00000006000200000001:000f0000000400020100|001000000006000300000002:001000000007000304002b0000|001100000006000200000001:00110000000400020100|00120000000b00100000000204fffbffff:,001200000006001000000002
