source_text,target_text
00010000000b00100000000204a090c11f:000100000006001000000002|000200000006000400000002:,000200000007000404e6a73842
00030000000b001000000002046bbac11f:000300000006001000000002|000400000006000400000002:,0004000000070004046e673845
00050000000b00100000000204e48fc11d:000500000006001000000002|000600000006000400000002:,00060000000700040436f03859
00070000000b00100000000204d220c11d:000700000006001000000002|000800000006000400000002:,00080000000700040431bd385a
00090000000b001000000002047b4ac11c:000900000006001000000002|000a00000006000400000002:,000a000000070004043e01386d
000b0000000b00100000000204f0d8c11b:000b00000006001000000002|000c00000006000400000002:,000c0000000700040465c93875
000d0000000b00100000000204b2ffc11b:000d00000006001000000002|000e00000006000400000002:,000e0000000700040421803879
000f0000000b001000000002049581c11b:000f00000006001000000002|001000000006000400000002:,001000000007000404ee59387a
00110000000b0010000000020492a3c11b:001100000006001000000002|001200000006000400000002:,0012000000070004041b53387b
00130000000b001000000002048312c11a:001300000006001000000002|001400000006000400000002:,00140000000700040428c23886
00150000000b001000000002042c3dc11a:001500000006001000000002|001600000006000400000002:,00160000000700040408913889
00170000000b001000000002041340c11a:001700000006001000000002|001800000006000400000002:,001800000007000404df383889
00190000000b00100000000204e704c119:001900000006001000000002|001a00000006000400000002:,001a000000070004045e6d388b
001b0000000b001000000002049097c119:001b00000006001000000002|001c00000006000400000002:,001c000000070004045730388e
001d0000000b00100000000204902ec118:001d00000006001000000002|001e00000006000400000002:,001e0000000700040489083897
001f0000000b00100000000204d6a1c116:001f00000006001000000002|002000000006000400000002:,002000000007000404c84f38a8
00210000000b00100000000204d1b7c116:002100000006001000000002|002200000006000400000002:,002200000007000404fc2d38a8
00230000000b0010000000020479a7c116:002300000006001000000002|002400000006000400000002:,002400000007000404a83f38ac
00250000000b00100000000204cccdc115:002500000006001000000002|002600000006000400000002:,002600000007000404194138b4
00270000000b001000000002046595c115:002700000006001000000002|002800000006000400000002:,002800000007000404b1c338b8
00290000000b00100000000204e83ec114:002900000006001000000002|002a00000006000400000002:,002a000000070004046ed738be
002b0000000b00100000000204e560c114:002b00000006001000000002|002c00000006000400000002:,002c0000000700040490f938be
002d0000000b001000000002048ce7c114:002d00000006001000000002|002e00000006000400000002:,002e00000007000404ba1538c2
002f0000000b00100000000204f5c3c113:002f00000006001000000002|003000000006000400000002:,0030000000070004040bb538ca
00310000000b001000000002045a1dc112:003100000006001000000002|003200000006000400000002:,003200000007000404678c38df
00330000000b00100000000204c986c111:003300000006001000000002|003400000006000400000002:,0034000000070004046e4138e7
00350000000b001000000002044952c111:003500000006001000000002|003600000006000400000002:,003600000007000404c9bf38ee
00370000000b00100000000204cf42c110:003700000006001000000002|003800000006000400000002:,00380000000700040402a338f6
00390000000b001000000002048e8ac10f:003900000006001000000002|003a00000006000400000002:,003a0000000700040405b93905
003b0000000b0010000000020469adc10f:003b00000006001000000002|003c00000006000400000002:,003c00000007000404398b3906
003d0000000b0010000000020483e4c10c:003d00000006001000000002|003e00000006000400000002:,003e00000007000404de763920
003f0000000b001000000002045326c10c:003f00000006001000000002|004000000006000400000002:,004000000007000404cb623922
00410000000b00100000000204ef9ec10b:004100000006001000000002|004200000006000400000002:,004200000007000404cc523926
00430000000b00100000000204dd2fc10b:004300000006001000000002|004400000006000400000002:,0044000000070004048ce43927
00450000000b00100000000204c84bc10b:004500000006001000000002|004600000006000400000002:,004600000007000404682e3928
00470000000b00100000000204240bc10b:004700000006001000000002|004800000006000400000002:,0048000000070004044bd1392f
00490000000b0010000000020414e4c10a:004900000006001000000002|004a00000006000400000002:,004a000000070004044a8e393b
004b0000000b00100000000204f5c3c109:004b00000006001000000002|004c00000006000400000002:,004c00000007000404b842393c
004d0000000b00100000000204a858c109:004d00000006001000000002|004e00000006000400000002:,004e0000000700040451eb3940
004f0000000b001000000002044f0ec108:004f00000006001000000002|005000000006000400000002:,0050000000070004043b633951
00510000000b001000000002041687c108:005100000006001000000002|005200000006000400000002:,00520000000700040423923954
00530000000b001000000002047a10c107:005300000006001000000002|005400000006000400000002:,00540000000700040465c6395c
00550000000b00100000000204295fc107:005500000006001000000002|005600000006000400000002:,005600000007000404c8113960
00570000000b00100000000204e00dc106:005700000006001000000002|005800000006000400000002:,005800000007000404d72e3964
00590000000b00100000000204d1b7c106:005900000006001000000002|005a00000006000400000002:,005a00000007000404a4893965
005b0000000b001000000002044e3cc106:005b00000006001000000002|005c00000006000400000002:,005c0000000700040421cf396d
005d0000000b00100000000204a8c1c105:005d00000006001000000002|005e00000006000400000002:,005e00000007000404e7fc3976
005f0000000b00100000000204bac7c104:005f00000006001000000002|006000000006000400000002:,006000000007000404d6183982
00610000000b001000000002045f07c104:006100000006001000000002|006200000006000400000002:,006200000007000404cca13985
00630000000b00100000000204a92ac103:006300000006001000000002|006400000006000400000002:,006400000007000404df4f398b
00650000000b001000000002042fecc103:006500000006001000000002|006600000006000400000002:,00660000000700040412c13990
00670000000b00100000000204e4f7c102:006700000006001000000002|006800000006000400000002:,006800000007000404bbbc3992
00690000000b00100000000204a9fcc101:006900000006001000000002|006a00000006000400000002:,006a00000007000404756e399e
006b0000000b00100000000204a6b5c101:006b00000006001000000002|006c00000006000400000002:,006c0000000700040495e4399e
006d0000000b0010000000020434d7c101:006d00000006001000000002|006e00000006000400000002:,006e000000070004040df939a3
006f0000000b00100000000204cbfbc100:006f00000006001000000002|007000000006000400000002:,007000000007000404480a39a7
00710000000b0010000000020467a1c0ff:007100000006001000000002|007200000006000400000002:,0072000000070004041eaa39b3
00730000000b001000000002044952c0ff:007300000006001000000002|007400000006000400000002:,007400000007000404c89239b3
00750000000b001000000002049931c0fc:007500000006001000000002|007600000006000400000002:,007600000007000404882739c3
00770000000b0010000000020495eac0fc:007700000006001000000002|007800000006000400000002:,0078000000070004049c2e39c3
00790000000b0010000000020472b0c0fc:007900000006001000000002|007a00000006000400000002:,007a0000000700040473e439c4
007b0000000b001000000002040f91c0fc:007b00000006001000000002|007c00000006000400000002:,007c00000007000404d7e139c6
007d0000000b00100000000204089ac0fb:007d00000006001000000002|007e00000006000400000002:,007e0000000700040453c339cd
007f0000000b001000000002045fd9c0fa:007f00000006001000000002|008000000006000400000002:,008000000007000404995b39d1
00810000000b00100000000204f8a1c0f9:008100000006001000000002|008200000006000400000002:,008200000007000404417039d4
00830000000b00100000000204f27cc0f8:008300000006001000000002|008400000006000400000002:,00840000000700040427a039db
00850000000b00100000000204fe5dc0f7:008500000006001000000002|008600000006000400000002:,008600000007000404c7ef39e1
00870000000b001000000002043fe6c0f6:008700000006001000000002|008800000006000400000002:,0088000000070004046bfc39ee
00890000000b00100000000204b15bc0f5:008900000006001000000002|008a00000006000400000002:,008a000000070004049ad539f2
008b0000000b0010000000020485f0c0f5:008b00000006001000000002|008c00000006000400000002:,008c00000007000404e4b839f3
008d0000000b00100000000204eb1cc0f4:008d00000006001000000002|008e00000006000400000002:,008e000000070004048b6c39f8
008f0000000b00100000000204b296c0f4:008f00000006001000000002|009000000006000400000002:,00900000000700040443c039fa
00910000000b00100000000204a29cc0f3:009100000006001000000002|009200000006000400000002:,0092000000070004045aba3a01
00930000000b001000000002048d50c0f3:009300000006001000000002|009400000006000400000002:,009400000007000404b0e23a01
00950000000b00100000000204ac08c0f2:009500000006001000000002|009600000006000400000002:,0096000000070004044e1d3a05
00970000000b001000000002041b09c0f2:009700000006001000000002|009800000006000400000002:,009800000007000404af333a07
00990000000b00100000000204b3d0c0f1:009900000006001000000002|009a00000006000400000002:,009a00000007000404676a3a09
009b0000000b001000000002045cfbc0f1:009b00000006001000000002|009c00000006000400000002:,009c00000007000404de0b3a0a
009d0000000b00100000000204f838c0ee:009d00000006001000000002|009e00000006000400000002:,009e00000007000404a5973a15
009f0000000b00100000000204a993c0ee:009f00000006001000000002|00a000000006000400000002:,00a00000000700040416ed3a17
00a10000000b001000000002048d50c0ed:00a100000006001000000002|00a200000006000400000002:,00a2000000070004046bd33a1c
00a30000000b00100000000204f4f1c0ec:00a300000006001000000002|00a400000006000400000002:,00a4000000070004045b273a1f
00a50000000b001000000002042ca5c0eb:00a500000006001000000002|00a600000006000400000002:,00a6000000070004047a6e3a28
00a70000000b0010000000020423a3c0eb:00a700000006001000000002|00a800000006000400000002:,00a800000007000404a9da3a28
00a90000000b00100000000204d289c0ea:00a900000006001000000002|00aa00000006000400000002:,00aa0000000700040457283a2a
00ab0000000b0010000000020401a3c0ea:00ab00000006001000000002|00ac00000006000400000002:,00ac00000007000404bcb33a2e
00ad0000000b001000000002049db2c0e9:00ad00000006001000000002|00ae00000006000400000002:,00ae00000007000404e1683a30
00af0000000b001000000002049ce0c0e9:00af00000006001000000002|00b000000006000400000002:,00b000000007000404e5f03a30
00b10000000b001000000002044396c0e9:00b100000006001000000002|00b200000006000400000002:,00b200000007000404d5e53a32
00b30000000b00100000000204212dc0e9:00b300000006001000000002|00b400000006000400000002:,00b40000000700040496793a33
00b50000000b001000000002040b0fc0e9:00b500000006001000000002|00b600000006000400000002:,00b60000000700040412ae3a34
